Column1,Block,NR/2025/25518/A/60650,NR/2025/25517/A/60641,NR/2025/25516/A/60639,NR/2025/25776/C,GNARE/NR/2024/12/20/3668,NR/2025/25777/C,GNA/WR/2025/01/01/8625,WR/2025/26426/A/60438,GNA/NR/2025/03/01/3469,GNA/WR/2025/03/01/6406,WR/2025/26427/A/60439,GNA/WR/2025/01/01/9606,WR/2025/26582/A/60673,WR/2025/26499/A/60675,GNA/SR/2025/03/01/7500,NR/2025/25159/A/60308,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/6891,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/1906,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
19,04:30-04:45,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,737.57

20,04:45-05:00,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,737.57

21,05:00-05:15,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.48,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.46,737.48

22,05:15-05:30,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.48,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.46,737.48

23,05:30-05:45,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.48,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.46,737.48

24,05:45-06:00,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.48,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.46,737.48

25,06:00-06:15,0.19,0.19,0.29,0,0,0,0,168.21,6.75,42,0,0,0,0,0,0.53,23.41,23.41,6.75,0,25.87,0,17.35,23.41,32,6.46,376.82000000000005

26,06:15-06:30,0.19,0.19,0.29,0,0,0,0,168.21,6.75,42,0,0,0,0,0,0.53,23.41,23.41,6.75,0,25.87,0,17.35,23.41,32,6.46,376.82000000000005

27,06:30-06:45,0.19,0.19,0.29,0,0,0,0,168.21,6.75,42,0,0,0,0,0,0.53,23.41,23.41,6.75,0,25.87,0,17.35,23.41,32,6.46,376.82000000000005

28,06:45-07:00,0.19,0.19,0.29,0,0.79,0,0,168.21,6.75,42,0,0,0,0,0,0.53,23.41,23.41,6.75,0,25.87,0,17.35,23.41,32,6.46,377.61000000000007

29,07:00-07:15,0.19,0.19,0.29,0,3.4,0,0,168.21,6.75,0,0,0,0,40.48,0,0.58,23.41,23.41,6.75,0,25.87,0,17.35,23.41,32,6.36,378.6500000000001

30,07:15-07:30,0.19,0.19,0.29,0,7.34,0,0,168.21,6.75,0,0,0,0,40.48,0,0.58,23.41,23.41,6.75,0,25.87,0,17.35,23.41,32,6.36,382.5900000000001

31,07:30-07:45,0.19,0.19,0.29,0,13.07,0,0,168.21,6.75,0,0,0,0,40.48,0,0.58,23.41,23.41,6.75,0,25.87,0,17.35,23.41,32,6.36,388.3200000000001

32,07:45-08:00,0.19,0.19,0.39,0,20.1,0,0,168.21,6.75,0,0,0,0,40.48,0,0.58,23.41,23.41,6.75,0,25.87,0,17.35,23.41,32,6.36,395.4500000000001

33,08:00-08:15,0.19,0.19,0.39,0,28.29,0,0,0,6.75,0,0,0,0,40.48,0,0.96,23.41,23.41,6.75,0,25.87,0,17.35,23.41,32,6.36,235.81

34,08:15-08:30,0.19,0.29,0.39,0,36.73,0,0,0,6.75,0,0,0,0,40.48,0,0.96,23.41,23.41,6.75,0,25.87,0,17.35,23.41,32,6.36,244.35

35,08:30-08:45,0.19,0.29,0.39,0,45.41,0,0,0,6.75,0,0,0,0,40.48,0,0.96,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.36,249.14000000000001

36,08:45-09:00,0.19,0.29,0.39,0,53.92,0,0,0,6.75,0,0,0,0,40.48,0,0.96,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.36,257.65

37,09:00-09:15,0.19,0.29,0.48,14.46,62.11,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.27,318.81

38,09:15-09:30,0.19,0.29,0.48,14.46,69.81,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.27,326.51

39,09:30-09:45,0.19,0.29,0.48,14.46,76.85,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.27,333.55

40,09:45-10:00,0.19,0.29,0.48,14.46,83.9,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.27,340.6

41,10:00-10:15,0.19,0.29,0.48,14.46,95.62,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.27,352.32

42,10:15-10:30,0.19,0.29,0.48,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.27,356.7

43,10:30-10:45,0.19,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.27,356.90000000000003

44,10:45-11:00,0.19,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.27,356.90000000000003

45,11:00-11:15,0.19,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.18,356.81000000000006

46,11:15-11:30,0.19,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.18,356.81000000000006

47,11:30-11:45,0.29,0.58,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.18,357.1

48,11:45-12:00,0.29,0.58,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,6.18,357.1

49,12:00-12:15,0.29,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.99,356.72

50,12:15-12:30,0.19,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.99,356.62000000000006

51,12:30-12:45,0.19,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.99,356.62000000000006

52,12:45-13:00,0.19,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.99,356.62000000000006

53,13:00-13:15,0.19,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.99,356.62000000000006

54,13:15-13:30,0.19,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.99,356.62000000000006

55,13:30-13:45,0.19,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.99,356.62000000000006

56,13:45-14:00,0.19,0.39,0.67,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.99,356.71000000000004

57,14:00-14:15,0.19,0.39,0.67,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.91,356.63000000000005

58,14:15-14:30,0.19,0.39,0.67,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.91,356.63000000000005

59,14:30-14:45,0.19,0.39,0.67,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.91,356.63000000000005

60,14:45-15:00,0.19,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.92,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.91,356.5400000000001

61,15:00-15:15,0.19,0.39,0.58,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.67,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.91,356.2900000000001

62,15:15-15:30,0.19,0.39,0.77,14.46,100,38.55,0,0,6.75,0,0,0,0,40.48,0,0.67,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.91,356.4800000000001

63,15:30-15:45,0.19,0.39,0.67,14.46,99,38.55,0,0,6.75,0,0,0,0,40.48,0,0.67,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.91,355.38000000000005

64,15:45-16:00,0.19,0.39,0.58,14.46,92.33,38.55,0,0,6.75,0,0,0,0,40.48,0,0.67,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.91,348.62000000000006

65,16:00-16:15,0.29,0.39,0.58,14.46,85.51,38.55,0,0,6.75,0,0,0,0,40.48,0,0.53,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.99,341.84000000000003

66,16:15-16:30,0.19,0.39,0.58,14.46,78.06,38.55,0,0,6.75,0,0,0,0,40.48,0,0.53,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.99,334.2900000000001

67,16:30-16:45,0.29,0.39,0.58,14.46,70.13,38.55,0,0,6.75,0,0,0,0,40.48,0,0.53,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.99,326.46000000000004

68,16:45-17:00,0.29,0.39,0.67,14.46,61.93,38.55,0,0,6.75,0,0,0,0,40.48,0,0.53,23.41,23.41,6.75,0,26.99,0,17.35,23.41,26.99,5.99,318.35

69,17:00-17:15,0.29,0.39,0.67,0,53.09,0,100,0,6.75,0,0,0,0,40.48,0,0.53,26.02,26.02,6.75,0,26.99,0,17.35,26.02,26.99,6.09,364.43

70,17:15-17:30,0.19,0.58,0.67,0,43.7,0,100,0,6.75,0,0,0,0,40.48,0,0.53,26.02,26.02,6.75,0,26.99,0,17.35,26.02,26.99,6.09,355.13

71,17:30-17:45,0.19,0.39,0.67,0,34.79,0,100,0,6.75,0,0,0,0,40.48,0,0.53,26.02,26.02,6.75,0,26.99,0,17.35,26.02,26.99,6.09,346.03

72,17:45-18:00,0.29,0.39,0.58,0,24.98,0,100,0,6.75,0,0,0,0,40.48,0,0.53,26.02,26.02,6.75,0,26.99,0,17.35,26.02,26.99,6.09,336.23

73,18:00-18:15,0.19,0.39,0.58,0,17.02,0,100,0,6.75,0,0,50,0,40.48,0,0.53,26.02,26.02,6.75,0,26.99,0,17.35,26.02,26.99,6.27,378.35

74,18:15-18:30,0.19,0.39,0.58,0,10.1,0,100,0,6.75,0,0,50,0,40.48,0,0.53,26.02,26.02,6.75,0,26.99,0,17.35,26.02,26.99,6.27,371.43

75,18:30-18:45,0.19,0.39,0.58,0,7.5,0,100,0,6.75,0,0,50,0,40.48,50,0.53,31.8,26.02,6.75,0,19.07,0,17.35,26.02,31.5,6.27,421.19999999999993

76,18:45-19:00,0.19,0.39,0.58,0,4.02,0,100,0,6.75,0,0,50,0,40.48,50,0.53,31.8,31.8,6.75,0,19.07,0,17.35,31.8,31.5,6.27,429.28000000000003

77,19:00-19:15,0,0,0,0,3.07,0,100,0,6.75,0,0,50,0,40.48,50,0.63,31.8,31.8,6.75,0,14.04,0,17.35,31.8,31.5,6.36,422.33000000000004

78,19:15-19:30,0,0,0,0,0.79,0,100,0,6.75,0,0,50,0,40.48,50,0.63,31.8,31.8,6.75,0,14.04,0,17.35,31.8,31.5,6.36,420.05000000000007

79,19:30-19:45,0,0,0,0,0,0,100,0,6.75,0,0,50,0,40.48,50,0.63,31.8,31.8,6.75,0,14.04,0,17.35,31.8,31.5,6.36,419.26000000000005

80,19:45-20:00,0,0,0,0,0,0,100,0,6.75,0,0,50,0,40.48,50,0.63,31.8,31.8,6.75,0,14.04,0,17.35,31.8,31.5,6.36,419.26000000000005

81,20:00-20:15,0,0,0,0,0,0,100,48.18,6.75,0,0,75,0,40.48,50,0.63,31.8,31.8,6.75,0,23.77,0,17.35,31.8,31.5,6.6,502.4100000000001

82,20:15-20:30,0,0,0,0,0,0,100,48.18,6.75,0,0,75,0,40.48,50,0.63,31.8,31.8,6.75,0,23.77,0,17.35,31.8,31.5,6.6,502.4100000000001

83,20:30-20:45,0,0,0,0,0,0,100,48.18,6.75,0,0,75,0,40.48,50,0.63,31.8,31.8,6.75,0,23.77,0,17.35,31.8,31.5,6.6,502.4100000000001

84,20:45-21:00,0,0,0,0,0,0,100,48.18,6.75,0,0,75,0,40.48,50,0.63,31.8,31.8,6.75,0,23.77,0,17.35,31.8,31.5,6.6,502.4100000000001

85,21:00-21:15,0,0,0,0,0,0,100,48.18,6.75,0,0,75,0,40.48,50,0.63,31.8,31.8,6.75,0,25.34,0,17.35,31.8,25.34,6.6,497.82000000000005

86,21:15-21:30,0,0,0,0,0,0,100,48.18,6.75,0,0,75,0,40.48,50,0.63,31.8,31.8,6.75,0,25.34,0,17.35,31.8,25.34,6.6,497.82000000000005

87,21:30-21:45,0,0,0,0,0,0,100,48.18,6.75,0,0,75,0,40.48,50,0.63,31.8,31.8,6.75,0,26.99,0,17.35,31.8,26.99,6.6,501.1200000000001

88,21:45-22:00,0,0,0,0,0,0,100,48.18,6.75,0,0,75,0,40.48,50,0.63,31.8,31.8,6.75,0,26.99,0,17.35,31.8,26.99,6.6,501.1200000000001

89,22:00-22:15,0,0,0,0,0,0,100,48.18,6.75,0,24.09,75,24.09,40.48,50,0.53,31.8,31.8,6.75,79.27,26.99,237.82,17.35,31.8,26.99,6.6,866.29

90,22:15-22:30,0,0,0,0,0,0,100,48.18,6.75,0,24.09,75,24.09,40.48,50,0.53,31.8,31.8,6.75,79.27,26.99,237.82,17.35,31.8,26.99,6.6,866.29

91,22:30-22:45,0,0,0,0,0,0,100,48.18,6.75,0,24.09,75,24.09,40.48,50,0.53,31.8,31.8,6.75,79.27,26.99,237.82,17.35,31.8,26.99,6.6,866.29

92,22:45-23:00,0,0,0,0,0,0,100,48.18,6.75,0,24.09,75,24.09,40.48,50,0.53,31.8,31.8,6.75,79.27,26.99,237.82,17.35,31.8,26.99,6.6,866.29

93,23:00-23:15,0,0,0,0,0,0,0,48.18,6.75,0,24.09,75,24.09,40.48,50,0.48,31.8,31.8,6.75,79.27,26.99,237.82,17.35,31.8,26.99,6.6,766.24

94,23:15-23:30,0,0,0,0,0,0,0,48.18,6.75,0,24.09,75,24.09,40.48,50,0.48,31.8,31.8,6.75,79.27,26.99,237.82,17.35,31.8,26.99,6.6,766.24

95,23:30-23:45,0,0,0,0,0,0,0,48.18,6.75,0,24.09,75,24.09,40.48,50,0.48,31.8,31.8,6.75,79.27,26.99,237.82,17.35,31.8,26.99,6.6,766.24

96,23:45-24:00,0,0,0,0,0,0,0,48.18,6.75,0,24.09,75,24.09,40.48,50,0.48,31.8,31.8,6.75,79.27,26.99,237.82,17.35,31.8,26.99,6.6,766.24

