Column1,Block,NR/2024/23567/C,GNA/NR/2024/10/07/4941,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/07/7135,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/07/5167,NR/2024/23215/A/40178,NR/2024/23560/C,NR/2024/23414/A/40068,NR/2024/23569/C,NR/2024/23384/A/40069,NR/2024/23588/C,NR/2024/23382/A/40206,NR/2024/23397/A/40096,NR/2024/23356/A/40075,NR/2024/23446/A/40204,NR/2024/23389/A/40074,NR/2024/23383/A/40062,GNA/NR/2024/10/01/9582,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/4083,GNA/NR/2024/10/01/8106,Total
6,01:15-01:30,0,242.52,25.8,6.48,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.53,12.49,25.8,54.57,12.49,769.0899999999999

7,01:30-01:45,0,242.52,25.8,6.48,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.53,12.49,25.8,54.57,12.49,769.0899999999999

8,01:45-02:00,0,242.52,25.8,6.48,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.53,12.49,25.8,54.57,12.49,769.0899999999999

9,02:00-02:15,0,242.52,25.8,6.48,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.49,12.49,25.8,54.57,12.49,769.05

10,02:15-02:30,0,242.52,25.8,6.48,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.49,12.49,25.8,54.57,12.49,769.05

11,02:30-02:45,0,242.52,25.8,6.48,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.49,12.49,25.8,54.57,12.49,769.05

12,02:45-03:00,0,242.52,25.8,6.48,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.49,12.49,25.8,54.57,12.49,769.05

13,03:00-03:15,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.44,12.49,25.8,54.57,12.49,768.9100000000001

14,03:15-03:30,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.44,12.49,25.8,54.57,12.49,768.9100000000001

15,03:30-03:45,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.44,12.49,25.8,54.57,12.49,768.9100000000001

16,03:45-04:00,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.44,12.49,25.8,54.57,12.49,768.9100000000001

17,04:00-04:15,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.44,12.49,25.8,54.57,12.49,768.9100000000001

18,04:15-04:30,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.44,12.49,25.8,54.57,12.49,768.9100000000001

19,04:30-04:45,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.44,12.49,25.8,54.57,12.49,768.9100000000001

20,04:45-05:00,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.44,12.49,25.8,54.57,12.49,768.9100000000001

21,05:00-05:15,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.49,12.49,25.8,54.57,12.49,768.96

22,05:15-05:30,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.49,12.49,25.8,54.57,12.49,768.96

23,05:30-05:45,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.49,12.49,25.8,54.57,12.49,768.96

24,05:45-06:00,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.49,12.49,25.8,54.57,12.49,768.96

25,06:00-06:15,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.53,12.49,25.8,0,12.49,696.2399999999999

26,06:15-06:30,0,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.53,12.49,25.8,0,12.49,696.2399999999999

27,06:30-06:45,0.12,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.53,12.49,25.8,0,12.49,696.3599999999999

28,06:45-07:00,0.64,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.53,12.49,25.8,0,12.49,696.8799999999999

29,07:00-07:15,1.18,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.58,12.49,25.8,0,12.49,697.47

30,07:15-07:30,1.79,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.58,12.49,25.8,0,12.49,698.08

31,07:30-07:45,2.5,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.58,12.49,25.8,0,12.49,698.79

32,07:45-08:00,3.21,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.58,12.49,25.8,0,12.49,699.5

33,08:00-08:15,3.93,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,194.02,0,0,6.79,0,24.99,2.91,0,0,0,0.97,12.49,25.8,0,12.49,720.01

34,08:15-08:30,4.64,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,194.02,0,0,6.79,0,24.99,2.91,0,0,0,0.97,12.49,25.8,0,12.49,720.7199999999999

35,08:30-08:45,5.26,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,194.02,0,0,6.79,0,24.99,2.91,0,0,0,0.97,12.49,25.8,0,12.49,721.3399999999999

36,08:45-09:00,5.83,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,194.02,0,0,6.79,0,24.99,2.91,0,0,0,0.97,12.49,25.8,0,12.49,721.91

37,09:00-09:15,6.51,242.52,26,6.3,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,776.1499999999999

38,09:15-09:30,6.98,242.52,26,6.3,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,776.6199999999999

39,09:30-09:45,7.44,242.52,26,6.3,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,777.0799999999999

40,09:45-10:00,7.77,242.52,26,6.3,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,777.41

41,10:00-10:15,5.71,242.52,26,6.3,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,775.3499999999999

42,10:15-10:30,6.35,242.52,26,6.3,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,775.9899999999999

43,10:30-10:45,4.9,242.52,26,6.3,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,774.54

44,10:45-11:00,6.4,242.52,26,6.3,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,776.04

45,11:00-11:15,8.53,242.52,26,6.3,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,778.17

46,11:15-11:30,7.41,242.52,26,6.3,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,777.05

47,11:30-11:45,9.17,242.52,26,6.3,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,778.81

48,11:45-12:00,9.11,242.52,26,6.3,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,778.7499999999999

49,12:00-12:15,9.07,242.52,26.2,6.21,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26.2,0,12.49,779.02

50,12:15-12:30,5.79,242.52,26.2,6.21,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26.2,0,12.49,775.7399999999999

51,12:30-12:45,6.97,242.52,26,6.21,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,776.5199999999999

52,12:45-13:00,5.89,242.52,26,6.21,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.87,12.49,26,0,12.49,775.4399999999998

53,13:00-13:15,8.19,242.52,26,6.21,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.78,12.49,26,0,12.49,777.6499999999999

54,13:15-13:30,9.08,242.52,26,6.21,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.78,12.49,26,0,12.49,778.5399999999998

55,13:30-13:45,8.21,242.52,25.8,6.21,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.78,12.49,25.8,0,12.49,777.2699999999999

56,13:45-14:00,8.27,242.52,25.8,6.21,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.78,12.49,25.8,0,12.49,777.3299999999998

57,14:00-14:15,8.47,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.92,12.49,25.8,0,12.49,777.8499999999998

58,14:15-14:30,8.21,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.92,12.49,25.8,0,12.49,777.5899999999998

59,14:30-14:45,7.89,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.92,12.49,25.8,0,12.49,777.2699999999998

60,14:45-15:00,7.42,242.52,25.8,6.39,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.92,12.49,25.8,0,12.49,776.7999999999998

61,15:00-15:15,6.82,242.52,25.8,6.63,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.92,12.49,25.8,0,12.49,776.4399999999998

62,15:15-15:30,6.35,242.52,25.8,6.63,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.92,12.49,25.8,0,12.49,775.9699999999998

63,15:30-15:45,4.38,242.52,25.8,6.63,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.92,12.49,25.8,0,12.49,773.9999999999998

64,15:45-16:00,5.03,242.52,25.8,6.63,0,37.47,37.47,37.47,48.5,0,194.02,6.79,0,0,0,0,2.91,10.67,24.99,42.68,0.92,12.49,25.8,0,12.49,774.6499999999999

65,16:00-16:15,4.66,242.52,25.8,6.63,0,37.47,37.47,37.47,48.5,0,194.02,0,0,6.79,0,24.99,2.91,10.67,0,42.68,0.78,12.49,25.8,0,12.49,774.1399999999999

66,16:15-16:30,3.74,242.52,25.8,6.63,0,37.47,37.47,37.47,48.5,0,194.02,0,0,6.79,0,24.99,2.91,10.67,0,40.94,0.78,12.49,25.8,0,12.49,771.4799999999998

67,16:30-16:45,3.21,242.52,25.8,6.63,0,37.47,37.47,37.47,48.5,0,194.02,0,0,6.79,0,24.99,2.91,10.67,0,33.08,0.78,12.49,25.8,0,12.49,763.0899999999999

68,16:45-17:00,2.54,242.52,25.8,6.63,0,37.47,37.47,37.47,48.5,0,194.02,0,0,6.79,0,24.99,2.91,10.67,0,26.19,0.78,12.49,25.8,0,12.49,755.53

69,17:00-17:15,1.46,242.52,18.25,6.63,0,39.77,39.77,39.77,48.5,0,194.02,0,0,6.79,0,29.39,2.91,0,0,0,0.73,12.49,18.25,0,12.49,713.7399999999999

70,17:15-17:30,1.01,242.52,18.25,6.63,0,39.77,39.77,39.77,48.5,0,194.02,0,0,6.79,0,29.39,2.91,0,0,0,0.73,12.49,18.25,0,12.49,713.2899999999998

71,17:30-17:45,0.51,242.52,18.25,6.63,0,39.77,39.77,39.77,48.5,0,194.02,0,63.06,6.79,97.01,29.39,2.91,0,0,0,0.73,12.49,18.25,0,12.49,872.8599999999999

72,17:45-18:00,0.32,242.52,18.25,6.63,0,39.77,39.77,39.77,48.5,0,194.02,0,63.06,6.79,97.01,29.39,2.91,0,0,0,0.73,12.49,18.25,0,12.49,872.6699999999998

73,18:00-18:15,0.12,242.52,31,6.63,135.81,39.77,39.77,39.77,48.5,0,194.02,0,63.06,6.79,97.01,29.39,2.91,0,0,0,0.73,12.49,0,0,12.49,1002.78

74,18:15-18:30,0,242.52,31,6.63,135.81,39.77,39.77,39.77,48.5,0,194.02,0,63.06,6.79,97.01,29.39,2.91,0,0,0,0.73,12.49,0,0,12.49,1002.6599999999999

75,18:30-18:45,0,242.52,31,6.63,135.81,39.77,39.77,39.77,48.5,0,194.02,0,63.06,6.79,97.01,29.39,2.91,0,0,0,0.73,12.49,31,0,12.49,1033.6599999999999

76,18:45-19:00,0,242.52,31,6.63,135.81,39.77,39.77,39.77,48.5,0,194.02,0,63.06,6.79,97.01,29.39,2.91,0,0,0,0.73,12.49,31,0,12.49,1033.6599999999999

77,19:00-19:15,0,242.52,31,6.48,135.81,39.77,39.77,39.77,48.5,0,194.02,0,63.06,6.79,97.01,29.39,2.91,0,0,0,0.68,12.49,31,0,12.49,1033.4599999999998

78,19:15-19:30,0,242.52,31,6.48,135.81,39.77,39.77,39.77,48.5,0,194.02,0,63.06,6.79,97.01,29.39,2.91,0,0,0,0.68,12.49,31,0,12.49,1033.4599999999998

79,19:30-19:45,0,242.52,31,6.48,135.81,39.77,39.77,39.77,48.5,0,194.02,0,63.06,6.79,97.01,29.39,2.91,0,0,0,0.68,12.49,31,0,12.49,1033.4599999999998

80,19:45-20:00,0,242.52,31,6.48,135.81,39.77,39.77,39.77,48.5,0,194.02,0,63.06,6.79,97.01,29.39,2.91,0,0,0,0.68,12.49,31,0,12.49,1033.4599999999998

81,20:00-20:15,0,242.52,31,6.48,135.81,39.77,39.77,39.77,48.5,0,194.02,0,80.52,6.79,97.01,29.39,2.91,0,0,0,0.68,12.49,31,0,12.49,1050.9199999999998

82,20:15-20:30,0,242.52,31,6.48,135.81,39.77,39.77,39.77,48.5,0,194.02,0,80.52,6.79,97.01,29.39,2.91,0,0,0,0.68,12.49,31,0,12.49,1050.9199999999998

83,20:30-20:45,0,242.52,31,6.48,135.81,39.77,39.77,39.77,48.5,0,194.02,0,80.52,6.79,97.01,29.39,2.91,0,0,0,0.68,12.49,31,0,12.49,1050.9199999999998

84,20:45-21:00,0,242.52,31,6.48,135.81,39.77,39.77,39.77,48.5,0,194.02,0,80.52,6.79,97.01,29.39,2.91,0,0,0,0.68,12.49,31,0,12.49,1050.9199999999998

85,21:00-21:15,0,242.52,31,6.39,135.81,39.77,39.77,39.77,48.5,0,194.02,0,80.52,6.79,97.01,24.99,2.91,0,0,0,0.73,12.49,31,0,12.49,1046.4799999999998

86,21:15-21:30,0,242.52,31,6.39,135.81,39.77,39.77,39.77,48.5,0,194.02,0,80.52,6.79,97.01,24.99,2.91,0,0,0,0.73,12.49,31,0,12.49,1046.4799999999998

87,21:30-21:45,0,242.52,31,6.39,135.81,39.77,39.77,39.77,48.5,0,194.02,0,80.52,6.79,97.01,24.99,2.91,0,0,0,0.73,12.49,31,0,12.49,1046.4799999999998

88,21:45-22:00,0,242.52,31,6.39,135.81,39.77,39.77,39.77,48.5,0,194.02,0,80.52,6.79,97.01,24.99,2.91,0,0,0,0.73,12.49,31,0,12.49,1046.4799999999998

89,22:00-22:15,0,242.52,31,6.3,135.81,39.77,39.77,39.77,48.5,18.19,194.02,0,80.52,6.79,97.01,24.99,2.91,0,0,0,0.68,12.49,31,54.57,12.49,1119.1

90,22:15-22:30,0,242.52,31,6.3,135.81,39.77,39.77,39.77,48.5,18.19,194.02,0,80.52,6.79,97.01,24.99,2.91,0,0,0,0.68,12.49,31,54.57,12.49,1119.1

91,22:30-22:45,0,242.52,31,6.3,135.81,39.77,39.77,39.77,48.5,18.19,194.02,0,80.52,6.79,97.01,24.99,2.91,0,0,0,0.68,12.49,31,54.57,12.49,1119.1

92,22:45-23:00,0,242.52,31,6.3,135.81,39.77,39.77,39.77,48.5,18.19,194.02,0,80.52,6.79,97.01,24.99,2.91,0,0,0,0.68,12.49,31,54.57,12.49,1119.1

93,23:00-23:15,0,242.52,31,6.21,135.81,39.77,39.77,39.77,48.5,18.19,194.02,0,80.52,6.79,97.01,24.99,2.91,0,0,0,0.58,12.49,31,54.57,12.49,1118.9099999999999

94,23:15-23:30,0,242.52,31,6.21,135.81,39.77,39.77,39.77,48.5,18.19,194.02,0,80.52,6.79,97.01,24.99,2.91,0,0,0,0.58,12.49,31,54.57,12.49,1118.9099999999999

95,23:30-23:45,0,242.52,31,6.21,135.81,39.77,39.77,39.77,48.5,18.19,194.02,0,80.52,6.79,97.01,24.99,2.91,0,0,0,0.58,12.49,31,54.57,12.49,1118.9099999999999

96,23:45-24:00,0,242.52,31,6.21,135.81,39.77,39.77,39.77,48.5,18.19,194.02,0,80.52,6.79,97.01,24.99,2.91,0,0,0,0.58,12.49,31,54.57,12.49,1118.9099999999999

