Block,Time,PARBATI3,CHAMERA3,DADRT2,NAPP,KISHANGANGA,AURY_RF,BSIUL,ANTA_GF,AURY_GF,JHAJJAR,RIHAND3,ANTA_LF,SEWA2,RAPPC,UNCHAHAR2,DADRI_CRF,RIHAND1,DHAULIGNGA,TEHRI,CHAMERA1,URI,RAMPUR,AURY_CRF,TANAKPUR,DULHASTI,AURY_LF,RAPPB,DADRI_GF,RIHAND2,DADRI_LF,SINGRAULI,ANTA_RF,DADRI_RF,SINGRAULI_HYDRO,ANTA_CRF,UNCHAHAR1,UNCHAHAR3,URI2,KOLDAM,KOTESHWR,SALAL,NJPC,CHAMERA2,UNCHAHAR4,TANDA2,BRBCL,FSTPP I & II,KHSTPP-I,TALA,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
25,06:00-06:15,0.000000,18.631778,277.295801,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,407.588905,119.040531,0.000000,15.212977,51.671117,35.399904,0.000000,88.559200,0.000000,24.742670,40.571742,40.382995,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,9.740453,2.921395,30.704420,0.000000,24.202652,24.607906,112.580402,25.354961,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

26,06:15-06:30,0.000000,18.631778,291.688193,41.739106,0.000000,0.000000,18.830766,0.000000,0.000000,407.588905,119.040531,0.000000,15.212977,51.671117,35.399904,0.000000,88.559200,0.000000,36.386280,40.571742,40.382995,0.000000,0.000000,0.000000,31.725086,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,9.740453,4.088258,30.704420,0.000000,30.371955,53.689978,112.580402,38.032442,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

27,06:30-06:45,0.000000,27.975859,291.771857,41.739106,0.000000,0.000000,18.830766,0.000000,0.000000,426.840905,119.040531,0.000000,15.212977,51.671117,40.082373,0.000000,88.559200,7.629568,47.908602,40.571742,32.944022,0.000000,0.000000,0.000000,31.725086,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.501966,5.838554,30.704420,0.000000,30.371955,53.689978,90.064321,38.032442,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

28,06:45-07:00,0.000000,27.975859,291.771857,41.739106,0.000000,0.000000,18.830766,0.000000,0.000000,484.596905,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,17.588697,49.364053,40.571742,32.944022,0.000000,0.000000,0.000000,31.725086,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.501966,7.005322,30.704420,0.000000,30.371955,53.689978,90.064321,38.032442,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

29,07:00-07:15,0.000000,27.975859,299.973786,41.739106,0.000000,0.000000,18.830766,0.000000,0.000000,571.259054,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,26.383045,49.364053,40.571742,32.944022,0.000000,0.000000,0.000000,31.725086,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,11.608725,25.897790,0.000000,30.371955,53.689978,68.368665,38.032442,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

30,07:15-07:30,0.000000,27.975859,315.218045,41.739106,0.000000,0.000000,18.830766,0.000000,0.000000,628.722286,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,26.383045,49.364053,40.571742,32.944022,0.000000,0.000000,0.000000,31.725086,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,13.825920,25.897790,0.000000,30.371955,53.689978,43.026680,38.032442,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

31,07:30-07:45,0.000000,27.975859,327.043350,41.739106,0.000000,0.000000,18.830766,0.000000,0.000000,628.722286,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,26.383045,49.364053,40.571742,40.382995,0.000000,0.000000,0.000000,31.725086,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,13.825920,25.897790,0.000000,30.371955,53.689978,18.231644,38.032442,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

32,07:45:08:00,0.000000,27.975859,327.043350,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,628.722286,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,26.383045,49.364053,40.571742,40.382995,0.000000,0.000000,0.000000,31.725086,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,13.825920,20.718232,0.000000,16.135101,14.541036,0.000000,38.032442,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

33,08:00-08:15,0.000000,18.631778,327.043350,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,628.722286,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,26.383045,49.364053,27.047828,32.944022,0.000000,0.000000,0.000000,31.725086,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,13.825920,20.718232,0.000000,8.067551,12.303953,0.000000,38.032442,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

34,08:15-08:30,0.000000,18.631778,327.043350,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,628.722286,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,17.588697,49.364053,13.523914,32.944022,0.000000,0.000000,0.000000,31.725086,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,13.825920,20.718232,0.000000,8.067551,12.303953,0.000000,25.354961,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

35,08:30-08:45,0.000000,9.315889,327.043641,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,628.722286,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,7.629568,49.364053,13.523914,32.944022,0.000000,0.000000,0.000000,31.725086,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,13.825920,20.718232,0.000000,8.067551,12.303953,0.000000,12.677481,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

36,08:45:09:00,0.000000,0.000000,327.043641,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,628.722286,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,0.000000,37.114006,13.523914,32.944022,0.000000,0.000000,0.000000,31.725086,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,13.825920,20.718232,0.000000,8.067551,12.303953,0.000000,12.677481,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

37,09:00:09:15,0.000000,0.000000,290.809257,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,616.891836,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,0.000000,24.742670,13.523914,32.944022,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,13.825920,25.897790,0.000000,8.067551,12.303953,0.000000,12.677481,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

38,09:15-09:30,0.000000,0.000000,290.809257,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,616.891836,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,0.000000,12.371335,13.523914,32.944022,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,13.825920,25.897790,0.000000,8.067551,12.303953,0.000000,12.677481,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

39,09:30-09:45,0.000000,0.000000,290.809257,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,616.891836,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,0.000000,12.371335,13.523914,32.944022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,13.825920,20.718232,0.000000,8.067551,12.303953,0.000000,12.677481,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

40,09:45-10:00,0.000000,0.000000,290.809257,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,628.722286,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,0.000000,12.371335,9.770313,32.944022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,13.825920,20.718232,0.000000,8.067551,12.303953,0.000000,12.677481,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

41,10:00-10:15,0.000000,0.000000,290.809257,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,628.722286,119.040531,0.000000,15.212977,51.671117,40.210112,0.000000,88.559200,0.000000,0.000000,0.000000,34.006733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,10.404647,13.825920,20.718232,0.000000,8.067551,12.303953,0.000000,12.677481,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

