Column1,Time,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,GNA/NR/2024/11/01/5474,NR/01102023/22052037/LT-59,GNA/NR/2024/11/01/5428,NR/01102023/31052040/LT-31,GNA/NR/2024/11/01/9061,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/11/01/3646,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/11/01/5444,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/11/01/4503,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/11/01/9042,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/1868,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNA/WR/2024/11/01/4200,NR/01102023/30042040/GNA_LT_35,GNA/WR/2024/10/15/7089,NR/30092023/31122025/SH-07
15,03:30-03:45,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,12.67,285.39,2.01,26.17,0,26.17,2.22,95.12,2.45,26.17,3.75,52.78,26.75,7.2,57.29,17.45,0,204.92,149.23,8.72,69.96,26.91,6.85,12.67,0,0,0,26.91

16,03:45-04:00,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,12.67,285.39,2.01,26.17,0,26.17,2.22,95.12,2.45,26.17,3.75,52.78,27.25,7.2,57.29,17.45,0,204.92,149.23,8.72,69.96,26.91,6.85,12.67,0,0,0,26.91

17,04:00-04:15,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,12.67,285.39,2.01,26.17,0,26.17,2.22,95.12,2.45,26.17,3.75,52.78,28.26,7.2,57.29,17.45,0,204.92,149.23,8.72,69.96,26.91,6.85,12.67,0,0,0,26.91

18,04:15-04:30,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,12.33,285.39,2.01,26.17,0,26.17,2.22,95.12,2.45,26.17,3.75,52.78,28.26,7.2,57.29,17.45,0,204.92,149.23,8.72,69.96,26.91,6.85,12.33,0,0,0,26.91

19,04:30-04:45,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,12.67,285.39,2.01,26.17,0,26.17,2.22,95.12,2.45,26.17,3.75,52.78,28.26,7.2,57.29,17.45,0,175.26,149.23,8.72,69.96,26.91,6.85,12.67,0,0,0,26.91

20,04:45-05:00,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,13.33,285.39,2.01,26.17,0,26.17,2.22,95.12,2.45,26.17,3.75,52.78,28.26,7.2,57.29,17.45,0,175.26,149.23,8.72,69.96,26.91,6.85,13.33,0,0,0,26.91

21,05:00-05:15,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,14,285.39,2.01,26.17,0,26.17,2.22,95.12,2.37,26.17,3.75,52.78,28.77,7.2,57.29,17.45,0,175.26,149.23,8.72,69.96,26.91,6.85,14,0,0,0,26.91

22,05:15-05:30,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,14.33,285.39,2.01,26.17,0,26.17,2.22,95.12,2.37,26.17,3.75,52.78,28.77,7.2,57.29,17.45,0,175.26,149.23,8.72,69.96,26.91,6.85,14.33,0,0,0,26.91

23,05:30-05:45,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,15,285.39,2.01,26.17,0,26.17,2.22,95.12,2.37,26.17,3.75,52.78,28.77,7.2,76.09,17.45,0,189.66,191.92,8.72,69.96,26.91,6.85,15,0,0,0,26.91

24,05:45-06:00,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,15.67,285.39,2.01,26.17,0,26.17,2.22,95.12,2.37,26.17,3.75,52.78,27.76,7.2,76.09,17.45,0,184.86,230.3,8.72,69.96,26.91,6.85,15.67,0,0,0,26.91

25,06:00-06:15,20.56,0,0,0,0,7.01,6,0,8.28,8.89,0,6.85,0,6.66,1,0,11,0,2.01,26.17,0,26.17,2.22,0,2.37,26.17,3.75,50.86,27.76,7.2,75.63,17.45,0,169.5,271.33,8.72,69.96,26.91,6.85,11,0,0,0,26.91

26,06:15-06:30,20.56,0,0,0,0,7.01,10,0,17.76,19.02,0,6.85,0,6.66,2,1,11,0,2.01,26.17,0,26.17,2.22,0,2.37,26.17,3.75,50.86,27.76,7.2,75.63,17.45,0,169.5,271.33,8.72,69.96,26.91,6.85,11,0,0,0,26.91

27,06:30-06:45,20.56,0,0.01,0,1.9,7.01,15,0,28.75,30.2,0,6.85,0,6.66,5,3,11,0,2.01,26.17,0.3,26.17,2.22,0,2.37,26.17,3.75,50.86,26.75,7.2,75.63,17.45,0.31,169.5,271.33,8.72,69.96,26.91,6.85,11,0,0.3,0,26.91

28,06:45-07:00,20.56,0,0.2,0.04,9.02,7.01,20,1,31.25,31.25,0,6.85,1,6.66,8,4,11,0,2.01,26.17,0.69,26.17,2.22,0,2.37,26.17,3.75,50.86,25.74,7.2,76.09,17.45,0.71,196.37,271.33,8.72,69.96,26.91,6.85,11,0,0.69,0,26.91

29,07:00-07:15,20.56,1,3.95,0.79,17.09,7.01,25,3,32.1,32.1,2,6.85,4,6.66,10,5,11,0,2.01,26.17,1.28,26.17,2.17,0,2.37,26.17,3.75,69.09,25.74,7.2,67.68,17.45,1.32,200.21,271.33,8.72,69.96,26.91,6.85,11,0,1.28,0,26.91

30,07:15-07:30,20.56,4,12.92,2.58,24.99,7.01,32.16,7,32.17,32.17,5,6.85,11,6.66,15,7,11,0,2.01,26.17,2.15,26.17,2.17,0,2.37,26.17,3.75,50.86,25.74,7.2,57.29,17.45,2.2,196.37,271.33,8.72,69.96,26.91,6.85,11,0,2.15,0,26.91

31,07:30-07:45,20.56,9,27.35,5.47,34.73,7.01,32.5,13,32.5,32.5,7,6.85,21,6.66,18,9,11,0,2.01,33.14,2.98,33.14,2.17,0,2.37,33.14,3.75,50.65,25.24,7.2,57.29,22.1,3.06,194.45,271.33,11.04,69.96,26.91,6.85,11,0,2.98,0,26.91

32,07:45-08:00,20.56,13,45.78,9.16,46.07,7.01,32.84,17,32.83,32.83,8,6.85,32,6.66,25,12,11,0,2.01,33.14,3.89,33.14,2.17,0,2.37,33.14,3.75,50.65,25.24,7.2,57.29,22.1,3.99,196.37,271.33,11.04,69.96,26.91,6.85,11,0,3.89,0,26.91

33,08:00-08:15,20.56,18,65.91,13.18,58,7.01,33,24,33,33,13,6.85,42,6.66,32,15,11,0,2.01,33.14,4.92,33.14,2.17,0,2.29,33.14,3.75,52.78,25.24,7.2,57.29,22.1,5.04,204.92,271.33,11.04,69.96,26.91,6.85,11,0,4.92,0,26.91

34,08:15-08:30,20.56,24,86.2,17.24,69.5,7.41,33,32,33,33,17,6.85,56,6.66,39,19,11,0,2.01,33.14,5.97,33.14,2.17,0,2.29,33.14,3.75,52.78,26.25,7.2,57.29,22.1,6.11,204.92,230.3,11.04,69.96,26.91,6.85,11,0,5.97,0,26.91

35,08:30-08:45,20.56,33,105.44,21.09,79.84,7.61,33,39,33,33,22,6.85,77,6.66,46,22,11,0,2.01,33.14,7.22,33.14,2.17,0,2.29,33.14,3.75,52.78,26.25,7.2,57.29,22.1,7.39,189.66,191.92,11.04,69.96,26.91,6.85,11,0,7.22,0,26.91

36,08:45-09:00,20.56,40,125.35,25.07,89.27,8.01,33,47,33,33,26,6.85,95,6.66,53,25,11,0,2.01,33.14,8.23,33.14,2.17,0,2.29,33.14,3.75,52.78,26.25,7.2,57.29,22.1,8.44,182.94,149.23,11.04,69.96,26.91,6.85,11,0,8.23,0,26.91

37,09:00-09:15,20.56,46,143.83,28.76,98.13,7,33,55,33,33,28,6.85,109,6.66,57,27,11,0,2.01,33.14,9.3,33.14,2.17,0,2.29,33.14,3.67,52.78,26.25,7.2,57.29,22.1,9.53,190.61,149.23,11.04,69.96,26.91,6.85,11,0,9.3,0,26.91

38,09:15-09:30,20.56,52,160.88,32.17,106.25,7,33,61,33,33,31,6.85,123,6.66,62,30,11,0,2.01,33.14,10.37,33.14,2.17,0,2.29,33.14,3.67,52.78,27.25,7.2,57.29,22.1,10.63,186.78,149.23,11.04,69.96,26.91,6.85,11,0,10.37,0,26.91

39,09:30-09:45,20.56,58,176.24,35.25,113.48,7,33,66,33,33,33,6.85,137,6.66,68,32,8,0,2.01,33.14,11.31,33.14,2.17,0,2.29,33.14,3.67,52.78,27.25,7.2,57.29,22.1,11.58,204.92,149.23,11.04,69.96,26.91,6.85,8,0,11.31,0,26.91

40,09:45-10:00,20.56,63,190.57,38.11,119.72,7,33,73,33,33,35,6.85,147,6.66,72,35,8,0,2.01,33.14,12.25,33.14,2.17,0,2.29,33.14,3.67,52.78,27.25,7.2,67.68,22.1,12.56,204.92,149.23,11.04,69.96,26.91,6.85,8,0,12.25,0,26.91

41,10:00-10:15,19.86,67,204.12,40.82,125.03,7,33,77,33,33,37,6.62,158,6.66,77,37,8,0,2.01,33.14,12.88,33.14,2.22,0,2.29,33.14,3.67,52.78,27.25,7.2,67.68,22.1,13.21,197.33,149.23,11.04,69.96,26.91,6.61,8,0,12.88,0,26.91

42,10:15-10:30,19.86,72,216.02,43.2,129.59,7,33,82,33,33,39,6.62,168,6.66,81,39,8,0,2.01,33.14,13.82,33.14,2.22,0,2.29,33.14,3.67,52.78,27.25,7.2,67.68,22.1,14.16,200.21,149.23,11.04,69.96,26.91,6.61,8,0,13.82,0,26.91

43,10:30-10:45,19.86,75,226.59,45.32,133.62,7,33,88,33,33,41,6.62,175,6.66,85,40,8,0,2.01,33.14,14.45,33.14,2.22,0,2.29,33.14,3.67,52.78,26.25,7.2,67.68,22.1,14.8,204.92,149.23,11.04,69.96,26.91,6.61,8,0,14.45,0,26.91

44,10:45-11:00,19.86,78,235.68,47.14,137.08,7,33,90,33,33,42,6.62,182,6.66,88,42,8,0,2.01,33.14,14.82,33.14,2.22,0,2.29,33.14,3.67,52.78,26.25,7.2,67.68,22.1,15.19,204.92,149.23,11.04,69.96,26.91,6.61,8,0,14.82,0,26.91

45,11:00-11:15,19.86,81,241.67,48.33,139.97,7,33,90,33,33,43,6.62,189,6.66,90,43,8,0,2.01,33.14,15.28,33.14,2.22,0,2.29,33.14,3.67,52.78,26.25,7.2,67.68,22.1,15.66,204.92,149.23,11.04,69.96,26.91,6.61,8,0,15.28,0,26.91

46,11:15-11:30,19.86,82,241.67,48.33,142.2,7,33,91,33,33,43,6.62,191,6.66,91,44,8,0,2.01,33.14,15.28,33.14,2.22,0,2.29,33.14,3.67,52.78,26.25,7.2,67.68,22.1,15.66,204.92,149.23,11.04,69.96,26.91,6.61,8,0,15.28,0,26.91

47,11:30-11:45,19.86,82,241.67,48.33,143.84,7,33,91,33,33,44,6.62,191,6.66,91,44,8,0,2.01,33.14,15.28,33.14,2.22,0,2.29,33.14,3.67,52.78,26.25,7.2,67.68,22.1,15.66,204.92,149.23,11.04,69.96,26.91,6.61,8,0,15.28,0,26.91

48,11:45-12:00,19.86,82,241.67,48.33,144.72,7,33,91,33,33,44,6.62,191,6.66,91,44,8,0,2.01,33.14,15.28,33.14,2.22,0,2.29,33.14,3.67,59.5,26.25,7.2,67.68,22.1,15.66,204.92,149.23,11.04,69.96,26.91,6.61,8,0,15.28,0,26.91

49,12:00-12:15,19.86,82,241.67,48.33,144.73,7,33,91,33,33,44,6.62,191,6.66,91,44,8,0,2.16,33.14,15.28,33.14,2.26,0,2.37,33.14,3.67,68.13,26.25,7.2,67.68,22.1,15.66,204.92,149.23,11.04,69.96,26.91,6.61,8,0,15.28,0,26.91

50,12:15-12:30,19.86,82,241.67,48.33,143.85,7,33,91,33,33,44,6.62,191,6.66,91,44,8,0,2.16,33.14,15.28,33.14,2.26,0,2.37,33.14,3.67,89.24,26.25,7.2,67.68,22.1,15.66,204.92,149.23,11.04,69.96,26.91,6.61,8,0,15.28,0,26.91

51,12:30-12:45,19.86,82,241.67,48.33,142.08,7,33,91,33,33,44,6.62,191,6.66,91,44,8,0,2.16,33.14,15.28,33.14,2.26,0,2.37,33.14,3.67,70.05,26.25,7.2,67.68,22.1,15.66,204.92,149.23,11.04,69.96,26.91,6.61,8,0,15.28,0,26.91

52,12:45-13:00,19.86,82,241.67,48.33,139.52,7,33,91,33,33,44,6.62,191,6.66,91,44,8,0,2.16,33.14,15.28,33.14,2.26,0,2.37,33.14,3.67,65.25,26.25,7.2,67.68,22.1,15.66,204.92,149.23,11.04,69.96,26.91,6.61,8,0,15.28,0,26.91

53,13:00-13:15,19.86,82,241.67,48.33,136.17,7,33,91,33,33,43,6.62,191,6.66,91,43,8,0,2.16,33.14,15.11,33.14,2.26,0,2.51,33.14,3.67,52.78,26.25,7.2,67.68,22.1,15.49,204.92,149.23,11.04,69.96,26.91,6.61,8,0,15.11,0,26.91

54,13:15-13:30,19.86,82,241.67,48.33,132.12,7,33,90,33,33,42,6.62,191,6.66,90,43,8,0,2.16,33.14,14.48,33.14,2.26,0,2.51,33.14,3.67,52.78,26.25,7.2,67.68,22.1,14.83,204.92,149.23,11.04,69.96,26.91,6.61,8,0,14.48,0,26.91

55,13:30-13:45,19.86,79,241.67,48.33,127.56,7,33,90,33,33,41,6.62,186,6.66,87,42,8,0,2.16,33.14,14.25,33.14,2.26,0,2.51,33.14,3.67,52.78,26.25,7.2,67.68,22.1,14.6,204.92,149.23,11.04,69.96,26.91,6.61,8,0,14.25,0,26.91

56,13:45-14:00,19.86,76,236.61,47.32,122.13,7,33,90,33,33,41,6.62,179,6.66,85,40,8,0,2.16,33.14,13.93,33.14,2.26,0,2.51,33.14,3.67,52.78,27.25,7.2,67.68,22.1,14.28,204.92,149.23,11.04,69.96,26.91,6.61,8,0,13.93,0,26.91

57,14:00-14:15,19.86,73,227.27,45.45,116,7,33,88,33,33,38,6.62,172,6.66,81,39,8,0,2.31,33.14,13.54,33.14,2.35,0,2.74,33.14,3.67,70.05,27.25,7.2,67.68,22.1,13.88,204.92,149.23,11.04,69.96,26.91,6.61,8,0,13.54,0,26.91

58,14:15-14:30,19.86,69,218.43,43.68,109.21,7,33,83,33,33,37,6.62,161,6.66,76,37,8,0,2.31,33.14,12.99,33.14,2.35,0,2.74,33.14,3.67,70.05,27.25,7.2,67.68,22.1,13.31,204.92,149.23,11.04,69.96,26.91,6.61,8,0,12.99,0,26.91

59,14:30-14:45,19.86,64,206.82,41.36,101.41,7,33,78,33,33,35,6.62,151,6.66,72,34,8,0,2.31,33.14,12.38,33.14,2.35,0,2.74,33.14,3.67,74.85,28.26,7.2,67.68,22.1,12.68,204.92,149.23,11.04,69.96,26.91,6.61,8,0,12.38,0,26.91

60,14:45-15:00,19.86,60,195.6,39.12,92.89,7,33,74,33,33,34,6.62,140,6.66,66,32,8,0,2.31,33.14,11.57,33.14,2.35,0,2.74,33.14,3.67,74.85,28.26,7.2,67.68,22.1,11.86,204.92,191.92,11.04,69.96,26.91,6.61,8,0,11.57,0,26.91

61,15:00-15:15,19.86,55,182.22,36.44,83.81,7,33,67,33,33,32,6.62,130,6.66,60,29,8,0,2.62,33.14,10.66,33.14,2.35,0,2.9,33.14,3.67,99.97,28.26,7.2,86.56,22.1,10.92,204.92,230.3,11.04,69.96,26.91,6.61,8,0,10.66,0,26.91

62,15:15-15:30,19.86,49,167.44,33.49,73.96,7,33,60,33,33,28,6.62,116,6.66,54,26,8,0,2.62,33.14,9.59,33.14,2.35,0,2.9,33.14,3.67,99.97,28.26,7.2,86.56,22.1,9.83,204.92,271.33,11.04,69.96,26.91,6.61,8,0,9.59,0,26.91

63,15:30-15:45,19.86,43,151.97,30.39,63.39,7,33,54,33,33,25,6.62,102,6.66,47,23,8,0,2.62,33.14,8.6,33.14,2.35,0,2.9,33.14,3.67,99.97,28.26,7.2,86.56,22.1,8.81,204.92,271.33,11.04,69.96,26.91,6.61,8,0,8.6,0,26.91

64,15:45-16:00,19.86,37,135.32,27.06,52.32,7,33,48,33,33,23,6.62,88,6.66,41,19,8,0,2.62,33.14,7.69,33.14,2.35,0,2.9,33.14,3.67,99.97,29.27,7.2,86.56,22.1,7.88,204.92,271.33,11.04,69.96,26.91,6.61,8,0,7.69,0,26.91

65,16:00-16:15,19.86,31,117.11,23.42,40.78,7,30,42,33,33,19,6.62,74,6.66,33,16,8,0,2.78,33.14,6.87,33.14,2.3,0,3.13,33.14,3.67,99.97,29.27,7.2,86.56,22.1,7.04,204.92,271.33,11.04,69.96,26.91,6.61,8,0,6.87,0,26.91

66,16:15-16:30,19.86,25,98.07,19.61,29.45,7,18,35,33,33,15,6.62,60,6.66,25,12,8,0,2.78,33.14,6.04,33.14,2.3,0,3.13,33.14,3.67,99.97,29.27,7.2,86.56,22.1,6.19,204.92,271.33,11.04,69.96,26.91,6.61,8,0,6.04,0,26.91

67,16:30-16:45,19.86,19,78.28,15.65,19.36,7,12,27,33,33,11,6.62,46,6.66,18,9,8,0,2.78,33.14,5.2,33.14,2.3,0,3.13,33.14,3.67,99.97,29.77,7.2,86.56,22.1,5.33,260.53,271.33,11.04,69.96,26.91,6.61,8,0,5.2,0,26.91

68,16:45-17:00,19.86,13,58.87,11.77,11.8,7,6,20,33,33,8,6.62,32,6.66,14,6,8,0,2.78,33.14,4.39,33.14,2.3,0,3.13,33.14,3.67,99.97,29.77,7.2,86.56,22.1,4.51,260.53,271.33,11.04,114.73,24.28,6.61,8,0,4.39,0,24.28

69,17:00-17:15,19.86,7,40.52,8.1,7.34,7,2,13,29.71,31.89,7,6.62,18,6.66,11,5,8,0,1.54,33.14,3.65,33.14,2.3,0,3.44,33.14,3.67,99.97,29.77,7.2,86.56,22.1,3.73,260.53,271.33,11.04,114.73,18.98,6.61,8,0,3.65,0,18.98

70,17:15-17:30,19.86,3,23.03,4.6,3.53,7,1,10,15.64,16.79,5,6.62,7,6.66,7,3,8,0,2.62,33.14,2.92,33.14,2.3,0,3.44,33.14,3.67,99.97,29.77,7.2,86.56,22.1,3,260.53,271.33,11.04,114.73,18.98,6.61,8,0,2.92,0,18.98

71,17:30-17:45,19.86,1,9.85,1.97,0.31,7,0,7,3.03,3.22,2,6.62,2,6.66,4,2,11.67,0,2.62,33.14,2.21,33.14,2.3,0,3.44,33.14,3.67,90.64,30.28,7.2,86.56,22.1,2.26,260.53,271.33,11.04,114.73,18.98,6.61,11.67,0,2.21,0,18.98

72,17:45-18:00,19.86,0,2.37,0.47,0,7,0,3,2.01,2.16,0,6.62,1,6.66,1,0,11.67,0,2.62,33.14,1.47,33.14,2.3,0,3.44,33.14,3.67,90.64,30.28,7.2,86.56,22.1,1.51,260.53,271.33,11.04,114.73,0,6.61,11.67,0,1.47,0,0

73,18:00-18:15,20.56,0,0,0,0,7,0,2,0,0,0,6.85,0,6.66,0,0,12,0,3.09,33.14,0.84,33.14,2.22,0,3.44,33.14,3.75,90.64,29.77,7.2,86.56,22.1,0.86,260.53,271.33,11.04,114.73,0,6.85,12,50,0.84,150,32

74,18:15-18:30,20.56,0,0,0,0,7,0,0,0,0,0,6.85,0,6.66,0,0,13,0,3.09,33.14,0,33.14,2.22,0,3.44,33.14,3.75,90.64,29.27,7.2,86.56,22.1,0,260.53,271.33,11.04,114.73,0,6.85,13,50,0,150,32

75,18:30-18:45,20.56,0,0,0,0,7,0,0,0,0,0,6.85,0,6.66,0,0,13.67,0,3.09,33.14,0,33.14,2.22,0,3.44,33.14,3.75,90.64,29.27,7.2,86.56,22.1,0,260.53,271.33,11.04,84.64,0,6.85,13.67,50,0,150,32

76,18:45-19:00,20.56,0,0,0,0,7,0,0,0,0,0,6.85,0,6.66,0,0,14.67,0,3.09,33.14,0,33.14,2.22,0,3.44,33.14,3.75,90.64,29.27,7.2,86.56,22.1,0,260.53,271.33,11.04,84.64,0,6.85,14.67,50,0,150,32

77,19:00-19:15,20.56,0,0,0,0,7,0,0,0,0,0,6.85,0,6.66,0,0,14.67,0,3.09,33.14,0,33.14,2.22,0,3.36,33.14,3.75,90.64,28.76,7.2,86.56,22.1,0,260.53,271.33,11.04,65.83,5.95,6.85,14.67,50,0,150,32

78,19:15-19:30,20.56,0,0,0,0,7,0,0,0,0,0,6.85,0,6.66,0,0,14.67,0,3.09,33.14,0,33.14,2.22,0,3.36,33.14,3.75,90.64,28.76,7.2,86.56,22.1,0,260.53,271.33,11.04,65.83,5.95,6.85,14.67,50,0,150,32

79,19:30-19:45,20.56,0,0,0,0,7,0,0,0,0,0,6.85,0,6.66,0,0,15,0,3.09,33.14,0,33.14,2.22,0,3.36,33.14,3.75,90.64,28.76,7.2,86.56,22.1,0,230.3,271.33,11.04,65.83,5.95,6.85,15,50,0,150,32

