Time,Block,NR/2024/18691/A/6061,NR/2024/18388/A/5859,NR/2024/18721/C,NER/2024/2023/A/6021,WR/2024/21675/A/6047,WR/2024/21740/A/6064,WR/2024/21710/A/6060,Total
75,18:30-18:45,102.010000,0.530000,0,25.000000,57.760000,100.000000,25.000000,310.3

76,18:45-19:00,102.010000,0.530000,0,25.000000,57.760000,100.000000,25.000000,310.3

77,19:00-19:15,102.010000,0.630000,0,25.000000,57.760000,100.000000,25.000000,310.4

78,19:15-19:30,102.010000,0.630000,0,25.000000,57.760000,100.000000,25.000000,310.4

79,19:30-19:45,102.010000,0.630000,0,25.000000,57.760000,100.000000,25.000000,310.4

80,19:45-20:00,102.010000,0.630000,0,25.000000,57.760000,100.000000,25.000000,310.4

81,20:00-20:15,102.010000,0.630000,0,25.000000,57.760000,100.000000,25.000000,310.4

82,20:15-20:30,102.010000,0.630000,0,25.000000,57.760000,100.000000,25.000000,310.4

83,20:30-20:45,102.010000,0.630000,0,25.000000,57.760000,100.000000,25.000000,310.4

84,20:45-21:00,102.010000,0.630000,0,25.000000,57.760000,100.000000,25.000000,310.4

85,21:00-21:15,102.010000,0.630000,0,25.000000,57.760000,100.000000,25.000000,310.4

86,21:15-21:30,102.010000,0.630000,0,25.000000,57.760000,100.000000,25.000000,310.4

87,21:30-21:45,102.010000,0.630000,0,25.000000,57.760000,100.000000,25.000000,310.4

88,21:45-22:00,102.010000,0.630000,0,25.000000,57.760000,100.000000,25.000000,310.4

89,22:00-22:15,0.000000,0.530000,0,25.000000,57.760000,100.000000,0.000000,183.29

90,22:15-22:30,0.000000,0.530000,0,25.000000,57.760000,100.000000,0.000000,183.29

91,22:30-22:45,0.000000,0.530000,0,25.000000,57.760000,100.000000,0.000000,183.29

92,22:45-23:00,0.000000,0.530000,0,25.000000,57.760000,100.000000,0.000000,183.29

93,23:00-23:15,0.000000,0.480000,0,25.000000,0.000000,100.000000,0.000000,125.48

94,23:15-23:30,0.000000,0.480000,0,25.000000,0.000000,100.000000,0.000000,125.48

95,23:30-23:45,0.000000,0.480000,0,25.000000,0.000000,100.000000,0.000000,125.48

96,23:45-24:00,0.000000,0.480000,0,25.000000,0.000000,100.000000,0.000000,125.48

