Column1,Block,NR/2025/32532/A/94330,NR/2025/32535/A/94335,NR/2025/32652/A/94376,NR/2025/32532/A/94331,NR/2025/32534/A/94332,NR/2025/32653/A/94375,NR/2025/32535/A/94334,NR/2025/32599/A/94067,NR/2025/32534/A/94333,NR/2025/32959/C,GNARE/NR/2024/12/20/3668,NR/2025/32931/C,NR/2025/32556/A/94481,NR/2025/32912/C,NR/2025/32598/A/94185,NR/2025/31046/A/94416,NR/2025/31047/A/94417,NR/2025/32262/A/94210,NR/2025/31041/A/94413,NR/2025/32954/C,NR/2025/32946/C,NR/2025/32956/C,NR/2025/31042/A/94415,NR/2025/32917/C,NR/2025/32397/A/93899,NR/2025/32948/C,NR/2025/32958/C,NR/2025/32948/C/Alternate/1,NR/2025/32455/A/94409,NR/2025/32916/C,NR/2025/32559/A/94480,NR/2025/29440/A/93940,NR/2025/32610/A/94445,NR/2025/32375/A/94437,NR/2025/29992/A/94037,NR/2025/32702/A/93993,NR/2025/32945/C,NR/2025/31421/A/94440,NR/2025/32909/C,NR/2025/32554/A/94423,NR/2025/32004/A/94488,NR/2025/32857/A/94369,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6209,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/2414,NR/30092023/31122025/SH-07,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,0,0,191.96,47.99,0,26.17,0.86,26.17,47.99,44.15,12.48,0,47.99,0,163.17,105.58,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,33.59,0,40.79,26.94,1440.55

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,0,0,191.96,47.99,0,26.17,0.86,26.17,47.99,44.15,12.48,0,47.99,0,163.17,105.58,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,33.59,0,40.79,26.94,1440.55

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,0,0,191.96,47.99,0,26.17,0.62,26.17,47.99,44.15,12.48,0,47.99,0,163.17,105.58,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,33.59,0,40.79,26.94,1440.31

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,0,0,191.96,47.99,0,26.17,0.62,26.17,47.99,44.15,12.48,0,47.99,0,163.17,105.58,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,33.59,0,40.79,26.94,1440.31

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,0,0,191.96,47.99,0,26.17,0.62,26.17,47.99,44.15,12.48,0,47.99,0,163.17,105.58,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,33.59,0,40.79,26.94,1440.31

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,0,0,191.96,47.99,0,26.17,0.62,26.17,47.99,44.15,12.48,0,47.99,0,163.17,105.58,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,33.59,0,40.79,26.94,1440.31

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,0,0,191.96,0,0,26.17,0.62,26.17,47.99,44.15,12.48,0,47.99,0,163.17,105.58,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1440.31

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,0,0,191.96,0,0,26.17,0.62,26.17,47.99,44.15,12.48,0,47.99,0,163.17,105.58,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1440.31

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,0,0,191.96,0,0,26.17,0.62,26.17,47.99,44.15,12.48,0,47.99,0,163.17,105.58,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1440.31

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,0,0,191.96,0,0,26.17,0.62,26.17,47.99,44.15,12.48,0,47.99,0,163.17,105.58,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1440.31

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,191.96,0,0,0,0,26.17,0.53,26.17,47.99,44.15,12.48,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1411.06

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,191.96,0,0,0,0,26.17,0.53,26.17,47.99,44.15,12.48,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1411.06

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,191.96,0,0,0,0,26.17,0.53,26.17,47.99,44.15,12.48,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1411.06

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,191.96,0,0,0,0,26.17,0.53,26.17,47.99,44.15,12.48,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1411.06

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,8.64,191.96,0,0,0,0,26.17,0.53,26.17,47.99,44.15,12.48,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1165.1100000000001

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,8.64,191.96,0,0,0,0,26.17,0.53,26.17,47.99,44.15,12.48,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1165.1100000000001

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,8.64,191.96,0,0,0,0,26.17,0.53,26.17,47.99,44.15,12.48,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1165.1100000000001

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,8.64,191.96,0,0,0,0,26.17,0.53,26.17,47.99,44.15,12.48,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1165.1100000000001

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,8.64,191.96,0,0,0,0,26.17,0.53,26.17,47.99,44.15,12.48,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1165.1100000000001

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,8.64,191.96,0,0,0,0,26.17,0.53,26.17,47.99,44.15,12.48,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1165.1100000000001

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,8.64,191.96,0,0,0,0,26.17,0.53,26.17,47.99,44.15,11.52,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1164.15

24,05:45-06:00,0,0,0,0,0,0,0,0,0,0,0.28,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,8.64,191.96,0,0,0,0,26.17,0.53,26.17,47.99,44.15,11.52,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1164.43

25,06:00-06:15,0.01,0,0,0,0,0,0,2,0,0,2.11,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,0,191.96,0,0,0,0,26.17,0.82,26.17,47.99,44.15,11.52,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1159.92

26,06:15-06:30,0.06,0,0,0,0.01,0,0.01,5,0,0,3.45,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,0,191.96,0,0,0,0,26.17,0.82,26.17,47.99,44.15,11.52,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1164.33

27,06:30-06:45,0.12,0,0,0,0.06,0,0.03,11,0,0.84,3.78,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,0,191.96,0,0,0,0,26.17,0.82,26.17,47.99,44.15,11.52,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1171.63

28,06:45-07:00,0.2,0,0,0,0.11,0,0.05,14,0,1.37,6.32,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,0,191.96,0,0,0,0,26.17,0.82,26.17,47.99,44.15,11.52,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,0,40.79,26.94,1177.85

29,07:00-07:15,0.32,0,0,0,0.15,0,0.15,21,0,1.97,9.55,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,0,191.96,0,0,0,0,26.17,0.86,26.17,47.99,44.15,11.52,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.94,1193.02

30,07:15-07:30,0.38,0,0,0,0.19,0,0.19,28,0,2.97,13.65,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,0,191.96,0,0,0,0,26.17,0.86,26.17,47.99,44.15,11.52,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.94,1205.26

31,07:30-07:45,0.38,0,0,0,0.19,0,0.19,46,0,3.85,18.49,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,0,191.96,0,0,0,0,26.17,0.86,26.17,47.99,44.15,11.52,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.94,1228.98

32,07:45-08:00,0.48,0,0,0,0.29,0,0.19,56,0,5.24,24.03,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,0,191.96,0,0,0,0,26.17,0.86,26.17,47.99,44.15,11.52,0,47.99,0,163.17,76.42,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.94,1246.11

33,08:00-08:15,0.48,0.09,1.63,0.13,0.29,0,0.19,70,0.11,6.17,29.96,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,0,191.96,0,0,0,0,26.17,0.96,26.17,47.99,44.15,11.52,0,47.99,0,163.17,76.42,1.15,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.94,1270.1799999999998

34,08:15-08:30,0.48,0.17,1.63,0.26,0.29,0,0.19,84,0.2,8.51,36.22,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,0,191.96,0,0,0,0,26.17,0.96,26.17,47.99,44.15,11.52,0,47.99,0,163.17,76.42,1.15,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.94,1293.0799999999997

35,08:30-08:45,0.48,0.25,1.63,0.38,0.29,0,0.19,98,0.3,5.86,42.45,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,0,191.96,0,0,0,0,26.17,0.96,26.17,47.99,44.15,13.44,0,47.99,0,163.17,76.42,1.15,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.94,1312.8799999999999

36,08:45-09:00,0.48,0.37,1.63,0.54,0.29,0,0.19,112,0.37,5.86,48.54,0,26.17,0,81.58,0,0,0,0,0,0,0,0,0,0,191.96,0,0,0,0,26.17,0.96,26.17,47.99,44.15,13.44,0,47.99,0,163.17,76.42,1.15,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.94,1333.32

37,09:00-09:15,0.48,0.47,1.63,0.66,0.29,0,0.19,126,0.53,5.86,54.31,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.95,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.95,1399.31

38,09:15-09:30,0.48,0.51,1.63,0.72,0.29,0,0.19,140,0.58,6.84,59.94,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.95,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.95,1420.07

39,09:30-09:45,0.48,0.67,1.63,0.96,0.29,0,0.19,151,0.77,6.84,65.26,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.95,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.95,1436.98

40,09:45-10:00,0.48,0.67,1.63,0.96,0.29,0,0.19,161,0.77,7.81,70.28,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.95,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.95,1452.9700000000003

41,10:00-10:15,0.48,0.67,1.63,0.96,0.29,1.44,0.19,172,0.77,7.81,77.94,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.95,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.95,1473.0700000000002

42,10:15-10:30,0.48,0.67,1.63,0.96,0.29,1.44,0.19,182,0.77,7.81,82.44,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.95,20.4,14.54,81.58,14.54,28.86,20.4,81.58,4.04,40.79,26.95,1487.5700000000002

43,10:30-10:45,0.48,0.38,1.63,0.63,0.29,1.44,0.19,179,0.45,11.51,89.95,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.95,20.4,14.54,81.58,14.54,28.86,20.4,81.58,9.12,40.79,26.95,1499.92

44,10:45-11:00,0.48,0.38,1.63,0.63,0.29,1.44,0.19,179,0.45,12.78,93.63,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.95,20.4,14.54,81.58,14.54,28.86,20.4,81.58,9.12,40.79,26.95,1504.8700000000001

45,11:00-11:15,0.48,0.38,1.63,0.63,0.29,1.44,0.19,196,0.45,14.05,96.7,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.95,20.4,14.54,81.58,14.54,28.86,20.4,81.58,9.12,40.79,26.95,1526.2100000000003

46,11:15-11:30,0.48,0.38,1.63,0.63,0.29,1.44,0.19,196,0.45,15.49,98.33,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.95,20.4,14.54,81.58,14.54,28.86,20.4,81.58,9.12,40.79,26.95,1529.2800000000002

47,11:30-11:45,0.48,0.38,1.63,0.51,0.29,1.44,0.19,196,0.36,16.86,98.33,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.95,20.4,14.54,81.58,14.54,28.86,20.4,81.58,9.12,40.79,26.95,1530.4400000000003

48,11:45-12:00,0.48,0.38,1.63,0.51,0.29,1.44,0.19,196,0.36,18.14,98.33,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.95,20.4,14.54,81.58,14.54,28.86,20.4,81.58,9.12,40.79,26.95,1531.7200000000003

49,12:00-12:15,0.48,0.38,1.63,0.51,0.29,1.44,0.19,168,0.36,19.32,100,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.96,20.4,14.54,81.58,14.54,28.86,20.4,81.58,14.54,40.79,26.96,1512.0100000000002

50,12:15-12:30,0.48,0.38,1.63,0.51,0.29,1.44,0.19,168,0.36,19.62,100,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.96,20.4,14.54,81.58,14.54,28.86,20.4,81.58,14.54,40.79,26.96,1512.3100000000002

51,12:30-12:45,0.48,0.38,1.63,0.51,0.29,1.44,0.19,168,0.36,19.88,100,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.96,20.4,14.54,81.58,14.54,28.86,20.4,81.58,14.54,40.79,26.96,1512.5700000000002

52,12:45-13:00,0.48,0.38,1.63,0.51,0.29,1.44,0.19,168,0.36,20.16,100,76.42,0,44.15,81.58,0,0,0,0,43.62,47.99,43.62,0,0,0,191.96,37.09,0,0,0,0,0.96,0,0,0,13.44,47.99,0,163.17,0,0,1.15,20.71,19.2,15.21,26.96,20.4,14.54,81.58,14.54,28.86,20.4,81.58,14.54,40.79,26.96,1512.8500000000001

