Time,Block,WR/2024/21710/A/6997,NR/2024/18691/A/7004,NER/2024/2023/A/6969,NR/2024/18736/C,WR/2024/21675/A/6973,WR/2024/21740/A/7000,NR/2024/18388/A/6701,SR/2024/12085/C,Total
40,09:45-10:00,0.000000,162.260000,25.000000,6.49,0.000000,50.000000,0.970000,0.00,244.72

41,10:00-10:15,0.000000,162.260000,25.000000,6.92,0.000000,50.000000,0.970000,0.00,245.15

42,10:15-10:30,0.000000,162.260000,25.000000,7.29,0.000000,50.000000,0.970000,0.00,245.52

43,10:30-10:45,0.000000,162.260000,25.000000,7.34,0.000000,50.000000,0.970000,0.00,245.57

44,10:45-11:00,0.000000,162.260000,25.000000,7.58,0.000000,50.000000,0.970000,0.00,245.81

45,11:00-11:15,0.000000,162.260000,25.000000,7.72,0.000000,50.000000,0.970000,0.00,245.95

46,11:15-11:30,0.000000,162.260000,25.000000,7.82,0.000000,50.000000,0.970000,0.00,246.05

47,11:30-11:45,0.000000,162.260000,25.000000,8.01,0.000000,50.000000,0.970000,0.00,246.24

48,11:45-12:00,0.000000,162.260000,25.000000,8.21,0.000000,50.000000,0.970000,0.00,246.44

49,12:00-12:15,0.000000,162.260000,25.000000,8.35,0.000000,50.000000,0.970000,0.00,246.58

50,12:15-12:30,0.000000,162.260000,25.000000,8.5,0.000000,50.000000,0.970000,0.00,246.73

51,12:30-12:45,0.000000,162.260000,25.000000,8.54,0.000000,50.000000,0.970000,0.00,246.77

52,12:45-13:00,0.000000,162.260000,25.000000,8.79,0.000000,50.000000,0.970000,0.00,247.02

53,13:00-13:15,0.000000,162.260000,25.000000,8.93,0.000000,50.000000,0.970000,0.00,247.16

54,13:15-13:30,0.000000,162.260000,25.000000,9.07,0.000000,50.000000,0.970000,0.00,247.3

55,13:30-13:45,0.000000,162.260000,25.000000,8.88,0.000000,50.000000,0.970000,0.00,247.11

56,13:45-14:00,0.000000,162.260000,25.000000,8.69,0.000000,50.000000,0.970000,0.00,246.92

57,14:00-14:15,0.000000,162.260000,25.000000,8.54,0.000000,50.000000,0.970000,0.00,246.77

58,14:15-14:30,0.000000,162.260000,25.000000,8.11,0.000000,50.000000,0.970000,0.00,246.34

59,14:30-14:45,0.000000,162.260000,25.000000,7.72,0.000000,50.000000,0.970000,0.00,245.95

60,14:45-15:00,0.000000,162.260000,25.000000,7.38,0.000000,50.000000,0.970000,0.00,245.61

61,15:00-15:15,0.000000,162.260000,25.000000,7,0.000000,50.000000,0.770000,0.00,245.03

62,15:15-15:30,0.000000,162.260000,25.000000,6.61,0.000000,50.000000,0.770000,0.00,244.64

63,15:30-15:45,0.000000,162.260000,25.000000,5.99,0.000000,50.000000,0.770000,0.00,244.02

64,15:45-16:00,0.000000,162.260000,25.000000,5.5,0.000000,50.000000,0.770000,0.00,243.53

65,16:00-16:15,0.000000,162.260000,25.000000,4.83,0.000000,50.000000,0.530000,0.00,242.62

66,16:15-16:30,0.000000,162.260000,25.000000,4.06,0.000000,50.000000,0.530000,0.00,241.85

67,16:30-16:45,0.000000,162.260000,25.000000,3.58,0.000000,50.000000,0.530000,0.00,241.37

68,16:45-17:00,0.000000,162.260000,25.000000,2.85,0.000000,50.000000,0.530000,0.00,240.64

69,17:00-17:15,0.000000,162.260000,25.000000,2.23,0.000000,50.000000,0.530000,0.00,240.02

70,17:15-17:30,0.000000,162.260000,25.000000,1.57,0.000000,50.000000,0.530000,0.00,239.36

71,17:30-17:45,0.000000,162.260000,25.000000,1.03,0.000000,50.000000,0.530000,0.00,238.82

72,17:45-18:00,0.000000,162.260000,25.000000,0.58,0.000000,50.000000,0.530000,0.00,238.37

73,18:00-18:15,25.000000,81.610000,25.000000,0.25,57.760000,50.000000,0.530000,0.00,240.15

74,18:15-18:30,25.000000,81.610000,25.000000,0.1,57.760000,50.000000,0.530000,0.00,240

75,18:30-18:45,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.530000,0.00,239.9

76,18:45-19:00,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.530000,0.00,239.9

77,19:00-19:15,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.630000,0.00,240

78,19:15-19:30,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.630000,0.00,240

79,19:30-19:45,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.630000,0.00,240

80,19:45-20:00,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.630000,0.00,240

81,20:00-20:15,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.630000,0.00,240

82,20:15-20:30,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.630000,0.00,240

83,20:30-20:45,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.630000,0.00,240

84,20:45-21:00,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.630000,0.00,240

85,21:00-21:15,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.630000,0.00,240

86,21:15-21:30,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.630000,0.00,240

87,21:30-21:45,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.630000,0.00,240

88,21:45-22:00,25.000000,81.610000,25.000000,0,57.760000,50.000000,0.630000,0.00,240

89,22:00-22:15,0.000000,0.000000,25.000000,0,57.760000,50.000000,0.530000,0.00,133.29

90,22:15-22:30,0.000000,0.000000,25.000000,0,57.760000,50.000000,0.530000,0.00,133.29

91,22:30-22:45,0.000000,0.000000,25.000000,0,57.760000,50.000000,0.530000,0.00,133.29

92,22:45-23:00,0.000000,0.000000,25.000000,0,57.760000,50.000000,0.530000,0.00,133.29

93,23:00-23:15,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.480000,100.00,175.48

94,23:15-23:30,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.480000,100.00,175.48

95,23:30-23:45,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.480000,100.00,175.48

96,23:45-24:00,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.480000,100.00,175.48

