Time,Block,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21183/A/29460,NR/28072024/28072024/IEX_240727-01742,NR/2024/21158/A/29201,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21339/A/29122,NR/2024/19779/A/29345,NR/2024/21142/A/29125,NR/2024/21108/A/29422,NR/2024/21567/A/29434,NR/2024/21227/A/29426,NR/2024/21141/A/29126,NR/2024/21150/A/29179,NR/2024/20711/A/29521,NR/2024/21173/A/29190,NR/2024/21238/A/29463,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21152/A/29097,NR/2024/21159/A/29183,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/22008/C,NR/30092023/31122025/SH-07,NR/2024/22003/C,NR/2024/21075/A/29462,NR/2024/21682/A/29499,NR/2024/21144/A/29152,NR/2024/21023/A/29154,NR/2024/20966/A/29098,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21099/A/29127,NR/2024/21113/A/29435,NR/2024/21982/C,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21076/A/29459,NR/2024/21146/A/29180,NR/2024/21153/A/29177,NR/30092023/26122029/SH-06,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/20574/A/29406,NR/2024/22006/C,NR/2024/21103/A/29427,NR/2024/21715/A/29012,NR/2024/20573/A/29407,NR/2024/21999/C,NR/2024/21156/A/29181,NR/2024/20688/A/29192,NR/2024/21210/A/29124,NR/2024/21089/A/29436,NR/2024/22005/C,NR/2024/21062/A/29402,NR/2024/21160/A/29182,NR/2024/21199/A/29153,NR/2024/21997/C,NR/2024/20931/A/29388,NR/2024/21096/A/29428,NR/2024/21148/A/29178,NR/2024/21998/C,NR/2024/21072/A/29437,NR/2024/21087/A/29191,NR/2024/21186/A/29446,Total
28,06:45-07:00,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.680000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.340000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0.44,0.000000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1550.38

29,07:00-07:15,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.770000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,0.960000,12.150000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0.57,0.000000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1549.44

30,07:15-07:30,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.770000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,0.960000,12.150000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0.59,0.000000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1549.46

31,07:30-07:45,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.770000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,0.960000,12.150000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0.6,0.000000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1549.47

32,07:45:08:00,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,0.000000,0.680000,72.340000,0.000000,0.770000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,96.460000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,0.960000,12.150000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,0.000000,0.970000,0.000000,0.88,0.000000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1549.75

33,08:00-08:15,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,12.150000,0.000000,90.670000,0.360000,1.590000,32.000000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,1.47,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1549.57

34,08:15-08:30,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,12.150000,0.000000,90.670000,0.360000,1.590000,32.000000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,2.11,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1550.21

35,08:30-08:45,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,12.150000,0.000000,90.670000,0.360000,1.590000,32.000000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,2.05,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1550.15

36,08:45:09:00,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,12.150000,0.000000,90.670000,0.360000,1.590000,32.000000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,1.95,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1550.05

37,09:00:09:15,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,11.970000,0.000000,90.670000,0.360000,1.590000,32.000000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,2.66,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1550.58

38,09:15-09:30,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,11.970000,0.000000,90.670000,0.360000,1.590000,32.000000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,2.08,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1550

39,09:30-09:45,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,16.390000,0.000000,90.670000,0.360000,1.590000,32.000000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,1.41,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1553.75

40,09:45-10:00,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,13.950000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,16.390000,0.000000,90.670000,0.360000,1.590000,32.000000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,1.12,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1553.46

41,10:00-10:15,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,16.390000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,1.29,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1553.62

42,10:15-10:30,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,16.390000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,1.42,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1553.75

43,10:30-10:45,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,16.390000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,1.73,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1554.06

44,10:45-11:00,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,16.390000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,2.41,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1554.74

45,11:00-11:15,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,16.390000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,2.72,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1555.05

46,11:15-11:30,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,16.390000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,4.05,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1556.38

47,11:30-11:45,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,16.390000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,6.12,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1558.45

48,11:45-12:00,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,16.390000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,6.35,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1558.68

49,12:00-12:15,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,13.630000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,5.78,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1555.35

50,12:15-12:30,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,13.630000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,4.6,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1554.17

51,12:30-12:45,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,13.630000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,3,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1552.57

52,12:45-13:00,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,13.630000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,2.93,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1552.5

53,13:00-13:15,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,13.630000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,3.92,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1553.49

54,13:15-13:30,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,13.630000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,2.73,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1552.3

55,13:30-13:45,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,13.630000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,3.6,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1553.17

56,13:45-14:00,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,13.630000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,4.96,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1554.53

57,14:00-14:15,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,13.630000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,5.68,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1555.25

58,14:15-14:30,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,13.630000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,5.53,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1555.1

59,14:30-14:45,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,13.630000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,6,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1555.57

60,14:45-15:00,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.000000,13.630000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,7.58,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1557.15

61,15:00-15:15,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.960000,9.950000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,4.63,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1551.48

62,15:15-15:30,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.960000,9.950000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,3.35,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1550.2

63,15:30-15:45,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,0.960000,9.950000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,2.53,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1549.38

64,15:45-16:00,0.000000,0.000000,0.000000,8.770000,0.000000,21.220000,0.000000,0.680000,0.000000,96.460000,0.960000,48.230000,24.040000,8.770000,0.000000,0.000000,0.880000,48.230000,24.120000,2.890000,0.000000,1.930000,0.880000,0.000000,0.000000,22.970000,0.000000,11.720000,241.150000,0.480000,96.460000,4.820000,10.410000,24.120000,26.300000,2.890000,9.950000,0.000000,90.670000,0.360000,1.590000,22.970000,0.000000,0.000000,0.000000,84.090000,6.750000,0.000000,27.970000,0.610000,66.740000,48.230000,26.300000,0.000000,24.120000,0.970000,72.340000,2.3,48.230000,24.120000,0.520000,164.220000,26.300000,24.120000,48.230000,1551.08

