Time,Block,NR/2023/18096/C,NER/2023/1709/C,WR/2023/19446/A,NR/2023/17270/A,NR/2023/18062/A/1278,NR/2023/18074/A/1342,WR/2023/20256/A/1351,NR/2023/18094/C,WR/2023/20577/A/1346,NR/2023/17525/A,Total
12,02:45-03:00,0,25.000000,75.000000,0.000000,4.820000,0.340000,0.000000,2.490000,0.000000,25.490000,133.14

13,03:00-03:15,0,25.000000,75.000000,0.000000,4.820000,0.340000,0.000000,2.570000,0.000000,25.490000,133.22

14,03:15-03:30,0,25.000000,75.000000,0.000000,4.820000,0.340000,0.000000,2.570000,0.000000,25.490000,133.22

15,03:30-03:45,0,25.000000,75.000000,0.000000,4.820000,0.340000,0.000000,2.570000,0.000000,25.490000,133.22

16,03:45-04:00,0,25.000000,75.000000,0.000000,4.820000,0.340000,0.000000,2.570000,0.000000,25.490000,133.22

17,04:00-04:15,0,25.000000,75.000000,0.000000,4.820000,0.390000,0.000000,2.570000,0.000000,25.490000,133.27

18,04:15-04:30,0,25.000000,75.000000,0.000000,4.820000,0.390000,0.000000,2.570000,0.000000,25.490000,133.27

19,04:30-04:45,0,25.000000,75.000000,0.000000,4.820000,0.390000,0.000000,2.570000,0.000000,25.490000,133.27

20,04:45-05:00,0,25.000000,75.000000,0.000000,4.820000,0.390000,0.000000,2.570000,0.000000,25.490000,133.27

21,05:00-05:15,0,0.000000,75.000000,0.000000,4.820000,0.390000,0.000000,2.490000,0.000000,25.490000,108.19

22,05:15-05:30,0,0.000000,75.000000,0.000000,4.820000,0.390000,0.000000,2.490000,0.000000,25.490000,108.19

23,05:30-05:45,0,0.000000,75.000000,0.000000,4.820000,0.390000,0.000000,2.490000,0.000000,25.490000,108.19

24,05:45-06:00,0,0.000000,75.000000,0.000000,4.820000,0.390000,0.000000,2.490000,0.000000,25.490000,108.19

25,06:00-06:15,0,0.000000,75.000000,100.000000,4.820000,0.390000,0.000000,2.490000,0.000000,0.000000,182.7

26,06:15-06:30,0,0.000000,75.000000,100.000000,4.820000,0.390000,0.000000,2.490000,0.000000,0.000000,182.7

27,06:30-06:45,0,0.000000,75.000000,100.000000,4.820000,0.390000,0.000000,2.490000,0.000000,0.000000,182.7

28,06:45-07:00,0,0.000000,75.000000,100.000000,4.820000,0.390000,0.000000,2.490000,0.000000,0.000000,182.7

29,07:00-07:15,0,0.000000,75.000000,100.000000,4.820000,0.530000,0.000000,2.490000,0.000000,0.000000,182.84

30,07:15-07:30,0,0.000000,75.000000,100.000000,4.820000,0.530000,0.000000,2.490000,0.000000,0.000000,182.84

31,07:30-07:45,0,0.000000,75.000000,100.000000,4.820000,0.530000,0.000000,2.490000,0.000000,0.000000,182.84

32,07:45:08:00,0,0.000000,75.000000,100.000000,4.820000,0.530000,0.000000,2.490000,0.000000,0.000000,182.84

33,08:00-08:15,0,0.000000,75.000000,50.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,133.08

34,08:15-08:30,0,0.000000,75.000000,50.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,133.08

35,08:30-08:45,0,0.000000,75.000000,50.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,133.08

36,08:45:09:00,0,0.000000,75.000000,50.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,133.08

37,09:00:09:15,24.1,0.000000,75.000000,50.000000,4.820000,0.770000,0.000000,2.570000,0.000000,0.000000,157.26

38,09:15-09:30,24.1,0.000000,75.000000,50.000000,4.820000,0.770000,0.000000,2.570000,0.000000,0.000000,157.26

39,09:30-09:45,24.1,0.000000,75.000000,50.000000,4.820000,0.770000,0.000000,2.570000,0.000000,0.000000,157.26

40,09:45-10:00,24.1,0.000000,75.000000,50.000000,4.820000,0.770000,0.000000,2.570000,0.000000,0.000000,157.26

41,10:00-10:15,24.1,0.000000,75.000000,50.000000,4.820000,0.770000,0.000000,2.570000,0.000000,0.000000,157.26

42,10:15-10:30,24.1,0.000000,75.000000,50.000000,4.820000,0.770000,0.000000,2.570000,0.000000,0.000000,157.26

43,10:30-10:45,24.1,0.000000,75.000000,50.000000,4.820000,0.770000,0.000000,2.570000,0.000000,0.000000,157.26

44,10:45-11:00,24.1,0.000000,75.000000,50.000000,4.820000,0.770000,0.000000,2.570000,0.000000,0.000000,157.26

45,11:00-11:15,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.570000,0.000000,0.000000,207.26

46,11:15-11:30,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.570000,0.000000,0.000000,207.26

47,11:30-11:45,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.570000,0.000000,0.000000,207.26

48,11:45-12:00,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.570000,0.000000,0.000000,207.26

49,12:00-12:15,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,207.18

50,12:15-12:30,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,207.18

51,12:30-12:45,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,207.18

52,12:45-13:00,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,207.18

53,13:00-13:15,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,207.18

54,13:15-13:30,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,207.18

55,13:30-13:45,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,207.18

56,13:45-14:00,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,207.18

57,14:00-14:15,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,207.18

58,14:15-14:30,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,207.18

59,14:30-14:45,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,207.18

60,14:45-15:00,24.1,0.000000,75.000000,100.000000,4.820000,0.770000,0.000000,2.490000,0.000000,0.000000,207.18

61,15:00-15:15,24.1,0.000000,75.000000,100.000000,4.820000,0.630000,0.000000,2.490000,0.000000,0.000000,207.04

62,15:15-15:30,24.1,0.000000,75.000000,100.000000,4.820000,0.630000,0.000000,2.490000,0.000000,0.000000,207.04

63,15:30-15:45,24.1,0.000000,75.000000,100.000000,4.820000,0.630000,0.000000,2.490000,0.000000,0.000000,207.04

64,15:45-16:00,24.1,0.000000,75.000000,100.000000,4.820000,0.630000,0.000000,2.490000,0.000000,0.000000,207.04

65,16:00-16:15,0,0.000000,75.000000,100.000000,4.820000,0.480000,0.000000,2.570000,0.000000,0.000000,182.87

66,16:15-16:30,0,0.000000,75.000000,100.000000,4.820000,0.480000,0.000000,2.570000,0.000000,0.000000,182.87

67,16:30-16:45,0,0.000000,75.000000,100.000000,4.820000,0.480000,0.000000,2.570000,0.000000,0.000000,182.87

68,16:45-17:00,0,0.000000,75.000000,100.000000,4.820000,0.480000,0.000000,2.570000,0.000000,0.000000,182.87

69,17:00-17:15,0,0.000000,75.000000,100.000000,4.820000,0.480000,0.000000,2.570000,0.000000,0.000000,182.87

70,17:15-17:30,0,0.000000,75.000000,100.000000,4.820000,0.480000,0.000000,2.570000,0.000000,0.000000,182.87

71,17:30-17:45,0,0.000000,75.000000,100.000000,4.820000,0.480000,0.000000,2.570000,0.000000,0.000000,182.87

72,17:45-18:00,0,0.000000,75.000000,100.000000,4.820000,0.480000,0.000000,2.570000,0.000000,0.000000,182.87

73,18:00-18:15,0,0.000000,75.000000,100.000000,4.820000,0.530000,25.000000,2.570000,55.000000,0.000000,262.92

74,18:15-18:30,0,0.000000,75.000000,100.000000,4.820000,0.530000,25.000000,2.570000,55.000000,0.000000,262.92

75,18:30-18:45,0,0.000000,75.000000,100.000000,4.820000,0.530000,25.000000,2.570000,55.000000,0.000000,262.92

76,18:45-19:00,0,0.000000,75.000000,100.000000,4.820000,0.530000,25.000000,2.570000,55.000000,0.000000,262.92

77,19:00-19:15,0,0.000000,75.000000,100.000000,4.820000,0.530000,25.000000,2.490000,55.000000,0.000000,262.84

78,19:15-19:30,0,0.000000,75.000000,100.000000,4.820000,0.530000,25.000000,2.490000,55.000000,0.000000,262.84

79,19:30-19:45,0,0.000000,75.000000,100.000000,4.820000,0.530000,25.000000,2.490000,55.000000,0.000000,262.84

80,19:45-20:00,0,0.000000,75.000000,100.000000,4.820000,0.530000,25.000000,2.490000,55.000000,0.000000,262.84

81,20:00-20:15,0,0.000000,75.000000,0.000000,4.820000,0.530000,25.000000,2.490000,55.000000,0.000000,162.84

82,20:15-20:30,0,0.000000,75.000000,0.000000,4.820000,0.530000,25.000000,2.490000,55.000000,0.000000,162.84

83,20:30-20:45,0,0.000000,75.000000,0.000000,4.820000,0.530000,25.000000,2.490000,55.000000,0.000000,162.84

84,20:45-21:00,0,0.000000,75.000000,0.000000,4.820000,0.530000,25.000000,2.490000,55.000000,0.000000,162.84

85,21:00-21:15,0,0.000000,75.000000,0.000000,4.820000,0.530000,25.000000,2.490000,55.000000,0.000000,162.84

86,21:15-21:30,0,0.000000,75.000000,0.000000,4.820000,0.530000,25.000000,2.490000,55.000000,0.000000,162.84

87,21:30-21:45,0,0.000000,75.000000,0.000000,4.820000,0.530000,25.000000,2.490000,55.000000,0.000000,162.84

88,21:45-22:00,0,0.000000,75.000000,0.000000,4.820000,0.530000,25.000000,2.490000,55.000000,0.000000,162.84

89,22:00-22:15,0,0.000000,75.000000,0.000000,4.820000,0.480000,0.000000,2.490000,55.000000,25.490000,163.28

90,22:15-22:30,0,0.000000,75.000000,0.000000,4.820000,0.480000,0.000000,2.490000,55.000000,25.490000,163.28

91,22:30-22:45,0,0.000000,75.000000,0.000000,4.820000,0.480000,0.000000,2.490000,55.000000,25.490000,163.28

92,22:45-23:00,0,0.000000,75.000000,0.000000,4.820000,0.480000,0.000000,2.490000,55.000000,25.490000,163.28

93,23:00-23:15,0,0.000000,75.000000,0.000000,4.820000,0.430000,0.000000,2.490000,0.000000,25.490000,108.23

94,23:15-23:30,0,0.000000,75.000000,0.000000,4.820000,0.430000,0.000000,2.490000,0.000000,25.490000,108.23

95,23:30-23:45,0,0.000000,75.000000,0.000000,4.820000,0.430000,0.000000,2.490000,0.000000,25.490000,108.23

96,23:45-24:00,0,0.000000,75.000000,0.000000,4.820000,0.430000,0.000000,2.490000,0.000000,25.490000,108.23

