Time,Block,NR/2023/10487/A,NR/2023/12163/C,NR/2023/11342/A,NR/2023/12176/C,NR/2023/11963/F,NR/2023/11955/F,NR/2023/11956/F,NR/2023/12173/C,NR/2023/11862/F,NR/2023/11476/A,NR/2023/11941/F,NR/2023/10613/A,NR/2023/11960/F,NR/2023/11959/F,NR/2023/11952/F,NR/2023/12158/D,NR/2023/10236/A,NR/2023/11958/F,NR/2023/11961/F,NR/2023/11962/F,NR/2023/11957/F,NR/2023/11947/F,NR/2023/10229/A,NR/2023/10344/A,NR/2023/12174/C,NR/2023/12157/D,NR/2023/12153/D,NR/2023/12155/D,Total
60,14:45-15:00,41.560000,27.520000,115.980000,14.120000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,171.5,7.81,73.5,851.94

61,15:00-15:15,41.560000,27.520000,115.980000,14.020000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,159.6,7.76,68.4,834.79

62,15:15-15:30,41.560000,27.520000,115.980000,14.020000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,150.5,7.72,64.5,821.75

63,15:30-15:45,41.560000,27.520000,115.980000,14.020000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,143.5,6.85,61.5,810.88

64,15:45-16:00,41.560000,27.520000,115.980000,14.020000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,135.1,6.08,57.9,798.11

65,16:00-16:15,41.560000,27.520000,115.980000,13.940000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,119,6.03,51,774.98

66,16:15-16:30,41.560000,27.520000,115.980000,13.940000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,108.5,5.88,46.5,759.83

67,16:30-16:45,41.560000,27.520000,115.980000,13.940000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,93.1,5.11,39.9,737.06

68,16:45-17:00,41.560000,27.520000,115.980000,13.940000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,69.300000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,75.6,4.44,32.4,713.61

69,17:00-17:15,41.560000,27.520000,115.980000,13.940000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,81.090000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,63,3.47,27,706.43

70,17:15-17:30,41.560000,27.520000,115.980000,13.940000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,81.090000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,50.4,1.45,21.6,686.41

71,17:30-17:45,41.560000,27.520000,115.980000,13.940000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,134.150000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,38.5,0.87,16.5,721.89

72,17:45-18:00,41.560000,27.520000,115.980000,13.940000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,193.300000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,31.5,0.21,13.5,770.38

73,18:00-18:15,41.560000,27.520000,115.980000,13.840000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,36.470000,193.300000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,23.1,0,9.9,794.54

74,18:15-18:30,41.560000,27.520000,115.980000,13.840000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,36.470000,193.300000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,7,0,3,771.54

75,18:30-18:45,41.560000,27.520000,115.980000,13.840000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,36.470000,193.300000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,3.5,0,1.5,766.54

76,18:45-19:00,41.560000,27.520000,115.980000,13.840000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,36.470000,193.300000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,0,0,0,761.54

77,19:00-19:15,41.560000,27.520000,115.980000,13.840000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,36.470000,193.300000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,0,0,0,761.54

78,19:15-19:30,41.560000,27.520000,115.980000,13.840000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,36.470000,193.300000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,0,0,0,761.54

79,19:30-19:45,41.560000,27.520000,115.980000,13.840000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,36.470000,193.300000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,0,0,0,761.54

80,19:45-20:00,41.560000,27.520000,115.980000,13.840000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,36.470000,193.300000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,0,0,0,761.54

81,20:00-20:15,41.560000,27.520000,115.980000,13.740000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,0.000000,0.000000,0.640000,0.640000,36.470000,193.300000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,801.44

82,20:15-20:30,41.560000,27.520000,115.980000,13.740000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,0.000000,0.000000,0.640000,0.640000,36.470000,193.300000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,801.44

