Column1,Block,NR/2024/24095/C,NR/2024/23918/A/44032,NR/2024/24096/C,NR/30092023/26122029/SH-06,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/29/7095,GNA/NR/2024/11/01/5444,WR/2024/24788/A/44177,NR/2024/23769/A/44034,NR/2024/23809/A/44033,NR/2024/23420/A/44029,Total
7,01:30-01:45,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.48,315.95000000000005

8,01:45-02:00,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.48,315.95000000000005

9,02:00-02:15,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.48,315.95000000000005

10,02:15-02:30,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.48,315.95000000000005

11,02:30-02:45,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.48,315.95000000000005

12,02:45-03:00,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.48,315.95000000000005

13,03:00-03:15,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,315.90000000000003

14,03:15-03:30,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,315.90000000000003

15,03:30-03:45,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,315.90000000000003

16,03:45-04:00,0,0,0,0,0,0,0,142.69,2.3,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,315.90000000000003

17,04:00-04:15,0,0,0,0,0,0,0,142.69,2.2,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,315.8

18,04:15-04:30,0,0,0,0,0,0,0,142.69,2.2,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,315.8

19,04:30-04:45,0,0,0,0,0,0,0,142.69,2.2,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,315.8

20,04:45-05:00,0,0,0,0,0,0,0,142.69,2.2,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,315.8

21,05:00-05:15,0,0,0,0,0,0,0,142.69,2.2,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,315.8

22,05:15-05:30,0,0,0,0,0,0,0,142.69,2.2,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,315.8

23,05:30-05:45,0,0,0,0,0,0,0,142.69,2.2,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,315.8

24,05:45-06:00,0,0,0,0,0,0,0,142.69,2.2,25.93,17.29,47.56,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,315.8

25,06:00-06:15,0,0,0,0,0,0,0,0,2.2,25.93,17.29,0,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,125.55000000000001

26,06:15-06:30,0,0,0,0,0,0,0,0,2.2,25.93,17.29,0,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,125.55000000000001

27,06:30-06:45,0,0,0,0,0,0,0,0,2.2,25.93,17.29,0,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,125.55000000000001

28,06:45-07:00,0,0,0,0,0,0,0,0,2.2,25.93,17.29,0,8.64,25.93,8.64,0,25.93,0,5.76,4.8,0.43,125.55000000000001

29,07:00-07:15,0,0,0,0,0,0,0,0,2.2,31.69,17.29,0,8.64,31.69,8.64,0,31.69,0,5.76,4.8,0.58,142.98000000000002

30,07:15-07:30,0,0,0,0,0,0,0,0,2.2,31.69,17.29,0,8.64,31.69,8.64,0,31.69,0,5.76,4.8,0.58,142.98000000000002

31,07:30-07:45,0,0,0,0,0,0,0,0,2.2,31.69,17.29,0,8.64,31.69,8.64,0,31.69,0,5.76,4.8,0.58,142.98000000000002

32,07:45-08:00,0,0,0,0,0,0,0,0,2.2,31.69,17.29,0,8.64,31.69,8.64,0,31.69,0,5.76,4.8,0.58,142.98000000000002

33,08:00-08:15,0,0,0,0,0,0,0,0,2.2,36.5,17.29,0,8.64,36.5,8.64,0,36.5,0,5.76,4.8,0.96,157.79

34,08:15-08:30,0,0,0,0,0,0,0,0,2.2,36.5,17.29,0,8.64,36.5,8.64,0,36.5,0,5.76,4.8,0.96,157.79

35,08:30-08:45,0,0,0,0,0,0,0,0,2.2,36.5,17.29,0,8.64,36.5,8.64,0,36.5,0,5.76,4.8,0.96,157.79

36,08:45-09:00,0,0,0,0,0,0,0,0,2.2,36.5,17.29,0,8.64,36.5,8.64,0,36.5,0,5.76,4.8,0.96,157.79

37,09:00-09:15,29,3.84,23.82,0,0,0,0,0,2.2,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,191.28000000000003

38,09:15-09:30,24.97,3.84,27.85,0,0,0,0,0,2.2,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,191.28000000000003

39,09:30-09:45,22.09,3.84,30.73,0,0,0,0,0,2.2,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,191.28000000000003

40,09:45-10:00,22.09,3.84,30.73,0,0,0,0,0,2.2,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,191.28000000000003

41,10:00-10:15,22.09,4.8,30.73,0,0,0,0,0,2.2,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,192.24

42,10:15-10:30,22.09,4.8,30.73,0,0,0,0,0,2.2,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,192.24

43,10:30-10:45,22.09,4.8,30.73,0,0,0,0,0,2.2,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,192.24

44,10:45-11:00,22.09,4.8,30.73,0,0,0,0,0,2.2,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,192.24

45,11:00-11:15,22.09,6.72,30.73,0,0,0,0,0,2.2,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,194.16000000000003

46,11:15-11:30,22.09,6.72,30.73,0,0,0,0,0,2.2,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,194.16000000000003

47,11:30-11:45,22.09,6.72,30.73,0,0,0,0,0,2.2,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,194.16000000000003

48,11:45-12:00,22.09,6.72,30.73,0,0,0,0,0,2.2,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,194.16000000000003

49,12:00-12:15,35.53,6.72,17.29,0,0,0,0,0,2.11,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,194.07

50,12:15-12:30,35.53,6.72,17.29,0,0,0,0,0,2.11,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,194.07

51,12:30-12:45,35.53,6.72,17.29,0,0,0,0,0,2.11,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,194.07

52,12:45-13:00,35.53,6.72,17.29,0,0,0,0,0,2.11,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.86,194.07

53,13:00-13:15,35.53,5.76,17.29,0,0,0,0,0,2.11,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.77,193.02

54,13:15-13:30,35.53,5.76,17.29,0,0,0,0,0,2.11,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.77,193.02

55,13:30-13:45,35.53,5.76,17.29,0,0,0,0,0,2.11,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.77,193.02

56,13:45-14:00,35.53,5.76,17.29,0,0,0,0,0,2.11,28.81,17.29,0,8.64,28.81,8.64,0,28.81,0,5.76,4.8,0.77,193.02

57,14:00-14:15,22.09,4.8,30.73,0,0,0,0,0,2.11,31.69,17.29,0,8.64,31.69,8.64,0,31.69,0,5.76,4.8,0.96,200.89000000000001

58,14:15-14:30,22.09,4.8,30.73,0,0,0,0,0,2.11,31.69,17.29,0,8.64,31.69,8.64,0,31.69,0,5.76,4.8,0.96,200.89000000000001

59,14:30-14:45,22.09,4.8,30.73,0,0,0,0,0,2.11,31.69,17.29,0,8.64,31.69,8.64,0,31.69,0,5.76,4.8,0.96,200.89000000000001

60,14:45-15:00,22.09,4.8,30.73,0,0,0,0,0,2.11,31.69,17.29,0,8.64,31.69,8.64,0,31.69,0,5.76,4.8,0.96,200.89000000000001

61,15:00-15:15,22.09,4.8,30.73,0,0,0,0,0,2.2,34.57,17.29,0,8.64,34.57,8.64,0,34.57,0,5.76,4.8,0.86,209.52000000000004

62,15:15-15:30,22.09,4.8,30.73,0,0,0,0,0,2.2,34.57,17.29,0,8.64,34.57,8.64,0,34.57,0,5.76,4.8,0.86,209.52000000000004

63,15:30-15:45,25.64,4.8,27.18,0,0,0,0,0,2.2,36.5,17.29,0,8.64,36.5,8.64,0,36.5,0,5.76,4.8,0.86,215.31

64,15:45-16:00,29.68,4.8,23.15,0,0,0,0,0,2.2,36.5,17.29,0,8.64,36.5,8.64,0,36.5,0,5.76,4.8,0.86,215.32

65,16:00-16:15,22.67,2.88,19.02,0,0,0,0,0,2.2,36.5,17.29,0,8.64,36.5,8.64,0,36.5,0,5.76,4.8,0.77,202.17

66,16:15-16:30,14.79,2.88,14.89,0,0,0,0,0,2.2,36.5,17.29,0,8.64,36.5,8.64,0,36.5,0,5.76,4.8,0.77,190.16

67,16:30-16:45,8.07,2.88,11.14,0,0,0,0,0,2.2,36.5,17.29,0,8.64,36.5,8.64,96.04,36.5,0,5.76,4.8,0.77,275.73

68,16:45-17:00,1.92,2.88,8.07,0,0,0,0,0,2.2,36.5,17.29,0,8.64,36.5,8.64,96.04,36.5,0,5.76,4.8,0.77,266.51

69,17:00-17:15,0,0.96,0,0,0,0,0,0,2.3,36.5,17.29,0,8.64,36.5,8.64,96.04,36.5,0,5.76,4.8,0.58,254.51000000000002

70,17:15-17:30,0,0.96,0,0,0,0,0,0,2.3,36.5,17.29,0,8.64,36.5,8.64,96.04,36.5,0,5.76,4.8,0.58,254.51000000000002

71,17:30-17:45,0,0.96,0,0,0,0,0,0,2.3,36.5,17.29,0,8.64,36.5,8.64,96.04,36.5,0,5.76,4.8,0.58,254.51000000000002

72,17:45-18:00,0,0.96,0,0,0,0,0,0,2.3,36.5,17.29,0,8.64,36.5,8.64,96.04,36.5,0,5.76,4.8,0.58,254.51000000000002

73,18:00-18:15,0,0,0,0,50,150,0,0,2.3,36.5,17.29,0,8.64,36.5,8.64,96.04,36.5,38.42,5.76,4.8,0.62,492.01000000000005

74,18:15-18:30,0,0,0,0,50,150,0,0,2.3,36.5,17.29,0,8.64,36.5,8.64,96.04,36.5,38.42,5.76,4.8,0.62,492.01000000000005

75,18:30-18:45,0,0,0,0,50,150,0,0,2.3,36.5,17.29,0,8.64,36.5,8.64,96.04,36.5,38.42,5.76,4.8,0.62,492.01000000000005

76,18:45-19:00,0,0,0,0,50,150,0,0,2.3,36.5,17.29,0,8.64,36.5,8.64,96.04,36.5,38.42,5.76,4.8,0.62,492.01000000000005

77,19:00-19:15,0,0,0,0,50,150,0,0,2.3,36.5,17.29,0,8.64,36.5,8.64,0,36.5,38.42,5.76,4.8,0.62,395.97

78,19:15-19:30,0,0,0,0,50,150,0,0,2.3,36.5,17.29,0,8.64,36.5,8.64,0,36.5,38.42,5.76,4.8,0.62,395.97

79,19:30-19:45,0,0,0,0,50,150,0,0,2.3,36.5,17.29,0,8.64,36.5,8.64,0,36.5,38.42,5.76,4.8,0.62,395.97

80,19:45-20:00,0,0,0,0,50,150,0,0,2.3,36.5,17.29,0,8.64,36.5,8.64,0,36.5,38.42,5.76,4.8,0.62,395.97

81,20:00-20:15,0,0,0,0,50,200,0,0,2.3,36.5,17.29,0,8.64,34.57,8.64,0,36.5,38.42,5.76,4.8,0.62,444.04

82,20:15-20:30,0,0,0,0,50,200,0,0,2.3,36.5,17.29,0,8.64,34.57,8.64,0,36.5,38.42,5.76,4.8,0.62,444.04

83,20:30-20:45,0,0,0,0,50,200,0,0,2.3,36.5,17.29,0,8.64,34.57,8.64,0,36.5,38.42,5.76,4.8,0.62,444.04

84,20:45-21:00,0,0,0,0,50,200,0,0,2.3,36.5,17.29,0,8.64,34.57,8.64,0,36.5,38.42,5.76,4.8,0.62,444.04

85,21:00-21:15,0,0,0,0,50,200,0,0,2.3,36.5,17.29,0,8.64,34.57,8.64,0,36.5,38.42,5.76,4.8,0.62,444.04

86,21:15-21:30,0,0,0,0,50,200,0,0,2.3,36.5,17.29,0,8.64,34.57,8.64,0,36.5,38.42,5.76,4.8,0.62,444.04

87,21:30-21:45,0,0,0,0,50,200,0,0,2.3,36.5,17.29,0,8.64,34.57,8.64,0,36.5,38.42,5.76,4.8,0.62,444.04

88,21:45-22:00,0,0,0,0,50,200,0,0,2.3,36.5,17.29,0,8.64,34.57,8.64,0,36.5,38.42,5.76,4.8,0.62,444.04

89,22:00-22:15,0,0,0,0,50,200,0,142.69,2.2,31.69,17.29,47.56,8.64,31.69,8.64,0,31.69,38.42,5.76,4.8,0.62,621.6899999999999

90,22:15-22:30,0,0,0,0,50,200,0,142.69,2.2,31.69,17.29,47.56,8.64,31.69,8.64,0,31.69,38.42,5.76,4.8,0.62,621.6899999999999

91,22:30-22:45,0,0,0,0,50,200,0,142.69,2.2,31.69,17.29,47.56,8.64,31.69,8.64,0,31.69,38.42,5.76,4.8,0.62,621.6899999999999

92,22:45-23:00,0,0,0,0,50,200,0,142.69,2.2,31.69,17.29,47.56,8.64,31.69,8.64,0,31.69,38.42,5.76,4.8,0.62,621.6899999999999

93,23:00-23:15,0,0,0,0,50,200,0,142.69,2.2,31.69,17.29,47.56,8.64,31.69,8.64,0,31.69,38.42,5.76,4.8,0.62,621.6899999999999

94,23:15-23:30,0,0,0,0,50,200,0,142.69,2.2,31.69,17.29,47.56,8.64,31.69,8.64,0,31.69,38.42,5.76,4.8,0.62,621.6899999999999

95,23:30-23:45,0,0,0,0,50,200,0,142.69,2.2,31.69,17.29,47.56,8.64,31.69,8.64,0,31.69,38.42,5.76,4.8,0.62,621.6899999999999

96,23:45-24:00,0,0,0,0,50,200,0,142.69,2.2,31.69,17.29,47.56,8.64,31.69,8.64,0,31.69,38.42,5.76,4.8,0.62,621.6899999999999

