Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/5800,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/01/7791,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/9252,GNA/NR/2025/04/01/8456,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6160,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9395,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6957,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/8068,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/3877,GNA/NR/2025/04/01/8964,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17
9,02:00-02:15,0,76.67,0,31.67,94.99,20,31.67,0,76.67,0,0,6.62,100.64,261.4,31.29,0,26.5,273.14,0,20.53,0,7.78,13.52,5.98,26.5,17.56,14.49,0,96.6,0,13.03,8.88,0,82.11,0,164.22,8.99,10.63,0,115.51,87.13,28.98,4.14,0,0,0,0,0,22.01,0,0,0,0,0

10,02:15-02:30,0,76.67,0,32.5,97.5,20.67,32.5,0,76.67,0,0,6.62,100.64,261.4,31.29,0,26.5,273.14,0,20.53,0,7.78,13.52,5.98,26.5,17.56,14.49,0,96.6,0,13.03,8.88,0,82.11,0,164.22,8.99,10.63,0,115.51,87.13,28.98,4.14,0,0,0,0,0,20.01,0,0,0,0,0

11,02:30-02:45,0,80,0,33.33,100.01,13.33,33.33,0,80,0,0,6.62,82.11,225.97,31.29,0,26.5,273.14,0,20.53,0,7.78,13.52,5.98,26.5,17.56,14.49,0,96.6,0,13.03,8.88,0,82.11,0,164.22,8.99,10.63,0,94.69,76.59,28.98,4.14,0,0,0,0,0,29.01,0,0,0,0,0

12,02:45-03:00,0,80,0,33.33,100.01,14,33.33,0,80,0,0,6.62,53.13,225.97,31.29,0,26.5,273.14,0,20.53,0,7.78,13.52,5.98,26.5,17.56,14.49,0,96.6,0,13.03,8.88,0,82.11,0,164.22,8.99,10.63,0,70.45,76.59,28.98,4.14,0,0,0,0,0,28.81,0,0,0,0,0

13,03:00-03:15,0,73.33,0,33.33,100.01,15,33.33,0,73.33,0,0,6.62,53.13,225.97,31.29,0,26.5,273.14,0,20.53,0,7.7,13.52,5.98,26.5,17.56,14.49,0,96.6,0,12.85,8.88,0,82.11,0,164.22,8.71,10.63,0,70.45,56.63,28.98,4.14,0,0,0,0,0,28.41,0,0,0,0,0

14,03:15-03:30,0,73.33,0,33.33,100.01,15.67,33.33,0,73.33,0,0,6.62,53.13,225.97,31.29,0,26.5,273.14,0,20.53,0,7.7,13.52,5.98,26.5,17.56,14.49,0,96.6,0,12.85,8.88,0,82.11,0,164.22,8.71,10.63,0,70.45,56.63,28.98,4.14,0,0,0,0,0,27.61,0,0,0,0,0

15,03:30-03:45,0,73.33,0,33.33,100.01,27,33.33,0,73.33,0,0,6.62,53.13,170.24,31.29,0,26.5,273.14,0,20.53,0,7.7,13.52,5.98,26.5,17.56,14.49,0,96.6,0,12.85,8.88,0,82.11,0,164.22,8.71,10.63,0,70.45,56.63,28.98,4.14,0,0,0,0,0,22.41,0,0,0,0,0

16,03:45-04:00,0,73.33,0,33.33,100.01,28,33.33,0,73.33,0,0,6.62,53.13,110.12,31.29,0,26.5,273.14,0,20.53,0,7.7,13.52,3.24,26.5,17.56,14.49,0,96.6,0,12.85,8.28,0,82.11,0,164.22,8.71,10.63,0,70.45,38.64,28.98,2.17,0,0,0,0,0,21.81,0,0,0,0,0

17,04:00-04:15,0,73.33,0,33.33,100.01,29,33.33,0,73.33,0,0,6.23,53.13,110.12,28.27,0,26.5,231.84,0,20.53,0,7.54,13.52,5.76,26.5,17.56,14.49,0,96.6,0,12.66,8.28,0,82.11,0,164.22,8.43,10.63,0,70.45,38.64,28.98,3.99,0,0,0,0,0,25.61,0,0,0,0,0

18,04:15-04:30,0,73.33,0,33.33,100.01,30,33.33,0,73.33,0,0,6.23,53.13,110.12,28.27,0,26.5,193.2,0,20.53,0,7.54,13.52,5.66,26.5,17.56,14.49,0,96.6,0,12.66,8.28,0,82.11,0,164.22,8.43,10.63,0,70.45,38.64,28.98,3.99,0,0,0,0,0,25.01,0,0,0,0,0

19,04:30-04:45,0,73.33,0,33.33,100.01,31.33,33.33,0,73.33,0,0,6.23,53.13,110.12,28.27,0,26.5,150.22,0,20.53,0,7.54,13.52,5.46,26.5,17.56,14.49,0,96.6,0,12.66,8.28,0,82.11,0,164.22,8.43,10.63,0,70.45,38.64,28.98,3.92,0,0,0,0,0,25.01,0,0,0,0,0

20,04:45-05:00,0,73.33,0,33.33,100.01,32,33.33,0,73.33,0,0,6.23,53.13,110.12,27.76,0,26.5,150.22,0,20.53,0,7.54,13.52,5.46,26.5,17.56,14.49,0,96.6,0,12.66,8.28,0,82.11,0,164.22,8.43,10.63,0,70.45,38.64,28.98,3.92,0,0,0,0,0,25.01,0,0,0,0,0

21,05:00-05:15,0,78.33,0,33.33,100.01,32.67,33.33,0,78.33,0,0,6.23,53.13,110.12,23.21,0,26.5,150.22,0,20.53,0,7.54,13.52,4.69,26.5,17.56,14.49,0,96.6,0,12.38,8.07,0,82.11,0,164.22,8.24,10.63,0,70.45,38.64,28.98,3.89,0,0,0,0,0,26.01,0,0,0,0,0

22,05:15-05:30,0,78.33,0,33.33,100.01,33,33.33,0,78.33,0,0,6.23,53.13,110.12,23.21,0,26.5,150.22,0,20.53,0,7.54,13.52,4.69,26.5,17.56,14.49,0,96.6,0,12.38,8.07,0,82.11,0,164.22,8.24,10.63,0,70.45,38.64,28.98,3.89,0,0,0,0,0,27.01,0,0,0,0,0

23,05:30-05:45,0,78.33,0.19,33.33,100.01,33,33.33,0,78.33,0,0,6.23,53.13,110.12,23.72,0,26.5,150.22,0,20.53,0,7.54,13.52,4.69,3,17.56,14.49,0,96.6,0,12.38,8.07,0,82.11,0,164.22,8.24,10.63,0,70.45,38.64,28.98,3.89,0,0,0,0,0,25.01,0,0,0,0,0

24,05:45-06:00,0,78.33,1.81,33.33,100.01,32.33,33.33,0,78.33,0,0,6.23,53.13,110.12,23.21,0,26.5,150.22,0,20.53,0,7.54,13.52,4.69,3,17.56,14.49,0,96.6,0,12.38,8.07,0,82.11,0,164.22,8.24,10.63,0,70.45,38.64,28.98,3.89,0,0,0,0,0,25.61,0,0.07,0,0,0

25,06:00-06:15,0,78.33,3.78,30,90,27.4,30,10.78,78.33,0,0,6.23,53.13,110.12,22.71,0,3,150.22,0,20.53,0,7.39,13.52,4.69,3,17.56,14.49,0,96.6,0,12.11,8.22,0,82.11,0,164.22,8.06,10.63,0,70.45,38.64,28.98,3.89,1,2.18,13.02,1,0,26.41,0,0.45,0.44,1,0

26,06:15-06:30,0,78.33,7.59,30,90,26.26,30,16.71,78.33,0,0,6.23,53.13,110.12,22.2,0,3,150.22,0,20.53,0,7.39,13.52,4.69,3,17.56,14.49,0,96.6,0,12.11,8.18,0,82.11,0,164.22,8.06,10.63,0,70.45,38.64,28.98,3.89,2,3.66,19.76,2,0,27.01,1,0.83,0.73,2,1

27,06:30-06:45,3,66.67,12.17,26.67,79.99,22.43,26.67,32.44,66.67,0,0,6.23,53.13,110.12,21.19,0,3,150.22,0.73,20.53,0,7.39,13.52,4.69,3,17.56,14.49,0.55,96.6,0,12.11,8.18,0,82.11,0,164.22,8.06,10.63,0.73,70.45,38.64,28.98,3.89,3,10.43,26.66,3,0,16.41,3,4.74,2.09,3,2

28,06:45-07:00,6,66.67,17.8,26.67,79.99,21.16,26.67,32.26,66.67,0,0,6.23,53.13,110.12,21.19,0,3,150.22,1.36,20.53,0,7.39,13.52,4.69,3,17.56,14.49,1.04,96.6,0,12.11,8.18,0,82.11,0,164.22,8.06,10.63,1.36,70.45,38.64,28.98,3.89,7,17.77,32.25,6,0,17.41,6,7.76,3.56,5,3

29,07:00-07:15,10,66.67,24.27,26.67,79.99,20.43,26.67,32.11,66.67,0,0,5.84,53.13,110.12,22.2,0,3,150.22,2.16,20.53,0,7.31,13.52,4.69,3,17.56,14.49,1.67,96.6,0,11.83,8.18,0,82.11,0,164.22,7.78,10.63,2.16,70.45,38.64,28.98,3.89,15,28.18,32.11,9,0,18.01,10,11.71,5.64,9,7

30,07:15-07:30,12,66.67,31.17,26.67,79.99,19.6,26.67,33,66.67,0,0,5.84,53.13,110.12,22.2,0,3,150.22,3.09,20.53,0,7.31,13.52,4.69,3,17.56,14.49,2.4,96.6,0,11.83,8.18,0,82.11,0,164.22,7.78,10.63,3.09,70.45,38.64,28.98,3.89,19,40.45,33,13,0,19.01,15,16.82,8.09,12,9

31,07:30-07:45,18,66.67,37.82,26.1,78.3,18.72,26.1,33,66.67,0,0,5.84,53.13,110.12,25.23,0,3,150.22,4.23,20.53,0,7.31,13.52,4.69,3,17.56,14.49,3.27,96.6,0,11.83,8.18,0,82.11,0,164.22,7.78,10.63,4.23,70.45,38.64,28.98,3.93,27,54.12,33,19,0,20.61,22,22.81,10.82,15,13

32,07:45-08:00,25,66.67,44.97,24.15,72.45,17.92,24.15,32.86,66.67,0,0,5.84,53.13,110.12,25.23,0,3,150.22,5.42,20.53,0,7.31,13.52,4.69,3,17.56,14.49,4.19,96.6,0,11.83,8.18,0,82.11,0,164.22,7.78,10.63,5.42,70.45,38.64,28.98,3.93,33,70.52,32.86,25,0,22.21,28,29.46,14.1,19,17

33,08:00-08:15,31.9,58.33,52.19,20,60,18.33,20,31.9,58.33,0,0,5.84,53.13,110.12,25.23,0,3,150.22,6.47,20.53,0,7.31,13.52,4.69,3,17.56,14.49,4.99,0,0,11.65,8.2,0,82.11,0,164.22,7.78,10.63,6.47,70.45,38.64,28.98,3.93,40,89.67,31.9,28,0,30.01,36,36.56,17.93,23,20

34,08:15-08:30,33,58.33,59.37,20.83,62.51,19,20.83,33,58.33,0,0,5.84,53.13,110.12,25.23,0,3,150.22,7.66,20.53,0,7.31,13.52,4.69,3,17.56,14.49,5.91,0,0,11.65,8.2,0,82.11,0,164.22,7.78,10.63,7.66,70.45,38.64,28.98,3.93,47,107.96,33,33,0,29.61,42,43.69,21.59,26,23

35,08:30-08:45,33,58.33,66.16,21.33,64.01,20,21.33,33,58.33,0,0,6.23,53.13,110.12,25.23,0,0,150.22,8.81,20.53,0,7.31,13.52,4.69,0,17.56,14.49,6.8,0,0,11.65,8.2,0,82.11,0,164.22,0,10.63,8.81,70.45,38.64,28.98,3.93,49,125.53,33,38,0,29.21,43,50.84,25.11,27,24

36,08:45-09:00,33,58.33,72.86,22.5,67.5,20.67,22.5,33,58.33,0,0,6.23,53.13,110.12,25.23,0,0,150.22,9.85,20.53,0,7.31,13.52,4.69,0,17.56,14.49,7.61,0,0,11.65,8.2,0,82.11,0,164.22,0,10.63,9.85,70.45,38.64,28.98,3.93,55,142.46,33,43,0,29.01,49,57.98,28.49,30,28

37,09:00-09:15,33,51.67,79.34,22.5,67.5,20.67,22.5,33,51.67,0,0,6.23,53.13,110.12,25.23,0,26.61,150.22,10.22,20.53,0,7.17,13.52,4.69,26.61,17.56,14.49,7.9,0,0,12.58,8.2,0,82.11,0,164.22,7.58,10.63,10.22,70.45,38.64,28.98,3.93,62,148.17,33,52,0,24.01,55,64.72,29.64,30,31

38,09:15-09:30,33,48.33,85.32,21.67,64.99,20.35,21.67,33,48.33,0,0,6.23,53.13,110.12,25.23,0,26.61,150.22,11.19,20.53,0,7.17,13.52,4.69,26.61,17.56,14.49,8.64,0,0,12.58,8.2,0,82.11,0,164.22,7.58,10.63,11.19,70.45,38.64,28.98,3.93,67,164.42,33,58,0,24.01,60,70.82,32.89,31,33

39,09:30-09:45,33,44.67,90.96,20,60,18.92,20,33,44.67,0,0,6.08,53.13,110.12,21.7,0,26.61,150.22,12.04,20.53,0,7.17,13.52,4.69,26.61,17.56,14.49,9.31,0,0,12.58,8.2,0,82.11,0,164.22,7.58,10.63,12.04,70.45,38.64,28.98,3.93,72,179.74,33,58,0,24.21,64,76.72,35.95,26,36

40,09:45-10:00,33,41.33,96.22,19.17,57.49,17.37,19.17,33,41.33,0,0,6.08,53.13,110.12,21.7,0,26.61,150.22,12.88,20.53,0,7.17,13.52,4.69,26.61,17.56,14.49,9.95,0,0,12.58,8.2,0,82.11,0,164.22,7.58,10.63,12.88,70.45,38.64,28.98,3.93,77,194.04,33,63,0,24.41,69,82.22,38.81,27,38

41,10:00-10:15,33,53.33,100.94,20,60,20,20,33,53.33,0,0,6.08,53.13,110.12,21.7,0,26.61,150.22,13.67,20.53,0,7.01,13.52,4.69,26.61,17.56,14.49,10.56,0,0,12.38,8.2,0,82.11,0,164.22,7.5,10.63,13.67,70.45,38.64,28.98,3.93,82,207.22,33,52,0,37.02,69,87.06,41.44,27,41

42,10:15-10:30,33,52.33,91.93,19.67,58.99,19.33,19.67,33,52.33,0,0,6.08,53.13,110.12,21.7,0,26.61,150.22,14.27,20.53,0,7.01,13.52,4.69,26.61,17.56,14.49,11.02,0,0,12.38,8.2,0,82.11,0,164.22,7.5,10.63,14.27,70.45,38.64,28.98,3.93,87,227.62,33,57,0,37.02,72,91.54,45.53,28,43

43,10:30-10:45,33,59,93.1,19.17,57.49,12.33,19.17,33,59,0,0,6.08,53.13,110.12,21.7,0,26.61,150.22,14.82,20.53,0,7.01,13.52,4.69,26.61,17.56,14.49,11.45,0,0,12.38,8.2,0,82.11,0,164.22,7.5,10.63,14.82,70.45,38.64,28.98,3.93,90,211.04,33,62,0,37.02,75,89.87,42.21,34,45

44,10:45-11:00,33,57.67,93.89,18.67,55.99,10,18.67,33,57.67,0,0,6.08,53.13,110.12,21.7,0,26.61,150.22,15.35,20.53,0,7.01,13.52,4.69,26.61,17.56,14.49,11.86,0,0,12.38,8.2,0,82.11,0,164.22,7.5,10.63,15.35,70.45,38.64,28.98,3.93,92,217.5,33,65,0,37.02,78,94,43.5,35,46

45,11:00-11:15,33,52.33,94.32,18.33,55.01,8.67,18.33,33,52.33,0,0,6,53.13,110.12,22.71,0,26.61,150.22,15.74,20.53,0,7.01,13.52,4.69,26.61,17.56,14.49,12.17,0,0,12.2,8.2,0,82.11,0,164.22,6.56,10.63,15.74,70.45,38.64,28.98,3.93,92,217.5,33,78,0,37.02,81,94,43.5,38,46

46,11:15-11:30,33,47,97.17,17.5,52.5,7.33,17.5,33,47,0,0,6,53.13,110.12,22.71,0,26.61,150.22,15.99,20.53,0,7.01,13.52,4.69,26.61,17.56,14.49,12.35,0,0,12.2,8.2,0,82.11,0,164.22,6.56,10.63,15.99,70.45,38.64,28.98,3.93,92,217.5,33,82,0,37.02,82,94,43.5,40,46

47,11:30-11:45,33,59.33,110.48,16.67,49.99,6.33,16.67,33,59.33,0,0,6,53.13,110.12,22.71,0,26.61,150.22,16.28,20.53,0,7.01,13.52,4.69,26.61,17.56,14.49,12.59,0,0,12.2,8.2,0,82.11,0,164.22,6.56,10.63,16.28,70.45,38.64,28.98,3.93,92,217.5,33,86,0,38.62,82,94,43.5,42,46

48,11:45-12:00,33,54.67,97.41,14.17,42.49,5,14.17,33,54.67,0,0,6,53.13,110.12,22.71,0,26.61,150.22,16.59,20.53,0,7.01,13.52,4.69,26.61,17.56,14.49,12.82,0,0,12.2,8.2,0,82.11,0,164.22,6.56,10.63,16.59,70.45,38.64,28.98,3.93,92,217.5,33,86,0,39.02,82,94,43.5,46,46

49,12:00-12:15,33,54.33,92.19,13.2,39.6,5.67,13.2,33,54.33,0,0,6,53.13,110.12,23.21,0,26.7,150.22,16.72,20.53,0,7.01,13.52,4.69,26.7,17.56,14.49,12.92,0,0,12.02,8.2,0,82.11,0,164.22,6.56,10.63,16.72,70.45,38.64,28.98,3.93,92,217.5,33,86,0,43.35,82,94,43.5,40,46

50,12:15-12:30,33,48,96.2,12.9,38.7,5.67,12.9,33,48,0,0,6,53.13,110.12,23.72,0,26.7,173.88,16.75,20.53,0,7.01,13.52,4.69,26.7,17.56,14.49,12.94,0,0,12.02,8.2,0,82.11,0,164.22,6.56,10.63,16.75,70.45,38.64,28.98,3.93,92,217.5,33,86,0,44.19,82,94,43.5,41,46

51,12:30-12:45,33,42,99,9.33,28.01,6,9.33,33,42,0,0,6,53.13,110.12,23.72,0,26.95,183.54,15.84,20.53,0,7.01,13.52,4.69,26.95,17.56,14.49,12.24,0,0,12.02,8.2,0,82.11,0,164.22,6.56,10.63,15.84,70.45,38.64,28.98,3.93,92,217.5,33,86,0,44.01,82,94,43.5,42,46

52,12:45-13:00,33,35.33,101.48,9.33,28.01,6.67,9.33,33,35.33,0,0,6,53.13,110.12,23.72,0,26.95,183.54,15.83,20.53,0,7.01,13.52,4.69,26.95,17.56,14.49,12.23,0,0,12.02,8.2,0,82.11,0,164.22,6.56,10.63,15.83,70.45,38.64,28.98,3.93,92,217.5,33,86,0,44.01,82,94,43.5,42,46

53,13:00-13:15,33,32,103.17,9.33,28.01,7,9.33,33,32,0,0,6.23,53.13,110.12,24.22,0,26.95,150.22,15.69,20.53,0,7.17,13.52,5.46,26.95,17.56,14.49,12.13,0,0,11.83,8.2,0,82.11,0,164.22,6.09,10.63,15.69,70.45,38.64,28.98,3.93,87,217.5,33,86,0,44.09,82,100,43.5,41,43

54,13:15-13:30,33,32,128.34,9.33,28.01,9.67,9.33,33,32,0,0,6.23,53.13,110.12,24.22,0,26.95,150.22,15.49,20.53,0,7.17,13.52,5.46,26.95,17.56,14.49,11.97,0,0,11.83,8.2,0,82.11,0,164.22,6.09,10.63,15.49,70.45,38.64,28.98,3.93,87,217.5,33,86,0,44.05,82,100,43.5,41,43

55,13:30-13:45,33,43.33,128.02,9.67,28.99,10.33,9.67,33,43.33,0,0,6.23,53.13,110.12,25.23,0,26.95,164.22,15.24,20.53,0,0,13.52,5.46,26.95,17.56,14.49,11.78,0,0,11.83,8.2,0,82.11,0,164.22,6.09,10.63,15.24,70.45,38.64,28.98,3.93,83,217.5,33,86,0,43.29,82,100,43.5,39,42

56,13:45-14:00,33,43.33,125.01,9.83,29.51,10.67,9.83,33,43.33,0,0,6.23,53.13,110.12,26.24,0,26.95,193.2,14.92,20.53,0,0,13.52,5.46,26.95,17.56,14.49,11.53,0,0,11.83,8.2,0,82.11,0,164.22,6.09,10.63,14.92,70.45,38.64,28.98,3.93,83,217.5,33,86,0,43.31,82,100,43.5,39,42

57,14:00-14:15,33,43.33,121.27,14,42,11,14,33,43.33,0,0,6.39,53.13,110.12,26.24,0,26.95,212.52,14.55,20.53,0,0,13.52,4.69,26.95,17.56,14.49,11.25,0,0,11.83,8.2,0,82.11,0,164.22,6.09,10.63,14.55,70.45,38.64,28.98,3.93,83,191.4,33,86,0,43.65,82,95,38.28,39,42

58,14:15-14:30,33,43.33,116.85,14.17,42.49,11.67,14.17,33,43.33,0,0,6.39,53.13,110.12,26.24,0,26.95,251.16,13.98,20.53,0,0,13.52,4.69,26.95,17.56,14.49,10.8,0,0,11.83,8.2,0,82.11,0,164.22,6.09,10.63,13.98,70.45,38.64,28.98,3.93,83,191.4,33,86,0,44.16,81,88.33,38.28,39,42

59,14:30-14:45,33,38.33,111.4,11.5,34.5,12.33,11.5,33,38.33,0,0,4.68,53.13,110.12,26.24,0,26.95,212.52,13.43,20.53,0,0,13.52,4.69,26.95,17.56,14.49,10.37,0,0,11.83,8.2,0,82.11,0,164.22,6.09,10.63,13.43,70.45,38.64,28.98,3.93,93,191.4,33,83,0,44.12,78,83.33,38.28,37,47

60,14:45-15:00,33,40,104.81,12,36,13,12,33,40,0,0,6,53.13,110.12,27.25,0,26.95,173.88,12.86,20.53,0,0,13.52,4.69,26.95,17.56,14.49,9.94,0,0,11.83,8.2,0,82.11,0,164.22,6.09,10.63,12.86,70.45,38.64,28.98,3.93,90,181.54,33,82,0,43.3,75,80,36.31,36,45

61,15:00-15:15,33,44,96.47,13.17,39.49,11.33,13.17,33,44,0,0,6,53.13,110.12,28.26,0,26.95,150.22,12.22,20.53,0,0,13.52,4.69,26.95,17.56,14.49,9.44,0,0,12.2,8.2,0,82.11,0,164.22,6.09,10.63,12.22,70.45,38.64,28.98,3.93,77,173.47,33,79,0,43.91,69,73.33,34.7,34,38

62,15:15-15:30,33,46.67,89.08,14.5,43.5,12.33,14.5,33,46.67,0,0,6,53.13,110.12,27.25,0,26.95,150.22,11.5,20.53,0,0,13.52,4.69,26.95,17.56,14.49,8.89,0,0,12.2,8.2,0,82.11,0,164.22,6.09,10.63,11.5,70.45,38.64,28.98,3.93,72,164.09,33,77,0,43.98,64,66.87,32.82,33,36

63,15:30-15:45,33,50,80.67,15.67,46.99,13.67,15.67,33,50,0,0,6,53.13,110.12,27.25,0,26.95,150.22,10.66,20.53,0,0,13.52,4.69,26.95,17.56,14.49,8.23,0,0,12.2,8.2,0,82.11,0,164.22,6.09,10.63,10.66,70.45,38.64,28.98,3.93,67,153.56,33,67,0,43.76,60,63.22,30.71,30,33

64,15:45-16:00,33,53,71.06,15.67,46.99,15,15.67,33,53,0,0,6,53.13,110.12,27.25,0,26.95,150.22,9.93,20.53,0,0,13.52,4.69,26.95,17.56,14.49,7.68,0,0,12.2,8.2,0,82.11,0,164.22,6.09,10.63,9.93,70.45,38.64,28.98,3.93,62,142.05,33,63,0,43.53,55,59.8,28.41,29,31

