Time,Block,NR/2023/14177/D,NR/2023/13679/F,NR/2023/11507/A,NR/2023/12920/F,NR/2023/14167/D,NR/2023/11712/A,NR/2023/12924/F,NR/2023/10786/A,NR/2023/12921/F,NR/2023/11709/A,NR/2023/12916/F,NR/2023/14175/D,NR/2023/12706/A,NR/2023/14171/D,NR/2023/12915/F,NR/2023/10956/A,NR/2023/14172/D,NR/2023/12661/A,NR/2023/10435/A,NR/2023/10947/A,NR/2023/10650/A,NR/2023/12169/A,NR/2023/10488/A,NR/2023/14205/C,NR/2023/12872/F,NR/2023/10651/A,NR/2023/10432/A,NR/2023/12923/F,NR/2023/10460/A,NR/2023/13985/F,NR/2023/14183/C,NR/2023/14206/C,NR/2023/10720/A,NR/2023/10561/A,NR/2023/12814/F,NR/2023/10436/A,NR/2023/11068/A,NR/2023/12917/F,NR/2023/10705/A,NR/2023/11953/A,NR/2023/13369/F,NR/2023/10959/A,NR/2023/14201/C,NR/2023/11266/A,NR/2023/14173/D,NR/2023/12813/F,NR/2023/12919/F,NR/2023/12922/F,Total

3,00:30-00:45,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.480000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,3.870000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1828.03

4,00:45-01:00,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.480000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1824.16

5,01:00-01:15,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.530000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1824.21

6,01:15-01:30,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.530000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1824.21

7,01:30-01:45,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.530000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1824.21

8,01:45-02:00,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.530000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1824.21

9,02:00-02:15,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.480000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1824.16

10,02:15-02:30,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.480000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1824.16

11,02:30-02:45,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.480000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1824.16

12,02:45-03:00,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.480000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1824.16

13,03:00-03:15,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,48.400000,54.210000,48.400000,30.000000,0.440000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,0.000000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1759.58

14,03:15-03:30,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,48.400000,54.210000,48.400000,30.000000,0.440000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,0.000000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1759.58

15,03:30-03:45,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,48.400000,54.210000,48.400000,30.000000,0.440000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,0.000000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1759.58

16,03:45-04:00,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,48.400000,54.210000,48.400000,30.000000,0.440000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,0.000000,0.000000,21.280000,14.410000,63.620000,68.940000,62.920000,0.820000,1.020000,1759.58

17,04:00-04:15,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,48.400000,54.210000,48.400000,30.000000,0.440000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,0.000000,0.000000,21.280000,19.220000,63.620000,68.940000,62.920000,0.820000,1.020000,1764.39

18,04:15-04:30,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,48.400000,54.210000,48.400000,30.000000,0.440000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,0.000000,0.000000,21.280000,19.220000,63.620000,68.940000,62.920000,0.820000,1.020000,1764.39

19,04:30-04:45,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,48.400000,54.210000,48.400000,30.000000,0.440000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,0.000000,0.000000,21.280000,19.220000,63.620000,68.940000,62.920000,0.820000,1.020000,1764.39

20,04:45-05:00,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,98.740000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,48.400000,54.210000,48.400000,30.000000,0.440000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,0.000000,0.000000,21.280000,19.220000,63.620000,68.940000,62.920000,0.820000,1.020000,1764.39

21,05:00-05:15,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,0.000000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,48.400000,54.210000,48.400000,30.000000,0.480000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,0.000000,0.000000,21.280000,19.220000,63.620000,68.940000,62.920000,0.820000,1.020000,1665.69

22,05:15-05:30,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,0.000000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,48.400000,54.210000,48.400000,30.000000,0.480000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,0.000000,0.000000,21.280000,19.220000,63.620000,68.940000,62.920000,0.820000,1.020000,1665.69

23,05:30-05:45,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,0.000000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,48.400000,54.210000,48.400000,30.000000,0.480000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,0.000000,0.000000,21.280000,19.220000,63.620000,68.940000,62.920000,0.820000,1.020000,1665.69

24,05:45-06:00,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,0.000000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,48.400000,54.210000,48.400000,30.000000,0.480000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,0.000000,0.000000,21.280000,19.220000,63.620000,68.940000,62.920000,0.820000,1.020000,1665.69

25,06:00-06:15,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,0.000000,0.930000,0.000000,0.520000,0.6,6.780000,1.4,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.530000,63.160000,43.560000,0.610000,23.230000,24.200000,32.610000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.040000,63.620000,68.940000,62.920000,0.820000,1.020000,1330.8

26,06:15-06:30,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,0.000000,0.930000,0.000000,0.520000,2.7,6.780000,6.3,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.530000,63.160000,43.560000,0.610000,23.230000,24.200000,32.610000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.040000,63.620000,68.940000,62.920000,0.820000,1.020000,1337.8

27,06:30-06:45,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,0.000000,0.930000,0.000000,0.520000,4.5,6.780000,10.5,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.530000,63.160000,43.560000,0.610000,23.230000,24.200000,32.610000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.040000,63.620000,68.940000,62.920000,0.820000,1.020000,1343.8

28,06:45-07:00,38.720000,4.840000,255.460000,0.930000,0,64.370000,0.610000,0.000000,0.930000,0.000000,0.520000,7.5,6.780000,17.5,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.530000,63.160000,43.560000,0.610000,23.230000,24.200000,32.610000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.040000,63.620000,68.940000,62.920000,0.820000,1.020000,1353.8

29,07:00-07:15,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,0.000000,0.930000,0.000000,0.520000,10.5,6.780000,24.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.680000,63.160000,43.560000,0.610000,23.230000,24.200000,32.610000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.040000,63.620000,68.940000,62.920000,0.820000,1.020000,1334.91

30,07:15-07:30,0.000000,4.840000,255.460000,0.930000,0.19,64.370000,0.610000,0.000000,0.930000,0.000000,0.520000,12,6.780000,28,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.680000,63.160000,43.560000,0.610000,23.230000,24.200000,32.610000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.040000,63.620000,68.940000,62.920000,0.820000,1.020000,1340.1

31,07:30-07:45,0.000000,4.840000,255.460000,0.930000,0.44,64.370000,0.610000,0.000000,0.930000,0.000000,0.520000,15,6.780000,35,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.680000,63.160000,43.560000,0.610000,23.230000,24.200000,32.610000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.040000,63.620000,68.940000,62.920000,0.820000,1.020000,1350.35

32,07:45:08:00,0.000000,4.840000,255.460000,0.930000,0.8,64.370000,0.610000,0.000000,0.930000,0.000000,0.520000,18,6.780000,42,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.680000,63.160000,43.560000,0.610000,23.230000,24.200000,32.610000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.040000,63.620000,68.940000,62.920000,0.820000,1.020000,1360.71

33,08:00-08:15,0.000000,4.840000,255.460000,0.980000,1.27,64.370000,0.610000,0.000000,0.980000,0.000000,0.520000,23.4,6.780000,54.6,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,32.610000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.040000,63.620000,68.940000,62.920000,0.970000,1.020000,1379.72

34,08:15-08:30,0.000000,4.840000,255.460000,0.980000,1.73,64.370000,0.610000,0.000000,0.980000,0.000000,0.520000,30,6.780000,70,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,32.610000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.040000,63.620000,68.940000,62.920000,0.970000,1.020000,1402.18

35,08:30-08:45,0.000000,4.840000,255.460000,0.980000,2.23,64.370000,0.610000,0.000000,0.980000,0.000000,0.520000,34.8,6.780000,81.2,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,32.610000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.040000,63.620000,68.940000,62.920000,0.970000,1.020000,1418.68

36,08:45:09:00,0.000000,4.840000,255.460000,0.980000,2.56,64.370000,0.610000,0.000000,0.980000,0.000000,0.520000,40.8,6.780000,95.2,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,32.610000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.040000,63.620000,68.940000,62.920000,0.970000,1.020000,1439.01

37,09:00:09:15,0.000000,4.840000,255.460000,0.980000,3.19,64.370000,0.610000,0.000000,0.980000,0.000000,0.520000,46.5,6.780000,108.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1482.57

38,09:15-09:30,0.000000,4.840000,255.460000,0.980000,3.65,64.370000,0.610000,0.000000,0.980000,0.000000,0.520000,48,6.780000,112,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1488.03

39,09:30-09:45,0.000000,4.840000,255.460000,0.980000,4.08,64.370000,0.610000,0.000000,0.980000,0.000000,0.520000,50.4,6.780000,117.6,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1496.46

40,09:45-10:00,0.000000,4.840000,255.460000,0.980000,4.54,64.370000,0.610000,0.000000,0.980000,0.000000,0.520000,53.1,6.780000,123.9,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1505.92

41,10:00-10:15,0.000000,4.840000,255.460000,0.980000,5.01,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,54,6.780000,126,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1601.4

42,10:15-10:30,0.000000,4.840000,255.460000,0.980000,5.41,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,59.1,6.780000,137.9,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1618.8

43,10:30-10:45,0.000000,4.840000,255.460000,0.980000,5.7,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,61.5,6.780000,143.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1627.09

44,10:45-11:00,0.000000,4.840000,255.460000,0.980000,5.96,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,67.8,6.780000,158.2,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1648.35

