Column1,Block,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/6216,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/5285,GNA/SR/2025/04/01/2597,GNA/WR/2025/04/01/4420,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/63965,NR/2025/25794/A/64442,NR/2025/25924/A/64148,NR/2025/25791/A/64445,WR/2025/27361/A/64457,WR/2025/27350/A/64158,NR/2025/25986/C,NR/2025/25790/A/64480,NR/2025/25792/A/64444,NR/2025/25795/A/64441,WR/2025/27369/A/64601,Total
18,04:15-04:30,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.76,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.5799999999998

19,04:30-04:45,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.76,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.5799999999998

20,04:45-05:00,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.76,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.5799999999998

21,05:00-05:15,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.67,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.4899999999998

22,05:15-05:30,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.67,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.4899999999998

23,05:30-05:45,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.67,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.4899999999998

24,05:45-06:00,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.67,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,735.4899999999998

25,06:00-06:15,43.74,9.62,9.62,9.62,30,2.89,48.12,2.89,1.92,2.89,0,0,30,9.49,0,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,739.3199999999998

26,06:15-06:30,43.74,9.62,9.62,9.62,30,2.89,48.12,2.89,1.92,2.89,0,0,30,9.49,0.3,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,739.6199999999998

27,06:30-06:45,43.74,9.62,9.62,9.62,30,2.89,48.12,2.89,1.92,2.89,0,0,30,9.49,0.86,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,740.1799999999998

28,06:45-07:00,43.74,9.62,9.62,9.62,30,2.89,48.12,2.89,1.92,2.89,0,0,30,9.49,2.92,0,32.8,3.85,21.87,48.12,144.34,184.76,10.93,32.8,10.93,48.12,742.2399999999998

29,07:00-07:15,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.31,6.21,0,32.8,3.85,21.87,48.12,144.34,0,10.93,32.8,10.93,48.12,556.5799999999999

30,07:15-07:30,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.31,10.52,0,32.8,3.85,21.87,48.12,144.34,0,10.93,32.8,10.93,48.12,560.8899999999999

31,07:30-07:45,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.31,16.23,0,32.8,3.85,21.87,48.12,144.34,0,10.93,32.8,10.93,48.12,566.5999999999999

32,07:45-08:00,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.31,23.3,0,32.8,3.85,21.87,48.12,144.34,0,10.93,32.8,10.93,48.12,573.67

33,08:00-08:15,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.11,30.93,3.85,32.8,3.85,21.87,48.12,0,0,10.93,32.8,10.93,48.12,440.61

34,08:15-08:30,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.11,38.77,3.85,32.8,3.85,21.87,48.12,0,91.42,10.93,32.8,10.93,48.12,539.87

35,08:30-08:45,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.11,46.88,3.85,32.8,3.85,21.87,48.12,0,91.42,10.93,32.8,10.93,48.12,547.98

36,08:45-09:00,43.74,9.62,9.62,9.62,25.99,2.89,48.12,2.89,1.92,2.89,0,0,30,9.11,54.8,3.85,32.8,3.85,21.87,48.12,0,91.42,10.93,32.8,10.93,48.12,555.9

37,09:00-09:15,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,0,29.5,8.93,62.43,6.74,32.8,4.81,21.87,48.12,0,115.48,10.93,32.8,10.93,48.12,590.9399999999999

38,09:15-09:30,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,0,29.5,8.93,69.4,6.74,32.8,4.81,21.87,48.12,0,182.84,10.93,32.8,10.93,48.12,665.2699999999999

39,09:30-09:45,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,0,29.5,8.93,76.04,6.74,32.8,4.81,21.87,48.12,0,182.84,10.93,32.8,10.93,48.12,671.9099999999999

40,09:45-10:00,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,0,29.5,8.93,83.78,6.74,32.8,4.81,21.87,48.12,0,182.84,10.93,32.8,10.93,48.12,679.6499999999999

41,10:00-10:15,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,0,29.5,8.75,89.54,8.66,32.8,4.81,21.87,48.12,0,182.84,10.93,32.8,10.93,48.12,687.1499999999999

42,10:15-10:30,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,0,29.5,8.75,94.22,8.66,32.8,4.81,21.87,48.12,0,211.71,10.93,32.8,10.93,48.12,720.6999999999998

43,10:30-10:45,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,0,29.5,8.75,98.27,8.66,32.8,4.81,21.87,48.12,0,211.71,10.93,32.8,10.93,48.12,724.7499999999999

44,10:45-11:00,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,0,29.5,8.75,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,745.7199999999999

45,11:00-11:15,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,0,29.5,8.56,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,745.5299999999999

46,11:15-11:30,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,0,29.5,8.56,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,745.5299999999999

47,11:30-11:45,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,0,29.5,8.56,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,745.5299999999999

48,11:45-12:00,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,0,29.5,8.56,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,745.5299999999999

49,12:00-12:15,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.38,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,745.0399999999998

50,12:15-12:30,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.38,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,745.0399999999998

51,12:30-12:45,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.38,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,745.0399999999998

52,12:45-13:00,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.38,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,745.0399999999998

53,13:00-13:15,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.2,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,744.8599999999998

54,13:15-13:30,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.2,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,744.8599999999998

55,13:30-13:45,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.2,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,744.8599999999998

56,13:45-14:00,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.2,100,8.66,32.8,4.81,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,744.8599999999998

57,14:00-14:15,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.02,100,7.7,32.8,5.77,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,744.6799999999997

58,14:15-14:30,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.02,100,7.7,32.8,5.77,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,744.6799999999997

59,14:30-14:45,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.02,100,7.7,32.8,5.77,21.87,48.12,0,230.95,10.93,32.8,10.93,48.12,744.6799999999997

60,14:45-15:00,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.02,99.46,7.7,32.8,5.77,21.87,48.12,0,211.71,10.93,32.8,10.93,48.12,724.8999999999999

61,15:00-15:15,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.02,91.56,6.74,32.8,5.77,21.87,48.12,0,211.71,10.93,32.8,10.93,48.12,716.0399999999998

62,15:15-15:30,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.02,85.83,6.74,32.8,5.77,21.87,48.12,0,211.71,10.93,32.8,10.93,48.12,710.3099999999998

63,15:30-15:45,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.02,80.5,6.74,32.8,5.77,21.87,48.12,0,163.59,10.93,32.8,10.93,48.12,656.8599999999998

64,15:45-16:00,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,0,29,8.02,74.84,6.74,32.8,5.77,21.87,48.12,0,163.59,10.93,32.8,10.93,48.12,651.1999999999998

65,16:00-16:15,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,50,29,8.2,69.06,3.85,32.8,6.74,21.87,48.12,0,163.59,10.93,32.8,10.93,48.12,693.6799999999998

66,16:15-16:30,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,50,29,8.2,62.12,3.85,32.8,6.74,21.87,48.12,0,163.59,10.93,32.8,10.93,48.12,686.7399999999999

67,16:30-16:45,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,50,29,8.2,55.29,3.85,32.8,6.74,21.87,48.12,0,163.59,10.93,32.8,10.93,48.12,679.9099999999999

68,16:45-17:00,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,50,29,8.2,47.82,3.85,32.8,6.74,21.87,48.12,0,57.74,10.93,32.8,10.93,48.12,566.59

69,17:00-17:15,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,50,29,8.29,40.02,0,32.8,6.74,21.87,48.12,0,57.74,10.93,32.8,10.93,48.12,555.03

70,17:15-17:30,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,50,29,8.29,32.4,0,32.8,6.74,21.87,48.12,0,57.74,10.93,32.8,10.93,48.12,547.41

71,17:30-17:45,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,50,29,8.29,25.26,0,32.8,6.74,21.87,48.12,0,57.74,10.93,32.8,10.93,48.12,540.27

72,17:45-18:00,43.74,9.62,9.62,9.62,26.36,2.89,48.12,2.89,1.92,2.89,0,50,29,8.29,18.33,0,32.8,6.74,21.87,48.12,0,0,10.93,32.8,10.93,48.12,475.6

73,18:00-18:15,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,50,29.5,8.38,12.4,0,32.8,6.74,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,751.0699999999998

74,18:15-18:30,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,50,29.5,8.38,6.72,0,32.8,6.74,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,745.3899999999998

75,18:30-18:45,43.74,9.62,9.62,9.62,26.17,2.89,48.12,2.89,1.92,2.89,0,50,29.5,8.38,2.8,0,32.8,6.74,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,741.4699999999999

76,18:45-19:00,43.74,9.62,9.62,9.62,24.57,2.89,48.12,2.89,1.92,2.89,0,50,29.5,8.38,0.6,0,32.8,6.74,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,737.6699999999997

77,19:00-19:15,43.74,9.62,9.62,9.62,20.17,2.89,48.12,2.89,1.92,2.89,0,50,29.5,10.04,0,0,32.8,6.74,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,734.3299999999998

78,19:15-19:30,43.74,9.62,9.62,9.62,20.17,2.89,48.12,2.89,1.92,2.89,0,50,29.5,10.04,0,0,32.8,6.74,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,734.3299999999998

79,19:30-19:45,43.74,9.62,9.62,9.62,20.17,2.89,48.12,2.89,1.92,2.89,0,50,29.5,10.04,0,0,32.8,6.74,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,734.3299999999998

80,19:45-20:00,43.74,9.62,9.62,9.62,20.17,2.89,48.12,2.89,1.92,2.89,0,50,29.5,10.04,0,0,32.8,6.74,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,734.3299999999998

81,20:00-20:15,43.74,9.62,9.62,9.62,6.01,2.89,48.12,2.89,1.92,2.89,0,50,29.5,10.5,0,0,32.8,5.77,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,719.6599999999997

82,20:15-20:30,43.74,9.62,9.62,9.62,13.84,2.89,48.12,2.89,1.92,2.89,0,50,29.5,10.5,0,0,32.8,5.77,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,727.4899999999998

83,20:30-20:45,43.74,9.62,9.62,9.62,13.84,2.89,48.12,2.89,1.92,2.89,0,50,29.5,10.5,0,0,32.8,5.77,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,727.4899999999998

84,20:45-21:00,43.74,9.62,9.62,9.62,13.84,2.89,48.12,2.89,1.92,2.89,0,50,29.5,10.5,0,0,32.8,5.77,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,727.4899999999998

85,21:00-21:15,43.74,9.62,9.62,9.62,13.84,2.89,48.12,2.89,1.92,2.89,0,50,29.5,10.5,0,0,32.8,5.77,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,727.4899999999998

86,21:15-21:30,43.74,9.62,9.62,9.62,13.84,2.89,48.12,2.89,1.92,2.89,0,50,29.5,10.5,0,0,32.8,5.77,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,727.4899999999998

87,21:30-21:45,43.74,9.62,9.62,9.62,6.01,2.89,48.12,2.89,1.92,2.89,0,50,29.5,10.5,0,0,32.8,5.77,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,719.6599999999997

88,21:45-22:00,43.74,9.62,9.62,9.62,6.01,2.89,48.12,2.89,1.92,2.89,0,50,29.5,10.5,0,0,32.8,5.77,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,719.6599999999997

89,22:00-22:15,43.74,9.62,9.62,9.62,21.67,2.89,48.12,2.89,1.92,2.89,0,50,21.67,10.5,0,0,32.8,4.81,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,726.5299999999999

90,22:15-22:30,43.74,9.62,9.62,9.62,21.67,2.89,48.12,2.89,1.92,2.89,0,50,21.67,10.5,0,0,32.8,4.81,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,726.5299999999999

91,22:30-22:45,43.74,9.62,9.62,9.62,17.75,2.89,48.12,2.89,1.92,2.89,0,50,17.75,10.5,0,0,32.8,4.81,21.87,48.12,48.12,232.88,10.93,32.8,10.93,48.12,718.6899999999998

92,22:45-23:00,43.74,9.62,9.62,9.62,17.75,2.89,48.12,2.89,1.92,2.89,0,50,17.75,10.5,0,0,32.8,4.81,21.87,48.12,48.12,223.25,10.93,32.8,10.93,48.12,709.0599999999998

93,23:00-23:15,43.74,9.62,9.62,9.62,21.67,2.89,48.12,2.89,1.92,2.89,0,50,21.67,10.5,0,0,32.8,3.85,21.87,48.12,48.12,223.25,10.93,32.8,10.93,48.12,715.9399999999999

94,23:15-23:30,43.74,9.62,9.62,9.62,21.67,2.89,48.12,2.89,1.92,2.89,0,50,21.67,10.5,0,0,32.8,3.85,21.87,48.12,48.12,223.25,10.93,32.8,10.93,48.12,715.9399999999999

95,23:30-23:45,43.74,9.62,9.62,9.62,21.67,2.89,48.12,2.89,1.92,2.89,0,50,21.67,10.5,0,0,32.8,3.85,21.87,48.12,48.12,223.25,10.93,32.8,10.93,48.12,715.9399999999999

96,23:45-24:00,43.74,9.62,9.62,9.62,21.67,2.89,48.12,2.89,1.92,2.89,0,50,21.67,10.5,0,0,32.8,3.85,21.87,48.12,48.12,223.25,10.93,32.8,10.93,48.12,715.9399999999999

