Block,Time Block,KISHANGANGA,KKNP,KGSU1AND2,KGSU3AND4,KHSTPP-II,JHAJJAR,KHSTPP-I,KOTESHWR,KKNPPU2,KOLDAM,KUDGI,MAPS,PARBATI3,RAPPB,NLCEXP,NLCIIST1,NJPC,NLCIIST2,RAMPUR,NLCTS2EXP,NNTPP,NAPP,NTPL,DHAULIGNGA,FSTPP I & II,DULHASTI,BSIUL,CHAMERA3,CHAMERA2,BRBCL,DADRT2,CHAMERA1,ANTA_CRF,AURY_CRF,ANTA_LF,ANTA_RF,ANTA_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,SALAL,SEWA2,SINGRAULI,RIHAND3,TALST2,TALA,RIHAND2,RIHAND1,SASAN,RAPPC,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,UNCHAHAR1,VALLURNTECL,TANDA2,UNCHAHAR4,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,0,0,0,0,95.55,148.09,43.41,9.34,0,3.88,0,0,0,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,0,10.33,10.81,13.09,312.83,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,97.1,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,15.37,0,2.71,1.57,34.27,0,10.59,0,35.86,10.67,34.25,0,0,0,0,0

7,01:30-01:45,0,0,0,0,95.55,148.09,43.41,9.34,0,3.88,0,0,0,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,0,10.33,10.81,13.45,291.34,0,0,0,0,0,0,0,0,0,0,0,0,0,76.71,0,102.53,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,15.37,0,2.71,1.57,11.42,0,10.59,0,35.86,12.8,34.25,0,0,0,0,0

8,01:45-02:00,0,0,0,0,95.55,148.09,43.41,9.34,0,3.88,0,0,0,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,0,10.33,10.81,12.43,291.34,0,0,0,0,0,0,0,0,0,0,0,0,0,76.71,0,103.13,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,15.37,0,2.71,1.57,10,0,10.59,0,35.86,12.8,34.25,0,0,0,0,0

9,02:00-02:15,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,0,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,10.81,12.49,291.34,0,0,0,0,0,0,0,0,0,0,0,0,0,76.71,0,103.13,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,15.37,0,2.71,1.57,10,0,10.59,0,35.86,12.8,34.25,0,0,0,0,0

10,02:15-02:30,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,0,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,10.81,13.6,291.34,0,0,0,0,0,0,0,0,0,0,0,0,0,76.71,0,103.13,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,15.37,0,2.71,1.57,10,0,10.59,0,31.06,12.8,34.25,0,0,0,0,0

11,02:30-02:45,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,0,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,10.81,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,10.59,0,30.88,10.67,17.12,0,0,0,0,0

12,02:45-03:00,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,0,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,10.81,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,10.59,0,30.88,10.67,17.12,0,0,0,0,0

13,03:00-03:15,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,0,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,16,17.12,0,0,0,0,0

14,03:15-03:30,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,0,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,16,17.12,0,0,0,0,0

15,03:30-03:45,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,0,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,17.33,52.7,6.3,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,11.74,17.12,0,0,0,0,0

16,03:45-04:00,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,0,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,17.33,52.7,6.3,10.33,12.25,14.5,289.96,11.45,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.97,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,11.74,17.12,0,0,0,0,0

17,04:00-04:15,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,2.72,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,17.33,52.7,6.3,10.33,12.25,14.5,289.96,11.45,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.83,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,11.74,17.12,0,0,0,0,0

18,04:15-04:30,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,14.94,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,17.33,52.7,6.3,10.33,12.25,14.5,289.96,11.45,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.83,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,11.74,17.12,0,0,0,0,0

19,04:30-04:45,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,3.81,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,17.33,52.7,6.3,10.33,12.25,14.5,289.96,13.58,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.83,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,11.74,17.12,0,0,0,0,0

20,04:45-05:00,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,3.81,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,17.33,52.7,6.3,10.33,12.25,14.5,289.96,13.58,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.68,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,11.74,16.85,0,0,0,0,0

21,05:00-05:15,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,3.81,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,17.33,52.7,6.3,10.33,12.25,14.5,289.96,13.58,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.68,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,11.74,32.87,0,0,0,0,0

22,05:15-05:30,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,5.43,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,17.33,52.7,6.3,10.33,12.25,14.5,289.96,13.58,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.41,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,11.74,32.87,0,0,0,0,0

23,05:30-05:45,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,8.15,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,17.33,52.7,6.3,10.33,12.25,14.5,289.96,13.58,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.26,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,11.74,32.87,0,0,0,0,0

24,05:45-06:00,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,52.29,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,19.6,52.7,6.3,10.33,12.25,14.5,289.96,13.58,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.11,117.62,45.74,391.39,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,11.74,32.87,0,0,0,0,0

25,06:00-06:15,0,0,0,0,95.55,148.09,43.41,9.34,0,3.88,0,0,52.29,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,12.25,14.5,312.97,13.58,0,0,0,0,0,0,0,0,0,0,0,0,44.92,0,103.13,123.31,0,9.11,117.62,45.74,391.39,58.21,0,0,0,0,0,17.51,0,2.71,1.57,10.42,0,9.16,0,35.86,11.74,32.87,0,0,0,0,0

26,06:15-06:30,0,0,0,0,95.55,148.09,43.41,9.34,0,3.88,0,0,52.29,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,12.25,14.5,329.47,12.98,0,0,0,0,0,0,0,0,0,0,0,0,76.71,0,103.13,123.31,0,8.84,117.62,45.74,391.39,58.21,0,0,0,0,0,17.51,0,2.71,1.57,10.42,0,9.16,0,41.6,11.74,32.87,0,0,0,0,0

27,06:30-06:45,0,0,0,0,95.55,148.09,43.41,9.34,0,3.88,0,0,52.29,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,12.25,14.5,329.47,0,0,0,0,0,0,0,0,0,0,0,0,0,76.71,0,103.13,123.31,0,8.7,117.62,45.74,391.39,58.21,0,0,0,0,0,17.51,0,2.71,1.57,10.42,0,9.16,0,41.6,16,32.87,0,0,0,0,0

28,06:45-07:00,0,0,0,0,95.55,148.09,43.41,9.34,0,3.88,0,0,52.29,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,12.25,14.5,329.47,0,0,0,0,0,0,0,0,0,0,0,0,0,76.71,0,103.13,123.31,0,8.7,117.62,45.74,391.39,58.21,0,0,0,0,0,17.51,0,2.71,1.57,10.42,0,9.16,0,41.6,16,16.43,0,0,0,0,0

29,07:00-07:15,0,0,0,0,95.55,148.09,43.41,9.34,0,3.88,0,0,52.29,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,12.25,14.5,329.47,0,0,0,0,0,0,0,0,0,0,0,0,0,76.71,0,103.13,123.31,0,8.7,117.62,45.74,391.39,58.21,0,0,0,0,0,17.51,0,2.71,1.57,10.42,0,9.16,0,41.6,49.08,0,0,0,0,0,0

30,07:15-07:30,0,0,0,0,95.55,148.09,43.41,9.34,0,3.88,0,0,6.79,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,12.25,14.5,329.47,0,0,0,0,0,0,0,0,0,0,0,0,0,44.92,0,103.13,123.31,0,8.7,117.62,45.74,391.39,58.21,0,0,0,0,0,17.51,0,2.71,1.57,10.42,0,9.16,0,41.6,49.08,0,0,0,0,0,0

31,07:30-07:45,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,3.81,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,20.1,52.7,6.3,10.33,12.25,14.5,294.2,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,7.98,117.62,45.74,396.66,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10.42,0,9.16,0,30.88,16,0,0,0,0,0,0

32,07:45-08:00,0,0,0,0,95.55,119.52,43.41,9.34,0,3.88,0,0,3.81,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,16.77,52.7,6.3,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,7.98,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10.42,0,9.16,0,30.88,10.67,0,0,0,0,0,0

33,08:00-08:15,0,0,0,0,95.55,119.52,43.41,9.34,0,0.96,0,0,3.81,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,15.03,52.7,6.3,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,7.98,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10.42,0,9.16,0,30.88,10.67,0,0,0,0,0,0

34,08:15-08:30,0,0,0,0,95.55,119.52,43.41,9.34,0,0.96,0,0,3.81,0,0,0,89.99,0,1.93,0,0,44.51,0,29.21,15.03,52.7,6.3,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,7.98,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10.42,0,9.16,0,30.88,10.67,0,0,0,0,0,0

35,08:30-08:45,0,0,0,0,95.55,119.52,43.41,9.34,0,0,0,0,14.94,0,0,0,89.99,0,1.93,0,0,44.51,0,19.38,15.03,52.7,6.3,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,8.54,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10.42,0,9.16,0,30.88,10.67,0,0,0,0,0,0

36,08:45-09:00,0,0,0,0,95.55,119.52,43.41,9.34,0,0,0,0,14.94,0,0,0,89.99,0,1.93,0,0,44.51,0,19.38,15.03,52.7,6.3,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,8.54,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10.42,0,9.16,0,30.88,10.67,0,0,0,0,0,0

37,09:00-09:15,0,0,0,0,95.55,119.52,43.41,9.34,0,0,0,0,14.94,0,0,0,89.99,0,1.93,0,0,44.51,0,19.38,15.03,52.7,6.3,20.65,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,8.54,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10.42,0,9.16,0,30.88,19.2,0,0,0,0,0,0

38,09:15-09:30,0,0,0,0,95.55,119.52,43.41,9.34,0,0,0,0,14.94,0,0,0,89.99,0,1.93,0,0,44.51,0,19.38,15.03,52.7,6.3,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,8.66,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10.42,0,9.16,0,30.88,19.2,0,0,0,0,0,0

39,09:30-09:45,0,0,0,0,95.55,119.52,43.41,9.34,0,0,0,0,14.94,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,15.03,52.7,6.3,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,8.96,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,34.27,0,9.16,0,30.88,49.08,0,0,0,0,0,0

40,09:45-10:00,0,0,0,0,95.55,119.52,43.41,9.34,0,0,0,0,14.94,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,15.03,52.7,6.3,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,8.96,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,34.27,0,9.16,0,30.88,49.08,0,0,0,0,0,0

41,10:00-10:15,0,0,0,0,95.55,119.52,43.41,9.34,0,0,0,0,14.94,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,15.03,52.7,6.3,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,8.96,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,34.27,0,9.16,0,30.88,16,0,0,0,0,0,0

42,10:15-10:30,0,0,0,0,95.55,119.52,43.41,9.34,0,0,0,0,3.81,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,15.03,52.7,6.3,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,8.96,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,34.27,0,9.16,0,30.88,10.67,0,0,0,0,0,0

43,10:30-10:45,0,0,0,0,95.55,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,15.03,52.7,6.3,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,8.96,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,34.27,0,9.16,0,30.88,10.67,0,0,0,0,0,0

44,10:45-11:00,0,0,0,0,95.55,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,15.03,52.7,6.3,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,8.96,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,34.27,0,9.16,0,30.88,10.67,0,0,0,0,0,0

45,11:00-11:15,0,0,0,0,95.55,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,16.78,52.7,6.3,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,8.96,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,10.67,0,0,0,0,0,0

46,11:15-11:30,0,0,0,0,95.55,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,17.8,52.7,6.3,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,8.96,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,10.67,0,0,0,0,0,0

47,11:30-11:45,0,0,0,0,87.19,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,17.8,52.7,6.3,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,8.96,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,10.67,0,0,0,0,0,0

48,11:45-12:00,0,0,0,0,87.19,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,17.8,52.7,0,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,8.96,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,10.67,0,0,0,0,0,0

49,12:00-12:15,0,0,0,0,87.19,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,17.8,52.7,0,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.23,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,30.88,10.67,0,0,0,0,0,0

50,12:15-12:30,0,0,0,0,87.19,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,17.8,52.7,0,20.65,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.23,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,36.63,10.67,0,0,0,0,0,0

51,12:30-12:45,0,0,0,0,87.19,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,17.8,52.7,0,10.33,25.95,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.23,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,36.63,10.67,0,0,0,0,0,0

52,12:45-13:00,0,0,0,0,87.19,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,20.1,52.7,0,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,103.13,123.31,0,9.23,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,36.63,10.67,0,0,0,0,0,0

53,13:00-13:15,0,0,0,0,87.19,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,20.1,52.7,0,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,9.52,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,36.63,14.93,0,0,0,0,0,0

54,13:15-13:30,0,0,0,0,87.19,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,20.1,52.7,0,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,9.37,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,36.63,14.93,0,0,0,0,0,0

55,13:30-13:45,0,0,0,0,90.22,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,20.1,52.7,0,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,9.37,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,36.63,14.93,0,0,0,0,0,0

56,13:45-14:00,0,0,0,0,90.22,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,20.1,52.7,0,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,9.37,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,36.63,14.93,0,0,0,0,0,0

57,14:00-14:15,0,0,0,0,90.22,119.52,43.41,9.34,0,0,0,0,0,0,0,0,98.8,0,2.12,0,0,44.51,0,19.38,20.1,52.7,0,10.33,12.25,14.5,289.96,0,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,103.13,123.31,0,9.23,117.62,45.74,396.82,58.21,0,0,0,0,0,15.27,0,2.71,1.57,10,0,9.16,0,36.63,17.08,0,0,0,0,0,0

