Column1,Block,WR/2024/25501/A/48705,NR/2024/24507/A/48733,NER/2024/2820/A/48699,NR/2025/24762/C,NR/2025/24763/C,NR/2025/24774/C,NR/2024/24418/A/48470,NR/2024/24508/A/48732,NR/2024/24614/A/48731,NR/2024/24435/A/48468,NR/2024/24434/A/48469,NR/2025/24775/C,NR/2024/24566/A/48460,NR/2025/24773/C,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/6528,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/6775,NR/2025/24761/C,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/8058,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3925,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
3,00:30-00:45,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,28.68,28.68,0,28.68,47.8,28.68,0,20.07,26.77,0,47.8,1.46,375.71999999999997

4,00:45-01:00,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,28.68,28.68,0,28.68,47.8,28.68,0,20.07,26.77,0,47.8,1.46,375.71999999999997

5,01:00-01:15,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,25.81,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,367.10999999999996

6,01:15-01:30,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,25.81,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,367.10999999999996

7,01:30-01:45,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,25.81,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,367.10999999999996

8,01:45-02:00,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,25.81,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,367.10999999999996

9,02:00-02:15,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,25.81,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,367.10999999999996

10,02:15-02:30,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,25.81,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,367.10999999999996

11,02:30-02:45,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,25.81,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,367.10999999999996

12,02:45-03:00,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,25.81,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,367.10999999999996

13,03:00-03:15,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.55,363.38

14,03:15-03:30,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.55,363.38

15,03:30-03:45,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.55,363.38

16,03:45-04:00,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.55,363.38

17,04:00-04:15,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,363.28999999999996

18,04:15-04:30,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,363.28999999999996

19,04:30-04:45,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,363.28999999999996

20,04:45-05:00,0,17.21,0,0,0,0,0.38,8.69,0,9.56,0,0,5.74,0,0,8.6,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,363.28999999999996

21,05:00-05:15,0,17.21,38.24,0,0,0,0.43,8.69,0,16.25,0,0,5.74,0,0,8.6,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,408.27

22,05:15-05:30,0,17.21,38.24,0,0,0,0.43,8.69,0,16.25,0,0,5.74,0,0,8.6,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,408.27

23,05:30-05:45,0,17.21,38.24,0,0,0,0.43,8.69,0,16.25,0,0,5.74,0,0,8.6,0,0,19.12,47.8,21.99,28.68,0,28.68,47.8,28.68,0,20.07,26.77,0,47.8,1.46,414.01

24,05:45-06:00,0,17.21,38.24,0,0,0,0.43,8.69,0,16.25,0,0,5.74,0,0,8.6,0,0,19.12,47.8,21.99,28.68,0,28.68,47.8,28.68,0,20.07,26.77,0,47.8,1.46,414.01

25,06:00-06:15,0,17.21,38.24,0,0,0,0.38,8.69,0,16.25,0,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,31.54,0,28.68,47.8,31.54,0,20.07,26.77,0,47.8,1.46,425.42

26,06:15-06:30,0,17.21,38.24,0,0,0,0.38,8.69,0,16.25,0,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,31.54,0,28.68,47.8,31.54,0,20.07,26.77,0,47.8,1.46,425.42

27,06:30-06:45,0,17.21,38.24,0,0,0,0.38,8.69,0,16.25,0,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,434.97999999999996

28,06:45-07:00,0,17.21,38.24,0,0,0,0.38,8.69,0,16.25,0,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,32,47.8,1.46,466.97999999999996

29,07:00-07:15,0,28.68,38.24,0,0,0,0.86,14.34,0,16.25,0,0,5.74,0,0,14.34,0,50,19.12,47.8,21.99,34.41,0,28.68,47.8,34.41,0,20.07,26.77,32,47.8,1.55,530.8499999999999

30,07:15-07:30,0,28.68,38.24,0,0,0,0.86,14.34,0,16.25,0,0,5.74,0,0,14.34,0,50,19.12,47.8,21.99,34.41,0,28.68,47.8,34.41,0,20.07,26.77,32,47.8,1.55,530.8499999999999

31,07:30-07:45,0,28.68,38.24,0,0,0,0.86,14.34,0,16.25,0,0,5.74,0,0,14.34,0,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,32,47.8,1.55,534.67

32,07:45-08:00,0,28.68,38.24,0,0,0,0.86,14.34,0,16.25,0,0,5.74,0,0,14.34,0,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.55,502.67

33,08:00-08:15,0,28.68,38.24,0,0,0,0.86,14.34,0,16.25,0,0,5.74,0,0,14.34,0,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,502.58

34,08:15-08:30,0,28.68,38.24,0,0,0,0.86,14.34,0,16.25,0,0,5.74,0,0,14.34,0,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,502.58

35,08:30-08:45,0,28.68,38.24,0,0,0,0.86,14.34,0,16.25,0,0,5.74,0,0,14.34,0,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,502.58

36,08:45-09:00,0,28.68,38.24,0,0,0,0.86,14.34,0,16.25,0,0,5.74,0,0,14.34,0,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,502.58

37,09:00-09:15,0,0,0,28.68,14.34,0,0.86,0,0,16.25,3.82,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,418.15999999999997

38,09:15-09:30,0,0,0,28.68,14.34,0,0.86,0,0,16.25,3.82,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,418.15999999999997

39,09:30-09:45,0,0,0,28.68,14.34,0,0.86,0,0,16.25,3.82,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,418.15999999999997

40,09:45-10:00,0,0,0,28.68,14.34,0,0.86,0,0,16.25,3.82,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,36.32,14.34,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,432.49999999999994

41,10:00-10:15,0,28.68,0,0,0,0,0.86,7.83,6.51,16.25,4.78,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,36.32,33.46,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,452.58

42,10:15-10:30,0,28.68,0,0,0,4.78,0.86,7.83,6.51,16.25,4.78,38.24,5.74,3.44,0,14.34,0,0,19.12,47.8,21.99,34.41,52.57,28.68,47.8,34.41,0,20.07,26.77,0,47.8,1.46,514.33

43,10:30-10:45,0,28.68,0,0,0,4.78,0.86,7.83,6.51,16.25,4.78,38.24,5.74,3.73,0,14.34,0,0,19.12,47.8,21.99,34.41,71.69,28.68,47.8,34.41,0,20.07,26.77,0,47.8,1.46,533.74

44,10:45-11:00,0,28.68,0,0,0,4.78,0.86,7.83,6.51,16.25,4.78,38.24,5.74,4.11,0,14.34,0,0,19.12,47.8,21.99,34.41,0,28.68,47.8,34.41,0,20.07,26.77,0,47.8,1.46,462.43

45,11:00-11:15,0,28.68,0,0,0,4.78,0.86,14.34,0,16.25,6.69,38.24,5.74,5.07,0,14.34,0,0,19.12,47.8,21.99,34.41,0,28.68,47.8,34.41,0,20.07,26.77,0,47.8,1.55,465.39000000000004

46,11:15-11:30,0,28.68,0,0,0,4.78,0.86,14.34,0,16.25,6.69,38.24,5.74,5.54,0,14.34,0,0,19.12,47.8,21.99,34.41,0,28.68,47.8,34.41,0,20.07,26.77,0,47.8,1.55,465.85999999999996

47,11:30-11:45,0,28.68,0,0,0,4.78,0.86,14.34,0,16.25,6.69,38.24,5.74,9.56,0,14.34,0,0,19.12,47.8,21.99,34.41,0,28.68,47.8,34.41,0,20.07,26.77,0,47.8,1.55,469.87999999999994

48,11:45-12:00,0,28.68,0,0,0,4.78,0.86,14.34,0,16.25,6.69,38.24,5.74,9.56,0,14.34,0,0,19.12,47.8,21.99,34.41,0,28.68,47.8,34.41,0,20.07,26.77,0,47.8,1.55,469.87999999999994

49,12:00-12:15,0,28.68,0,0,0,4.78,0.86,14.34,0,16.25,6.69,38.24,5.74,9.56,0,14.34,0,0,19.12,47.8,21.99,34.41,0,28.68,47.8,34.41,0,20.07,26.77,0,47.8,1.46,469.7899999999999

50,12:15-12:30,0,28.68,0,0,0,4.78,0.86,14.34,0,16.25,6.69,38.24,5.74,9.56,0,14.34,0,0,19.12,47.8,21.99,34.41,0,28.68,47.8,34.41,0,20.07,26.77,0,47.8,1.46,469.7899999999999

51,12:30-12:45,0,28.68,0,0,0,4.78,0.86,14.34,0,16.25,6.69,38.24,5.74,9.56,0,14.34,0,0,19.12,47.8,21.99,34.41,0,28.68,47.8,34.41,0,20.07,26.77,0,47.8,1.46,469.7899999999999

52,12:45-13:00,0,28.68,0,0,0,4.78,0.86,14.34,0,16.25,6.69,38.24,5.74,9.56,0,14.34,0,0,19.12,47.8,21.99,34.41,0,28.68,47.8,34.41,0,20.07,26.77,0,47.8,1.46,469.7899999999999

53,13:00-13:15,0,28.68,0,0,0,4.78,0.76,14.34,0,16.25,5.74,38.24,5.74,9.56,0,14.34,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,451.53999999999996

54,13:15-13:30,0,28.68,0,0,0,4.78,0.76,14.34,0,16.25,5.74,38.24,5.74,9.56,0,14.34,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,451.53999999999996

55,13:30-13:45,0,28.68,0,0,0,4.78,0.76,14.34,0,16.25,5.74,38.24,5.74,9.56,0,14.34,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,451.53999999999996

56,13:45-14:00,0,28.68,0,0,0,4.78,0.76,14.34,0,16.25,5.74,38.24,5.74,9.46,0,14.34,0,0,19.12,47.8,21.99,25.81,0,28.68,47.8,25.81,0,20.07,26.77,0,47.8,1.46,451.44

57,14:00-14:15,0,28.68,0,0,0,4.78,0.76,14.34,0,16.25,4.78,38.24,5.74,9.46,0,14.34,0,0,19.12,47.8,21.99,24.85,0,28.68,47.8,24.85,0,20.07,26.77,0,47.8,1.46,448.56

58,14:15-14:30,0,28.68,0,0,0,4.78,0.76,14.34,0,16.25,4.78,38.24,5.74,9.46,0,14.34,0,0,19.12,47.8,21.99,24.85,0,28.68,47.8,24.85,0,20.07,26.77,0,47.8,1.46,448.56

59,14:30-14:45,0,28.68,0,0,0,4.78,0.76,14.34,0,16.25,4.78,38.24,5.74,9.56,0,14.34,0,0,19.12,47.8,21.99,24.85,0,28.68,47.8,24.85,0,20.07,26.77,0,47.8,1.46,448.65999999999997

60,14:45-15:00,0,28.68,0,0,0,4.78,0.76,14.34,0,16.25,4.78,38.24,5.74,9.56,0,14.34,0,0,19.12,47.8,21.99,24.85,0,28.68,47.8,24.85,0,20.07,26.77,0,47.8,1.46,448.65999999999997

61,15:00-15:15,0,28.68,0,0,0,4.78,0.67,14.34,0,16.25,4.78,38.24,5.74,9.56,0,14.34,0,0,19.12,47.8,21.99,24.85,0,28.68,47.8,24.85,0,20.07,26.77,0,47.8,1.55,448.66

62,15:15-15:30,0,28.68,0,0,0,4.78,0.67,14.34,0,16.25,4.78,38.24,5.74,9.37,0,14.34,0,0,19.12,47.8,21.99,24.85,0,28.68,47.8,24.85,0,20.07,26.77,0,47.8,1.55,448.47

63,15:30-15:45,0,28.68,0,0,0,4.78,0.67,14.34,0,16.25,4.78,38.24,5.74,7.26,0,14.34,0,0,19.12,47.8,21.99,24.85,0,28.68,47.8,24.85,0,20.07,26.77,0,47.8,1.55,446.36

64,15:45-16:00,0,28.68,0,0,0,4.78,0.67,14.34,0,16.25,4.78,38.24,5.74,6.69,0,14.34,0,0,19.12,47.8,21.99,24.85,0,28.68,47.8,24.85,0,20.07,26.77,0,47.8,1.55,445.79

65,16:00-16:15,0,28.68,0,0,0,4.78,0.48,14.34,0,16.25,2.87,38.24,5.74,4.78,0,14.34,0,0,19.12,47.8,21.99,24.85,0,28.68,47.8,24.85,0,20.07,26.77,0,47.8,1.46,441.69

66,16:15-16:30,0,28.68,0,0,0,4.78,0.48,14.34,0,16.25,2.87,38.24,5.74,3.63,0,14.34,0,0,19.12,47.8,21.99,24.85,0,28.68,47.8,24.85,0,20.07,26.77,0,47.8,1.46,440.53999999999996

67,16:30-16:45,0,28.68,0,0,0,4.78,0.48,14.34,0,16.25,2.87,34.13,5.74,4.01,0,14.34,0,0,19.12,47.8,21.99,24.85,0,28.68,47.8,24.85,0,20.07,26.77,0,47.8,1.46,436.81

68,16:45-17:00,0,28.68,0,0,0,0,0.48,14.34,0,16.25,2.87,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,416.83

69,17:00-17:15,0,28.68,0,0,0,0,0.48,14.34,0,16.25,0.96,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,414.91999999999996

70,17:15-17:30,0,28.68,0,0,0,0,0.48,14.34,0,16.25,0.96,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,414.91999999999996

71,17:30-17:45,0,28.68,0,0,0,0,0.48,14.34,0,16.25,0.96,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,414.91999999999996

72,17:45-18:00,0,28.68,0,0,0,0,0.48,14.34,0,16.25,0.96,0,5.74,0,0,14.34,0,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,414.91999999999996

73,18:00-18:15,38.24,28.68,38.24,0,0,0,0.48,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,620.4400000000002

74,18:15-18:30,38.24,28.68,38.24,0,0,0,0.48,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,620.4400000000002

75,18:30-18:45,38.24,28.68,38.24,0,0,0,0.48,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,620.4400000000002

76,18:45-19:00,38.24,28.68,38.24,0,0,0,0.48,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,620.4400000000002

77,19:00-19:15,38.24,28.68,38.24,0,0,0,0.57,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.55,620.62

78,19:15-19:30,38.24,28.68,38.24,0,0,0,0.57,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.55,620.62

79,19:30-19:45,38.24,28.68,38.24,0,0,0,0.57,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.55,620.62

80,19:45-20:00,38.24,28.68,38.24,0,0,0,0.57,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.55,620.62

81,20:00-20:15,38.24,28.68,38.24,0,0,0,0.57,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,620.5300000000001

82,20:15-20:30,38.24,28.68,38.24,0,0,0,0.57,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,620.5300000000001

83,20:30-20:45,38.24,28.68,38.24,0,0,0,0.57,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,620.5300000000001

84,20:45-21:00,38.24,28.68,38.24,0,0,0,0.57,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,620.5300000000001

85,21:00-21:15,38.24,28.68,0,0,0,0,0.57,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,582.29

86,21:15-21:30,38.24,28.68,0,0,0,0,0.57,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,582.29

87,21:30-21:45,38.24,28.68,0,0,0,0,0.57,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,582.29

88,21:45-22:00,38.24,28.68,0,0,0,0,0.57,14.34,0,16.25,0,0,5.74,0,30,14.34,50,50,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,582.29

89,22:00-22:15,38.24,28.68,0,0,0,0,0.48,14.34,0,16.25,0,0,5.74,0,30,14.34,50,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,532.2

90,22:15-22:30,38.24,28.68,0,0,0,0,0.48,14.34,0,16.25,0,0,5.74,0,30,14.34,50,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,532.2

91,22:30-22:45,38.24,28.68,0,0,0,0,0.48,14.34,0,16.25,0,0,5.74,0,30,14.34,50,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,532.2

92,22:45-23:00,38.24,28.68,0,0,0,0,0.48,14.34,0,16.25,0,0,5.74,0,30,14.34,50,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,532.2

93,23:00-23:15,38.24,28.68,0,0,0,0,0.48,14.34,0,16.25,0,0,5.74,0,30,8.6,50,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,526.46

94,23:15-23:30,38.24,28.68,0,0,0,0,0.48,14.34,0,16.25,0,0,5.74,0,30,8.6,50,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,526.46

95,23:30-23:45,38.24,28.68,0,0,0,0,0.48,14.34,0,16.25,0,0,5.74,0,30,8.6,50,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,526.46

96,23:45-24:00,38.24,28.68,0,0,0,0,0.48,14.34,0,16.25,0,0,5.74,0,30,8.6,50,0,19.12,47.8,21.99,36.32,0,28.68,47.8,36.32,0,20.07,26.77,0,47.8,1.46,526.46

