Time,Block,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/21974/A/30080,NR/2024/21860/A/30058,NR/2024/22014/A/29930,NR/01082024/30092024/LT_MEJA_DELHI,NR/2024/21872/A/29857,NR/2024/22156/C,NR/2024/21943/A/30093,NR/2024/22195/C,NR/2024/21932/A/29832,NR/2024/21961/A/29943,NR/2024/21970/A/30078,NR/2024/21870/A/29855,NR/01082024/31082024/jitpl,NR/2024/22081/A/30057,NR/2024/21968/A/30077,NR/2024/21869/A/29848,NR/2024/21909/A/30053,NR/2024/21966/A/30051,NR/2024/22042/A/30032,NR/01082024/31082024/SKS-Raigarh,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21971/A/30079,NR/2024/22184/C,NR/2024/21956/A/30097,NR/01102023/14082046/L_NR_2021_16,NR/30092023/26122029/SH-06,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21871/A/29856,NR/2024/21814/A/30081,NR/2024/21938/A/29945,NR/2024/21918/A/30119,NR/2024/22155/C,NR/2024/21868/A/29858,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/23072042/L_NR_2012_04,NR/2024/22199/C,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21876/A/29864,NR/2024/21983/A/29984,NR/2024/21954/A/30094,NR/2024/22137/C,NR/01082024/01082024/HPX_TAM_31072024_01942,NR/2024/22167/C,NR/2024/21873/A/29866,NR/2024/22136/C,NR/2024/22181/C,NR/2024/22090/C,NR/2024/21658/A/29811,NR/30092023/31122025/SH-07,NR/2024/22146/C,NR/2024/21875/A/29865,NR/2024/22175/C,NR/01082024/15082024/APL-Raigarh,NR/2024/22010/A/30116,NR/2024/22185/C,NR/2024/22173/C,NR/2024/21940/A/30095,NR/01102023/02012046/L_NR_2021_17,Total

3,00:30-00:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,37.670000,37.210000,31.990000,67.420000,0,21.000000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,38.530000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,5.920000,0.870000,21.000000,90.540000,0.000000,8.670000,192.640000,11.690000,9.630000,28.900000,83.970000,0,1900.88

4,00:45-01:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,37.670000,37.210000,30.150000,67.420000,0,21.000000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,38.530000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,5.980000,0.870000,21.000000,90.540000,0.000000,8.670000,192.640000,11.690000,9.630000,28.900000,83.970000,0,1899.1

5,01:00-01:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,37.670000,37.210000,30.000000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,38.530000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,6.960000,0.630000,20.970000,90.540000,0.000000,8.670000,192.640000,11.690000,9.630000,28.900000,83.970000,0,1899.63

6,01:15-01:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,37.670000,37.210000,30.090000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,38.530000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.170000,0.630000,20.970000,90.540000,0.000000,8.670000,192.640000,11.690000,9.630000,28.900000,83.970000,0,1899.93

7,01:30-01:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,37.670000,37.210000,29.580000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,38.530000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.310000,0.630000,20.970000,90.540000,0.000000,8.670000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1889.93

8,01:45-02:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,37.670000,37.210000,30.400000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,38.530000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.450000,0.630000,20.970000,90.540000,0.000000,8.670000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1890.89

9,02:00-02:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,36.000000,37.210000,33.480000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,38.530000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.110000,0.630000,20.970000,90.540000,0.000000,8.670000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1891.96

10,02:15-02:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,36.000000,37.210000,34.680000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,38.530000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.030000,0.630000,20.970000,90.540000,0.000000,8.670000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1893.08

11,02:30-02:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,34.960000,37.210000,33.990000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,38.530000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.530000,0.630000,20.970000,90.540000,0.000000,8.670000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1891.85

12,02:45-03:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,34.960000,37.210000,34.210000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,38.530000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,8.050000,0.630000,20.970000,90.540000,0.000000,8.670000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1892.59

13,03:00-03:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.910000,37.210000,34.460000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.450000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,8.140000,0.630000,20.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1753.68

14,03:15-03:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.910000,37.210000,34.820000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.450000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,8.220000,0.630000,20.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1754.12

15,03:30-03:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.910000,37.210000,34.300000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.450000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.890000,0.630000,20.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1753.27

16,03:45-04:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.910000,37.210000,32.410000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.450000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.670000,0.630000,20.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1751.16

17,04:00-04:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.910000,37.210000,32.450000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.450000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.250000,0.530000,20.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1750.68

18,04:15-04:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.910000,37.210000,34.000000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.450000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.240000,0.530000,20.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1752.22

19,04:30-04:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.910000,37.210000,32.460000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.450000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.050000,0.530000,20.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1750.49

20,04:45-05:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.910000,37.210000,32.220000,67.420000,0,20.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,15.450000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.150000,0.530000,20.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,28.900000,83.970000,0,1750.35

21,05:00-05:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,29.840000,37.210000,30.380000,24.080000,0,22.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,14.990000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,9.200000,0.530000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1677.79

22,05:15-05:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,29.840000,37.210000,31.570000,24.080000,0,22.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,14.990000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,8.820000,0.530000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1678.6

23,05:30-05:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,29.840000,37.210000,32.560000,24.080000,0,22.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,14.990000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,8.010000,0.530000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1678.78

24,05:45-06:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,29.840000,37.210000,33.200000,24.080000,0,22.970000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,14.990000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,7.340000,0.530000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1678.75

25,06:00-06:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,29.840000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.990000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,0.000000,0.000000,163.980000,0.000000,5.850000,0.670000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1370.65

26,06:15-06:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,29.840000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.990000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,0.000000,0.000000,163.980000,0.000000,4.330000,0.670000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1369.13

27,06:30-06:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,29.840000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.990000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.27,96.320000,0.000000,0.000000,163.980000,0.000000,1.680000,0.670000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1366.75

28,06:45-07:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,29.840000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.990000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.65,96.320000,0.000000,0.000000,163.980000,0.000000,1.910000,0.670000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1367.36

29,07:00-07:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,29.840000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.98,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.770000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1365.42

30,07:15-07:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,29.840000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,1.39,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.770000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1365.83

31,07:30-07:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,29.840000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,2.09,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.770000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1366.53

