Column1,Block,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/3428,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/1475,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1899,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/2197,NR/2024/23952/A/44309,GNA/WR/2024/11/01/4200,NR/2024/24060/A/44494,WR/2024/25054/A/44497,NR/2024/24124/C,NR/2024/24097/A/44311,NR/2024/24088/A/44313,NR/2024/24123/C,NR/2024/24052/A/44317,NR/2024/24051/A/44318,NR/2024/24071/A/44316,Total
3,00:30-00:45,2.2,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.2099999999999

4,00:45-01:00,2.2,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.2099999999999

5,01:00-01:15,2.2,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.38,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.1599999999999

6,01:15-01:30,2.2,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.38,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.1599999999999

7,01:30-01:45,2.2,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.38,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.1599999999999

8,01:45-02:00,2.2,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.38,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.1599999999999

9,02:00-02:15,2.2,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.38,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.1599999999999

10,02:15-02:30,2.2,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.38,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.1599999999999

11,02:30-02:45,2.2,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.38,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.1599999999999

12,02:45-03:00,2.2,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.38,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.1599999999999

13,03:00-03:15,2.11,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.34,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.0299999999999

14,03:15-03:30,2.11,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.34,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.0299999999999

15,03:30-03:45,2.11,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.34,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.0299999999999

16,03:45-04:00,2.11,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.34,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.0299999999999

17,04:00-04:15,2.11,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.11999999999995

18,04:15-04:30,2.11,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.11999999999995

19,04:30-04:45,2.11,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.11999999999995

20,04:45-05:00,2.11,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,0,17.27,0,0,7.67,0.96,0,2.88,0,0,403.11999999999995

21,05:00-05:15,2.11,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,0,17.27,0,0,7.67,4.8,0,2.88,0,0,406.96

22,05:15-05:30,2.11,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,0,17.27,0,0,7.67,4.8,0,2.88,0,0,406.96

23,05:30-05:45,2.11,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,0,17.27,0,0,14.39,4.8,0,2.88,2.88,0,416.55999999999995

24,05:45-06:00,2.11,25.9,8.63,0,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,0,17.27,0,0,14.39,4.8,0,2.88,2.88,0,416.55999999999995

25,06:00-06:15,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.43,0,17.27,0,0,14.39,4.8,0,2.88,2.88,0,289.72

26,06:15-06:30,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.43,0,17.27,0,0,14.39,4.8,0,2.88,2.88,0,289.72

27,06:30-06:45,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.43,0,17.27,0,0,14.39,4.8,0,2.88,2.88,0,289.72

28,06:45-07:00,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.43,0,17.27,0,0,14.39,4.8,0,2.88,2.88,0,289.72

29,07:00-07:15,2.2,36.45,8.63,0,0,36.45,0,8.63,150,0,0,36.45,0.53,0,28.78,0,0,14.39,4.8,0,2.88,2.88,0,333.07

30,07:15-07:30,2.2,36.45,8.63,0,0,36.45,0,8.63,150,0,0,36.45,0.53,0,28.78,0,0,14.39,4.8,0,2.88,2.88,0,333.07

31,07:30-07:45,2.2,36.45,8.63,0,0,36.45,0,8.63,150,0,0,36.45,0.53,0,28.78,0,0,14.39,4.8,0,2.88,2.88,0,333.07

32,07:45-08:00,2.2,36.45,8.63,0,0,36.45,0,8.63,150,0,0,36.45,0.53,0,28.78,0,0,14.39,4.8,0,2.88,2.88,0,333.07

33,08:00-08:15,2.2,36.45,14.39,0,0,36.45,0,14.39,150,0,0,36.45,0.82,0,28.78,0,0,14.39,4.8,0,2.88,2.88,0,344.87999999999994

34,08:15-08:30,2.2,36.45,14.39,0,0,36.45,0,14.39,150,0,0,36.45,0.82,0,28.78,0,0,14.39,4.8,0,2.88,2.88,0,344.87999999999994

35,08:30-08:45,2.2,36.45,14.39,0,0,36.45,0,14.39,150,0,0,36.45,0.82,0,28.78,0,0,7.67,4.8,0,2.88,0,0,335.28

36,08:45-09:00,2.2,36.45,14.39,0,0,36.45,0,14.39,150,0,0,36.45,0.82,0,28.78,0,0,7.67,4.8,0,2.88,0,0,335.28

37,09:00-09:15,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,31.47,7.67,4.8,21.3,2.88,0,3.84,348.63

38,09:15-09:30,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,27.82,7.67,4.8,24.94,2.88,0,3.84,348.62

39,09:30-09:45,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,24.37,7.67,4.8,28.4,2.88,0,3.84,348.63

40,09:45-10:00,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,22.06,7.67,4.8,30.7,2.88,0,3.84,348.62

41,10:00-10:15,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,22.06,7.67,4.8,30.7,2.88,0,4.8,349.58000000000004

42,10:15-10:30,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,22.06,7.67,4.8,30.7,2.88,0,4.8,349.58000000000004

43,10:30-10:45,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,22.06,7.67,4.8,30.7,2.88,0,4.8,349.58000000000004

44,10:45-11:00,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,22.06,7.67,4.8,30.7,2.88,0,4.8,349.58000000000004

45,11:00-11:15,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,22.06,7.67,0,30.7,3.84,0,6.72,347.66

46,11:15-11:30,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,22.06,7.67,0,30.7,3.84,0,6.72,347.66

47,11:30-11:45,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,22.06,7.67,0,30.7,3.84,0,6.72,347.66

48,11:45-12:00,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,22.06,7.67,0,30.7,3.84,0,6.72,347.66

49,12:00-12:15,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,33.58,7.67,0,19.19,3.84,0,6.72,347.67

50,12:15-12:30,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,33.58,7.67,0,19.19,3.84,0,6.72,347.67

51,12:30-12:45,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,33.58,7.67,0,19.19,3.84,0,6.72,347.67

52,12:45-13:00,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.82,0,28.78,0,33.58,7.67,0,19.19,3.84,0,6.72,347.67

53,13:00-13:15,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.77,0,28.78,0,33.58,7.67,0,19.19,3.84,0,5.76,346.65999999999997

54,13:15-13:30,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.77,0,28.78,0,33.58,7.67,0,19.19,3.84,0,5.76,346.65999999999997

55,13:30-13:45,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.77,0,28.78,0,33.58,7.67,0,19.19,3.84,0,5.76,346.65999999999997

56,13:45-14:00,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.77,0,28.78,0,33.58,7.67,0,19.19,3.84,0,5.76,346.65999999999997

57,14:00-14:15,2.01,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.77,0,28.78,0,22.06,7.67,0,30.7,3.84,0,4.8,345.59

58,14:15-14:30,2.01,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.77,0,28.78,0,22.06,7.67,0,30.7,3.84,0,4.8,345.59

59,14:30-14:45,2.01,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.77,0,28.78,0,22.06,7.67,0,30.7,3.84,0,4.8,345.59

60,14:45-15:00,2.01,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.77,0,28.78,0,22.06,7.67,0,30.7,3.84,0,4.8,345.59

61,15:00-15:15,2.01,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.62,0,28.78,0,23.98,7.67,0,28.78,3.84,0,4.8,345.44000000000005

62,15:15-15:30,2.01,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.62,0,28.78,0,27.44,7.67,0,25.33,3.84,0,4.8,345.45

63,15:30-15:45,2.01,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.62,0,28.78,0,31.08,7.67,0,21.68,3.84,0,4.8,345.44

64,15:45-16:00,2.01,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.62,0,28.78,0,24.56,7.67,0,17.94,3.84,0,4.8,335.18

65,16:00-16:15,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.48,0,28.78,0,33.19,7.67,0,14.01,3.84,0,2.88,337.92

66,16:15-16:30,2.11,25.9,8.63,0,0,25.9,0,8.63,150,0,0,25.9,0.48,0,28.78,0,25.33,7.67,0,10.26,3.84,0,2.88,326.31

67,16:30-16:45,2.11,34.53,8.63,0,0,34.53,0,8.63,150,0,0,34.53,0.48,0,28.78,0,18.61,7.67,0,6.72,3.84,0,2.88,341.94000000000005

68,16:45-17:00,2.11,34.53,8.63,0,0,34.53,0,8.63,150,0,0,34.53,0.48,0,28.78,0,12.47,7.67,0,3.65,3.84,0,2.88,332.73

69,17:00-17:15,2.11,34.53,14.39,0,0,34.53,0,14.39,150,0,0,34.53,0.48,0,28.78,0,0,7.67,3.84,0,3.84,0,0.96,330.04999999999995

70,17:15-17:30,2.11,34.53,14.39,0,0,34.53,0,14.39,150,0,0,34.53,0.48,0,28.78,0,0,7.67,3.84,0,3.84,0,0.96,330.04999999999995

71,17:30-17:45,2.11,34.53,14.39,0,0,34.53,0,14.39,150,0,0,34.53,0.48,0,28.78,0,0,7.67,3.84,0,3.84,0,0.96,330.04999999999995

72,17:45-18:00,2.11,34.53,14.39,0,0,34.53,0,14.39,150,0,0,34.53,0.48,0,28.78,0,0,7.67,3.84,0,3.84,0,0.96,330.04999999999995

73,18:00-18:15,2.2,34.53,14.39,150,0,34.53,0,14.39,150,0,0,34.53,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,567.6

74,18:15-18:30,2.2,34.53,14.39,150,0,34.53,0,14.39,150,0,0,34.53,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,567.6

75,18:30-18:45,2.2,34.53,14.39,150,0,34.53,0,14.39,150,0,0,34.53,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,567.6

76,18:45-19:00,2.2,34.53,14.39,150,0,34.53,0,14.39,150,0,0,34.53,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,567.6

77,19:00-19:15,2.2,34.53,14.39,150,0,34.53,0,14.39,150,0,0,34.53,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,567.6

78,19:15-19:30,2.2,34.53,14.39,150,0,34.53,0,14.39,150,0,0,34.53,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,567.6

79,19:30-19:45,2.2,34.53,14.39,150,0,34.53,0,14.39,150,0,0,34.53,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,567.6

80,19:45-20:00,2.2,34.53,14.39,150,0,34.53,0,14.39,150,0,0,34.53,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,567.6

81,20:00-20:15,2.2,25.9,8.63,250,0,25.9,0,8.63,150,0,0,25.9,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,630.1899999999999

82,20:15-20:30,2.2,25.9,8.63,250,0,25.9,0,8.63,150,0,0,25.9,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,630.1899999999999

83,20:30-20:45,2.2,25.9,8.63,250,0,25.9,0,8.63,150,0,0,25.9,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,630.1899999999999

84,20:45-21:00,2.2,25.9,8.63,250,0,25.9,0,8.63,150,0,0,25.9,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,630.1899999999999

85,21:00-21:15,2.11,25.9,8.63,250,0,25.9,0,8.63,150,0,0,25.9,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,630.0999999999999

86,21:15-21:30,2.11,25.9,8.63,250,0,25.9,0,8.63,150,0,0,25.9,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,630.0999999999999

87,21:30-21:45,2.11,25.9,8.63,250,0,25.9,0,8.63,150,0,0,25.9,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,630.0999999999999

88,21:45-22:00,2.11,25.9,8.63,250,0,25.9,0,8.63,150,0,0,25.9,0.53,50,28.78,38.37,0,7.67,3.84,0,3.84,0,0,630.0999999999999

89,22:00-22:15,2.11,25.9,8.63,250,0,25.9,0,8.63,150,95.13,31.71,25.9,0.48,50,28.78,38.37,0,7.67,0.96,0,2.88,0,0,753.05

90,22:15-22:30,2.11,25.9,8.63,250,0,25.9,0,8.63,150,95.13,31.71,25.9,0.48,50,28.78,38.37,0,7.67,0.96,0,2.88,0,0,753.05

91,22:30-22:45,2.11,25.9,8.63,250,0,25.9,0,8.63,150,95.13,31.71,25.9,0.48,50,28.78,38.37,0,7.67,0.96,0,2.88,0,0,753.05

92,22:45-23:00,2.11,25.9,8.63,250,0,25.9,0,8.63,150,95.13,31.71,25.9,0.48,50,28.78,38.37,0,7.67,0.96,0,2.88,0,0,753.05

93,23:00-23:15,2.11,25.9,8.63,250,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,50,28.78,38.37,0,7.67,0.96,0,2.88,0,0,752.9999999999999

94,23:15-23:30,2.11,25.9,8.63,250,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,50,28.78,38.37,0,7.67,0.96,0,2.88,0,0,752.9999999999999

95,23:30-23:45,2.11,25.9,8.63,250,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,50,28.78,38.37,0,7.67,0.96,0,2.88,0,0,752.9999999999999

96,23:45-24:00,2.11,25.9,8.63,250,0,25.9,0,8.63,150,95.13,31.71,25.9,0.43,50,28.78,38.37,0,7.67,0.96,0,2.88,0,0,752.9999999999999

