Block,Time,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/06022042/L_NR_2012_07,NR/01032024/22032024/HP-59,NR/01102023/30042040/GNA_LT_36,NR/01032024/22032024/HP-56,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01012024/31032024/ ChanjuII,NR/01032024/15032024/HP-62,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/22102023/11042047/L_NR_2021_16,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/14082046/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,SR/01032024/31032024/SJVN010324NR1590,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,SR/01032024/15032024/BYPL-APPCPL-KSEB,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,WR/01102023/01102023/L_NR_2020_06,NR/01032024/31032024/SJVN010324NR1588,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,NR/01032024/31032024/SJVN010324NR1589
14,03:15-03:30,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,1.030000,1.340000,52.950000,148.910000,0.000000,0.970000,26.690000,0.000000,6.800000,4.690000,98.210000,24.070000,145.060000,0,144.405000,10,0,9.4,0,0,0,96.27,26.33,0,0,0,30,0,0,0,0,0,96.27,7.01,0,48.14,10,0,26.33,0,0

15,03:30-03:45,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,1.030000,1.340000,53.910000,148.910000,0.000000,0.970000,26.690000,0.000000,0.000000,4.690000,98.210000,24.070000,130.930000,0,144.405000,13,0,9.21,0,0,0,96.27,26,0,0,0,39,0,0,0,0,0,96.27,7.01,0,48.14,13,0,26,0,0

16,03:45-04:00,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,1.030000,1.340000,53.910000,173.290000,0.000000,0.970000,26.690000,0.000000,0.000000,4.690000,98.210000,24.070000,130.930000,0,144.405000,12.83,0,9.03,0,0,0,96.27,25.67,0,0,0,38.5,0,0,0,0,0,96.27,7.01,0,48.14,12.84,0,25.67,0,0

17,04:00-04:15,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.300000,53.910000,192.540000,0.000000,0.930000,26.690000,0.000000,0.000000,4.690000,98.210000,24.070000,130.930000,0,144.405000,14.33,0,10.66,0,0,0,96.27,28.33,0,0,0,43,0,0,0,0,0,96.27,7.01,0,48.14,14.34,0,28.33,0,0

18,04:15-04:30,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.300000,53.910000,211.790000,0.000000,0.930000,26.690000,0.000000,0.000000,4.690000,98.210000,24.070000,130.930000,0,144.405000,14.17,0,10.34,0,0,0,96.27,27.67,0,0,0,42.5,0,0,0,0,0,96.27,7.01,0,48.14,14.16,0,27.67,0,0

19,04:30-04:45,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.300000,53.910000,231.050000,0.000000,0.930000,26.690000,0.000000,0.000000,4.690000,98.210000,24.070000,130.930000,0,144.405000,13.83,0,8.34,0,0,0,96.27,27.33,0,0,0,41.5,0,0,0,0,0,96.27,7.01,0,48.14,13.84,0,27.33,0,0

20,04:45-05:00,48.140000,33.690000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.300000,53.910000,250.300000,0.000000,0.930000,26.690000,0.000000,0.000000,4.690000,98.210000,24.070000,159.810000,0,144.405000,13.67,0,8.34,0,0,0,96.27,26.67,0,0,0,41,0,0,0,0,0,96.27,7.01,0,48.14,13.66,0,26.67,0,0

21,05:00-05:15,48.140000,52.630000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.300000,82.790000,270.760000,0.000000,0.930000,26.690000,0.000000,0.000000,4.590000,98.210000,24.070000,200.600000,0,144.405000,12.58,0,8.34,0,0,0,96.27,26,0,0,0,37.75,0,0,0,0,0,96.27,7.01,0,48.14,12.59,0,26,0,0

22,05:15-05:30,48.140000,52.630000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.300000,91.460000,270.760000,0.000000,0.930000,26.690000,0.000000,0.000000,4.590000,98.210000,24.070000,248.730000,0,144.405000,12.25,0,8.34,0,0,0,96.27,25.67,0,0,0,36.75,0,0,0,0,0,96.27,7.01,0,48.14,12.25,0,25.67,0,0

23,05:30-05:45,48.140000,52.630000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.300000,99.750000,270.760000,0.000000,0.930000,26.690000,0.000000,0.000000,4.590000,98.210000,24.070000,260.510000,0,144.405000,11.75,0,8,0,0,0,96.27,25.33,0,0,0,35.25,0,0,0,0,0,96.27,7.01,0,48.14,11.75,0,25.33,0,0

24,05:45-06:00,48.140000,52.630000,32.760000,0.000000,76.530000,26.690000,0.000000,0.990000,1.300000,99.750000,270.760000,0.000000,0.930000,26.690000,0.000000,0.000000,4.590000,98.210000,25.030000,260.510000,0,144.405000,11.25,0,8,0,0,0,96.27,25,0,0,0,33.75,0,0,0,0,0,96.27,7.01,0,48.14,11.25,0,25,0,0

25,06:00-06:15,48.140000,52.630000,0.000000,0.000000,0.000000,26.190000,0.000000,0.990000,1.300000,70.870000,270.760000,0.000000,0.930000,30.810000,0.000000,0.000000,4.590000,0.000000,25.030000,260.510000,0,144.405000,10.92,0,6.66,0,0,0,96.27,24.33,0,0,0,32.75,0,0,0,0,0,96.27,7.01,0,48.14,10.91,0,24.33,0,0

26,06:15-06:30,48.140000,52.630000,0.000000,0.000000,0.000000,26.190000,0.000000,0.990000,1.300000,52.950000,270.760000,0.000000,0.930000,30.810000,0.000000,0.000000,4.590000,0.000000,25.030000,260.510000,0,144.405000,10.75,1,6.66,0,0,0,96.27,24,0.01,0,0,32.25,0,0,0,0,0,96.27,7.01,0,48.14,10.75,0,24,0,0

27,06:30-06:45,48.140000,76.330000,0.000000,0.000000,0.000000,26.190000,0.000000,0.990000,1.300000,52.950000,270.760000,0.000000,0.930000,30.810000,0.000000,0.000000,4.590000,0.000000,24.070000,260.510000,0,144.405000,10.75,8.14,6.66,2,0,0,96.27,23.33,0.01,0,0,32.25,0,0,0.797942,0,0,96.27,7.01,1,48.14,10.75,0,23.33,0,0

28,06:45-07:00,48.140000,76.330000,0.000000,0.000000,0.000000,26.190000,0.000000,0.990000,1.300000,81.830000,270.760000,0.000000,0.930000,30.810000,0.000000,0.000000,4.590000,0.000000,23.100000,260.510000,0,144.405000,10.75,14.94,6.66,7,0,0,96.27,23.33,0.01,1,0,32.25,0,0,5.186623,0,1,96.27,7.01,3,48.14,10.75,0,23.33,0,0

29,07:00-07:15,48.140000,57.400000,0.000000,0.110000,0.000000,26.190000,0.100000,0.990000,1.300000,67.390000,270.760000,0.100000,0.930000,30.810000,0.000000,0.000000,4.590000,0.000000,22.140000,233.850000,2,144.405000,7.5,20.8,6.66,20,0.1,1,96.27,16.67,0.51,4,0,22.5,0.43,0,11.278229,0,1,96.27,7.01,10,48.14,7.5,0,16.67,1,0

30,07:15-07:30,48.140000,76.330000,0.000000,0.410000,0.000000,26.190000,0.400000,0.990000,1.300000,77.020000,270.760000,0.400000,0.930000,30.810000,0.000000,0.000000,4.590000,0.000000,21.180000,204.970000,6,144.405000,7.5,21.2,6.66,21.2,1.05,3,96.27,16.67,5.24,11,0,22.5,1.87,0,17.924502,0,4,96.27,7.01,21.2,48.14,7.5,0,16.67,2,0

31,07:30-07:45,48.140000,67.900000,0.000000,0.930000,0.000000,26.190000,0.910000,0.990000,1.300000,81.830000,270.760000,0.910000,0.930000,30.810000,0.000000,0.000000,4.590000,0.000000,20.220000,233.850000,11,144.405000,7.5,22.2,6.66,22.2,3.56,6,96.27,16.67,17.83,14,0,22.5,5.92,0,25.913653,0,6,96.27,7.01,22.2,48.14,7.5,0,16.67,5,0

32,07:45:08:00,48.140000,86.840000,0.000000,2.940000,0.000000,26.190000,2.870000,0.990000,1.300000,91.460000,270.760000,2.870000,0.930000,30.810000,0.000000,0.000000,4.590000,0.000000,20.220000,260.510000,20,144.405000,7.5,23.03,6.66,23.04,7.5,10,96.27,16.33,37.5,32,0,22.5,12.11,0,35.81008,0,13,96.27,7.01,23.03,48.14,7.5,0,16.33,8,0

33,08:00-08:15,48.140000,67.900000,0.000000,2.940000,0.000000,26.190000,2.870000,0.990000,1.340000,77.020000,270.760000,2.870000,0.850000,30.810000,0.000000,0.000000,4.510000,0.000000,20.220000,233.850000,27,144.405000,7.5,25.03,6.66,25.04,11.57,13,96.27,16,57.85,49,0,22.5,18.44,0,47.146695,0,21,96.27,7.01,25.03,48.14,7.5,0,16,11,0

34,08:15-08:30,48.140000,67.900000,0.000000,4.100000,0.000000,26.190000,4.000000,0.990000,1.340000,91.460000,270.760000,4.000000,0.850000,30.810000,0.000000,0.000000,4.510000,0.000000,19.250000,233.850000,34,144.405000,7.5,26.7,6.66,26.7,15.96,17,96.27,15.67,79.78,67,0,22.5,25.36,0,58.930936,0,28,96.27,7.01,26.7,48.14,7.5,0,15.67,15,0

35,08:30-08:45,48.140000,76.330000,0.000000,5.570000,0.000000,26.190000,5.430000,0.990000,1.340000,77.020000,270.760000,5.430000,0.850000,30.810000,0.000000,0.000000,4.510000,0.000000,19.250000,260.510000,43,144.405000,7.5,27.53,6.66,27.54,20.37,22,96.27,15.33,101.86,84,0,22.5,32.27,0,70.93899,0,36,96.27,7.01,27.53,48.14,7.5,0,15.33,19,0

36,08:45:09:00,48.140000,76.330000,0.000000,6.910000,0.000000,26.190000,6.750000,0.990000,1.340000,77.020000,270.760000,6.750000,0.850000,30.810000,0.000000,0.000000,4.510000,0.000000,19.250000,260.510000,52,144.405000,7.5,28.2,6.66,28.2,24.73,26,96.27,15,123.67,102,0,22.5,38.05,0,83.122202,0,43,96.27,7.01,28.2,48.14,7.5,0,15,22,0

37,09:00:09:15,48.140000,76.330000,0.000000,8.330000,0.000000,26.190000,8.130000,0.990000,1.340000,86.640000,270.760000,8.130000,0.850000,30.810000,0.000000,0.000000,4.510000,0.000000,18.290000,260.510000,56,144.405000,7.5,28.2,6.66,28.2,26.76,28,96.27,13.33,133.8,113,0,22.5,41.66,14.73,92.775354,0,49,96.27,7.01,28.2,48.14,7.5,0,13.33,27.6,0

38,09:15-09:30,48.140000,76.330000,0.000000,9.610000,0.000000,26.190000,9.380000,0.990000,1.340000,96.270000,270.760000,9.380000,0.850000,30.810000,0.000000,0.000000,4.510000,0.000000,18.290000,260.510000,63,144.405000,7.5,30.2,6.66,30.2,30.02,32,96.27,13.33,150.13,131,0,22.5,46.69,14.73,102.623126,0,56,96.27,7.01,30.2,48.14,7.5,0,13.33,30.7,0

39,09:30-09:45,48.140000,76.330000,0.000000,10.720000,0.000000,22.850000,10.460000,0.990000,1.340000,96.270000,270.760000,10.460000,0.850000,30.810000,0.000000,0.000000,4.510000,0.000000,18.290000,260.510000,77,144.405000,7.5,30.2,6.66,30.2,33.68,38,96.27,13.33,168.42,144,0,22.5,36.67,14.73,111.51726,0,62,96.27,5.61,30.2,48.14,7.5,0,13.33,33.7,0

40,09:45-10:00,48.140000,76.330000,0.000000,11.800000,0.000000,22.850000,11.520000,0.990000,1.340000,96.270000,270.760000,11.520000,0.850000,30.810000,0.000000,0.000000,4.510000,0.000000,18.290000,260.510000,83,144.405000,7.5,30.7,6.66,30.7,37.19,42,96.27,13.33,185.96,154,0,22.5,40,14.73,119.370177,0,66,96.27,5.61,30.7,48.14,7.5,0,13.33,36.7,0

41,10:00-10:15,48.140000,76.330000,0.000000,12.750000,0.000000,26.190000,12.430000,0.990000,1.390000,96.270000,270.760000,12.430000,0.930000,30.810000,0.000000,0.000000,4.510000,0.000000,18.290000,260.510000,89,144.405000,7.5,30.7,6.66,30.7,43.26,45,96.27,10,216.28,172,0,22.5,45,14.73,126.142953,0,73,96.27,5.61,30.7,48.14,7.5,0,10,39.3,0

42,10:15-10:30,48.140000,76.330000,0.000000,14.190000,0.000000,26.190000,13.850000,0.990000,1.390000,96.270000,270.760000,13.850000,0.930000,30.810000,0.000000,0.000000,4.510000,0.000000,18.290000,260.510000,89,144.405000,7.5,30.7,6.66,30.7,44.52,45,96.27,10,222.61,182,0,22.5,50,14.73,131.971822,0,78,96.27,5.61,30.7,48.14,7.5,0,10,41.4,0

43,10:30-10:45,48.140000,76.330000,0.000000,14.780000,0.000000,26.190000,14.420000,0.990000,1.390000,91.460000,270.760000,14.420000,0.930000,30.810000,0.000000,0.000000,4.510000,0.000000,18.290000,260.510000,89,144.405000,5.83,30.7,5,30.7,45.17,45,96.27,9.33,225.87,189,0,17.5,55,14.73,139.970704,0,81,96.27,5.61,30.7,48.14,5.84,0,9.33,43,0

44,10:45-11:00,48.140000,76.330000,0.000000,15.620000,0.000000,26.190000,15.240000,0.990000,1.390000,86.640000,270.760000,15.240000,0.930000,30.810000,0.000000,0.000000,4.510000,0.000000,18.290000,260.510000,89,144.405000,5.83,30.7,5,30.7,45.59,45,96.27,9.33,227.96,193,0,17.5,61.67,14.73,143.970145,0,82,96.27,5.61,30.7,48.14,5.84,0,9.33,44.7,0

45,11:00-11:15,48.140000,76.330000,0.000000,15.950000,0.000000,26.690000,15.560000,0.990000,1.390000,57.760000,270.760000,15.560000,0.930000,26.690000,0.000000,0.000000,4.410000,0.000000,18.290000,260.510000,89,144.405000,5.83,30.87,5,30.86,46.2,45,96.27,9.33,231.02,189,0,17.5,82.12,0,146.772673,0,81,96.27,5.61,30.87,48.14,5.84,19.25,9.33,45.5,24.07

46,11:15-11:30,48.140000,76.330000,0.000000,16.240000,0.000000,26.690000,15.840000,0.990000,1.390000,52.950000,270.760000,15.840000,0.930000,26.690000,0.000000,0.000000,4.410000,0.000000,18.290000,260.510000,89,144.405000,5.83,30.87,5,30.86,46.2,45,96.27,9.33,231.02,189,0,17.5,83.11,0,149.263809,0,81,96.27,5.61,30.87,48.14,5.84,19.25,9.33,45.7,24.07

47,11:30-11:45,48.140000,76.330000,0.000000,16.460000,0.000000,26.690000,16.060000,0.990000,1.390000,52.950000,270.760000,16.060000,0.930000,26.690000,0.000000,0.000000,4.410000,0.000000,19.250000,260.510000,89,144.405000,5.83,31.2,5,31.2,43.9,45,96.27,9.33,219.52,189,0,17.5,83.51,0,151.171085,0,81,96.27,5.61,31.2,48.14,5.84,19.25,9.33,45.8,24.07

48,11:45-12:00,48.140000,76.330000,0.000000,16.490000,0.000000,26.690000,16.090000,0.990000,1.390000,52.950000,270.760000,16.090000,0.930000,26.690000,0.000000,0.000000,4.410000,0.000000,19.250000,260.510000,89,144.405000,5.83,31.2,5,31.2,43.93,45,96.27,9.33,219.66,189,0,17.5,83.69,0,152.513963,0,81,96.27,5.61,31.2,48.14,5.84,19.25,9.33,45.9,24.07

49,12:00-12:15,48.140000,76.330000,0.000000,16.660000,0.000000,26.690000,16.240000,1.030000,1.430000,52.950000,270.760000,16.240000,0.930000,26.690000,0.000000,0.000000,4.410000,0.000000,19.250000,260.510000,89,144.405000,5.83,31.2,5,31.2,43.94,45,96.27,10,219.73,189,0,17.5,87.93,0,153.701145,0,81,96.27,5.61,31.2,48.14,5.84,19.25,10,45.9,19.25

50,12:15-12:30,48.140000,76.330000,0.000000,16.830000,0.000000,26.690000,16.420000,1.030000,1.430000,52.950000,270.760000,16.420000,0.930000,26.690000,0.000000,0.000000,4.410000,0.000000,19.250000,260.510000,95,144.405000,5.83,31.2,5,31.2,43.94,47,96.27,10,219.72,189,0,17.5,87.96,0,154.002806,0,81,96.27,5.61,31.2,48.14,5.84,19.25,10,45.9,19.25

51,12:30-12:45,48.140000,52.630000,0.000000,16.900000,0.000000,26.690000,16.480000,1.030000,1.430000,52.950000,270.760000,16.480000,0.930000,26.690000,0.000000,0.000000,4.410000,0.000000,19.250000,212.370000,95,144.405000,5.83,31.2,5,31.2,42.5,47,96.27,10,212.5,189,0,17.5,88,0,153.623297,0,81,96.27,5.61,31.2,48.14,5.84,19.25,10,45.9,19.25

52,12:45-13:00,48.140000,33.690000,0.000000,16.920000,0.000000,26.690000,16.510000,1.030000,1.430000,52.950000,270.760000,16.510000,0.930000,26.690000,0.000000,0.000000,4.410000,0.000000,19.250000,166.250000,95,144.405000,5.83,31.2,5,31.2,42.5,47,96.27,10,212.5,189,0,17.5,87.98,0,152.815624,0,81,96.27,5.61,31.2,48.14,5.84,19.25,10,45.9,19.25

53,13:00-13:15,48.140000,33.690000,0.000000,16.890000,0.000000,26.690000,16.480000,1.030000,1.430000,52.950000,250.300000,16.480000,0.930000,26.690000,0.000000,0.000000,4.410000,0.000000,19.250000,118.110000,90,144.405000,5.83,31.2,5,31.2,45.83,45,96.27,10,229.17,193,0,17.5,88.01,0,151.618711,0,82,96.27,5.61,31.2,48.14,5.84,19.25,10,45,19.25

54,13:15-13:30,48.140000,33.690000,0.000000,16.820000,0.000000,26.690000,16.410000,1.030000,1.430000,52.950000,231.050000,16.410000,0.930000,26.690000,0.000000,0.000000,4.410000,0.000000,19.250000,110.710000,90,144.405000,5.83,31.2,5,31.2,45.83,45,96.27,10,229.17,193,0,17.5,88,0,149.837938,0,82,96.27,5.61,31.2,48.14,5.84,19.25,10,45,19.25

55,13:30-13:45,48.140000,33.690000,0.000000,16.720000,0.000000,26.690000,16.310000,1.030000,1.430000,52.950000,211.790000,16.310000,0.930000,26.690000,0.000000,0.000000,4.410000,0.000000,18.290000,110.710000,90,144.405000,5.83,31.2,5,31.2,45.83,45,96.27,10,229.17,193,0,17.5,87.94,0,146.218006,0,82,96.27,5.61,31.2,48.14,5.84,19.25,10,45,19.25

56,13:45-14:00,48.140000,33.690000,0.000000,16.580000,0.000000,26.690000,16.170000,1.030000,1.430000,52.950000,211.790000,16.170000,0.930000,26.690000,0.000000,0.000000,4.410000,0.000000,18.290000,110.710000,90,144.405000,5.83,31.2,5,31.2,45.83,45,96.27,10,229.17,193,0,17.5,87.87,0,142.75377,0,82,96.27,6.01,31.2,48.14,5.84,19.25,10,45,19.25

57,14:00-14:15,48.140000,33.690000,0.000000,16.430000,0.000000,26.690000,16.020000,1.070000,1.430000,52.950000,231.050000,16.020000,1.010000,26.690000,0.000000,0.000000,4.320000,0.000000,18.290000,110.710000,90,144.405000,5.83,31.2,5,31.2,46.67,45,96.27,10,233.33,189,0,17.5,87.84,0,138.433206,0,81,96.27,6.41,31.2,48.14,5.84,19.25,10,44,19.25

58,14:15-14:30,48.140000,33.690000,0.000000,15.840000,0.000000,26.690000,15.450000,1.070000,1.430000,52.950000,231.050000,15.450000,1.010000,26.690000,0.000000,0.000000,4.320000,0.000000,18.290000,110.710000,90,144.405000,5.83,31.2,5,31.2,46.67,45,96.27,10,233.33,189,0,17.5,87.49,0,133.820712,0,81,96.27,6.81,31.2,48.14,5.84,19.25,10,44,19.25

59,14:30-14:45,48.140000,33.690000,0.000000,15.130000,0.000000,26.690000,14.750000,1.070000,1.430000,52.950000,231.050000,14.750000,1.010000,26.690000,0.000000,0.000000,4.320000,0.000000,18.290000,110.710000,89,144.405000,6,31.2,5,31.2,42.5,45,96.27,15,212.5,189,0,18,86.8,0,128.682744,0,81,96.27,7.21,31.2,48.14,6,19.25,15,43.8,19.25

60,14:45-15:00,48.140000,33.690000,0.000000,14.540000,0.000000,26.690000,14.190000,1.070000,1.430000,52.950000,231.050000,14.190000,1.010000,26.690000,0.000000,0.000000,4.320000,0.000000,18.290000,110.710000,89,144.405000,6.33,31.2,5,31.2,42.5,45,96.27,15.33,212.5,189,0,19,84.93,0,122.824682,0,81,96.27,7.21,31.2,48.14,6.34,19.25,15.33,42,19.25

