Column1,Block,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/7459,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/6216,GNA/SR/2025/04/01/2597,NR/2025/25792/A/62513,NR/2025/25794/A/62510,WR/2025/27369/A/62612,NR/2025/25828/A/62158,NR/2025/25885/C,WR/2025/27361/A/62545,NR/2025/25790/A/62519,WR/2025/27350/A/62152,NR/2025/25795/A/62507,NR/2025/25894/C,NR/2025/25791/A/62516,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/62072,Total
3,00:30-00:45,22.14,2.89,9.62,8.85,2.89,48.12,9.62,0,1.92,2.89,9.62,52.5,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,30.5,23.81,0,0,567.51

4,00:45-01:00,22.14,2.89,9.62,8.85,2.89,48.12,9.62,0,1.92,2.89,9.62,52.5,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,30.5,23.81,0,0,567.51

5,01:00-01:15,22.14,2.89,9.62,8.75,2.89,48.12,9.62,0,1.92,2.89,9.62,52.5,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,30.5,23.81,0,0,567.41

6,01:15-01:30,22.14,2.89,9.62,8.75,2.89,48.12,9.62,0,1.92,2.89,9.62,52.5,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,30.5,23.81,0,0,567.41

7,01:30-01:45,22.14,2.89,9.62,8.75,2.89,48.12,9.62,0,1.92,2.89,9.62,52.5,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,30.5,23.81,0,0,567.41

8,01:45-02:00,22.14,2.89,9.62,8.75,2.89,48.12,9.62,0,1.92,2.89,9.62,52.5,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,30.5,25.98,0,0,569.58

9,02:00-02:15,22.14,2.89,9.62,8.66,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,30.5,25.98,0,0,516.99

10,02:15-02:30,22.14,2.89,9.62,8.66,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,30.5,25.98,0,0,516.99

11,02:30-02:45,22.14,2.89,9.62,8.66,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,30.5,25.98,0,0,516.99

12,02:45-03:00,22.14,2.89,9.62,8.66,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,30.5,25.98,0,0,516.99

13,03:00-03:15,22.14,2.89,9.62,8.57,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,26.95,26.95,0,0,514.32

14,03:15-03:30,22.14,2.89,9.62,8.57,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,26.95,26.95,0,0,514.32

15,03:30-03:45,22.14,2.89,9.62,8.57,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,26.95,26.95,0,0,514.32

16,03:45-04:00,22.14,2.89,9.62,8.57,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,26.95,26.95,0,0,514.32

17,04:00-04:15,22.14,2.89,9.62,8.47,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,26.95,26.95,0,0,514.22

18,04:15-04:30,22.14,2.89,9.62,8.47,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,26.95,26.95,0,0,514.22

19,04:30-04:45,22.14,2.89,9.62,8.47,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,115.5,14.04,26.95,26.95,0,0,629.72

20,04:45-05:00,22.14,2.89,9.62,8.47,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,115.5,14.04,26.95,26.95,0,0,629.72

21,05:00-05:15,22.14,2.89,9.62,8.38,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,115.5,14.04,26.95,26.95,0,0,629.6300000000001

22,05:15-05:30,22.14,2.89,9.62,8.38,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,115.5,14.04,30.5,9.26,0,0,615.49

23,05:30-05:45,22.14,2.89,9.62,8.38,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,115.5,14.04,30.5,9.26,0,0,615.49

24,05:45-06:00,22.14,2.89,9.62,8.38,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,115.5,14.04,30.5,9.26,0,0,615.49

25,06:00-06:15,22.14,2.89,9.62,8.2,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,115.5,14.04,30.5,30.5,0,0,636.55

26,06:15-06:30,22.14,2.89,9.62,8.2,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,115.5,14.04,30.5,30.5,0.39,0,636.9399999999999

27,06:30-06:45,22.14,2.89,9.62,8.2,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,163.62,14.04,30.5,30.5,0.16,0,684.8299999999999

28,06:45-07:00,22.14,2.89,9.62,8.2,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,163.62,14.04,25.98,30.5,1.4,0,681.55

29,07:00-07:15,22.14,2.89,9.62,8.02,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,163.62,14.04,25.98,30.5,4.41,0,684.38

30,07:15-07:30,22.14,2.89,9.62,8.02,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,163.62,14.04,25.98,30.5,8.39,0,688.36

31,07:30-07:45,22.14,2.89,9.62,8.02,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,25.98,30.5,13.74,0,530.0900000000001

32,07:45-08:00,22.14,2.89,9.62,8.02,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,144.38,10.93,0,14.04,25.98,30.5,20.64,0,536.9900000000001

33,08:00-08:15,22.14,2.89,9.62,7.92,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,25.98,30.5,28.4,3.85,404.12000000000006

34,08:15-08:30,22.14,2.89,9.62,7.92,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,25.98,30.5,36.23,3.85,411.9500000000001

35,08:30-08:45,22.14,2.89,9.62,7.92,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,44.45,3.85,417.59000000000003

36,08:45-09:00,22.14,2.89,9.62,7.92,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,52.56,3.85,425.70000000000005

37,09:00-09:15,22.14,2.89,9.62,7.74,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,60.54,6.74,436.39000000000004

38,09:15-09:30,22.14,2.89,9.62,7.74,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,67.96,6.74,443.81

39,09:30-09:45,22.14,2.89,9.62,7.74,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,74.99,6.74,450.84000000000003

40,09:45-10:00,22.14,2.89,9.62,7.74,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,81.54,6.74,457.39000000000004

41,10:00-10:15,22.14,2.89,9.62,7.64,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,87.33,8.66,465.00000000000006

42,10:15-10:30,22.14,2.89,9.62,7.64,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,92.94,8.66,470.61000000000007

43,10:30-10:45,22.14,2.89,9.62,7.64,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,97.33,8.66,475.00000000000006

44,10:45-11:00,22.14,2.89,9.62,7.64,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,8.66,477.6700000000001

45,11:00-11:15,22.14,2.89,9.62,7.56,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,8.66,477.59000000000003

46,11:15-11:30,22.14,2.89,9.62,7.56,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,8.66,477.59000000000003

47,11:30-11:45,22.14,2.89,9.62,7.56,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,8.66,477.59000000000003

48,11:45-12:00,22.14,2.89,9.62,7.56,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,8.66,477.59000000000003

49,12:00-12:15,22.14,2.89,9.62,7.46,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,8.66,477.49000000000007

50,12:15-12:30,22.14,2.89,9.62,7.46,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,8.66,477.49000000000007

51,12:30-12:45,22.14,2.89,9.62,7.46,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,8.66,477.49000000000007

52,12:45-13:00,22.14,2.89,9.62,7.46,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,8.66,477.49000000000007

53,13:00-13:15,22.14,2.89,9.62,7.37,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,8.66,477.40000000000003

54,13:15-13:30,22.14,2.89,9.62,7.37,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,2.34,471.08

55,13:30-13:45,22.14,2.89,9.62,7.37,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,2.34,471.08

56,13:45-14:00,22.14,2.89,9.62,7.37,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,2.34,471.08

57,14:00-14:15,22.14,2.89,9.62,7.28,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,2.13,470.78000000000003

58,14:15-14:30,22.14,2.89,9.62,7.28,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,2.09,470.74

59,14:30-14:45,22.14,2.89,9.62,7.28,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,2.09,470.74

60,14:45-15:00,22.14,2.89,9.62,7.28,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,2.11,470.76000000000005

61,15:00-15:15,22.14,2.89,9.62,7.28,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,100,6.74,475.39000000000004

62,15:15-15:30,22.14,2.89,9.62,7.28,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,95.97,6.74,471.36

63,15:30-15:45,22.14,2.89,9.62,7.28,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,90.18,6.74,465.57000000000005

64,15:45-16:00,22.14,2.89,9.62,7.28,2.89,48.12,9.62,0,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,84.22,6.74,459.61

65,16:00-16:15,22.14,2.89,9.62,7.37,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,76.31,3.85,500.82000000000005

66,16:15-16:30,22.14,2.89,9.62,7.37,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,70.13,3.85,494.64000000000004

67,16:30-16:45,22.14,2.89,9.62,7.37,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,62.82,3.85,487.33000000000004

68,16:45-17:00,22.14,2.89,9.62,7.37,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,0,48.12,10.93,0,10.93,0,14.04,26.95,26.95,55.45,3.85,479.96000000000004

69,17:00-17:15,22.14,2.89,9.62,7.56,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,1.92,48.12,10.93,0,10.93,0,14.04,26.95,26.95,47.46,0,470.23

70,17:15-17:30,22.14,2.89,9.62,7.56,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,1.92,48.12,10.93,0,10.93,0,14.04,26.95,26.95,39.99,0,462.76000000000005

71,17:30-17:45,22.14,2.89,9.62,7.56,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,1.92,48.12,10.93,0,10.93,0,14.04,26.95,26.95,31.76,0,454.53000000000003

72,17:45-18:00,22.14,2.89,9.62,7.56,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,1.92,48.12,10.93,0,10.93,192.5,14.04,26.95,26.95,22.96,0,638.2300000000001

73,18:00-18:15,22.14,2.89,9.62,7.74,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,2.89,48.12,10.93,48.12,10.93,192.5,14.04,25.98,30.5,15.92,0,683.04

74,18:15-18:30,22.14,2.89,9.62,7.74,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,2.89,48.12,10.93,48.12,10.93,192.5,14.04,9.26,30.5,10.1,0,660.5

75,18:30-18:45,22.14,2.89,9.62,7.74,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,2.89,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,5.6,0,677.24

76,18:45-19:00,22.14,2.89,9.62,7.74,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,2.89,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,2.73,0,674.37

77,19:00-19:15,22.14,2.89,9.62,8.02,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,2.89,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,0,0,671.92

78,19:15-19:30,22.14,2.89,9.62,8.02,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,2.89,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,0,0,671.92

79,19:30-19:45,22.14,2.89,9.62,8.02,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,2.89,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,0,0,671.92

80,19:45-20:00,22.14,2.89,9.62,8.02,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,2.89,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,0,0,671.92

81,20:00-20:15,22.14,2.89,9.62,9.11,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,1.92,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,0,0,672.04

82,20:15-20:30,22.14,2.89,9.62,9.11,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,1.92,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,0,0,672.04

83,20:30-20:45,22.14,2.89,9.62,9.11,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,1.92,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,0,0,672.04

84,20:45-21:00,22.14,2.89,9.62,9.11,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,1.92,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,0,0,672.04

85,21:00-21:15,22.14,2.89,9.62,9.58,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,1.92,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,0,0,672.51

86,21:15-21:30,22.14,2.89,9.62,9.58,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,1.92,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,0,0,672.51

87,21:30-21:45,22.14,2.89,9.62,9.58,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,1.92,48.12,10.93,48.12,10.93,192.5,14.04,30.5,30.5,0,0,672.51

88,21:45-22:00,22.14,2.89,9.62,9.58,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,1.92,0.96,48.12,10.93,48.12,10.93,0,14.04,30.5,30.5,0,0,479.05

89,22:00-22:15,22.14,2.89,9.62,10.04,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,0,2.89,48.12,10.93,48.12,10.93,0,14.04,30.5,30.5,0,0,479.52

90,22:15-22:30,22.14,2.89,9.62,10.04,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,0,1.92,48.12,10.93,48.12,10.93,0,14.04,30.5,30.5,0,0,478.55

91,22:30-22:45,22.14,2.89,9.62,10.04,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0.96,48.12,10.93,48.12,10.93,0,14.04,30.5,30.5,0,0,477.59

92,22:45-23:00,22.14,2.89,9.62,10.04,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0.96,48.12,10.93,48.12,10.93,0,14.04,30.5,30.5,0,0,477.59

93,23:00-23:15,22.14,2.89,9.62,10.5,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,48.12,10.93,0,14.04,30.5,30.5,0,0,477.09000000000003

94,23:15-23:30,22.14,2.89,9.62,10.5,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,48.12,10.93,0,14.04,30.5,30.5,0,0,477.09000000000003

95,23:30-23:45,22.14,2.89,9.62,10.5,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,48.12,10.93,0,14.04,30.5,30.5,0,0,477.09000000000003

96,23:45-24:00,22.14,2.89,9.62,10.5,2.89,48.12,9.62,50,1.92,2.89,9.62,0,32.81,32.81,48.12,0,0,48.12,10.93,48.12,10.93,0,14.04,30.5,30.5,0,0,477.09000000000003

