Time,Block,NR/01072024/31072024/R2,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20688/A/29039,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/27072024/27072024/IEX_240726-01729,NR/2024/21339/A/28974,NR/2024/21210/A/28978,NR/2024/20574/A/29225,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/31122025/SH-07,NR/2024/21715/A/28798,NR/2024/21146/A/29021,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/22009/C,NR/2024/21156/A/29024,NR/30092023/26122029/SH-06,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21141/A/28988,NR/2024/21183/A/29292,NR/2024/21199/A/29003,NR/2024/21023/A/29004,NR/2024/21108/A/29255,NR/2024/21142/A/28980,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/27072024/27072024/HPX-TAMCTG-270724-01870,NR/2024/21942/C,NR/2024/21227/A/29256,NR/2024/21075/A/29294,NR/2024/21967/C,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/20966/A/28926,NR/2024/21152/A/28925,NR/2024/21682/A/29316,NR/2024/21089/A/29240,NR/2024/22002/C,NR/2024/20573/A/29226,NR/2024/21087/A/29038,NR/2024/21096/A/29258,NR/2024/21072/A/29242,NR/2024/21144/A/29001,NR/2024/19779/A/28920,NR/2024/21148/A/29015,NR/2024/20711/A/29334,NR/2024/21103/A/29257,NR/2024/21159/A/29014,NR/2024/21076/A/29291,NR/2024/21958/C,NR/2024/21153/A/29025,NR/2024/21567/A/29238,NR/2024/21952/C,NR/2024/21173/A/29037,NR/2024/21062/A/29221,NR/2024/21099/A/28982,NR/2024/21238/A/29295,NR/2024/21158/A/29023,NR/2024/21986/C,NR/2024/20931/A/29198,NR/2024/21150/A/29020,NR/2024/21160/A/29022,NR/2024/21186/A/29252,NR/2024/21113/A/29239,NR/2024/21941/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total

3,00:30-00:45,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,32.000000,9.650000,0.360000,12.420000,0.000000,0.610000,32.000000,0.000000,12.980000,47.710000,21.220000,0.000000,0.000000,24.040000,48.230000,38.580000,0.000000,164.220000,12.200000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.630000,0.520000,96.460000,84.090000,0.880000,90.670000,96.460000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1900.46

4,00:45-01:00,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,32.000000,9.650000,0.360000,12.420000,0.000000,0.610000,32.000000,0.000000,12.980000,47.710000,21.220000,0.000000,0.000000,24.040000,48.230000,38.580000,0.000000,164.220000,12.200000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.630000,0.520000,96.460000,84.090000,0.880000,90.670000,96.460000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1900.46

5,01:00-01:15,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,32.000000,9.650000,0.360000,12.420000,0.000000,0.610000,32.000000,0.000000,12.980000,47.710000,21.220000,0.000000,0.000000,24.040000,48.230000,38.580000,0.000000,164.220000,12.200000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.580000,0.520000,96.460000,84.090000,0.880000,90.670000,96.460000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1900.41

6,01:15-01:30,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,32.000000,9.650000,0.360000,12.420000,0.000000,0.610000,32.000000,0.000000,12.980000,47.710000,21.220000,0.000000,0.000000,24.040000,48.230000,38.580000,0.000000,164.220000,12.200000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.580000,0.520000,96.460000,84.090000,0.880000,90.670000,96.460000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1900.41

7,01:30-01:45,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,32.000000,9.650000,0.360000,12.420000,0.000000,0.610000,32.000000,0.000000,12.980000,47.710000,21.220000,0.000000,0.000000,24.040000,48.230000,38.580000,0.000000,164.220000,12.200000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.580000,0.520000,96.460000,84.090000,0.880000,90.670000,96.460000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1900.41

8,01:45-02:00,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,32.000000,9.650000,0.360000,12.420000,0.000000,0.610000,32.000000,0.000000,12.980000,47.710000,21.220000,0.000000,0.000000,24.040000,48.230000,38.580000,0.000000,164.220000,12.200000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.580000,0.520000,96.460000,84.090000,0.880000,90.670000,96.460000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1900.41

9,02:00-02:15,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,9.650000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.800000,47.710000,21.220000,0.000000,0.000000,24.040000,48.230000,38.580000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.580000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1773.51

10,02:15-02:30,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,9.650000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.800000,47.710000,21.220000,0.000000,0.000000,24.040000,48.230000,38.580000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.580000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1773.51

11,02:30-02:45,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,9.650000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.800000,47.710000,21.220000,0.000000,0.000000,24.040000,48.230000,38.580000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.580000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1773.51

12,02:45-03:00,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,9.650000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.800000,47.710000,21.220000,0.000000,0.000000,24.040000,48.230000,38.580000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.580000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1773.51

13,03:00-03:15,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.800000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.530000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1686.2

14,03:15-03:30,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.800000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.530000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1686.2

15,03:30-03:45,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.800000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.530000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1686.2

16,03:45-04:00,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.800000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.530000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1686.2

17,04:00-04:15,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.700000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.530000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1686.1

18,04:15-04:30,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.700000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.530000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1686.1

19,04:30-04:45,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,7.720000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.700000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.530000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1685.14

20,04:45-05:00,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,7.720000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.700000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,67.520000,37.260000,0.480000,0.530000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1685.14

21,05:00-05:15,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,7.720000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.620000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,24.120000,37.260000,0.480000,0.530000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1641.66

22,05:15-05:30,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,7.720000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.620000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,24.120000,37.260000,0.480000,0.530000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1641.66

23,05:30-05:45,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,7.720000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.620000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,24.120000,37.260000,0.480000,0.530000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1641.66

24,05:45-06:00,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,12.060000,14.560000,22.970000,7.720000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.620000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,36.170000,24.120000,24.120000,37.260000,0.480000,0.530000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1641.66

25,06:00-06:15,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,0.000000,14.560000,22.970000,7.720000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.340000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.680000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1593.3

26,06:15-06:30,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,0.000000,14.560000,22.970000,7.720000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.340000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.680000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1593.3

