Column1,Block,WR/2025/27361/A/64743,WR/2025/27350/A/64647,NR/2025/25752/A/64496,GNARE/NR/2024/12/20/3668,NR/2025/25924/A/64650,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/1389,NR/2025/25945/A/64730,NR/2025/25947/A/64728,NR/2025/25948/A/64726,NR/2025/26009/C,NR/2025/25955/A/64724,GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/1831,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/1333,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/01/6490,Total
8,01:45-02:00,24.06,0,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,52.5,0,43.74,14.58,1.92,30,19.25,2.89,11.24,23.51,2.89,9.62,72.17,96.23,72.17,9.62,943.8199999999999

9,02:00-02:15,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,0,0,43.74,14.58,1.92,30,19.25,2.89,11.05,24.1,2.89,9.62,72.17,96.23,72.17,9.62,987.9499999999999

10,02:15-02:30,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,0,0,43.74,14.58,1.92,30,19.25,2.89,11.05,24.1,2.89,9.62,72.17,96.23,72.17,9.62,987.9499999999999

11,02:30-02:45,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,0,0,43.74,14.58,1.92,30,19.25,2.89,11.05,24.1,2.89,9.62,72.17,96.23,72.17,9.62,987.9499999999999

12,02:45-03:00,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,0,0,43.74,14.58,1.92,30,19.25,2.89,11.05,24.1,2.89,9.62,72.17,96.23,72.17,9.62,987.9499999999999

13,03:00-03:15,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,0,0,43.74,14.58,1.92,30,19.25,2.89,10.86,24.1,2.89,9.62,72.17,96.23,72.17,9.62,987.76

14,03:15-03:30,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,0,0,43.74,14.58,1.92,30,19.25,2.89,10.86,24.1,2.89,9.62,72.17,96.23,72.17,9.62,987.76

15,03:30-03:45,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,0,0,43.74,14.58,1.92,30,19.25,2.89,10.86,24.1,2.89,9.62,72.17,96.23,72.17,9.62,987.76

16,03:45-04:00,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,0,0,43.74,14.58,1.92,30,19.25,2.89,10.86,24.1,2.89,9.62,72.17,96.23,72.17,9.62,987.76

17,04:00-04:15,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,0,0,43.74,14.58,1.92,30,19.25,2.89,10.59,24.1,2.89,9.62,72.17,96.23,72.17,9.62,987.49

18,04:15-04:30,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,232.88,29.14,9.62,0,0,43.74,14.58,1.92,30,19.25,2.89,10.59,24.1,2.89,9.62,72.17,96.23,72.17,9.62,987.49

19,04:30-04:45,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,213.63,29.14,9.62,0,0,43.74,14.58,1.92,30,19.25,2.89,10.59,26.86,2.89,9.62,72.17,96.23,72.17,9.62,971

20,04:45-05:00,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,213.63,29.14,9.62,0,0,43.74,14.58,1.92,30,19.25,2.89,10.59,26.86,2.89,9.62,72.17,96.23,72.17,9.62,971

21,05:00-05:15,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,213.63,29.14,9.62,0,0,43.74,14.58,1.92,25.51,19.25,2.89,10.4,25.51,2.89,9.62,72.17,96.23,72.17,9.62,964.9699999999999

22,05:15-05:30,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,213.63,29.14,9.62,0,0,43.74,14.58,1.92,25.51,19.25,2.89,10.4,25.51,2.89,9.62,72.17,96.23,72.17,9.62,964.9699999999999

23,05:30-05:45,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,213.63,29.14,9.62,0,0,43.74,14.58,1.92,25.51,19.25,2.89,10.4,25.51,2.89,9.62,72.17,96.23,72.17,9.62,964.9699999999999

24,05:45-06:00,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,213.63,29.14,9.62,0,0,43.74,14.58,1.92,25.51,19.25,2.89,10.4,25.51,2.89,9.62,72.17,96.23,72.17,9.62,964.9699999999999

25,06:00-06:15,24.06,96.23,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,213.63,29.14,9.62,0,0,43.74,14.58,1.92,24.1,19.25,2.89,10.13,30,2.89,9.62,72.17,96.23,72.17,9.62,967.78

26,06:15-06:30,24.06,96.23,0,0.27,3.85,2.89,48.12,28.87,43.74,43.74,14.58,213.63,29.14,9.62,0,0,43.74,14.58,1.92,24.1,19.25,2.89,10.13,30,2.89,9.62,72.17,96.23,72.17,9.62,968.05

27,06:30-06:45,24.06,96.23,0,1.44,3.85,2.89,48.12,28.87,43.74,43.74,14.58,213.63,29.14,9.62,0,0,43.74,14.58,1.92,24.1,19.25,2.89,10.13,30,2.89,9.62,72.17,96.23,72.17,9.62,969.2199999999999

28,06:45-07:00,24.06,96.23,0,3.85,3.85,2.89,48.12,28.87,43.74,43.74,14.58,213.63,29.14,9.62,0,0,43.74,14.58,1.92,24.1,19.25,2.89,10.13,30,2.89,9.62,72.17,96.23,72.17,9.62,971.6299999999999

29,07:00-07:15,24.06,96.23,0,7.41,3.85,2.89,48.12,28.87,43.74,43.74,14.58,0,29.14,9.62,0,0,43.74,14.58,1.92,26.86,19.25,2.89,11.51,26.86,2.89,9.62,72.17,96.23,72.17,9.62,762.56

30,07:15-07:30,24.06,96.23,0,11.84,3.85,2.89,48.12,28.87,43.74,43.74,14.58,0,29.14,9.62,0,0,43.74,14.58,1.92,26.86,19.25,2.89,11.51,26.86,2.89,9.62,72.17,96.23,72.17,9.62,766.9899999999999

31,07:30-07:45,24.06,96.23,0,17.71,3.85,2.89,48.12,28.87,43.74,43.74,14.58,0,29.14,9.62,0,0,43.74,14.58,1.92,26.86,19.25,2.89,11.51,26.86,2.89,9.62,72.17,96.23,72.17,9.62,772.8599999999999

32,07:45-08:00,24.06,96.23,0,24.84,3.85,2.89,48.12,28.87,43.74,43.74,14.58,0,29.14,9.62,0,0,43.74,14.58,1.92,26.86,19.25,2.89,11.51,26.86,2.89,9.62,72.17,96.23,72.17,9.62,779.9899999999999

33,08:00-08:15,24.06,0,3.85,32.62,3.85,2.89,48.12,28.87,43.74,43.74,14.58,0,29.14,9.62,0,0,43.74,14.58,1.92,26.86,19.25,2.89,11.33,26.86,2.89,9.62,72.17,96.23,72.17,9.62,695.21

34,08:15-08:30,24.06,0,3.85,40.57,3.85,2.89,48.12,28.87,43.74,43.74,14.58,101.04,29.14,9.62,0,0,43.74,14.58,1.92,26.86,19.25,2.89,11.33,26.86,2.89,9.62,72.17,96.23,72.17,9.62,804.2

35,08:30-08:45,24.06,0,3.85,48.73,3.85,2.89,48.12,28.87,43.74,43.74,14.58,101.04,29.14,9.62,0,0,43.74,14.58,1.92,26.86,19.25,2.89,11.33,26.86,2.89,9.62,72.17,96.23,72.17,9.62,812.36

36,08:45-09:00,24.06,0,3.85,56.51,3.85,2.89,48.12,28.87,43.74,43.74,14.58,101.04,29.14,9.62,0,0,43.74,14.58,1.92,26.86,19.25,2.89,11.33,26.86,2.89,9.62,72.17,96.23,72.17,9.62,820.1400000000001

37,09:00-09:15,24.06,0,6.74,63.96,4.81,2.89,48.12,28.87,43.74,43.74,14.58,101.04,29.14,9.62,0,0,43.74,14.58,1.92,26.88,19.25,2.89,11.05,26.88,2.89,9.62,72.17,96.23,72.17,9.62,831.1999999999999

38,09:15-09:30,24.06,0,6.74,70.9,4.81,2.89,48.12,28.87,43.74,43.74,14.58,211.71,29.14,9.62,0,0,43.74,14.58,1.92,26.88,19.25,2.89,11.05,26.88,2.89,9.62,72.17,96.23,72.17,9.62,948.8099999999998

39,09:30-09:45,24.06,0,6.74,74.35,4.81,2.89,48.12,28.87,43.74,43.74,14.58,211.71,29.14,9.62,0,0,43.74,14.58,1.92,26.88,19.25,2.89,11.05,26.88,2.89,9.62,72.17,96.23,72.17,9.62,952.2599999999999

40,09:45-10:00,24.06,0,6.74,80.09,4.81,2.89,48.12,28.87,43.74,43.74,14.58,211.71,29.14,9.62,0,0,43.74,14.58,1.92,26.88,19.25,2.89,11.05,26.88,2.89,9.62,72.17,96.23,72.17,9.62,957.9999999999999

41,10:00-10:15,24.06,0,8.66,85.46,4.81,2.89,48.12,28.87,43.74,43.74,14.58,211.71,29.14,9.62,0,0,43.74,14.58,1.92,26.88,19.25,2.89,10.86,26.88,2.89,9.62,72.17,96.23,72.17,9.62,965.0999999999999

42,10:15-10:30,24.06,0,8.66,90.37,4.81,2.89,48.12,28.87,43.74,43.74,14.58,211.71,29.14,9.62,0,0,43.74,14.58,1.92,26.88,19.25,2.89,10.86,26.88,2.89,9.62,72.17,96.23,72.17,9.62,970.0099999999999

43,10:30-10:45,24.06,0,8.66,96.48,4.81,2.89,48.12,28.87,43.74,43.74,14.58,211.71,29.14,9.62,0,0,43.74,14.58,1.92,26.88,19.25,2.89,10.86,26.88,2.89,9.62,72.17,96.23,72.17,9.62,976.1199999999999

44,10:45-11:00,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.88,19.25,2.89,10.86,26.88,2.89,9.62,72.17,96.23,72.17,9.62,998.8799999999999

45,11:00-11:15,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.88,19.25,2.89,10.59,26.88,2.89,9.62,72.17,96.23,72.17,9.62,998.6099999999999

46,11:15-11:30,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.88,19.25,2.89,10.59,26.88,2.89,9.62,72.17,96.23,72.17,9.62,998.6099999999999

47,11:30-11:45,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.88,19.25,2.89,10.59,26.88,2.89,9.62,72.17,96.23,72.17,9.62,998.6099999999999

48,11:45-12:00,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.88,19.25,2.89,10.59,26.88,2.89,9.62,72.17,96.23,72.17,9.62,998.6099999999999

49,12:00-12:15,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,10.32,26.89,2.89,9.62,72.17,96.23,72.17,9.62,998.3599999999999

50,12:15-12:30,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,10.32,26.89,2.89,9.62,72.17,96.23,72.17,9.62,998.3599999999999

51,12:30-12:45,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,10.32,26.89,2.89,9.62,72.17,96.23,72.17,9.62,998.3599999999999

52,12:45-13:00,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,10.32,26.89,2.89,9.62,72.17,96.23,72.17,9.62,998.3599999999999

53,13:00-13:15,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,10.04,26.89,2.89,9.62,72.17,96.23,72.17,9.62,998.0799999999998

54,13:15-13:30,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,10.04,26.89,2.89,9.62,72.17,96.23,72.17,9.62,998.0799999999998

55,13:30-13:45,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,10.04,26.89,2.89,9.62,72.17,96.23,72.17,9.62,998.0799999999998

56,13:45-14:00,24.06,0,8.66,100,4.81,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,10.04,26.89,2.89,9.62,72.17,96.23,72.17,9.62,998.0799999999998

57,14:00-14:15,24.06,0,7.7,100,5.77,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,9.76,26.89,2.89,9.62,72.17,96.23,72.17,9.62,997.7999999999998

58,14:15-14:30,24.06,0,7.7,100,5.77,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,9.76,26.89,2.89,9.62,72.17,96.23,72.17,9.62,997.7999999999998

59,14:30-14:45,24.06,0,7.7,100,5.77,2.89,48.12,28.87,43.74,43.74,14.58,230.95,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,9.76,26.89,2.89,9.62,72.17,96.23,72.17,9.62,997.7999999999998

60,14:45-15:00,24.06,0,7.7,97.43,5.77,2.89,48.12,28.87,43.74,43.74,14.58,211.71,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,9.76,26.89,2.89,9.62,72.17,96.23,72.17,9.62,975.9899999999999

61,15:00-15:15,24.06,0,6.74,93.06,5.77,2.89,48.12,28.87,43.74,43.74,14.58,211.71,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,9.76,26.89,2.89,9.62,72.17,96.23,72.17,9.62,970.6599999999999

62,15:15-15:30,24.06,0,6.74,88.04,5.77,2.89,48.12,28.87,43.74,43.74,14.58,211.71,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,9.76,26.89,2.89,9.62,72.17,96.23,72.17,9.62,965.6399999999999

63,15:30-15:45,24.06,0,6.74,79.34,5.77,2.89,48.12,28.87,43.74,43.74,14.58,163.59,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,9.76,26.89,2.89,9.62,72.17,96.23,72.17,9.62,908.8199999999998

64,15:45-16:00,24.06,0,6.74,73.64,5.77,2.89,48.12,28.87,43.74,43.74,14.58,163.59,29.14,9.62,0,0,43.74,14.58,1.92,26.89,19.25,2.89,9.76,26.89,2.89,9.62,72.17,96.23,72.17,9.62,903.1199999999999

65,16:00-16:15,24.06,0,3.85,69.25,6.74,2.89,48.12,28.87,43.74,43.74,14.58,163.59,29.14,9.62,0,50,43.74,14.58,1.92,26.89,19.25,2.89,9.95,26.89,2.89,9.62,72.17,96.23,72.17,9.62,946.9999999999999

66,16:15-16:30,24.06,0,3.85,61.42,6.74,2.89,48.12,28.87,43.74,43.74,14.58,163.59,29.14,9.62,0,50,43.74,14.58,1.92,26.89,19.25,2.89,9.95,26.89,2.89,9.62,72.17,96.23,72.17,9.62,939.17

67,16:30-16:45,24.06,0,3.85,54.82,6.74,2.89,48.12,28.87,43.74,43.74,14.58,163.59,29.14,9.62,0,50,43.74,14.58,1.92,26.89,19.25,2.89,9.95,26.89,2.89,9.62,72.17,96.23,72.17,9.62,932.5699999999999

68,16:45-17:00,24.06,0,3.85,48.46,6.74,2.89,48.12,28.87,43.74,43.74,14.58,57.74,29.14,9.62,0,50,43.74,14.58,1.92,26.89,19.25,2.89,9.95,26.89,2.89,9.62,72.17,96.23,72.17,9.62,820.36

69,17:00-17:15,24.06,0,0,41.53,6.74,2.89,48.12,28.87,43.74,43.74,14.58,57.74,29.14,9.62,0,50,43.74,14.58,1.92,26.89,19.25,2.89,11.42,26.89,2.89,9.62,72.17,96.23,72.17,9.62,811.05

70,17:15-17:30,24.06,0,0,33.72,6.74,2.89,48.12,28.87,43.74,43.74,14.58,57.74,29.14,9.62,0,50,43.74,14.58,1.92,26.89,19.25,2.89,11.42,26.89,2.89,9.62,72.17,96.23,72.17,9.62,803.2399999999999

71,17:30-17:45,24.06,0,0,24.59,6.74,2.89,48.12,28.87,43.74,43.74,14.58,57.74,29.14,9.62,0,50,43.74,14.58,1.92,26.89,19.25,2.89,11.42,26.89,2.89,9.62,72.17,96.23,72.17,9.62,794.11

72,17:45-18:00,24.06,0,0,18.52,6.74,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,26.89,19.25,2.89,11.42,26.89,2.89,9.62,72.17,96.23,72.17,9.62,972.7999999999998

73,18:00-18:15,24.06,0,0,12.16,6.74,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,26.61,19.25,2.89,11.61,26.61,2.89,9.62,72.17,96.23,72.17,9.62,966.07

74,18:15-18:30,24.06,0,0,7.38,6.74,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,26.61,19.25,2.89,11.61,26.61,2.89,9.62,72.17,96.23,72.17,9.62,961.29

75,18:30-18:45,24.06,0,0,3.28,6.74,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,11.61,29.5,2.89,9.62,72.17,96.23,72.17,9.62,962.9699999999999

76,18:45-19:00,24.06,0,0,0.29,6.74,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,11.61,29.5,2.89,9.62,72.17,96.23,72.17,9.62,959.9799999999999

77,19:00-19:15,24.06,0,0,0,6.74,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,11.79,29.5,2.89,9.62,72.17,96.23,72.17,9.62,959.8699999999999

78,19:15-19:30,24.06,0,0,0,6.74,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,11.79,29.5,2.89,9.62,72.17,96.23,72.17,9.62,959.8699999999999

79,19:30-19:45,24.06,0,0,0,6.74,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,11.79,29.5,2.89,9.62,72.17,96.23,72.17,9.62,959.8699999999999

80,19:45-20:00,24.06,0,0,0,6.74,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,11.79,29.5,2.89,9.62,72.17,96.23,72.17,9.62,959.8699999999999

81,20:00-20:15,24.06,0,0,0,5.77,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,11.88,29.5,2.89,9.62,72.17,96.23,72.17,9.62,958.9899999999999

82,20:15-20:30,24.06,0,0,0,5.77,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,11.88,29.5,2.89,9.62,72.17,96.23,72.17,9.62,958.9899999999999

83,20:30-20:45,24.06,0,0,0,5.77,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,12.8,29.5,2.89,9.62,72.17,96.23,72.17,9.62,959.9099999999999

84,20:45-21:00,24.06,0,0,0,5.77,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,12.8,29.5,2.89,9.62,72.17,96.23,72.17,9.62,959.9099999999999

85,21:00-21:15,24.06,0,0,0,5.77,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,13.26,29.5,2.89,9.62,72.17,96.23,72.17,9.62,960.3699999999999

86,21:15-21:30,24.06,0,0,0,5.77,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,13.26,29.5,2.89,9.62,72.17,96.23,72.17,9.62,960.3699999999999

87,21:30-21:45,24.06,0,0,0,5.77,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,13.26,29.5,2.89,9.62,72.17,96.23,72.17,9.62,960.3699999999999

88,21:45-22:00,24.06,0,0,0,5.77,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,13.26,29.5,2.89,9.62,72.17,96.23,72.17,9.62,960.3699999999999

89,22:00-22:15,24.06,0,0,0,4.81,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,13.26,29.5,2.89,9.62,72.17,96.23,72.17,9.62,959.41

90,22:15-22:30,24.06,0,0,0,4.81,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,13.26,29.5,2.89,9.62,72.17,96.23,72.17,9.62,959.41

91,22:30-22:45,24.06,0,0,0,4.81,2.89,48.12,28.87,43.74,43.74,14.58,242.5,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,13.26,29.5,2.89,9.62,72.17,96.23,72.17,9.62,959.41

