Column1,Block,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/9317,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6957,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/26335/A/75721,NR/2025/26289/A/75724,NR/2025/25967/A/75677,NR/2025/27478/C,NR/2025/27492/C,NR/2025/27505/C,NR/2025/27501/C,NR/2025/26828/A/75691,NR/2025/27493/C,NR/2025/26879/A/75712,NR/2025/25860/A/75683,NR/2025/25859/A/75684,NR/2025/26101/A/75388,NR/2025/27149/A/75342,NR/2025/26085/A/75204,NR/2025/26827/A/75692,NR/2025/26336/A/75717,NR/2025/26825/A/75700,NR/2025/26829/A/75690,NR/2025/25861/A/75682,NR/2025/27517/C,NR/2025/26232/A/75727,NR/2025/26785/A/75227,NR/2025/26265/A/75725,NR/2025/26082/A/75824,NR/2025/26202/A/75823,NR/2025/26822/A/75693,NR/2025/26191/A/75307,NR/2025/27420/C,NR/2025/26153/A/75229,NR/2025/26004/A/75310,NR/2025/26291/A/75722,NR/2025/26379/A/75676,NR/2025/26959/A/75341,NR/2025/26005/A/75314,NR/2025/26233/A/75726,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/75225,NR/2025/27426/C,NR/2025/27443/C,NR/2025/27452/C,NR/2025/27464/C,NR/2025/27425/C,NR/2025/27421/C,NR/2025/27422/C,NR/2025/27424/C,NR/2025/27512/C,NR/2025/27502/C,NR/2025/27503/C,NR/2025/27504/C,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/16/1698,Total
15,03:30-03:45,0,14.49,10.63,82.12,14.06,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.48,43.91,111.1,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1851.5099999999993

16,03:45-04:00,0,14.49,10.63,82.12,14.06,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,0,33.81,144.92,96.61,0,1.93,0.48,43.91,111.1,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1851.5099999999993

17,04:00-04:15,0,14.49,10.63,82.12,13.78,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,48.3,0,0,96.61,0,1.93,0.48,43.91,111.1,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1720.7999999999993

18,04:15-04:30,0,14.49,10.63,82.12,13.78,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,48.3,0,0,96.61,0,1.93,0.48,43.91,111.1,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1720.7999999999993

19,04:30-04:45,0,14.49,10.63,82.12,13.78,164.24,26.5,26.5,0,48.3,164.24,0,108.55,0,0,14.64,48.3,0,0,96.61,0,1.93,0.48,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1609.6999999999996

20,04:45-05:00,0,14.49,10.63,82.12,13.78,164.24,26.5,26.5,0,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.48,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1555.4299999999996

21,05:00-05:15,0,14.49,10.63,82.12,13.59,164.24,26.5,26.5,0,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.48,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1555.2399999999998

22,05:15-05:30,0,14.49,10.63,82.12,13.59,164.24,26.5,26.5,0,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.48,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1555.2399999999998

23,05:30-05:45,0,14.49,10.63,82.12,13.59,164.24,26.5,26.5,0,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.48,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1554.2799999999997

24,05:45-06:00,0,14.49,10.63,82.12,13.59,164.24,26.5,26.5,0,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.48,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1554.6199999999997

25,06:00-06:15,0,14.49,10.63,82.12,13.41,164.24,26.5,26.5,1,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.58,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1556.3799999999997

26,06:15-06:30,0,14.49,10.63,82.12,13.41,164.24,26.5,26.5,4,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.58,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1560.7899999999995

27,06:30-06:45,0,14.49,10.63,82.12,13.41,164.24,26.5,26.5,7,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.58,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1565.6799999999996

28,06:45-07:00,0,14.49,10.63,82.12,13.41,164.24,26.5,26.5,14,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.58,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1574.9799999999996

29,07:00-07:15,0,14.49,10.63,82.12,13.23,164.24,26.5,26.5,25,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.68,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1588.4999999999995

30,07:15-07:30,0,14.49,10.63,82.12,13.23,164.24,26.5,26.5,35,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.68,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1601.5899999999995

31,07:30-07:45,0,14.49,10.63,82.12,13.23,164.24,26.5,26.5,53,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.68,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1623.2899999999995

32,07:45-08:00,0,14.49,10.63,82.12,13.23,164.24,26.5,26.5,67,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.68,43.91,0,43.91,37.33,0,0,4.83,0,0,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,20.19,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53,1641.3099999999995

33,08:00-08:15,0,14.49,10.63,82.12,12.95,164.24,26.5,26.5,81,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.97,43.91,0,43.91,37.33,0,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,24.49,7.73,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,0,13.53,0,0,0,20.53,1667.3499999999997

34,08:15-08:30,0,14.49,10.63,82.12,12.95,164.24,26.5,26.5,95,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.97,43.91,0,43.91,37.33,0,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,28.18,7.73,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,29.1,0,13.53,0,0,0,20.53,1685.0399999999997

35,08:30-08:45,0,14.49,10.63,82.12,12.95,164.24,26.5,26.5,109,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.97,43.91,0,43.91,37.33,0,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,32.81,7.73,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1692.1299999999997

36,08:45-09:00,0,14.49,10.63,82.12,12.95,164.24,26.5,26.5,123,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,0,1.93,0.97,43.91,0,43.91,37.33,0,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,5.8,48.3,4.83,37.26,7.73,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1710.5799999999997

37,09:00-09:15,0,14.49,10.63,82.12,12.76,164.24,26.61,26.61,137,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,6.76,48.3,0,41.53,10.63,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1786.8500000000001

38,09:15-09:30,0,14.49,10.63,82.12,12.76,164.24,26.61,26.61,151,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,6.76,48.3,0,45.65,10.63,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1804.9700000000003

39,09:30-09:45,0,14.49,10.63,82.12,12.76,164.24,26.61,26.61,161,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,6.76,48.3,0,49.63,10.63,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1818.9500000000003

40,09:45-10:00,0,14.49,10.63,82.12,12.76,164.24,26.61,26.61,172,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,6.76,48.3,0,53.5,10.63,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1833.8200000000002

