Time,Block,ER/2023/8040/C,NR/2023/10786/A,NR/2023/12872/F,WR/2023/15879/C,NR/2023/11266/A,NR/2023/12813/F,NR/2023/10651/A,NR/2023/11953/A,NR/2023/11709/A,NR/2023/12814/F,NR/2023/12923/F,NR/2023/11507/A,ER/2023/8029/C,NR/2023/12915/F,NR/2023/12922/F,NR/2023/10436/A,NR/2023/10959/A,NR/2023/10460/A,NR/2023/12919/F,NR/2023/12917/F,NR/2023/12956/F,NR/2023/10720/A,NR/2023/12924/F,NR/2023/11447/A,NR/2023/13149/C,NR/2023/13072/D,SR/2023/5884/C,NR/2023/13146/C,NR/2023/12920/F,NR/2023/13157/C,NR/2023/12916/F,NR/2023/12661/A,NR/2023/12169/A,NR/2023/10947/A,NR/2023/12921/F,NR/2023/13164/C,NR/2023/12706/A,NR/2023/13141/D,NR/2023/10956/A,NR/2023/11712/A,NR/2023/13153/C,WR/2023/15878/C,NR/2023/13133/D,NR/2023/13138/D,NR/2023/13130/D,Total
49,12:00-12:15,8.550000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.530000,28.000000,6.39,173.6,74.4,1559.5

50,12:15-12:30,8.550000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.530000,28.000000,6.39,173.6,74.4,1559.5

51,12:30-12:45,8.550000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.530000,28.000000,6.77,173.6,74.4,1559.88

52,12:45-13:00,8.550000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.530000,28.000000,7.26,173.6,74.4,1560.37

53,13:00-13:15,8.550000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.440000,28.000000,7.74,173.6,74.4,1560.76

54,13:15-13:30,8.550000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.440000,28.000000,8.71,173.6,74.4,1561.73

55,13:30-13:45,8.550000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.440000,28.000000,9.36,173.6,74.4,1562.38

56,13:45-14:00,8.550000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.440000,28.000000,8.8,172.2,73.8,1559.82

57,14:00-14:15,8.550000,106.420000,0.970000,100.000000,17.200000,62.890000,63.130000,0.000000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,42.640000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.350000,28.000000,8.51,172.9,74.1,1546.08

58,14:15-14:30,8.550000,106.420000,0.970000,100.000000,17.200000,62.890000,63.130000,0.000000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,42.640000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.350000,28.000000,8.22,169.4,72.6,1540.79

59,14:30-14:45,8.550000,106.420000,0.970000,100.000000,17.200000,62.890000,63.130000,0.000000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,42.640000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.350000,28.000000,7.74,165.2,70.8,1534.31

60,14:45-15:00,8.550000,106.420000,0.970000,100.000000,17.200000,62.890000,63.130000,0.000000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,42.640000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.350000,28.000000,7.55,156.8,67.2,1522.12

61,15:00-15:15,8.550000,106.420000,0.970000,100.000000,36.710000,62.890000,63.130000,0.000000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,23.130000,0.00,27.520000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.250000,28.000000,7.26,147,63,1477.73

62,15:15-15:30,8.550000,106.420000,0.970000,100.000000,36.710000,62.890000,63.130000,0.000000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,23.130000,0.00,27.520000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.250000,28.000000,6.39,140.7,60.3,1467.86

63,15:30-15:45,8.550000,106.420000,0.970000,100.000000,36.710000,62.890000,63.130000,0.000000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,23.130000,0.00,27.520000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.250000,28.000000,6.43,127.4,54.6,1448.9

64,15:45-16:00,8.550000,106.420000,0.970000,100.000000,36.710000,62.890000,63.130000,0.000000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,23.130000,0.00,27.520000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.250000,28.000000,5.51,121.1,51.9,1438.98

65,16:00-16:15,8.550000,106.420000,0.970000,100.000000,36.710000,62.890000,63.130000,0.000000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,23.130000,0.00,31.590000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,20.050000,100.140000,64.340000,16.250000,28.000000,4.64,112,48,1419.18

66,16:15-16:30,8.550000,106.420000,0.970000,100.000000,36.710000,62.890000,63.130000,0.000000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,23.130000,0.00,31.590000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,20.050000,100.140000,64.340000,16.250000,28.000000,4.74,101.5,43.5,1404.28

67,16:30-16:45,8.550000,106.420000,0.970000,100.000000,36.710000,62.890000,63.130000,0.000000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,23.130000,0.00,31.590000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,20.050000,100.140000,64.340000,16.250000,28.000000,4.31,87.5,37.5,1383.85

68,16:45-17:00,8.550000,106.420000,0.970000,100.000000,36.710000,62.890000,63.130000,0.000000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,23.130000,0.00,31.590000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,20.050000,100.140000,64.340000,16.250000,28.000000,3.96,74.9,32.1,1365.5

69,17:00-17:15,8.550000,48.380000,0.680000,100.000000,36.710000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,0.00,31.590000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,20.050000,100.140000,64.340000,16.350000,28.000000,3.78,59.5,25.5,1237.74

70,17:15-17:30,8.550000,48.380000,0.680000,100.000000,36.710000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,0.00,31.590000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,20.050000,100.140000,64.340000,16.350000,28.000000,2.9,46.9,20.1,1218.86

71,17:30-17:45,8.550000,48.380000,0.680000,100.000000,36.710000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,0.00,31.590000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,20.050000,100.140000,64.340000,16.350000,28.000000,1.94,32.2,13.8,1196.9

72,17:45-18:00,8.550000,48.380000,0.680000,100.000000,36.710000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,0.00,31.590000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,65.130000,100.140000,64.340000,16.350000,28.000000,1.26,21,9,1225.3

73,18:00-18:15,8.550000,48.380000,0.680000,100.000000,36.710000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,0.00,30.570000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,110.220000,100.140000,64.340000,16.440000,28.000000,0,12.6,5.4,1292.7

74,18:15-18:30,8.550000,48.380000,0.680000,100.000000,36.710000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,0.00,30.570000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,110.220000,100.140000,64.340000,16.440000,28.000000,0,4.9,2.1,1281.7

75,18:30-18:45,8.550000,48.380000,0.680000,100.000000,36.710000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,0.00,30.570000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,142.340000,100.140000,64.340000,16.440000,28.000000,0,7,3,1316.82

76,18:45-19:00,8.550000,48.380000,0.680000,100.000000,59.840000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,0.00,30.570000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,142.340000,100.140000,64.340000,16.440000,28.000000,0,0.7,0.3,1307.82

77,19:00-19:15,8.550000,48.380000,0.730000,150.000000,59.840000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,0.00,30.570000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,142.340000,100.140000,64.340000,16.620000,28.000000,0,0,0,1357.05

78,19:15-19:30,8.550000,48.380000,0.730000,150.000000,59.840000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,0.00,30.570000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,142.340000,100.140000,64.340000,16.620000,28.000000,0,0,0,1357.05

79,19:30-19:45,8.550000,48.380000,0.730000,150.000000,59.840000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,0.00,30.570000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,142.340000,100.140000,64.340000,16.620000,28.000000,0,0,0,1357.05

80,19:45-20:00,8.550000,48.380000,0.730000,150.000000,59.840000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,0.00,30.570000,0.660000,0.000000,0.350000,38.700000,0.000000,0.000000,0.660000,0.000000,6.770000,142.340000,100.140000,64.340000,16.620000,28.000000,0,0,0,1357.05

81,20:00-20:15,8.550000,48.380000,0.770000,150.000000,59.840000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,70.00,30.570000,0.640000,0.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,142.340000,100.140000,64.340000,16.810000,28.000000,0,0,0,1427.28

82,20:15-20:30,8.550000,48.380000,0.770000,150.000000,59.840000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,70.00,30.570000,0.640000,0.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,142.340000,100.140000,64.340000,16.810000,28.000000,0,0,0,1427.28

83,20:30-20:45,8.550000,48.380000,0.770000,150.000000,59.840000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,70.00,30.570000,0.640000,0.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,123.740000,100.140000,64.340000,16.810000,28.000000,0,0,0,1408.68

84,20:45-21:00,8.550000,48.380000,0.770000,150.000000,59.840000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,70.00,30.570000,0.640000,0.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,110.220000,100.140000,64.340000,16.810000,28.000000,0,0,0,1395.16

85,21:00-21:15,8.550000,91.910000,0.770000,150.000000,36.710000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,100.00,30.570000,0.640000,0.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,65.130000,100.140000,64.340000,17.000000,28.000000,0,0,0,1423.79

86,21:15-21:30,8.550000,91.910000,0.770000,150.000000,36.710000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,100.00,30.570000,0.640000,0.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,65.130000,100.140000,64.340000,17.000000,28.000000,0,0,0,1423.79

87,21:30-21:45,8.550000,91.910000,0.770000,150.000000,36.710000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,100.00,30.570000,0.640000,0.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.000000,28.000000,0,0,0,1378.71

88,21:45-22:00,8.550000,91.910000,0.770000,150.000000,59.840000,62.890000,63.130000,36.500000,0.000000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,100.00,30.570000,0.640000,0.000000,0.370000,38.700000,0.000000,0.000000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.000000,28.000000,0,0,0,1378.71

89,22:00-22:15,8.550000,91.910000,0.730000,150.000000,59.840000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,100.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.180000,28.000000,0,0,0,1493.88

90,22:15-22:30,8.550000,91.910000,0.730000,150.000000,59.840000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,100.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.180000,28.000000,0,0,0,1493.88

91,22:30-22:45,8.550000,91.910000,0.730000,150.000000,59.840000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,100.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.180000,28.000000,0,0,0,1493.88

92,22:45-23:00,8.550000,91.910000,0.730000,150.000000,59.840000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,100.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.180000,28.000000,0,0,0,1493.88

93,23:00-23:15,8.550000,91.910000,0.630000,150.000000,59.840000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,0.000000,100.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.370000,28.000000,0,0,0,1493.97

94,23:15-23:30,8.550000,91.910000,0.630000,150.000000,36.710000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,100.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.370000,28.000000,0,0,0,1493.97

95,23:30-23:45,8.550000,91.910000,0.630000,150.000000,36.710000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,100.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.370000,28.000000,0,0,0,1493.97

96,23:45-24:00,8.550000,91.910000,0.630000,150.000000,36.710000,62.890000,63.130000,36.500000,23.160000,78.370000,0.420000,300.400000,0.000000,0.360000,0.700000,24.190000,25.040000,23.220000,0.560000,0.720000,4.840000,23.700000,0.420000,14.960000,0.000000,23.130000,100.00,29.560000,0.640000,0.000000,0.370000,38.700000,65.020000,27.860000,0.640000,0.000000,6.770000,20.050000,100.140000,64.340000,17.370000,28.000000,0,0,0,1493.97

