Column1,Block,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/16/1676,GNA/SR/2025/02/01/6460,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/4863,NR/30092023/31122025/SH-07,GNA/NR/2025/02/16/1380,GNA/NR/2025/02/01/9969,NR/30092023/26122029/SH-06,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/2143,GNA/WR/2024/11/01/4200,NR/2024/24418/A/55289,GNA/WR/2025/01/01/9606,GNA/WR/2025/01/01/8625,WR/2025/26047/A/55396,GNARE/NR/2024/12/20/3668,NR/2025/25267/A/55460,NR/2025/25426/C,NR/2025/25265/A/55458,NR/2025/25427/C,NR/2025/25266/A/55457,NR/2025/25070/A/55497,Total
27,06:30-06:45,36.53,0,75,4.69,7.21,17.9,0,43.26,17.9,0,13.46,36.53,0,0.43,0,0,0,0,0,0,0,0,0,17.3,270.21

28,06:45-07:00,36.53,0,75,4.69,7.21,17.9,0,43.26,17.9,0,13.46,36.53,0,0.43,0,0,0,0.32,0,0,0,0,0,17.3,270.53

29,07:00-07:15,36.53,0,75,4.6,7.21,32,0,43.26,0,0,13.46,36.53,0,0.48,0,0,0,1.78,0,0,0,0,0,17.3,268.15

30,07:15-07:30,36.53,0,75,4.6,7.21,31.41,0,43.26,31.41,0,13.46,36.53,0,0.48,0,0,0,3.56,0,0,0,0,0,17.3,300.75

31,07:30-07:45,36.53,0,75,4.6,7.21,31.41,0,43.26,31.41,0,13.46,36.53,0,0.48,0,0,0,5.8,0,0,0,0,0,17.3,302.99

32,07:45-08:00,36.53,0,75,4.6,7.21,31.41,0,43.26,31.41,0,13.46,36.53,0,0.48,0,0,0,8.66,0,0,0,0,0,17.3,305.85

33,08:00-08:15,36.53,0,75,6.08,7.21,32,0,43.26,32,0,13.46,36.53,0,0.87,0,0,0,10,0,0,0,0,0,17.3,310.24

34,08:15-08:30,36.53,0,75,6.08,7.21,32,0,43.26,32,0,13.46,36.53,0,0.87,0,0,0,14.07,0,0,0,0,0,17.3,314.31

35,08:30-08:45,36.53,0,75,6.08,7.21,32,0,43.26,32,0,13.46,36.53,0,0.87,0,0,0,18.5,0,0,0,0,0,17.3,318.74

36,08:45-09:00,36.53,0,75,6.08,7.21,32,0,43.26,32,0,13.46,36.53,0,0.87,0,0,0,22.7,0,0,0,0,0,17.3,322.94

37,09:00-09:15,23.07,0,75,6.08,7.21,13.39,0,23.07,32,0,8.65,23.07,0,0.87,0,0,0,26.51,0,2.6,0,24.51,0,17.3,283.33

38,09:15-09:30,23.07,0,75,6.08,7.21,13.39,0,23.07,32,0,8.65,23.07,0,0.87,0,0,0,30.48,0,3.08,0,32.01,0,17.3,295.28000000000003

39,09:30-09:45,23.07,0,75,6.08,7.21,22.7,0,23.07,22.7,0,8.65,23.07,0,0.87,0,0,0,30,0,1.25,0,37.88,0,17.3,298.84999999999997

40,09:45-10:00,23.07,0,75,6.08,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,31.67,0,2.31,0,38.45,0,17.3,310.67

41,10:00-10:15,23.07,0,75,5.98,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,33.33,0,6.83,0,38.45,0,17.3,316.75

42,10:15-10:30,23.07,0,75,5.98,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,35,0,10,0,38.45,0,17.3,321.59000000000003

43,10:30-10:45,23.07,0,75,5.98,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,38.33,0,11.34,0,38.45,0,17.3,326.26

44,10:45-11:00,23.07,0,75,5.98,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,46.67,0,12.59,0,38.45,0,17.3,335.84999999999997

45,11:00-11:15,23.07,0,75,5.89,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,52.89,0.48,13.46,0.77,38.45,1.06,17.3,345.15999999999997

46,11:15-11:30,23.07,0,75,5.89,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,56.66,0.48,14.32,0.77,38.45,1.06,17.3,349.78999999999996

47,11:30-11:45,23.07,0,75,5.89,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,64.98,0.48,14.42,0.77,38.45,1.06,17.3,358.21000000000004

48,11:45-12:00,23.07,0,75,5.89,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,67.56,0.48,14.42,0.77,38.45,1.06,17.3,360.79

49,12:00-12:15,23.07,0,75,5.8,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,90,0.48,14.42,0.77,38.45,1.06,17.3,383.14

50,12:15-12:30,23.07,0,75,5.8,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,90,0.48,14.42,0.77,38.45,1.06,17.3,383.14

51,12:30-12:45,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,90,0.48,14.42,0.77,38.45,1.06,17.3,384.61

52,12:45-13:00,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,90,0.48,14.42,0.77,38.45,1.06,17.3,384.61

53,13:00-13:15,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,90,0.48,14.42,0.77,38.45,1.06,17.3,384.61

54,13:15-13:30,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,90,0.48,14.42,0.77,38.45,1.06,17.3,384.61

55,13:30-13:45,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,90,0.48,14.42,0.77,38.45,1.06,17.3,384.61

56,13:45-14:00,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,90.94,0.48,14.42,0.77,38.45,1.06,17.3,385.55

57,14:00-14:15,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,97.35,0.48,14.42,0.67,38.45,1.06,17.3,391.86000000000007

58,14:15-14:30,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,96.63,0.48,14.03,0.77,38.84,0.96,17.3,391.14

59,14:30-14:45,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,96,0.48,14.42,0.77,38.45,1.06,17.3,390.61

60,14:45-15:00,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.87,0,0,0,92.05,0.48,14.42,0.77,38.45,1.06,17.3,386.66

61,15:00-15:15,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.67,0,0,0,86.57,0.48,14.42,0.77,38.45,1.06,17.3,380.98

62,15:15-15:30,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.67,0,0,0,80.69,0.48,14.42,0.77,38.45,1.06,17.3,375.1

63,15:30-15:45,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.67,0,0,0,74.33,0.38,14.42,0.67,38.45,0.96,17.3,368.44

64,15:45-16:00,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.67,0,0,0,67.82,0.38,14.42,0.58,38.45,0.87,17.3,361.75

65,16:00-16:15,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.53,0,0,0,60.77,0.26,14.61,0.52,34.61,0.68,17.3,350.54

66,16:15-16:30,23.07,0,75,7.27,7.21,26.96,0,23.07,26.96,0,8.65,23.07,0,0.53,0,0,0,54.5,0.21,12.3,0.35,28.84,0.49,17.3,335.78

67,16:30-16:45,36.53,0,75,7.27,7.21,26.96,0,43.26,26.96,0,13.46,36.53,0,0.53,0,0,0,46.5,0.11,10,0.21,22.88,0.27,17.3,370.97999999999996

68,16:45-17:00,36.53,0,75,7.27,7.21,26.96,0,43.26,26.96,0,13.46,36.53,0,0.53,0,0,0,38.29,0.08,8.56,0.11,16.82,0.14,17.3,355.01

69,17:00-17:15,36.53,0,75,7.27,7.21,26.96,0,43.26,26.96,0,13.46,36.53,0,0.53,0,0,0,31.31,0.04,0,0.04,0,0.06,17.3,322.46000000000004

70,17:15-17:30,36.53,0,75,7.27,7.21,26.96,0,43.26,26.96,0,13.46,36.53,0,0.53,0,0,0,24.42,0,0,0,0,0,17.3,315.43

71,17:30-17:45,36.53,0,75,8.65,7.21,32,0,43.26,26.14,0,13.46,36.53,0,0.53,0,0,0,17.54,0,0,0,0,0,17.3,314.15

72,17:45-18:00,36.53,0,75,8.65,7.21,32,0,43.26,26.14,0,13.46,36.53,0,0.53,0,0,0,10.99,0,0,0,0,0,17.3,307.59999999999997

73,18:00-18:15,36.53,0,75,8.65,7.21,32,0,43.26,32,0,13.46,36.53,50,0.53,200,0,38.45,0.29,0,0,0,0,0,17.3,591.2099999999999

74,18:15-18:30,36.53,0,75,8.65,7.21,32,0,43.26,32,0,13.46,36.53,50,0.53,200,0,38.45,0.29,0,0,0,0,0,17.3,591.2099999999999

75,18:30-18:45,36.53,0,75,8.65,7.21,32,0,43.26,32,50,13.46,36.53,50,0.53,200,0,38.45,0.29,0,0,0,0,0,17.3,641.2099999999999

76,18:45-19:00,36.53,0,75,8.65,7.21,32,0,43.26,32,50,13.46,36.53,50,0.53,200,0,38.45,0.29,0,0,0,0,0,17.3,641.2099999999999

77,19:00-19:15,36.53,0,75,8.56,7.21,32,0,43.26,32,50,13.46,36.53,50,0.62,200,0,38.45,0.29,0,0,0,0,0,17.3,641.2099999999999

78,19:15-19:30,36.53,0,75,8.56,7.21,32,0,43.26,32,50,13.46,36.53,50,0.62,200,0,38.45,0.29,0,0,0,0,0,17.3,641.2099999999999

79,19:30-19:45,36.53,0,75,8.56,7.21,32,0,43.26,32,50,13.46,36.53,50,0.62,200,0,38.45,0,0,0,0,0,0,17.3,640.92

80,19:45-20:00,36.53,0,75,8.56,7.21,32,0,43.26,32,50,13.46,36.53,50,0.62,200,0,38.45,0,0,0,0,0,0,17.3,640.92

81,20:00-20:15,36.53,0,75,8.46,7.21,25.48,0,43.26,26.99,50,13.46,36.53,50,0.62,150,0,38.45,0,0,0,0,0,0,17.3,579.29

82,20:15-20:30,36.53,0,75,8.46,7.21,25.48,0,43.26,26.99,50,13.46,36.53,50,0.62,150,0,38.45,0,0,0,0,0,0,17.3,579.29

83,20:30-20:45,36.53,0,75,8.46,7.21,26.94,0,43.26,26.94,50,13.46,36.53,50,0.62,150,0,38.45,0,0,0,0,0,0,17.3,580.7

84,20:45-21:00,36.53,0,75,8.46,7.21,26.94,0,43.26,26.94,50,13.46,36.53,50,0.62,150,0,38.45,0,0,0,0,0,0,17.3,580.7

85,21:00-21:15,23.07,0,75,8.37,7.21,26.94,0,23.07,26.94,50,8.65,23.07,50,0.58,150,0,38.45,0,0,0,0,0,0,17.3,528.65

86,21:15-21:30,23.07,0,75,8.37,7.21,26.94,0,23.07,26.94,50,8.65,23.07,50,0.58,150,0,38.45,0,0,0,0,0,0,17.3,528.65

87,21:30-21:45,23.07,0,75,8.37,7.21,26.94,0,23.07,26.94,50,8.65,23.07,50,0.58,150,0,38.45,0,0,0,0,0,0,17.3,528.65

88,21:45-22:00,23.07,0,75,8.37,7.21,26.94,0,23.07,26.94,50,8.65,23.07,50,0.58,150,0,38.45,0,0,0,0,0,0,17.3,528.65

89,22:00-22:15,23.07,47.56,75,9.56,7.21,26.94,15.85,23.07,26.94,50,8.65,23.07,50,0.53,150,0,38.45,0,0,0,0,0,0,17.3,593.1999999999999

90,22:15-22:30,23.07,47.56,75,9.56,7.21,26.94,15.85,23.07,26.94,50,8.65,23.07,50,0.53,150,0,38.45,0,0,0,0,0,0,17.3,593.1999999999999

91,22:30-22:45,23.07,47.56,75,9.56,7.21,26.94,15.85,23.07,26.94,50,8.65,23.07,50,0.53,150,0,38.45,0,0,0,0,0,0,17.3,593.1999999999999

92,22:45-23:00,23.07,47.56,75,9.56,7.21,26.94,15.85,23.07,26.94,50,8.65,23.07,50,0.53,150,0,38.45,0,0,0,0,0,0,17.3,593.1999999999999

93,23:00-23:15,23.07,47.56,75,9.38,7.21,26.94,15.85,23.07,26.94,50,8.65,23.07,50,0.48,150,0,38.45,0,0,0,0,0,0,17.3,592.97

94,23:15-23:30,23.07,47.56,75,9.38,7.21,26.94,15.85,23.07,26.94,50,8.65,23.07,50,0.48,150,0,38.45,0,0,0,0,0,0,17.3,592.97

95,23:30-23:45,23.07,47.56,75,9.38,7.21,26.94,15.85,23.07,26.94,50,8.65,23.07,50,0.48,150,0,38.45,0,0,0,0,0,0,17.3,592.97

96,23:45-24:00,23.07,47.56,75,9.38,7.21,26.94,15.85,23.07,26.94,50,8.65,23.07,50,0.48,150,0,38.45,0,0,0,0,0,0,17.3,592.97

