Column1,Block,NR/2024/23384/A/40203,NR/2024/23510/A/40221,NR/2024/23382/A/40371,NR/2024/23618/C,NR/2024/23599/C,NR/2024/23383/A/40400,NR/2024/23414/A/40195,NR/2024/23605/C,NR/2024/23389/A/40325,NR/2024/23356/A/40326,GNA/NR/2024/10/09/6619,NR/30092023/26122029/SH-06,NR/2024/23614/C,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/09/7320,NR/2024/23446/A/40370,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/09/8664,NR/2024/23620/C,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,NR/30092023/31122025/SH-07,Total
17,04:00-04:15,6.79,2.91,24.99,0,194.02,0.44,0,0,0,0,0,26.92,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,26.92,766.54

18,04:15-04:30,6.79,2.91,24.99,0,194.02,0.44,0,0,0,0,0,26.92,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,26.92,766.54

19,04:30-04:45,6.79,2.91,24.99,0,194.02,0.44,0,0,0,0,0,26.92,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,26.92,766.54

20,04:45-05:00,6.79,2.91,24.99,0,194.02,0.44,0,0,0,0,0,26.92,48.5,37.47,12.49,0,0,6.63,291.03,0,37.47,37.47,12.49,26.92,766.54

21,05:00-05:15,6.79,2.91,24.99,0,194.02,0.49,0,0,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,766.5400000000001

22,05:15-05:30,6.79,2.91,24.99,0,194.02,0.49,0,0,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,766.5400000000001

23,05:30-05:45,6.79,2.91,24.99,0,194.02,0.49,0,0,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,766.5400000000001

24,05:45-06:00,6.79,2.91,24.99,0,194.02,0.49,0,0,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,766.5400000000001

25,06:00-06:15,6.79,2.91,24.99,0,194.02,0.53,0,0.05,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,766.63

26,06:15-06:30,6.79,2.91,24.99,0,194.02,0.53,0,0.05,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,766.63

27,06:30-06:45,6.79,2.91,24.99,0,194.02,0.53,0,0.17,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,766.7499999999999

28,06:45-07:00,6.79,2.91,24.99,0,194.02,0.53,0,0.43,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,767.0100000000001

29,07:00-07:15,6.79,2.91,24.99,0,194.02,0.58,0,0.59,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,767.2199999999999

30,07:15-07:30,6.79,2.91,24.99,0,194.02,0.58,0,0.93,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,767.5600000000001

31,07:30-07:45,6.79,2.91,24.99,0,194.02,0.58,0,1.31,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,767.9399999999999

32,07:45-08:00,6.79,2.91,24.99,0,194.02,0.58,0,1.67,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,768.3000000000001

33,08:00-08:15,6.79,2.91,24.99,0,194.02,0.97,0,2.17,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,769.1899999999999

34,08:15-08:30,6.79,2.91,24.99,0,194.02,0.97,0,3.5,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,770.5200000000001

35,08:30-08:45,6.79,2.91,24.99,0,194.02,0.97,0,3.7,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,770.7199999999999

36,08:45-09:00,6.79,2.91,24.99,0,194.02,0.97,0,4.51,0,0,0,26.92,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,26.92,771.5300000000001

37,09:00-09:15,0,2.91,9.7,0,194.02,0.87,6.79,4.32,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.93,824.61

38,09:15-09:30,0,2.91,9.7,0,194.02,0.87,6.79,4.76,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.93,825.05

39,09:30-09:45,0,2.91,9.7,0,194.02,0.87,6.79,5.77,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.93,826.0600000000001

40,09:45-10:00,0,2.91,9.7,0,194.02,0.87,6.79,6.78,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.93,827.07

41,10:00-10:15,0,2.91,9.7,0,194.02,0.87,6.79,7.24,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.93,827.53

42,10:15-10:30,0,2.91,9.7,0,194.02,0.87,6.79,7.35,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.93,827.64

43,10:30-10:45,0,2.91,9.7,0,194.02,0.87,6.79,7.65,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.93,827.94

44,10:45-11:00,0,2.91,9.7,0,194.02,0.87,6.79,7.99,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.93,828.28

45,11:00-11:15,0,2.91,9.7,0,194.02,0.87,6.79,7.91,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.93,828.2

46,11:15-11:30,0,2.91,9.7,0,194.02,0.87,6.79,7.36,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.93,827.65

47,11:30-11:45,0,2.91,9.7,0,194.02,0.87,6.79,6.76,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.93,827.05

48,11:45-12:00,0,2.91,9.7,0,194.02,0.87,6.79,6.89,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.93,827.18

49,12:00-12:15,0,2.91,9.7,0,194.02,0.87,6.79,7.87,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.48,291.03,0,37.47,37.47,12.49,26.93,828.0600000000001

50,12:15-12:30,0,2.91,9.7,0,194.02,0.87,6.79,5.21,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.48,291.03,0,37.47,37.47,12.49,26.93,825.4

51,12:30-12:45,0,2.91,9.7,0,194.02,0.87,6.79,6.78,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.48,291.03,0,37.47,37.47,12.49,26.93,826.9700000000001

52,12:45-13:00,0,2.91,9.7,0,194.02,0.87,6.79,6.3,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.48,291.03,0,37.47,37.47,12.49,26.93,826.4900000000001

53,13:00-13:15,0,2.91,9.7,0,194.02,0.78,6.79,8.39,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.48,291.03,0,37.47,37.47,12.49,26.93,828.4900000000001

54,13:15-13:30,0,2.91,9.7,0,194.02,0.78,6.79,7.95,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.48,291.03,0,37.47,37.47,12.49,26.93,828.0500000000001

55,13:30-13:45,0,2.91,9.7,0,194.02,0.78,6.79,6.36,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.48,291.03,0,37.47,37.47,12.49,26.93,826.4600000000002

56,13:45-14:00,0,2.91,9.7,0,194.02,0.78,6.79,3.37,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.48,291.03,0,37.47,37.47,12.49,26.93,823.4700000000001

57,14:00-14:15,0,2.91,9.7,0,194.02,0.92,6.79,7.08,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.48,291.03,0,37.47,37.47,12.49,26.93,827.32

58,14:15-14:30,0,2.91,9.7,0,194.02,0.92,6.79,6.89,42.68,10.67,0,26.93,48.5,37.47,12.49,0,15.29,6.48,291.03,0,37.47,37.47,12.49,26.93,827.13

59,14:30-14:45,0,2.91,9.7,0,194.02,0.92,6.79,6.88,42.68,10.67,0,25.57,48.5,37.47,12.49,0,15.29,6.48,291.03,0,37.47,37.47,12.49,25.57,824.4000000000002

60,14:45-15:00,0,2.91,9.7,0,194.02,0.92,6.79,6.56,42.68,10.67,0,25.57,48.5,37.47,12.49,0,15.29,6.48,291.03,0,37.47,37.47,12.49,25.57,824.08

61,15:00-15:15,0,2.91,9.7,0,194.02,0.92,6.79,6.21,42.68,10.67,0,25.57,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.91,825.17

62,15:15-15:30,0,2.91,9.7,0,194.02,0.92,6.79,5.25,42.68,10.67,0,25.57,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.91,824.21

63,15:30-15:45,0,2.91,9.7,0,194.02,0.92,6.79,4.64,42.68,10.67,0,25.57,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.91,823.6

64,15:45-16:00,0,2.91,9.7,0,194.02,0.92,6.79,4.48,42.68,10.67,0,25.57,48.5,37.47,12.49,0,15.29,6.58,291.03,0,37.47,37.47,12.49,26.91,823.4399999999999

65,16:00-16:15,6.79,2.91,24.99,0,194.02,0.78,0,3.74,42.68,10.67,0,25.57,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,25.57,821.2200000000001

66,16:15-16:30,6.79,2.91,24.99,0,194.02,0.78,0,3.08,42.68,10.67,0,25.57,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,25.57,820.5600000000001

67,16:30-16:45,6.79,2.91,24.99,0,194.02,0.78,0,2.41,36.86,10.67,0,25.57,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,25.57,814.07

68,16:45-17:00,6.79,2.91,24.99,0,194.02,0.78,0,1.81,27.36,10.67,0,25.57,48.5,37.47,12.49,0,0,6.58,291.03,0,37.47,37.47,12.49,25.57,803.9700000000001

69,17:00-17:15,6.79,2.91,29.39,0,194.02,0.73,0,1.29,0,0,0,6.44,48.5,39.77,12.49,58.21,0,6.58,291.03,0,39.77,39.77,12.49,30.5,820.6799999999998

70,17:15-17:30,6.79,2.91,29.39,0,194.02,0.73,0,0.98,0,0,0,6.44,48.5,39.77,12.49,58.21,0,6.58,291.03,0,39.77,39.77,12.49,30.5,820.3699999999999

71,17:30-17:45,6.79,2.91,29.39,67.91,194.02,0.73,0,0.71,0,0,121.26,30.5,48.5,39.77,12.49,58.21,0,6.58,291.03,14.07,39.77,39.77,12.49,30.5,1047.4

72,17:45-18:00,6.79,2.91,29.39,67.91,194.02,0.73,0,0.46,0,0,121.26,30.5,48.5,39.77,12.49,58.21,0,6.58,291.03,14.07,39.77,39.77,12.49,30.5,1047.15

73,18:00-18:15,6.79,2.91,29.39,73.73,194.02,0.73,0,0.19,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1053.75

74,18:15-18:30,6.79,2.91,29.39,73.73,194.02,0.73,0,0.02,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1053.58

75,18:30-18:45,6.79,2.91,29.39,73.73,194.02,0.73,0,0.02,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1053.58

76,18:45-19:00,6.79,2.91,29.39,67.91,194.02,0.73,0,0,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1047.74

77,19:00-19:15,6.79,2.91,29.39,67.91,194.02,0.68,0,0,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1047.69

78,19:15-19:30,6.79,2.91,29.39,67.91,194.02,0.68,0,0,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1047.69

79,19:30-19:45,6.79,2.91,29.39,67.91,194.02,0.68,0,0,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1047.69

80,19:45-20:00,6.79,2.91,29.39,67.91,194.02,0.68,0,0,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1047.69

81,20:00-20:15,6.79,2.91,29.39,67.91,194.02,0.68,0,0,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1047.69

82,20:15-20:30,6.79,2.91,29.39,67.91,194.02,0.68,0,0,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1047.69

83,20:30-20:45,6.79,2.91,29.39,67.91,194.02,0.68,0,0,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1047.69

84,20:45-21:00,6.79,2.91,29.39,67.91,194.02,0.68,0,0,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1047.69

85,21:00-21:15,6.79,2.91,24.99,67.91,194.02,0.73,0,0,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1043.3400000000001

86,21:15-21:30,6.79,2.91,24.99,67.91,194.02,0.73,0,0,0,0,121.26,31,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1043.3400000000001

87,21:30-21:45,6.79,2.91,24.99,67.91,194.02,0.73,0,0,0,0,121.26,0,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1012.34

88,21:45-22:00,6.79,2.91,24.99,67.91,194.02,0.73,0,0,0,0,121.26,0,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1012.34

89,22:00-22:15,6.79,2.91,24.99,67.91,194.02,0.68,0,0,0,0,121.26,24.64,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1036.93

90,22:15-22:30,6.79,2.91,24.99,67.91,194.02,0.68,0,0,0,0,121.26,24.64,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1036.93

91,22:30-22:45,6.79,2.91,24.99,67.91,194.02,0.68,0,0,0,0,121.26,24.64,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1036.93

92,22:45-23:00,6.79,2.91,24.99,55.3,194.02,0.68,0,0,0,0,121.26,24.64,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1024.3200000000002

93,23:00-23:15,6.79,2.91,24.99,55.3,194.02,0.58,0,0,0,0,121.26,24.64,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1024.22

94,23:15-23:30,6.79,2.91,24.99,55.3,194.02,0.58,0,0,0,0,121.26,24.64,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1024.22

95,23:30-23:45,6.79,2.91,24.99,55.3,194.02,0.58,0,0,0,0,121.26,24.64,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1024.22

96,23:45-24:00,6.79,2.91,24.99,55.3,194.02,0.58,0,0,0,0,121.26,24.64,48.5,39.77,12.49,58.21,0,6.63,291.03,14.07,39.77,39.77,12.49,31,1024.22

