Time,Block,NR/2023/11328/A,NR/2023/13859/A,NR/2023/13983/F,NR/2023/13283/A,NR/2023/14582/C,NR/2023/13858/A,NR/2023/14116/F,NR/2023/13573/A,NR/2023/11264/A,NR/2023/12646/A,NR/2023/11521/A,NR/2023/13704/A,NR/2023/11315/A,NR/2023/14583/C,NR/2023/14120/F,NR/2023/14114/F,NR/2023/13704/A/II,NR/2023/14187/F,NR/2023/11204/A,NR/2023/14566/D,NR/2023/11325/A,NR/2023/13983/F/II,NR/2023/13284/A,NR/2023/11470/A,NR/2023/14115/F,NR/2023/14117/F,NR/2023/11203/A,NR/2023/14136/F,NR/2023/14591/C,NR/2023/14113/F,NR/2023/11469/A,NR/2023/14569/D,NR/2023/14121/F,NR/2023/11654/A,NR/2023/14568/D,NR/2023/14119/F,NR/2023/14570/D,NR/2023/11524/A,SR/2023/6907/C,NR/2023/14118/F,ER/2023/8876/C,NR/2023/14567/D,NR/2023/14572/C,WR/2023/16980/C,NR/2023/13573/A/II,NR/2023/11954/A,NR/2023/11458/A,NR/2023/14564/D,NR/2023/11205/A,NR/2023/11739/A,NR/2023/11697/A,NR/2023/13283/A/II,NR/2023/11892/A,NR/2023/14565/D,Total

3,00:30-00:45,48.270000,178.120000,0.000000,1.120000,18.010000,77.230000,0.870000,2.020000,21.530000,23.100000,48.270000,6.440000,22.200000,0.000000,0.610000,0.520000,0.320000,3.860000,83.020000,0.000000,24.140000,0.870000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,41.430000,36.420000,98.470000,0,231.800000,42.470000,27.800000,23.020000,66.520000,0.000000,2016.96

4,00:45-01:00,48.270000,178.120000,0.000000,1.120000,18.010000,77.230000,0.870000,2.020000,21.530000,23.100000,48.270000,6.440000,22.200000,0.000000,0.610000,0.520000,0.320000,3.860000,83.020000,0.000000,24.140000,0.870000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,41.430000,36.420000,98.470000,0,231.800000,42.470000,27.800000,23.020000,66.520000,0.000000,2016.96

5,01:00-01:15,48.270000,178.120000,0.000000,1.120000,17.930000,77.230000,0.870000,2.020000,21.530000,23.100000,48.270000,6.440000,22.200000,0.000000,0.610000,0.520000,0.320000,3.860000,83.020000,0.000000,24.140000,0.680000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,41.430000,36.420000,98.470000,0,231.800000,42.470000,27.800000,23.020000,66.520000,0.000000,2016.69

6,01:15-01:30,48.270000,178.120000,0.000000,1.120000,17.930000,77.230000,0.870000,2.020000,21.530000,23.100000,48.270000,6.440000,22.200000,0.000000,0.610000,0.520000,0.320000,3.860000,83.020000,0.000000,24.140000,0.680000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,41.430000,36.420000,98.470000,0,231.800000,42.470000,27.800000,23.020000,66.520000,0.000000,2016.69

7,01:30-01:45,48.270000,178.120000,0.000000,1.120000,17.930000,77.230000,0.870000,2.020000,21.530000,23.100000,48.270000,6.440000,22.200000,0.000000,0.610000,0.520000,0.320000,3.860000,83.020000,0.000000,24.140000,0.680000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,41.430000,36.420000,98.470000,0,231.800000,42.470000,27.800000,23.020000,66.520000,0.000000,2016.69

8,01:45-02:00,48.270000,178.120000,0.000000,1.120000,17.930000,77.230000,0.870000,2.020000,21.530000,23.100000,48.270000,6.440000,22.200000,0.000000,0.610000,0.520000,0.320000,3.860000,83.020000,0.000000,24.140000,0.680000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,41.430000,36.420000,98.470000,0,231.800000,42.470000,27.800000,23.020000,66.520000,0.000000,2016.69

9,02:00-02:15,48.270000,178.120000,0.000000,1.120000,17.830000,77.230000,0.870000,2.020000,21.530000,23.100000,48.270000,6.440000,22.200000,0.000000,0.610000,0.520000,0.320000,3.860000,83.020000,38.620000,24.140000,0.580000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,41.430000,36.420000,98.470000,0,231.800000,42.470000,27.800000,23.020000,66.520000,18.340000,2073.45

10,02:15-02:30,48.270000,178.120000,0.000000,1.120000,17.830000,77.230000,0.870000,2.020000,21.530000,23.100000,48.270000,6.440000,22.200000,0.000000,0.610000,0.520000,0.320000,3.860000,83.020000,38.620000,24.140000,0.580000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,41.430000,36.420000,98.470000,0,231.800000,42.470000,27.800000,23.020000,66.520000,18.340000,2073.45

11,02:30-02:45,48.270000,178.120000,0.000000,1.120000,17.830000,77.230000,0.870000,2.020000,21.530000,23.100000,48.270000,6.440000,22.200000,0.000000,0.610000,0.520000,0.320000,3.860000,83.020000,38.620000,24.140000,0.580000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,41.430000,36.420000,98.470000,0,231.800000,42.470000,27.800000,23.020000,66.520000,18.340000,2073.45

12,02:45-03:00,48.270000,178.120000,0.000000,1.120000,17.830000,77.230000,0.870000,2.020000,21.530000,23.100000,48.270000,6.440000,22.200000,0.000000,0.610000,0.520000,0.320000,3.860000,83.020000,38.620000,24.140000,0.580000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,41.430000,36.420000,98.470000,0,231.800000,42.470000,27.800000,23.020000,66.520000,18.340000,2073.45

13,03:00-03:15,48.270000,178.120000,0.320000,0.000000,17.740000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,48.270000,38.620000,24.140000,0.210000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,43.440000,0.000000,98.470000,0,231.800000,42.470000,27.800000,24.140000,0.000000,18.340000,1942.51

14,03:15-03:30,48.270000,178.120000,0.320000,0.000000,17.740000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,48.270000,38.620000,24.140000,0.210000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,43.440000,0.000000,98.470000,0,231.800000,42.470000,27.800000,24.140000,0.000000,18.340000,1942.51

15,03:30-03:45,48.270000,178.120000,0.320000,0.000000,17.740000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,48.270000,38.620000,24.140000,0.210000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,43.440000,0.000000,98.470000,0,231.800000,42.470000,27.800000,24.140000,0.000000,18.340000,1942.51

16,03:45-04:00,48.270000,178.120000,0.320000,0.000000,17.740000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,48.270000,38.620000,24.140000,0.210000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,43.440000,0.000000,98.470000,0,231.800000,42.470000,27.800000,24.140000,0.000000,18.340000,1942.51

17,04:00-04:15,48.270000,178.120000,0.530000,0.000000,17.740000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,48.270000,38.620000,24.140000,0.000000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,43.440000,0.000000,98.470000,0,231.800000,42.470000,27.800000,24.140000,0.000000,18.340000,1942.51

18,04:15-04:30,48.270000,178.120000,0.530000,0.000000,17.740000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,48.270000,38.620000,24.140000,0.000000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,43.440000,0.000000,98.470000,0,231.800000,42.470000,27.800000,24.140000,0.000000,18.340000,1942.51

19,04:30-04:45,48.270000,178.120000,0.530000,0.000000,17.740000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,48.270000,38.620000,24.140000,0.000000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,43.440000,0.000000,98.470000,0,231.800000,42.470000,27.800000,24.140000,0.000000,18.340000,1942.51

20,04:45-05:00,48.270000,178.120000,0.530000,0.000000,17.740000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,48.270000,38.620000,24.140000,0.000000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,43.440000,0.000000,98.470000,0,231.800000,26.240000,27.800000,24.140000,0.000000,18.340000,1926.28

21,05:00-05:15,48.270000,178.120000,0.530000,0.000000,17.650000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,48.270000,38.620000,24.140000,0.000000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,43.440000,0.000000,0.000000,0,231.800000,26.240000,27.800000,24.140000,0.000000,18.340000,1797.72

22,05:15-05:30,48.270000,178.120000,0.530000,0.000000,17.650000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,48.270000,38.620000,24.140000,0.000000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.970000,0.000000,43.440000,0.000000,0.000000,0,231.800000,26.240000,27.800000,24.140000,0.000000,18.340000,1797.72

23,05:30-05:45,48.270000,178.120000,0.530000,0.000000,17.650000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,48.270000,38.620000,24.140000,0.000000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.000000,0.000000,43.440000,0.000000,0.000000,0,231.800000,26.240000,27.800000,24.140000,0.000000,18.340000,1796.75

24,05:45-06:00,48.270000,178.120000,0.530000,0.000000,17.650000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,48.270000,38.620000,24.140000,0.000000,64.870000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,0.000000,0.000000,43.440000,0.000000,0.000000,0,231.800000,26.240000,27.800000,24.140000,0.000000,18.340000,1796.75

25,06:00-06:15,48.270000,178.120000,0.680000,0.000000,17.560000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,1.4,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0.6,0.000000,0.000000,43.440000,0.000000,0.000000,0,15.760000,26.240000,0.000000,24.140000,0.000000,18.340000,1449.55

26,06:15-06:30,48.270000,178.120000,0.680000,0.000000,17.560000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,6.3,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,2.7,0.000000,0.000000,43.440000,0.000000,0.000000,0.1,15.760000,26.240000,0.000000,24.140000,0.000000,18.340000,1456.65

27,06:30-06:45,48.270000,178.120000,0.680000,0.000000,17.560000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,10.5,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,4.5,0.000000,0.000000,43.440000,0.000000,0.000000,0.51,15.760000,26.240000,0.000000,24.140000,0.000000,18.340000,1463.06

28,06:45-07:00,48.270000,178.120000,0.680000,0.000000,17.560000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,17.5,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,7.5,0.000000,0.000000,43.440000,0.000000,0.000000,0.89,15.760000,26.240000,0.000000,24.140000,0.000000,18.340000,1473.44

29,07:00-07:15,48.270000,178.120000,0.680000,0.000000,17.560000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,24.5,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,10.5,3.860000,0.000000,43.440000,0.000000,0.000000,1.31,15.760000,26.240000,0.000000,24.140000,0.000000,18.340000,1484.83

30,07:15-07:30,48.270000,178.120000,0.680000,0.000000,17.560000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,31.5,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,13.5,3.860000,0.000000,43.440000,0.000000,0.000000,1.77,15.760000,26.240000,0.000000,24.140000,0.000000,18.340000,1495.29

31,07:30-07:45,48.270000,178.120000,0.680000,0.000000,17.560000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,35,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,15,3.860000,0.000000,43.440000,0.000000,0.000000,2.32,15.760000,26.240000,0.000000,24.140000,0.000000,18.340000,1500.84

32,07:45:08:00,48.270000,178.120000,0.680000,0.000000,17.560000,77.230000,0.870000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,42,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,18,3.860000,0.000000,43.440000,0.000000,0.000000,2.79,15.760000,26.240000,0.000000,24.140000,0.000000,18.340000,1511.31

33,08:00-08:15,48.270000,178.120000,0.970000,0.000000,17.460000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,56,1.010000,193.080000,193.080000,0.00,0.980000,50.000000,24,3.860000,0.000000,43.440000,0.000000,0.000000,2.34,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1585.07

34,08:15-08:30,48.270000,178.120000,0.970000,0.000000,17.460000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,66.5,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,28.5,3.860000,0.000000,43.440000,0.000000,0.000000,2.34,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1625.07

35,08:30-08:45,48.270000,178.120000,0.970000,0.000000,17.460000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,77,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,33,3.860000,0.000000,43.440000,0.000000,0.000000,2.34,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1640.07

36,08:45:09:00,48.270000,178.120000,0.970000,0.000000,17.460000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,84,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,36,4.830000,0.000000,43.440000,0.000000,0.000000,2.34,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1651.04

37,09:00:09:15,48.270000,178.120000,0.970000,0.000000,17.460000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,47.300000,0.610000,257.760000,91,1.010000,145.780000,193.080000,0.00,0.980000,75.000000,39,4.830000,0.000000,43.440000,0.000000,0.000000,2.61,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1685.45

38,09:15-09:30,48.270000,178.120000,0.970000,0.000000,17.460000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,47.300000,0.610000,257.760000,94.5,1.010000,145.780000,193.080000,0.00,0.980000,75.000000,40.5,5.790000,0.000000,43.440000,0.000000,0.000000,2.61,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1691.41

