Column1,Block,NR/2024/23640/A/41365,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/9582,NR/2024/23694/A/41369,NR/2024/23383/A/41323,NR/2024/23384/A/41318,NR/2024/23710/C,NR/2024/23382/A/41488,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/6101,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/3642,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,NR/2024/23639/A/41363,NR/2024/23716/C,Total
10,02:15-02:30,0,12.41,12.41,2.89,0.48,6.75,0,24.83,142.69,47.56,37.23,4.78,37.23,37.23,26.87,0,26.87,0,0,420.23

11,02:30-02:45,0,12.41,12.41,2.89,0.48,6.75,0,24.83,142.69,47.56,37.23,4.78,37.23,37.23,26.87,0,26.87,0,0,420.23

12,02:45-03:00,0,12.41,12.41,2.89,0.48,6.75,0,24.83,142.69,47.56,37.23,4.78,37.23,37.23,26.87,0,26.87,0,0,420.23

13,03:00-03:15,0,12.41,12.41,2.89,0.43,6.75,0,24.83,142.69,47.56,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,420.09000000000003

14,03:15-03:30,0,12.41,12.41,2.89,0.43,6.75,0,24.83,142.69,47.56,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,420.09000000000003

15,03:30-03:45,0,12.41,12.41,2.89,0.43,6.75,0,24.83,142.69,47.56,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,420.09000000000003

16,03:45-04:00,0,12.41,12.41,2.89,0.43,6.75,0,24.83,142.69,47.56,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,420.09000000000003

17,04:00-04:15,0,12.41,12.41,2.89,0.43,6.75,0,24.83,142.69,47.56,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,420.09000000000003

18,04:15-04:30,0,12.41,12.41,2.89,0.43,6.75,0,24.83,142.69,47.56,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,420.09000000000003

19,04:30-04:45,0,12.41,12.41,2.89,0.43,6.75,0,24.83,142.69,47.56,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,420.09000000000003

20,04:45-05:00,0,12.41,12.41,2.89,0.43,6.75,0,24.83,142.69,47.56,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,420.09000000000003

21,05:00-05:15,0,12.41,12.41,2.89,0.48,6.75,0,24.83,142.69,47.56,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,420.14000000000004

22,05:15-05:30,0,12.41,12.41,2.89,0.48,6.75,0,24.83,142.69,47.56,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,420.14000000000004

23,05:30-05:45,0,12.41,12.41,2.89,0.48,6.75,0,24.83,142.69,47.56,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,420.14000000000004

24,05:45-06:00,0,12.41,12.41,2.89,0.48,6.75,0,24.83,142.69,47.56,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,420.14000000000004

25,06:00-06:15,0,12.41,12.41,2.89,0.53,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,229.94

26,06:15-06:30,0,12.41,12.41,2.89,0.53,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0,229.94

27,06:30-06:45,0,12.41,12.41,2.89,0.53,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0.13,230.07

28,06:45-07:00,0,12.41,12.41,2.89,0.53,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0.49,230.43

29,07:00-07:15,0,12.41,12.41,2.89,0.58,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,0,0.86,230.85

30,07:15-07:30,0,12.41,12.41,2.89,0.58,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,0,1.82,231.80999999999997

31,07:30-07:45,0,12.41,12.41,2.89,0.58,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,0,2.53,232.51999999999998

32,07:45-08:00,0,12.41,12.41,2.89,0.58,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,0,3.3,233.29

33,08:00-08:15,0,12.41,12.41,2.89,0.96,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,0,4,234.36999999999998

34,08:15-08:30,0,12.41,12.41,2.89,0.96,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,0,4.69,235.05999999999997

35,08:30-08:45,0,12.41,12.41,2.89,0.96,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,0,5.52,235.89

36,08:45-09:00,0,12.41,12.41,2.89,0.96,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,0,6.38,236.74999999999997

37,09:00-09:15,10.6,12.41,12.41,2.89,0.87,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,42.41,5.45,288.73999999999995

38,09:15-09:30,10.6,12.41,12.41,2.89,0.87,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,42.41,5.62,288.90999999999997

39,09:30-09:45,10.6,12.41,12.41,2.89,0.87,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,42.41,6.16,289.45

40,09:45-10:00,10.6,12.41,12.41,2.89,0.87,6.75,0,24.83,0,0,37.23,4.69,37.23,37.23,26.87,0,26.87,42.41,6.53,289.81999999999994

41,10:00-10:15,10.6,12.41,12.41,2.89,0.87,6.75,0,24.83,0,0,37.23,4.6,37.23,37.23,26.87,0,26.87,42.41,6.98,290.17999999999995

42,10:15-10:30,10.6,12.41,12.41,2.89,0.87,6.75,0,24.83,0,0,37.23,4.6,37.23,37.23,26.87,0,26.87,42.41,6.79,289.98999999999995

43,10:30-10:45,10.6,12.41,12.41,2.89,0.87,6.75,115.66,24.83,0,0,37.23,4.6,37.23,37.23,26.87,0,26.87,42.41,7.67,406.53000000000003

44,10:45-11:00,10.6,12.41,12.41,2.89,0.87,6.75,115.66,24.83,0,0,37.23,4.6,37.23,37.23,26.87,0,26.87,42.41,6.65,405.51

45,11:00-11:15,10.6,12.41,12.41,2.89,0.87,6.75,115.66,24.83,0,0,37.23,4.6,37.23,37.23,26.87,0,26.87,42.41,5.5,404.36

46,11:15-11:30,10.6,12.41,12.41,2.89,0.87,6.75,115.66,24.83,0,0,37.23,4.6,37.23,37.23,26.87,0,26.87,42.41,4.55,403.41

47,11:30-11:45,10.6,12.41,12.41,2.89,0.87,6.75,115.66,24.83,0,0,37.23,4.6,37.23,37.23,26.87,0,26.87,42.41,5.57,404.43

48,11:45-12:00,10.6,12.41,12.41,2.89,0.87,6.75,115.66,24.83,0,0,37.23,4.6,37.23,37.23,26.87,0,26.87,42.41,7.11,405.97

49,12:00-12:15,10.6,12.41,12.41,2.89,0.87,6.75,115.66,24.83,0,0,37.23,4.6,37.23,37.23,15.58,0,15.58,42.41,7.72,384

50,12:15-12:30,10.6,12.41,12.41,2.89,0.87,6.75,115.66,24.83,0,0,37.23,4.6,37.23,37.23,15.58,0,15.58,42.41,8.12,384.4

51,12:30-12:45,10.6,12.41,12.41,2.89,0.87,6.75,115.66,24.83,0,0,37.23,4.6,37.23,37.23,26.54,0,26.54,42.41,7.85,406.05000000000007

52,12:45-13:00,10.6,12.41,12.41,2.89,0.87,6.75,115.66,24.83,0,0,37.23,4.6,37.23,37.23,26.54,0,26.54,42.41,5.89,404.09000000000003

53,13:00-13:15,10.6,12.41,12.41,2.89,0.77,6.75,96.38,24.83,0,0,37.23,4.6,37.23,37.23,26.54,0,26.54,42.41,5.7,384.52000000000004

54,13:15-13:30,10.6,12.41,12.41,2.89,0.77,6.75,96.38,24.83,0,0,37.23,4.6,37.23,37.23,26.54,0,26.54,42.41,6.55,385.37000000000006

55,13:30-13:45,10.6,12.41,12.41,2.89,0.77,6.75,96.38,24.83,0,0,37.23,4.6,37.23,37.23,26.54,0,26.54,42.41,7.91,386.7300000000001

56,13:45-14:00,10.6,12.41,12.41,2.89,0.77,6.75,96.38,24.83,0,0,37.23,4.6,37.23,37.23,26.54,0,26.54,42.41,8.21,387.03000000000003

57,14:00-14:15,10.6,12.41,12.41,2.89,0.92,6.75,96.38,24.83,0,0,37.23,4.6,37.23,37.23,24.8,0,24.8,42.41,7.97,383.46000000000004

58,14:15-14:30,10.6,12.41,12.41,2.89,0.92,6.75,96.38,24.83,0,0,37.23,4.6,37.23,37.23,24.8,0,24.8,42.41,7.55,383.04

59,14:30-14:45,10.6,12.41,12.41,2.89,0.92,6.75,48.19,24.83,0,0,37.23,4.6,37.23,37.23,26.54,0,26.54,42.41,7.16,337.94

60,14:45-15:00,10.6,12.41,12.41,2.89,0.92,6.75,48.19,24.83,0,0,37.23,4.6,37.23,37.23,26.54,0,26.54,42.41,5.19,335.96999999999997

61,15:00-15:15,10.6,12.41,12.41,2.89,0.92,6.75,48.19,24.83,0,0,37.23,4.6,37.23,37.23,26.54,0,26.54,42.41,3.69,334.46999999999997

62,15:15-15:30,10.6,12.41,12.41,2.89,0.92,6.75,48.19,24.83,0,0,37.23,4.6,37.23,37.23,26.54,0,26.54,42.41,4.68,335.46

63,15:30-15:45,10.6,12.41,12.41,2.89,0.92,6.75,48.19,24.83,0,0,37.23,4.6,37.23,37.23,26.54,0,26.54,42.41,5.6,336.38

64,15:45-16:00,10.6,12.41,12.41,2.89,0.92,6.75,48.19,24.83,0,0,37.23,4.6,37.23,37.23,15.58,0,15.58,40.48,4.75,311.68

65,16:00-16:15,10.6,12.41,12.41,2.89,0.77,6.75,48.19,24.83,0,0,37.23,4.6,37.23,37.23,5.4,0,5.4,39.42,4.04,289.40000000000003

66,16:15-16:30,10.6,12.41,12.41,2.89,0.77,6.75,146.5,24.83,0,0,37.23,4.6,37.23,37.23,0,0,0,26.22,3.32,362.99000000000007

67,16:30-16:45,10.6,12.41,12.41,2.89,0.77,6.75,146.5,24.83,0,0,37.23,4.6,37.23,37.23,0,0,0,15.71,2.51,351.67

68,16:45-17:00,10.6,12.41,12.41,2.89,0.77,6.75,146.5,24.83,0,0,37.23,4.6,37.23,37.23,0,0,0,8.87,1.73,344.05000000000007

69,17:00-17:15,0,12.41,12.41,2.89,0.72,6.75,146.5,29.2,0,0,39.52,4.6,37.23,37.23,0,0,0,0,1.09,330.55

70,17:15-17:30,0,12.41,12.41,2.89,0.72,6.75,146.5,29.2,0,0,39.52,4.6,37.23,37.23,0,0,0,0,0.56,330.02000000000004

71,17:30-17:45,0,12.41,12.41,2.89,0.72,6.75,146.5,29.2,0,0,39.52,4.6,37.23,37.23,0,0,0,0,0.25,329.71000000000004

72,17:45-18:00,0,12.41,12.41,2.89,0.72,6.75,146.5,29.2,0,0,39.52,4.6,37.23,37.23,0,0,0,0,0,329.46000000000004

73,18:00-18:15,0,12.41,12.41,2.89,0.72,6.75,146.5,29.2,0,0,39.52,4.69,37.23,37.23,32,125,32,0,0,518.55

74,18:15-18:30,0,12.41,12.41,2.89,0.72,6.75,146.5,29.2,0,0,39.52,4.69,37.23,37.23,32,125,32,0,0,518.55

75,18:30-18:45,0,12.41,12.41,2.89,0.72,6.75,146.5,29.2,0,0,39.52,4.69,37.23,37.23,32,125,32,0,0,518.55

76,18:45-19:00,0,12.41,12.41,2.89,0.72,6.75,146.5,29.2,0,0,39.52,4.69,37.23,37.23,32,125,32,0,0,518.55

77,19:00-19:15,0,12.41,12.41,2.89,0.67,6.75,146.5,29.2,0,0,39.52,4.78,37.23,37.23,24.8,125,24.8,0,0,504.19000000000005

78,19:15-19:30,0,12.41,12.41,2.89,0.67,6.75,146.5,29.2,0,0,39.52,4.78,37.23,37.23,24.8,125,24.8,0,0,504.19000000000005

79,19:30-19:45,0,12.41,12.41,2.89,0.67,6.75,146.5,29.2,0,0,39.52,4.78,37.23,37.23,0,125,31.5,0,0,486.09000000000003

80,19:45-20:00,0,12.41,12.41,2.89,0.67,6.75,146.5,29.2,0,0,39.52,4.78,37.23,37.23,0,125,31.5,0,0,486.09000000000003

81,20:00-20:15,0,12.41,12.41,2.89,0.67,6.75,146.5,29.2,0,0,39.52,4.78,37.23,37.23,0,200,31.5,0,0,561.09

82,20:15-20:30,0,12.41,12.41,2.89,0.67,6.75,146.5,29.2,0,0,39.52,4.78,37.23,37.23,0,200,31.5,0,0,561.09

83,20:30-20:45,0,12.41,12.41,2.89,0.67,6.75,146.5,29.2,0,0,39.52,4.78,37.23,37.23,0,200,0,0,0,529.59

84,20:45-21:00,0,12.41,12.41,2.89,0.67,6.75,146.5,29.2,0,0,39.52,4.78,37.23,37.23,0,200,0,0,0,529.59

85,21:00-21:15,0,12.41,12.41,2.89,0.72,6.75,146.5,24.83,0,0,37.23,4.78,37.23,37.23,0,200,0,0,0,522.98

86,21:15-21:30,0,12.41,12.41,2.89,0.72,6.75,146.5,24.83,0,0,37.23,4.78,37.23,37.23,0,200,0,0,0,522.98

87,21:30-21:45,0,12.41,12.41,2.89,0.72,6.75,146.5,24.83,0,0,37.23,4.78,37.23,37.23,0,200,0,0,0,522.98

88,21:45-22:00,0,12.41,12.41,2.89,0.72,6.75,146.5,24.83,0,0,37.23,4.78,37.23,37.23,0,200,0,0,0,522.98

89,22:00-22:15,0,12.41,12.41,2.89,0.67,6.75,146.5,24.83,142.69,47.56,37.23,4.78,37.23,37.23,0,200,0,0,0,713.18

90,22:15-22:30,0,12.41,12.41,2.89,0.67,6.75,146.5,24.83,142.69,47.56,37.23,4.78,37.23,37.23,0,200,0,0,0,713.18

91,22:30-22:45,0,12.41,12.41,2.89,0.67,6.75,146.5,24.83,142.69,47.56,37.23,4.78,37.23,37.23,0,200,0,0,0,713.18

92,22:45-23:00,0,12.41,12.41,2.89,0.67,6.75,146.5,24.83,142.69,47.56,37.23,4.78,37.23,37.23,0,200,0,0,0,713.18

93,23:00-23:15,0,12.41,12.41,2.89,0.58,6.75,146.5,24.83,142.69,47.56,37.23,4.69,37.23,37.23,0,200,0,0,0,713

94,23:15-23:30,0,12.41,12.41,2.89,0.58,6.75,146.5,24.83,142.69,47.56,37.23,4.69,37.23,37.23,0,200,0,0,0,713

95,23:30-23:45,0,12.41,12.41,2.89,0.58,6.75,146.5,24.83,142.69,47.56,37.23,4.69,37.23,37.23,0,200,0,0,0,713

96,23:45-24:00,0,12.41,12.41,2.89,0.58,6.75,146.5,24.83,142.69,47.56,37.23,4.69,37.23,37.23,0,200,0,0,0,713

