Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/74124,NR/2025/26335/A/74264,NR/2025/26082/A/74632,NR/2025/26822/A/74639,NR/2025/26233/A/74579,NR/2025/26005/A/74161,NR/2025/26265/A/74578,NR/2025/26827/A/74637,NR/2025/26289/A/74577,NR/2025/26202/A/74631,NR/2025/26191/A/74158,NR/2025/27273/C,NR/2025/27239/C,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8068,NR/2025/26829/A/74635,NR/2025/26085/A/74078,NR/2025/25859/A/74559,NR/2025/27198/C,NR/2025/27313/C,NR/2025/27266/C,NR/2025/27284/C,NR/2025/26785/A/74123,NR/2025/27197/C,NR/2025/27199/C,NR/2025/26959/A/74189,NR/2025/27200/C,NR/2025/26232/A/74580,NR/2025/26879/A/74263,NR/2025/27196/C,NR/2025/27201/C,NR/2025/26828/A/74636,NR/2025/26379/A/74551,GNA/NR/2025/05/01/4138,NR/2025/27286/C,NR/2025/27149/A/74254,NR/2025/26153/A/74122,NR/2025/27222/C,NR/2025/27287/C,NR/2025/26101/A/74257,NR/2025/27305/C,NR/2025/27288/C,NR/2025/26004/A/74160,NR/2025/26336/A/74262,NR/2025/27289/C,NR/2025/27298/C,NR/2025/25967/A/74552,NR/2025/27299/C,NR/2025/27280/C,NR/2025/27310/C,NR/2025/26291/A/74576,NR/2025/25861/A/74557,NR/2025/27282/C,NR/2025/26825/A/74638,NR/2025/25860/A/74558,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,NR/30092023/31122025/SH-07,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/9395,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/5800,Total
3,00:30-00:45,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,14.49,29.1,14.49,10.63,37.33,0.77,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,88.6,193.2,62.79,108.54,96.6,24.15,0,0,43.9,144.9,5.8,28.98,0,28.98,193.2,24.15,30,96.6,0,16,30,67.62,2529.3299999999995

4,00:45-01:00,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,14.49,29.1,14.49,10.63,37.33,0.77,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,88.6,193.2,62.79,108.54,96.6,24.15,0,0,43.9,144.9,5.8,28.98,0,28.98,193.2,24.15,30,96.6,0,16,30,67.62,2529.3299999999995

5,01:00-01:15,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,14.49,29.1,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,88.6,193.2,62.79,108.54,0,24.15,0,0,43.9,144.9,5.8,28.98,0,28.98,193.2,24.15,30,96.6,0,15.81,30,67.62,2432.45

6,01:15-01:30,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,14.49,29.1,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,88.6,193.2,62.79,108.54,0,24.15,0,0,43.9,144.9,5.8,28.98,0,28.98,193.2,24.15,30,96.6,0,15.81,30,67.62,2432.45

7,01:30-01:45,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,14.49,29.1,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,88.6,193.2,62.79,108.54,0,24.15,0,0,43.9,144.9,5.8,28.98,0,28.98,193.2,24.15,30,96.6,0,15.81,30,67.62,2432.45

8,01:45-02:00,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,14.49,29.1,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,88.6,193.2,62.79,108.54,0,24.15,0,0,43.9,144.9,5.8,28.98,0,28.98,193.2,24.15,30,96.6,0,15.81,30,67.62,2432.45

9,02:00-02:15,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,29.1,14.49,10.63,37.33,0.63,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,88.6,193.2,62.79,108.54,0,24.15,0,0,43.9,144.9,0,28.98,96.6,0,193.2,24.15,30,96.6,0,15.53,25.4,0,2310.63

10,02:15-02:30,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,29.1,14.49,10.63,37.33,0.63,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,88.6,193.2,62.79,108.54,0,24.15,0,0,43.9,144.9,0,28.98,96.6,0,193.2,24.15,30,96.6,0,15.53,25.4,0,2310.63

11,02:30-02:45,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,29.1,14.49,10.63,37.33,0.63,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,88.6,193.2,62.79,108.54,0,24.15,0,0,43.9,144.9,0,28.98,96.6,0,193.2,24.15,30,96.6,0,15.53,25.4,0,2310.63

12,02:45-03:00,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,29.1,14.49,10.63,37.33,0.63,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,88.6,193.2,62.79,108.54,0,24.15,0,0,43.9,144.9,0,28.98,96.6,0,193.2,24.15,30,96.6,0,15.53,25.4,0,2310.63

13,03:00-03:15,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.48,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,0,43.9,144.9,0,28.98,96.6,0,193.2,24.15,30,96.6,0,15.07,25.4,0,2155.6100000000006

14,03:15-03:30,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.48,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,0,43.9,144.9,0,28.98,96.6,0,193.2,24.15,30,96.6,0,15.07,25.4,0,2155.6100000000006

15,03:30-03:45,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.48,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,0,43.9,144.9,0,28.98,96.6,0,193.2,24.15,30,96.6,0,15.07,25.4,0,2155.6100000000006

16,03:45-04:00,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.48,96.6,0,0,0,0,0,0,0,6.76,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,0,43.9,144.9,0,28.98,96.6,0,193.2,24.15,30,96.6,0,15.07,25.4,0,2155.6100000000006

17,04:00-04:15,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.48,96.6,0,0,0,0,0,0,0,6.76,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,14.61,25.4,0,2019.9099999999999

18,04:15-04:30,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.48,96.6,0,0,0,0,0,0,0,6.76,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,14.61,25.4,0,2019.9099999999999

19,04:30-04:45,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.48,96.6,0,0,0,0,0,0,0,6.76,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,14.61,25.4,0,2019.9099999999999

20,04:45-05:00,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.48,96.6,0,0,0,0,0,0,0,6.76,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,14.61,25.4,0,2019.9099999999999

21,05:00-05:15,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.48,96.6,0,0,0,0,0,0,0,6.76,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,14.14,25.4,0,2019.44

22,05:15-05:30,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.48,96.6,0,0,0,0,0,0,0,6.76,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,14.14,25.4,0,2019.44

23,05:30-05:45,0,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.48,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,14.14,25.4,0,2018.48

24,05:45-06:00,0.07,0,0,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.48,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,14.14,25.4,0,2018.5500000000002

25,06:00-06:15,0.47,0,1,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.58,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,13.87,25.4,0,2019.78

26,06:15-06:30,0.85,0,4,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.58,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,13.87,25.4,0,2023.1599999999999

27,06:30-06:45,4.88,0,7,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.58,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,13.22,25.4,0,2029.54

28,06:45-07:00,8,0,14,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.58,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,222.18,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,13.22,25.4,0,2039.66

29,07:00-07:15,12.07,0,25,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,0,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,12.94,25.4,0,1832.3700000000001

30,07:15-07:30,17.34,0,35,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,0,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,12.94,25.4,0,1847.64

31,07:30-07:45,23.52,0,49,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,0,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,30,96.6,0,12.94,25.4,0,1867.82

32,07:45-08:00,30.37,0,63,47.33,14.63,4.83,48.3,0,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,0,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,96.6,0,193.2,24.15,0,96.6,0,12.94,25.4,0,1858.67

33,08:00-08:15,37.69,7.73,84,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.97,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,0,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,0,0,193.2,24.15,30,96.6,0,12.76,25.4,0,1924.8300000000004

34,08:15-08:30,45.04,7.73,98,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.97,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,0,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,0,0,193.2,24.15,30,96.6,0,12.76,25.4,0,1946.1800000000003

35,08:30-08:45,52.42,7.73,116,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.97,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,0,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,0,0,193.2,24.15,30,96.6,0,12.76,25.4,0,1971.5600000000004

36,08:45-09:00,59.78,7.73,130,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,0,26.08,14.49,10.63,37.33,0.97,96.6,0,0,0,0,0,0,0,5.8,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,0,0,0,48.3,0,0,0,193.2,0,108.54,0,24.15,0,43.47,43.9,0,0,28.98,0,0,193.2,24.15,30,96.6,0,12.76,25.4,0,1992.9200000000003

37,09:00-09:15,66.72,10.63,144,47.33,0,0,48.3,0,0,0,0,0,0,193.2,0,13.52,0,26.08,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,6.76,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29.5,96.6,0,12.48,25.7,0,2071.3400000000006

38,09:15-09:30,73.01,10.63,154,47.33,0,0,48.3,0,0,0,0,0,0,193.2,0,13.52,0,26.08,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,6.76,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29.5,96.6,0,12.48,25.7,0,2087.6300000000006

