Column1,Block,NR/2024/22058/A/30670,NR/2024/22052/A/30669,NR/2024/22302/C,NR/2024/21954/A/30812,NR/2024/21983/A/30596,NR/2024/22081/A/30792,NR/2024/21814/A/30839,GNA/NR/2024/08/06/4330,NR/2024/21970/A/30836,NR/2024/21961/A/30622,NR/2024/21938/A/30624,NR/2024/22042/A/30580,NR/2024/22010/A/30828,NR/2024/21974/A/30838,NR/2024/21909/A/30794,NR/2024/21971/A/30837,NR/2024/22228/A/30807,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21956/A/30819,NR/2024/22080/A/30467,NR/2024/21940/A/30814,NR/30092023/31122025/SH-07,NR/2024/21943/A/30811,NR/2024/21658/A/30612,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21918/A/30831,NR/2024/22014/A/30587,NR/2024/21860/A/30793,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/21966/A/30619,NR/2024/21968/A/30835,NR/2024/22318/C,NR/2024/22313/C,NR/2024/22307/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/22300/C,NR/2024/22335/C,NR/2024/22301/C,NR/01082024/15082024/APL-Raigarh,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,Total
7,01:30-01:45,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,15.91,67.4,9.63,83.95,24.0835,38.52,0.63,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,24.0835,38.52,1653.3870000000004

8,01:45-02:00,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,15.91,67.4,9.63,83.95,24.0835,38.52,0.63,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,24.0835,38.52,1653.3870000000004

9,02:00-02:15,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,67.4,9.63,83.95,26.9071,38.52,0.63,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,38.52,1660.8642000000004

10,02:15-02:30,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,67.4,9.63,83.95,26.9071,38.52,0.63,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,38.52,1660.8642000000004

11,02:30-02:45,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,67.4,9.63,83.95,26.9071,38.52,0.63,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,38.52,1660.8642000000004

12,02:45-03:00,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,67.4,9.63,83.95,26.9071,38.52,0.63,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,38.52,1660.8642000000004

13,03:00-03:15,0,0,0,24,0,240.72,48.14,0,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,67.4,8.67,83.95,26.9071,38.52,0.63,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,0,1476.9442

14,03:15-03:30,0,0,0,24,0,240.72,48.14,0,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,67.4,8.67,83.95,26.9071,38.52,0.63,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,0,1476.9442

15,03:30-03:45,0,0,0,24,0,240.72,48.14,0,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,67.4,8.67,83.95,26.9071,38.52,0.63,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,0,1476.9442

16,03:45-04:00,0,0,0,24,0,240.72,48.14,0,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,67.4,8.67,83.95,26.9071,38.52,0.63,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,0,1476.9442

17,04:00-04:15,0,0,0,24,0,240.72,48.14,0,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,67.4,8.67,83.95,26.9071,38.52,0.53,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,0,1476.8441999999998

18,04:15-04:30,0,0,0,24,0,240.72,48.14,0,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,67.4,8.67,83.95,26.9071,38.52,0.53,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,0,1476.8441999999998

19,04:30-04:45,0,0,0,24,0,240.72,48.14,0,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,67.4,7.7,83.95,26.9071,38.52,0.53,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,0,1475.8742

20,04:45-05:00,0,0,0,24,0,240.72,48.14,0,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,67.4,7.7,83.95,26.9071,38.52,0.53,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,0,1475.8742

21,05:00-05:15,0,0,0,24,0,240.72,48.14,0,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,24.07,7.7,83.95,26.9071,38.52,0.53,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,0,1432.5442

22,05:15-05:30,0,0,0,24,0,240.72,48.14,0,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,24.07,7.7,83.95,26.9071,38.52,0.53,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,0,1432.5442

23,05:30-05:45,0,0,0,24,0,240.72,48.14,0,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,24.07,7.7,83.95,26.9071,38.52,0.53,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,0,1432.5442

24,05:45-06:00,0,0,0,24,0,240.72,48.14,0,12.4,81.25,27.09,3.85,11.69,37.2,0,37.2,0,17.74,24.07,7.7,83.95,26.9071,38.52,0.53,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,11.79,26.9071,0,1432.5442

25,06:00-06:15,0,0,0,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,0,17.74,24.07,7.7,83.95,26.9071,38.52,0.67,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,12.43,26.9071,0,1324.9841999999999

26,06:15-06:30,0,0,0,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,0,17.74,24.07,7.7,83.95,26.9071,38.52,0.67,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,13.09,26.9071,0,1325.6441999999997

27,06:30-06:45,0,0,0.11,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,0,17.74,24.07,8.67,83.95,26.9071,38.52,0.67,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,13.73,26.9071,0,1327.3642

28,06:45-07:00,0,0,0.54,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,0,17.74,24.07,8.67,83.95,26.9071,38.52,0.67,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,14.38,26.9071,0,1328.4442

29,07:00-07:15,0,0,0.81,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,0,17.74,24.07,8.67,83.95,26.9071,38.52,0.77,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,15.36,26.9071,0,1329.7941999999998

30,07:15-07:30,0,0,1.08,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,0,17.74,24.07,8.67,83.95,26.9071,38.52,0.77,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,16.01,26.9071,0,1330.7142

31,07:30-07:45,0,0,1.35,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,0,17.74,24.07,8.67,83.95,26.9071,38.52,0.77,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,16.01,26.9071,0,1330.9841999999999

32,07:45-08:00,0,0,1.69,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,0,17.74,24.07,8.67,83.95,26.9071,38.52,0.77,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,16.66,26.9071,0,1331.9742

33,08:00-08:15,0,0,2.16,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,0,17.74,24.07,8.67,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,17.3,26.9071,0,1333.2741999999998

34,08:15-08:30,0,0,2.39,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,0,17.74,24.07,8.67,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,17.95,26.9071,0,1334.1542

35,08:30-08:45,0,0,2.49,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,0,17.74,24.07,8.67,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,17.95,26.9071,0,1334.2542

36,08:45-09:00,0,0,2.92,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,0,17.74,24.07,8.67,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,17.95,26.9071,0,1334.6842

37,09:00-09:15,6.55,11.27,2.91,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,9.63,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,15.5,0,0,27.92,0,163.93,0,0,12.4,17.95,26.9071,0,1368.9542000000004

38,09:15-09:30,6.64,15.12,3.24,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,9.63,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,17.24,0,0,27.92,0,163.93,0,0,12.4,18.6,26.9071,0,1375.6142000000002

39,09:30-09:45,6.36,17.72,3.55,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,11.55,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,14.83,0,0,27.92,0,163.93,0,0,12.4,19.25,26.9071,0,1378.4042000000004

40,09:45-10:00,6.07,20.7,3.15,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,11.55,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,12.52,0,0,27.92,0,163.93,0,0,12.4,19.89,26.9071,0,1379.0242000000005

41,10:00-10:15,6.64,22.82,3.56,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,11.55,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,12.33,0,0,27.92,0,163.93,0,0,12.4,20.55,26.9071,0,1382.5942000000002

42,10:15-10:30,6.36,26,3.88,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,11.55,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,9.92,0,0,27.92,0,163.93,0,0,12.4,21.2,26.9071,0,1384.0542000000005

43,10:30-10:45,6.64,29.18,4.44,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,8.28,0,0,27.92,0,163.93,0,0,12.4,21.85,26.9071,0,1388.0542000000003

44,10:45-11:00,6.45,31.1,3.88,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,6.93,0,0,27.92,0,163.93,0,0,12.4,21.85,26.9071,0,1387.8742000000004

45,11:00-11:15,7.51,34.28,4.52,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,5.68,0,0,27.92,0,163.93,0,0,12.4,21.85,26.9071,0,1391.5042000000003

46,11:15-11:30,7.41,35.53,2.96,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,4.81,0,0,27.92,0,163.93,0,0,12.4,21.85,26.9071,0,1390.2242000000003

47,11:30-11:45,7.32,36.3,2.68,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,4.24,0,0,27.92,0,163.93,0,0,12.4,22.49,26.9071,0,1390.6942000000004

48,11:45-12:00,7.32,37.17,3.43,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,3.56,0,0,27.92,0,163.93,0,0,12.4,23.15,26.9071,0,1392.2942000000005

49,12:00-12:15,7.32,39.67,2.51,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,1.83,0,0,27.92,0,163.93,0,0,12.4,23.15,26.9071,0,1392.1442000000004

50,12:15-12:30,7.32,40.25,2.6,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,1.44,0,0,27.92,0,163.93,0,0,12.4,23.15,26.9071,0,1392.4242000000006

51,12:30-12:45,3.18,40.44,4.55,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,0.58,0,0,27.92,0,163.93,0,0,12.4,23.15,26.9071,0,1389.5642000000005

52,12:45-13:00,3.18,41.21,5.46,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,0.29,0,0,27.92,0,163.93,0,0,12.4,23.79,26.9071,0,1391.5942000000002

53,13:00-13:15,3.27,40.92,6.66,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,0.39,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1393.1342000000006

54,13:15-13:30,3.37,39.86,6.06,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,0.77,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1391.9542000000004

55,13:30-13:45,3.56,39.19,4.59,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,1.06,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1390.2942000000003

56,13:45-14:00,3.66,37.75,5.76,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,17.74,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,1.54,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1390.6042000000004

57,14:00-14:15,3.95,37.94,4.89,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,19.12,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,1.64,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1391.6942000000006

58,14:15-14:30,3.85,37.17,4.45,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,19.12,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,1.83,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1390.5742000000002

59,14:30-14:45,3.76,34.95,4.19,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,19.12,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,2.6,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1388.7742000000003

60,14:45-15:00,4.14,32.26,4.16,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,0,19.12,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,3.95,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1387.7842000000005

61,15:00-15:15,8.67,30.81,4.37,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,44.37,19.12,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,9.44,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1440.9342000000006

62,15:15-15:30,8.76,27.44,3.76,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,44.37,19.12,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,12.33,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1439.9342000000006

63,15:30-15:45,8.86,25.71,2.67,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,44.37,19.12,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,14.06,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1438.9442000000006

