Time,Block,NR/2023/11341/F,NR/2023/11368/F,NR/2023/11154/F,NR/2023/11367/F,NR/2023/11100/F,NR/2023/11832/C,NR/2023/11099/F,NR/2023/10197/A,NR/2023/11369/F,NR/2023/11835/C,NR/2023/11096/F,NR/2023/11826/D,NER/2023/780/C,NR/2023/10433/A,NR/2023/11095/F,WR/2023/14547/C,NR/2023/11343/F,NR/2023/11747/F,NR/2023/11102/F,NR/2023/11221/F,NR/2023/11833/C,NR/2023/10486/A,NR/2023/11097/F,NR/2023/11104/F,NR/2023/10182/A,NR/2023/11166/F,NR/2023/10181/A,NR/2023/11834/C,NR/2023/11829/D,NR/2023/11828/D,Total
19,04:30-04:45,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.100000,0,0,494.43

20,04:45-05:00,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.100000,0,0,494.43

21,05:00-05:15,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.100000,0,0,494.43

22,05:15-05:30,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.100000,0,0,494.43

23,05:30-05:45,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.100000,0,0,494.43

24,05:45-06:00,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.100000,0,0,494.43

25,06:00-06:15,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.010000,0,0,587.34

26,06:15-06:30,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.010000,0,0,587.34

27,06:30-06:45,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0.25,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.010000,0,0,587.59

28,06:45-07:00,115.740000,0.310000,9.640000,0.310000,0.530000,29.600000,0.360000,49.910000,0.610000,0.000000,0.530000,0.56,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,8.010000,1.5,3.5,592.9

29,07:00-07:15,115.740000,0.310000,9.640000,0.310000,0.530000,27.570000,0.360000,49.910000,0.610000,0.000000,0.530000,0.89,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,7.920000,4.8,11.2,602.11

30,07:15-07:30,115.740000,0.310000,9.640000,0.310000,0.530000,27.570000,0.360000,49.910000,0.610000,0.000000,0.530000,1.3,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,7.920000,10.2,23.8,620.52

31,07:30-07:45,115.740000,0.310000,9.640000,0.310000,0.530000,27.570000,0.360000,49.910000,0.610000,0.000000,0.530000,1.82,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,7.920000,16.2,37.8,641.04

32,07:45:08:00,115.740000,0.310000,9.640000,0.310000,0.530000,27.570000,0.360000,49.910000,0.610000,0.000000,0.530000,2.37,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.600000,17.360000,0.000000,20.590000,0.360000,0.450000,49.910000,14.470000,99.830000,7.920000,21,49,657.59

33,08:00-08:15,115.740000,0.300000,9.640000,0.310000,0.560000,27.570000,0.350000,49.910000,0.610000,0.000000,0.560000,2.95,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.820000,27.3,63.7,679.08

34,08:15-08:30,115.740000,0.300000,9.640000,0.310000,0.560000,27.570000,0.350000,49.910000,0.610000,0.000000,0.560000,3.52,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.820000,34.8,81.2,704.65

35,08:30-08:45,115.740000,0.300000,9.640000,0.310000,0.560000,27.570000,0.350000,49.910000,0.610000,0.000000,0.560000,4.08,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.820000,40.5,94.5,724.21

36,08:45:09:00,115.740000,0.300000,9.640000,0.310000,0.560000,27.570000,0.350000,49.910000,0.610000,0.000000,0.560000,4.6,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.820000,46.5,108.5,744.73

37,09:00:09:15,115.740000,0.300000,9.640000,0.310000,0.560000,27.570000,0.350000,49.910000,0.610000,0.000000,0.560000,5.11,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.820000,51.6,120.4,806.35

38,09:15-09:30,115.740000,0.300000,9.640000,0.310000,0.560000,27.570000,0.350000,49.910000,0.610000,0.000000,0.560000,5.38,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.820000,57,133,824.62

39,09:30-09:45,115.740000,0.300000,9.640000,0.310000,0.560000,27.570000,0.350000,49.910000,0.610000,0.000000,0.560000,5.99,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.820000,60,140,835.23

40,09:45-10:00,115.740000,0.300000,9.640000,0.310000,0.560000,27.570000,0.350000,49.910000,0.610000,0.000000,0.560000,6.41,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.820000,65.1,151.9,852.65

41,10:00-10:15,115.740000,0.300000,9.640000,0.310000,0.560000,29.600000,0.350000,49.910000,0.610000,0.000000,0.560000,6.8,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.820000,67.5,157.5,863.07

42,10:15-10:30,115.740000,0.300000,9.640000,0.310000,0.560000,29.600000,0.350000,49.910000,0.610000,0.000000,0.560000,7.14,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.820000,72,168,878.41

43,10:30-10:45,115.740000,0.300000,9.640000,0.310000,0.560000,29.600000,0.350000,49.910000,0.610000,0.000000,0.560000,7.43,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.820000,72.6,169.4,880.7

44,10:45-11:00,115.740000,0.300000,9.640000,0.310000,0.560000,29.600000,0.350000,49.910000,0.610000,0.000000,0.560000,7.7,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.820000,73.5,171.5,883.97

45,11:00-11:15,115.740000,0.300000,9.640000,0.310000,0.560000,29.600000,0.350000,49.910000,0.610000,10.000000,0.560000,7.91,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,30.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,75,175,929.1

46,11:15-11:30,115.740000,0.300000,9.640000,0.310000,0.560000,29.600000,0.350000,49.910000,0.610000,10.000000,0.560000,8.04,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,30.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,75.6,176.4,931.23

47,11:30-11:45,115.740000,0.300000,9.640000,0.310000,0.560000,29.600000,0.350000,49.910000,0.610000,10.000000,0.560000,8.2,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,30.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,76.5,178.5,934.39

48,11:45-12:00,115.740000,0.300000,9.640000,0.310000,0.560000,29.600000,0.350000,49.910000,0.610000,10.000000,0.560000,8.38,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,30.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,76.8,179.2,935.57

49,12:00-12:15,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,8.38,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,30.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,78,182,940.59

50,12:15-12:30,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,8.25,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,30.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,78,182,940.46

51,12:30-12:45,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,8.45,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,30.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,78.6,183.4,942.66

52,12:45-13:00,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,8.55,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,30.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,78.6,183.4,942.76

53,13:00-13:15,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,8.38,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,30.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,78.6,183.4,942.49

54,13:15-13:30,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,8.01,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,30.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,79.5,185.5,945.12

55,13:30-13:45,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,8.15,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,30.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,78.6,183.4,942.26

56,13:45-14:00,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,7.89,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,30.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,77.1,179.9,937

57,14:00-14:15,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,7.87,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,10.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,76.5,178.5,914.98

58,14:15-14:30,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,7.64,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,10.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,75.3,175.7,910.75

59,14:30-14:45,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,7.18,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,10.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,72.9,170.1,902.29

60,14:45-15:00,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,7.02,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,10.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,69.6,162.4,891.13

61,15:00-15:15,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,6.67,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,10.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,67.8,158.2,884.78

62,15:15-15:30,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,6.24,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,10.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,63.9,149.1,871.35

63,15:30-15:45,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,5.64,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,10.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,59.1,137.9,854.75

64,15:45-16:00,115.740000,0.300000,9.640000,0.310000,0.560000,30.620000,0.350000,49.910000,0.610000,10.000000,0.560000,5.18,20.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,10.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,54,126,837.29

65,16:00-16:15,115.740000,0.300000,9.640000,0.310000,0.560000,32.670000,0.350000,49.910000,0.610000,10.000000,0.560000,4.65,0.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,49.2,114.8,792.81

66,16:15-16:30,115.740000,0.300000,9.640000,0.310000,0.560000,32.670000,0.350000,49.910000,0.610000,10.000000,0.560000,4.12,0.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,43.2,100.8,772.28

67,16:30-16:45,115.740000,0.300000,9.640000,0.310000,0.560000,32.670000,0.350000,49.910000,0.610000,10.000000,0.560000,3.55,0.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,37.8,88.2,753.71

68,16:45-17:00,115.740000,0.300000,9.640000,0.310000,0.560000,32.670000,0.350000,49.910000,0.610000,10.000000,0.560000,2.91,0.000000,24.110000,2.890000,93.000000,48.220000,24.110000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.640000,31.5,73.5,732.07

69,17:00-17:15,115.740000,0.300000,9.640000,0.310000,0.560000,33.690000,0.350000,49.910000,0.610000,10.000000,0.560000,2.26,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,25.5,59.5,688.43

70,17:15-17:30,115.740000,0.300000,9.640000,0.310000,0.560000,33.690000,0.350000,49.910000,0.610000,10.000000,0.560000,1.63,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,18.9,44.1,665.8

71,17:30-17:45,115.740000,0.300000,9.640000,0.310000,0.560000,33.690000,0.350000,49.910000,0.610000,10.000000,0.560000,1.09,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,12,28,642.26

72,17:45-18:00,115.740000,0.300000,9.640000,0.310000,0.560000,33.690000,0.350000,49.910000,0.610000,10.000000,0.560000,0.67,0.000000,24.110000,2.890000,93.000000,48.220000,0.000000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,10.5,24.5,636.84

73,18:00-18:15,115.740000,0.300000,9.640000,0.310000,0.560000,33.690000,0.350000,49.910000,0.610000,0.000000,0.560000,0.36,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,9,21,528.53

74,18:15-18:30,115.740000,0.300000,9.640000,0.310000,0.560000,33.690000,0.350000,49.910000,0.610000,0.000000,0.560000,0.15,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,3,7,508.32

75,18:30-18:45,115.740000,0.300000,9.640000,0.310000,0.560000,33.690000,0.350000,49.910000,0.610000,0.000000,0.560000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,1.5,3.5,503.17

76,18:45-19:00,115.740000,0.300000,9.640000,0.310000,0.560000,33.690000,0.350000,49.910000,0.610000,0.000000,0.560000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.590000,17.360000,0.000000,20.590000,0.350000,0.440000,49.910000,14.470000,99.830000,7.740000,0,0,498.17

