Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2025/09/01/2039,NR/30092023/26122029/SH-06,GNA/NR/2025/09/01/2909,GNA/NR/2025/09/01/7452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/09/01/5590,GNA/NR/2025/09/01/7215,GNA/NR/2025/09/01/6485,GNA/NR/2025/09/01/9418,NR/2025/34528/A/102225,GNA/NR/2025/09/01/8071,GNA/NR/2025/09/01/9239,NR/2025/29910/A/102129,NR/2025/29992/A/101850,GNA/NR/2025/09/01/7691,GNA/NR/2025/09/01/6755,GNA/NR/2025/09/01/5084,GNA/NR/2025/09/01/7205,GNA/NR/2025/09/01/4314,GNA/NR/2025/09/01/4602,NR/2025/34975/C,NR/2025/34914/C,NR/2025/34822/A/101889,NR/2025/29440/A/101724,NR/2025/34325/A/102124,NR/2025/34949/C,NR/2025/34950/C,NR/2025/34527/A/102230,NR/2025/34323/A/102126,NR/2025/34951/C/Alternate/1,NR/2025/33476/A/102185,NR/2025/34936/C,NR/2025/34945/C,NR/2025/34951/C,NR/2025/33479/A/102186,NR/2025/34944/C,NR/2025/34853/A/102130,NR/2025/34676/A/102284,NR/2025/34324/A/102125,NR/2025/34946/C,NR/2025/34916/C,NR/2025/34545/A/102283,NR/2025/34529/A/102238,NR/2025/34499/A/101828,NR/2025/33226/A/102285,NR/2025/34960/C,NR/2025/34712/A/101873,NR/2025/34683/A/102167,NR/2025/34615/A/102117,NR/2025/34683/A/102168,NR/2025/34713/A/101872,NR/2025/34681/A/102171,NR/2025/34681/A/102172,NR/2025/34682/A/102169,NR/2025/34710/A/101876,NR/2025/34682/A/102170,GNARE/NR/2024/12/20/3668,Total
3,00:30-00:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,40.96,28.67,17.35,192.74,44.33,8.67,20.48,0,8.67,20.48,0,0.93,0,12.53,0.87,18.04,0,0,61.44,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1303.16

4,00:45-01:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,40.96,28.67,17.35,192.74,44.33,8.67,20.48,0,8.67,20.48,0,0.93,0,12.53,0.87,18.04,0,0,61.44,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1303.16

5,01:00-01:15,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,40.96,28.67,17.35,192.74,44.33,8.67,20.48,0,8.67,20.48,0,0.93,0,12.53,0.63,18.04,0,0,61.44,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1299.2100000000003

6,01:15-01:30,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,40.96,28.67,17.35,192.74,44.33,8.67,20.48,0,8.67,20.48,0,0.93,0,12.53,0.63,18.04,0,0,61.44,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1299.2100000000003

7,01:30-01:45,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,40.96,28.67,17.35,192.74,44.33,8.67,20.48,0,8.67,20.48,0,0.93,0,12.53,0.63,18.04,0,0,61.44,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1299.2100000000003

8,01:45-02:00,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,40.96,28.67,17.35,192.74,44.33,8.67,20.48,0,8.67,20.48,0,0.93,0,12.53,0.63,18.04,0,0,61.44,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1299.2100000000003

9,02:00-02:15,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,0,28.67,17.35,192.74,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.63,18.04,0,0,0,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1299.2099999999998

10,02:15-02:30,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,0,28.67,17.35,192.74,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.63,18.04,0,0,0,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1299.2099999999998

11,02:30-02:45,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,0,28.67,17.35,192.74,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.63,18.04,0,0,0,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1299.2099999999998

12,02:45-03:00,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,0,28.67,17.35,192.74,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.63,18.04,0,0,0,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1299.2099999999998

13,03:00-03:15,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,0,28.67,17.35,192.74,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.53,18.04,0,0,0,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1299.11

14,03:15-03:30,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,0,28.67,17.35,192.74,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.53,18.04,0,0,0,24.09,192.74,96.37,0,0,0,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1299.11

15,03:30-03:45,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,0,28.67,17.35,192.74,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.53,18.04,0,0,0,24.09,113.25,96.37,0,0,79.49,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1299.11

16,03:45-04:00,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,0,28.67,17.35,192.74,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.53,18.04,0,0,0,24.09,112.43,96.37,0,0,80.31,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1299.11

17,04:00-04:15,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,0,28.67,17.35,192.74,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.53,18.04,0,0,0,24.09,110.4,0,0,0,82.34,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1202.74

18,04:15-04:30,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,0,28.67,17.35,192.74,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.53,18.04,0,0,0,24.09,108.77,0,0,0,83.97,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1202.74

19,04:30-04:45,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,0,28.67,17.35,192.74,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.53,18.04,0,0,0,24.09,25.23,0,0,0,167.51,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1202.74

20,04:45-05:00,0,20.48,0,20.48,15.27,0,36.86,12.29,20.48,19.27,0,28.67,17.35,192.74,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.53,18.04,0,0,0,24.09,23.2,0,0,0,169.54,0,0,4.82,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1202.74

21,05:00-05:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,17.35,28.91,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.53,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1037.8

22,05:15-05:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,17.35,28.91,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,12.53,0.53,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1037.8

23,05:30-05:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,17.35,28.91,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,11.56,0.53,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1036.83

24,05:45-06:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,17.35,28.91,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,11.56,0.53,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1036.83

25,06:00-06:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,17.35,28.91,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,11.56,0.82,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0.29,0,0,0,0.1,0,0.19,0,0,0.03,1037.7299999999998

26,06:15-06:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,17.35,28.91,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,11.56,0.82,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0,0,0.29,2,0,0,0.1,0,0.19,0,0,1.19,1040.8899999999999

27,06:30-06:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,17.35,28.91,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,11.56,0.82,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,0.84,0,0.29,6,0.05,0,0.1,0.04,0.19,0,0.04,3.92,1048.5899999999997

28,06:45-07:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,17.35,28.91,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,11.56,0.82,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,1.38,0,0.39,12,0.15,0,0.1,0.1,0.19,0,0.1,6.69,1058.22

29,07:00-07:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,17.35,28.91,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,11.56,0.87,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,1.98,0,0.39,18,0.26,0,0.19,0.16,0.19,0,0.19,10.2,1068.7300000000002

30,07:15-07:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,17.35,28.91,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,11.56,0.87,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,2.98,0,0.39,27,0.32,0,0.19,0.2,0.19,0,0.24,14.46,1083.14

31,07:30-07:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,17.35,28.91,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,11.56,0.87,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,3.86,0,0.39,39,0.4,0,0.19,0.23,0.19,0,0.32,19.34,1101.09

32,07:45-08:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,17.35,28.91,44.33,8.67,20.48,61.44,8.67,20.48,40.96,0.93,0,11.56,0.87,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,5.26,0,0.39,49,0.48,0,0.19,0.32,0.29,0,0.38,24.81,1118.29

33,08:00-08:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,28.91,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,0,11.56,0.96,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,6.2,0,0.39,63,0.57,1.16,0.19,0.34,0.29,1.64,0.4,30.84,1165.8700000000001

34,08:15-08:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,28.91,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,0,11.56,0.96,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,8.55,0,0.39,77,0.64,1.16,0.19,0.38,0.29,1.64,0.44,37.31,1188.8400000000004

35,08:30-08:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,0,13.49,0.96,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,5.89,0,0.39,88,0.96,1.16,0.19,0.39,0.29,1.64,0.51,43.9,1209.1600000000005

36,08:45-09:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,0,13.49,0.96,18.04,0,0,0,24.09,0,0,0,0,192.74,0,0,0,48.18,18.04,0,0,40.96,81.91,122.87,48.18,5.89,0,0.39,102,0.96,1.16,0.19,0.47,0.29,1.64,0.54,50.44,1229.8100000000004

37,09:00-09:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,5.89,0,0.48,112,0.96,1.16,0.19,0.47,0.29,1.64,0.54,53.91,1286.8400000000004

38,09:15-09:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,6.87,0,0.48,123,0.96,1.16,0.19,0.5,0.29,1.64,0.57,59.67,1304.64

39,09:30-09:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,6.87,0,0.48,133,0.96,1.16,0.19,0.58,0.29,1.64,0.77,65.03,1320.28

40,09:45-10:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,7.84,0,0.48,140,0.96,1.16,0.19,0.67,0.29,1.64,0.77,70.09,1333.4

41,10:00-10:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,7.84,1.45,0.48,151,0.96,1.16,0.19,0.67,0.29,1.64,0.77,74.71,1350.4700000000003

42,10:15-10:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,7.84,1.45,0.48,158,0.96,1.16,0.19,0.67,0.29,1.64,0.77,78.95,1361.7100000000003

43,10:30-10:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,11.55,1.45,0.48,168,0.96,1.16,0.19,0.67,0.29,1.64,0.77,83.33,1379.8000000000002

44,10:45-11:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,12.84,1.45,0.48,182,0.96,1.16,0.19,0.67,0.29,1.64,0.77,91.67,1403.4300000000003

45,11:00-11:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,14.11,1.45,0.48,196,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1427.0300000000002

46,11:15-11:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,15.55,1.45,0.48,196,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1428.4700000000003

47,11:30-11:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,16.93,1.45,0.48,175,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1408.8500000000004

48,11:45-12:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,18.21,1.45,0.48,175,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1410.1300000000003

