Column1,Block,NR/2024/23268/C,NR/2024/23214/A/38542,GNARE/SR/2024/09/24/6792,NR/2024/23213/A/38544,NR/2024/23283/C,NR/2024/23038/A/38470,NR/2024/22803/A/38735,NR/2024/23217/A/38669,NR/2024/23122/A/38730,NR/2024/22820/A/38476,NR/2024/21658/A/38471,NR/2024/23269/C,NR/2024/22848/A/38746,NR/2024/23119/A/38731,NR/2024/23121/A/38732,NR/2024/22835/A/38804,NR/2024/23276/C,NR/2024/22874/A/38734,NR/2024/23277/C,NR/2024/23278/C,NR/2024/23118/A/38729,NR/2024/22754/A/38683,NR/2024/23270/C,NR/2024/23266/C,GNA/NR/2024/09/24/5398,GNA/NR/2024/09/01/7119,NR/30092023/26122029/SH-06,GNA/NR/2024/09/24/2277,GNA/NR/2024/09/24/4602,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/8090,NR/2024/23286/C,NR/2024/23286/C/Alternate/1,NR/2024/23286/C/Alternate/3,Total
3,00:30-00:45,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.87,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,193.54,32,32.9,24.19,10.34,96.77,21.77,2.42,163.3,8.8,0,0,0,1550.75

4,00:45-01:00,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.87,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,193.54,32,32.9,24.19,10.53,96.77,21.77,2.42,163.3,8.8,0,0,0,1550.94

5,01:00-01:15,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,193.54,32,32.9,24.19,10.26,96.77,21.77,2.42,163.3,8.8,0,0,0,1550.48

6,01:15-01:30,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,193.54,32,32.9,24.19,10.26,96.77,21.77,2.42,163.3,8.8,0,0,0,1550.48

7,01:30-01:45,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,193.54,32,32.9,24.19,10.26,96.77,21.77,2.42,163.3,8.8,0,0,0,1550.48

8,01:45-02:00,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,193.54,32,32.9,24.19,10.26,96.77,21.77,2.42,163.3,8.8,0,0,0,1550.48

9,02:00-02:15,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,32,32.9,24.19,10.16,96.77,21.77,2.42,163.3,8.8,0,0,0,1356.8400000000001

10,02:15-02:30,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,32,32.9,24.19,10.16,96.77,21.77,2.42,163.3,8.8,0,0,0,1356.8400000000001

11,02:30-02:45,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,13.95,32.9,24.19,10.16,96.77,21.77,2.42,163.3,8.8,0,0,0,1338.79

12,02:45-03:00,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,13.95,32.9,24.19,10.16,96.77,21.77,2.42,163.3,8.8,0,0,0,1338.79

13,03:00-03:15,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.63,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,13.95,0,24.19,9.98,96.77,21.77,2.42,163.3,8.8,0,0,0,1305.66

14,03:15-03:30,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.63,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,13.95,0,24.19,9.98,96.77,21.77,2.42,163.3,8.8,0,0,0,1305.66

15,03:30-03:45,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.63,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,13.95,0,24.19,9.98,96.77,21.77,2.42,163.3,8.8,0,0,0,1305.66

16,03:45-04:00,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.63,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,13.95,0,24.19,9.98,96.77,21.77,2.42,163.3,8.8,0,0,0,1305.66

17,04:00-04:15,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.58,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,13.95,0,24.19,9.88,96.77,21.77,2.42,163.3,8.8,0,0,0,1305.51

18,04:15-04:30,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.58,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,13.95,0,24.19,9.88,96.77,21.77,2.42,163.3,8.8,0,0,0,1305.51

19,04:30-04:45,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.58,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,13.95,0,24.19,9.88,96.77,21.77,2.42,163.3,8.8,0,0,0,1305.51

20,04:45-05:00,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.58,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,13.95,0,24.19,9.88,96.77,21.77,2.42,163.3,8.8,0,0,0,1305.51

21,05:00-05:15,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.58,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,13.95,0,24.19,9.79,96.77,21.77,2.42,163.3,8.8,0,0,0,1305.42

22,05:15-05:30,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.58,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,32,0,0,13.95,0,24.19,9.79,96.77,21.77,2.42,163.3,8.8,0,0,0,1305.42

23,05:30-05:45,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.58,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.79,96.77,21.77,2.42,163.3,8.8,0,0,0,1305.41

24,05:45-06:00,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.58,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,54.43,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.79,96.77,21.77,2.42,163.3,8.8,0,0,0,1305.41

25,06:00-06:15,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,0,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.7,96.77,21.77,2.42,0,8.8,0,0,0,1087.6900000000003

26,06:15-06:30,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,0,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.7,96.77,21.77,2.42,0,8.8,0,0,0,1087.6900000000003

27,06:30-06:45,0,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0,48.38,0,0,8.8,0,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.7,96.77,21.77,2.42,0,8.8,0,0,0,1086.7200000000003

28,06:45-07:00,0.25,0,0,0,0,3.87,96.77,5.81,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,0,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.7,96.77,21.77,2.42,0,8.8,0,0,0,1086.9800000000002

29,07:00-07:15,0.51,0,0,0,0,3.87,96.77,5.81,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,0,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.61,96.77,21.77,2.42,0,8.8,0,0,0,1087.15

30,07:15-07:30,0.72,0,0,0,0,3.87,96.77,5.81,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,0,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.61,96.77,21.77,2.42,0,8.8,0,0,0,1087.3600000000001

31,07:30-07:45,1.11,0,0,0,0,3.87,96.77,5.81,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,0,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.61,96.77,21.77,2.42,0,0,0,0,0,1078.95

32,07:45-08:00,2.54,0,0,0,0,3.87,96.77,5.81,26.39,4.84,0.68,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,0,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.61,96.77,21.77,2.42,0,0,0,0,0,1080.38

33,08:00-08:15,2.71,0,0,0,0,3.87,96.77,5.81,26.39,4.84,0.97,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,0,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.51,96.77,21.77,2.42,0,0,0,0,0,1080.7400000000002

34,08:15-08:30,2.92,0,0,0,0,3.87,96.77,5.81,26.39,4.84,0.97,30,84.36,26.39,26.39,90.96,1.94,48.38,0,0,8.8,0,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.51,96.77,21.77,2.42,0,0,0,0,0,1081.92

35,08:30-08:45,3.24,0,0,0,0,3.87,96.77,5.81,26.39,4.84,0.97,30,84.36,26.39,26.39,90.96,1.94,48.38,0,0,8.8,0,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.51,96.77,21.77,2.42,0,0,0,0,0,1082.2400000000002

36,08:45-09:00,3.39,0,0,0,0,3.87,96.77,6.77,26.39,4.84,0.97,30,84.36,26.39,26.39,90.96,0.97,48.38,0,0,8.8,0,163.11,241.92,0,17.5,22.97,0,0,22.97,0,24.19,9.51,96.77,21.77,2.42,0,0,0,0,0,1082.38

37,09:00-09:15,3.73,42.63,0,10.66,0,3.87,96.77,6.77,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,0.97,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.51,96.77,21.77,2.42,0,0,0,0,0,1179.92

38,09:15-09:30,3.87,42.63,0,10.66,0,3.87,96.77,7.74,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,0,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.51,96.77,21.77,2.42,0,0,0,0,0,1180.06

39,09:30-09:45,4.06,42.63,0,10.66,0,3.87,96.77,7.74,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,0.97,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.51,96.77,21.77,2.42,0,0,0,0,0,1181.22

40,09:45-10:00,4.21,42.63,0,10.66,0,3.87,96.77,7.74,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,0.97,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.51,96.77,21.77,2.42,0,0,0,0,0,1181.3700000000001

41,10:00-10:15,4.45,42.63,0,10.66,0,3.87,96.77,7.74,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.43,96.77,21.77,2.42,0,0,0,0,0,1182.5000000000002

42,10:15-10:30,4.6,42.63,0,10.66,0,3.87,96.77,7.74,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.43,96.77,21.77,2.42,0,0,0,0,0,1182.65

43,10:30-10:45,4.74,42.63,0,10.66,0,3.87,96.77,8.71,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.43,96.77,21.77,2.42,0,0,0,0,0,1184.72

44,10:45-11:00,5.32,42.63,0,10.66,0,3.87,96.77,8.71,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.43,96.77,21.77,2.42,0,0,0,0,0,1185.3000000000002

45,11:00-11:15,6.39,42.63,0,10.66,0,3.87,96.77,8.71,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.43,96.77,21.77,2.42,0,0,0,0,0,1186.3700000000001

46,11:15-11:30,6.77,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.43,96.77,21.77,2.42,0,0,0,0,0,1186.7600000000002

47,11:30-11:45,7.35,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.43,96.77,21.77,2.42,0,0,0,0,0,1187.3400000000001

48,11:45-12:00,7.64,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.43,96.77,21.77,2.42,0,0,0,0,0,1187.63

49,12:00-12:15,8.32,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.33,96.77,21.77,2.42,0,0,0,0,0,1188.21

50,12:15-12:30,8.61,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.33,96.77,21.77,2.42,0,0,0,0,0,1188.5

51,12:30-12:45,9.1,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.33,96.77,21.77,2.42,0,0,0,0,0,1188.99

52,12:45-13:00,8.23,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.33,96.77,21.77,2.42,0,0,0,0,0,1188.12

53,13:00-13:15,7.74,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.33,96.77,21.77,2.42,0,0,0,0,0,1187.63

54,13:15-13:30,7.16,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.33,96.77,21.77,2.42,0,0,0,0,0,1187.05

55,13:30-13:45,6.29,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.33,96.77,21.77,2.42,0,0,0,0,0,1186.18

56,13:45-14:00,5.32,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.33,96.77,21.77,2.42,0,0,0,0,0,1185.21

57,14:00-14:15,4.45,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.43,96.77,21.77,2.42,0,0,0,0,0,1184.44

58,14:15-14:30,4.06,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.43,96.77,21.77,2.42,0,0,0,0,0,1184.0500000000002

59,14:30-14:45,3.68,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.43,96.77,21.77,2.42,0,0,0,0,0,1183.67

60,14:45-15:00,3.1,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.43,96.77,21.77,2.42,0,0,0,0,0,1183.0900000000001

61,15:00-15:15,2.9,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,1.94,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.61,96.77,21.77,2.42,0,0,0,0,0,1183.07

62,15:15-15:30,2.71,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.61,96.77,21.77,2.42,0,0,0,0,0,1183.84

63,15:30-15:45,2.52,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.61,96.77,21.77,2.42,0,0,0,0,0,1183.6499999999999

64,15:45-16:00,2.32,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.97,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.61,96.77,21.77,2.42,0,0,0,0,0,1183.45

65,16:00-16:15,2.23,42.63,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.87,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.79,96.77,21.77,2.42,0,0,0,0,0,1183.44

66,16:15-16:30,2.08,36.82,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.87,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.79,96.77,21.77,2.42,0,0,0,0,0,1177.48

67,16:30-16:45,1.94,30.52,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.87,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.79,96.77,21.77,2.42,0,0,0,0,0,1171.04

68,16:45-17:00,1.78,23.74,0,10.66,0,3.87,96.77,9.68,37.38,4.84,0.87,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,22.97,0,0,22.97,0,24.19,9.79,96.77,21.77,2.42,0,0,0,0,0,1164.1

69,17:00-17:15,1.35,0,0,0,0,3.87,96.77,9.68,37.38,4.84,0.82,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,13.95,0,0,32,0,24.19,9.98,96.77,21.77,2.42,0,0,0,0,0,1129.42

70,17:15-17:30,1.01,0,0,0,0,3.87,96.77,9.68,37.38,4.84,0.82,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,13.95,0,0,32,0,24.19,9.98,96.77,21.77,2.42,0,0,0,0,0,1129.0800000000002

71,17:30-17:45,0.72,0,0,0,0,3.87,96.77,9.68,37.38,4.84,0.82,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,32,0,0,1.35,0,24.19,9.98,96.77,21.77,2.42,0,0,0,0,0,1116.19

72,17:45-18:00,0.41,0,0,0,0,3.87,96.77,9.68,37.38,4.84,0.82,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,32,0,0,1.35,0,24.19,9.98,96.77,21.77,2.42,0,0,0,0,0,1115.88

73,18:00-18:15,0.2,0,0,0,0,3.87,96.77,9.68,37.38,4.84,0.82,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,32,0,193.54,1.35,0,24.19,10.16,96.77,21.77,2.42,0,0,0,0,0,1309.39

74,18:15-18:30,0.05,0,0,0,0,3.87,96.77,9.68,37.38,4.84,0.82,30,84.36,37.38,37.38,90.96,2.9,48.38,0,0,12.46,0,163.11,241.92,0,24.78,32,0,193.54,1.35,0,24.19,10.16,96.77,21.77,2.42,0,0,0,0,0,1309.24

