Column1,Block,GNA/NR/2025/06/01/2868,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/09/3517,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/2569,NR/2025/28327/C,NR/2025/28312/C,GNA/NR/2025/06/01/4444,NR/2025/28303/C,NR/2025/28348/C,NR/2025/28307/C,NR/2025/28308/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7762,NR/2025/28325/C,NR/2025/28310/C,NR/2025/28313/C,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/9257,NR/2025/27356/A/78678,NR/2025/27622/A/78553,GNARE/NR/2024/12/20/3668,NR/2025/27157/A/78534,NR/2025/27281/A/79117,NR/2025/26085/A/78619,NR/2025/28333/C,NR/2025/28314/C,NR/2025/28315/C,NR/2025/26861/A/78994,NR/2025/27727/A/79008,NR/2025/26889/A/78969,NR/2025/26564/A/78997,NR/2025/27725/A/79011,NR/2025/27088/A/79076,NR/2025/26561/A/79000,NR/2025/27242/A/78977,NR/2025/26975/A/79013,NR/2025/26785/A/78745,NR/2025/28139/A/78675,NR/2025/26777/A/78643,NR/2025/28277/C,NR/2025/26445/A/79081,NR/2025/26860/A/78928,NR/2025/28278/C,NR/2025/28138/A/78674,NR/2025/27724/A/78655,NR/2025/28233/C,NR/2025/27462/A/78554,NR/2025/28279/C,NR/2025/27782/A/79006,NR/2025/28239/C,NR/2025/27167/A/78949,NR/2025/27162/A/79012,NR/2025/26563/A/78998,NR/2025/28274/C,NR/2025/28140/A/78676,NR/2025/27728/A/79009,NR/2025/26569/A/78996,NR/2025/27726/A/79010,NR/2025/28253/C,NR/2025/26570/A/78995,NR/2025/27168/A/78951,NR/2025/27499/A/78968,NR/2025/28141/A/78677,NR/2025/26952/A/78568,Total
3,00:30-00:45,28.99,30,14.43,48.32,30,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.68,0,0,0,193.26,26.35,5.8,0,8.78,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,8.7,135.28,0,2651.669999999999

4,00:45-01:00,28.99,30,14.43,48.32,30,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.68,0,0,0,193.26,26.35,5.8,0,8.78,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,8.7,135.28,0,2651.669999999999

5,01:00-01:15,28.99,30,14.15,48.32,30,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.68,0,0,0,193.26,26.35,5.8,0,8.78,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,8.7,135.28,0,2651.3899999999994

6,01:15-01:30,28.99,30,14.15,48.32,30,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.68,0,0,0,193.26,26.35,5.8,0,8.78,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,8.7,135.28,0,2651.3899999999994

7,01:30-01:45,28.99,30,14.15,48.32,30,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.68,0,0,0,193.26,26.35,5.8,0,8.78,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,8.7,135.28,0,2651.3899999999994

8,01:45-02:00,28.99,30,14.15,48.32,30,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.68,0,0,0,193.26,26.35,5.8,0,8.78,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,8.7,135.28,0,2651.3899999999994

9,02:00-02:15,28.99,30,13.96,48.32,30,48.32,62.81,0,0,193.26,0,85.9,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.63,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,0,135.28,0,2636.65

10,02:15-02:30,28.99,30,13.96,48.32,30,48.32,62.81,0,0,193.26,0,85.9,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.63,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,0,135.28,0,2636.65

11,02:30-02:45,28.99,26.5,13.96,48.32,26.5,48.32,62.81,0,0,193.26,0,85.9,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.63,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,0,135.28,0,2629.65

12,02:45-03:00,28.99,26.5,13.96,48.32,26.5,48.32,62.81,0,0,193.26,0,85.9,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.63,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,0,135.28,0,2629.65

13,03:00-03:15,28.99,26.5,13.68,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.53,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,0,135.28,0,2473.7900000000004

14,03:15-03:30,28.99,26.5,13.68,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.53,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,0,135.28,0,2473.7900000000004

15,03:30-03:45,28.99,26.5,13.68,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.53,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,0,135.28,0,2473.7900000000004

16,03:45-04:00,28.99,26.5,13.68,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.32,24.88,0.53,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,144.94,0,33.82,26.35,144.94,26.35,0,0,24.16,0,135.28,0,2473.7900000000004

17,04:00-04:15,28.99,26.5,13.5,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,0,24.88,0.53,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,0,0,33.82,26.35,0,26.35,0,0,24.16,0,135.28,0,1966.41

18,04:15-04:30,28.99,26.5,13.5,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,0,24.88,0.53,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,0,0,33.82,26.35,0,26.35,0,0,24.16,0,135.28,0,1966.41

19,04:30-04:45,28.99,26.5,13.5,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,0,24.88,0.53,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,0,0,33.82,26.35,0,26.35,0,0,24.16,0,135.28,0,1966.41

20,04:45-05:00,28.99,26.5,13.5,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,0,24.88,0.53,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,10.63,0,9.66,0,8.78,0,24.16,55.99,0,0,33.82,26.35,0,26.35,0,0,24.16,0,135.28,0,1966.41

21,05:00-05:15,28.99,26.5,13.32,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,0,24.88,0.63,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,10.63,0,9.66,0,8.78,0,24.16,55.99,0,0,0,26.35,0,26.35,0,0,24.16,0,0,0,1729.59

22,05:15-05:30,28.99,26.5,13.32,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,0,24.88,0.63,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,10.63,0,9.66,0,8.78,0,24.16,55.99,0,0,0,26.35,0,26.35,0,0,24.16,0,0,0,1729.59

23,05:30-05:45,28.99,26.5,13.32,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,0,24.88,0.63,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,10.63,0,9.66,0,8.78,0,24.16,55.99,0,0,0,26.35,0,26.35,0,0,24.16,0,0,0,1729.59

24,05:45-06:00,28.99,26.5,13.32,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,0,24.88,0.63,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,9.66,0,9.66,0,8.78,0,24.16,55.99,0,0,0,26.35,0,26.35,0,0,24.16,0,0,0,1728.62

25,06:00-06:15,28.99,26.5,13.23,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,1,0,0.3,0,24.88,0.68,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,9.66,0,9.66,0,8.78,0,24.16,55.99,0,0,0,26.35,0,26.35,0,0,24.16,0,0,0,1729.8799999999997

26,06:15-06:30,28.99,26.5,13.23,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,4,0,0.3,0,24.88,0.68,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,9.66,0,9.66,0,8.78,0,24.16,55.99,0,0,0,26.35,0,26.35,0,0,24.16,0,0,0,1732.8799999999997

27,06:30-06:45,28.99,26.5,13.23,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,7,0,6.35,0,24.88,0.68,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,9.66,0,9.66,0,8.78,0,24.16,55.99,0,0,0,26.35,0,26.35,0,0,24.16,0,0,0,1741.9299999999998

28,06:45-07:00,28.99,26.5,13.23,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,14,0,9.36,0,24.88,0.68,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,9.66,0,9.66,0,8.78,0,24.16,55.99,0,0,0,26.35,0,26.35,0,0,24.16,0,0,0,1751.94

29,07:00-07:15,28.99,26.5,13.04,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,25,0,13.25,0,24.88,0.87,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,9.66,0,9.66,0,8.78,0,24.16,55.99,0,0,0,26.35,0,26.35,0,0,24.16,0,0,0,1766.83

30,07:15-07:30,28.99,26.5,13.04,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,35,0,18.18,0,24.88,0.87,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,9.66,0,9.66,0,8.78,0,24.16,55.99,0,0,0,26.35,0,26.35,0,0,24.16,0,0,0,1781.7599999999998

31,07:30-07:45,28.99,26.5,13.04,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,49,0,24.66,0,24.88,0.87,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,9.66,0,9.66,0,8.78,0,24.16,55.99,0,0,0,26.35,0,26.35,0,0,24.16,0,0,0,1802.2399999999998

32,07:45-08:00,28.99,26.5,13.04,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,63,0,30.84,0,24.88,0.87,0,0,0,0,26.35,0,0,8.78,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,9.66,0,9.66,0,8.78,0,24.16,55.99,0,0,0,26.35,0,26.35,0,0,24.16,0,0,0,1822.42

33,08:00-08:15,28.99,26.5,12.85,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,77,5.1,37.81,0,24.88,0.97,0,0,0,0,43.92,0,0,14.64,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,9.66,0,9.66,0,14.64,0,24.16,55.99,0,0,0,37.34,0,43.92,0,0,24.16,0,0,0,1906.2500000000002

34,08:15-08:30,28.99,26.5,12.85,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,91,5.8,44.82,0,24.88,0.97,0,0,0,0,43.92,0,0,14.64,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,10.63,0,9.66,0,14.64,0,24.16,55.99,0,0,0,37.34,0,43.92,0,0,24.16,0,0,0,1928.9300000000003

35,08:30-08:45,28.99,26.5,12.85,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,109,5.8,51.84,0,24.88,0.97,0,0,0,0,43.92,0,0,14.64,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,10.63,0,9.66,0,14.64,0,24.16,55.99,0,0,0,37.34,0,43.92,0,0,24.16,0,0,0,1953.9500000000003

36,08:45-09:00,28.99,26.5,12.85,0,26.5,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,123,5.8,58.6,0,24.88,0.97,0,0,0,0,43.92,0,0,14.64,192.64,144.94,48.32,5.8,0,0,193.26,0,96.63,106.29,0,0,10.63,0,9.66,0,14.64,0,24.16,55.99,0,0,0,37.34,0,43.92,0,0,24.16,0,0,0,1974.71

37,09:00-09:15,28.99,26.61,12.67,0,26.61,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,137,8.33,64.78,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,10.63,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,0,0,24.16,0,0,0,2043.5300000000007

38,09:15-09:30,28.99,26.61,12.67,0,26.61,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,147,8.7,70.58,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,0,0,24.16,0,0,0,2060.6700000000005

39,09:30-09:45,28.99,26.61,12.67,0,26.61,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,158,8.7,75.86,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,0,0,24.16,0,0,0,2076.9500000000003

