Column1,Block,NR/2025/24969/C,NR/2025/24968/C,GNA/NR/2025/01/20/5216,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/4698,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/3945,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3514,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/20/2470,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3925,NR/2024/24418/A/50186,NR/2025/24839/A/50258,WR/2024/25501/A/50521,SR/2024/15456/A/50135,NR/2024/24507/A/50464,NR/2024/24566/A/50139,NR/2025/24961/C,NR/2024/24434/A/50153,GNA/NR/2025/01/01/6528,NR/2024/24508/A/50466,GNA/NR/2025/01/01/7459,NR/2024/24614/A/50465,GNA/NR/2025/01/01/6775,NR/2025/24960/C,NR/2024/24435/A/50152,NR/2025/24837/A/50247,NR/2025/24962/C,NER/2024/2820/A/50520,NR/2025/24838/A/50255,Total
3,00:30-00:45,0,0,0,0,0,0,31.7,0,0,23.06,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,23.06,0,23.06,0,9.61,0,0,0,0,332.74

4,00:45-01:00,0,0,0,0,0,0,31.7,0,0,23.06,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,23.06,0,23.06,0,9.61,0,0,0,0,332.74

5,01:00-01:15,0,0,0,0,0,0,31.7,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,341.38

6,01:15-01:30,0,0,0,0,0,0,31.7,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,341.38

7,01:30-01:45,0,0,0,0,0,0,40.35,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,350.03000000000003

8,01:45-02:00,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.72

9,02:00-02:15,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.72

10,02:15-02:30,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.72

11,02:30-02:45,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.72

12,02:45-03:00,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.72

13,03:00-03:15,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.72

14,03:15-03:30,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.72

15,03:30-03:45,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.72

16,03:45-04:00,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.72

17,04:00-04:15,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.29,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.64

18,04:15-04:30,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.29,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.64

19,04:30-04:45,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.29,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.64

20,04:45-05:00,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.29,0,26.9,48.04,0.38,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,9.61,0,0,0,0,357.64

21,05:00-05:15,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.43,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,16.33,0,0,38.43,0,402.92

22,05:15-05:30,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.43,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,16.33,0,0,38.43,0,402.92

23,05:30-05:45,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.43,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,16.33,0,0,38.43,0,402.92

24,05:45-06:00,0,0,0,0,0,0,48.04,0,0,25.94,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.43,0,0,0,6.18,5.76,0,0,8.65,8.73,25.94,0,25.94,0,16.33,0,0,38.43,0,402.92

25,06:00-06:15,0,0,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,326.64,6.18,5.76,0,0,8.65,8.73,28.82,0,28.82,0,16.33,0,0,38.43,0,752.56

26,06:15-06:30,0,0,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,326.64,6.18,5.76,0,0,8.65,8.73,28.82,0,28.82,0,16.33,0,0,38.43,0,752.56

27,06:30-06:45,0,0,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,326.64,6.18,5.76,0,0,8.65,8.73,28.82,0,28.82,0,16.33,0,0,38.43,0,752.56

28,06:45-07:00,0,0,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.38,0,0,326.64,6.18,5.76,0,0,8.65,8.73,28.82,0,28.82,19.21,16.33,0,0,38.43,0,771.77

29,07:00-07:15,0,0,9.61,0,7.69,0,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.86,0,0,124.89,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,57.64,16.33,0,0,38.43,0,930.3199999999999

30,07:15-07:30,0,0,9.61,0,7.69,0,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.86,0,0,124.89,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,57.64,16.33,0,0,38.43,0,930.3199999999999

31,07:30-07:45,0,0,9.61,0,7.69,0,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.86,0,0,124.89,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,57.64,16.33,0,0,38.43,0,930.3199999999999

32,07:45-08:00,0,0,9.61,0,7.69,0,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.86,0.01,0,124.89,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,57.64,16.33,0.01,0,38.43,0.01,930.3499999999999

33,08:00-08:15,0,0,9.61,0,7.69,0,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.86,0.01,0,0,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,96.07,16.33,0.02,0,38.43,0.58,844.4699999999999

34,08:15-08:30,0,0,9.61,0,7.69,0,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,96.07,16.33,0.06,0,38.43,0.58,844.88

35,08:30-08:45,0,0,9.61,0,7.69,0,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,96.07,16.33,0.16,0,38.43,0.58,844.98

36,08:45-09:00,0,0,9.61,0,7.69,0,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,96.07,16.33,0.22,0,38.43,0.58,845.0400000000001

37,09:00-09:15,0,0,9.61,0,7.69,0,48.04,5.76,90.31,43.23,0,19.21,0,20.17,0,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.86,0.38,0,0,0,5.76,10.57,3.84,14.41,0,36.51,0,36.51,124.89,16.33,0.33,14.41,0,0.58,789.3800000000001

38,09:15-09:30,0,0,9.61,0,7.69,0,48.04,5.76,90.31,43.23,0,19.21,0,20.17,0,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.86,0.38,0,0,0,5.76,10.57,3.84,14.41,0,36.51,0,36.51,124.89,16.33,0.86,14.41,0,0.58,789.9100000000001

39,09:30-09:45,0,0,9.61,0,7.69,0,48.04,5.76,90.31,43.23,0,19.21,0,20.17,0,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.86,0.38,0,0,0,5.76,10.57,3.84,14.41,0,36.51,0,36.51,124.89,16.33,0.86,14.41,0,0.58,789.9100000000001

40,09:45-10:00,0,0,9.61,0,7.69,0,48.04,5.76,90.31,43.23,0,19.21,0,20.17,0,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.86,0.38,0,0,0,5.76,10.57,3.84,14.41,0,36.51,0,36.51,124.89,16.33,0.86,14.41,0,0.58,789.9100000000001

41,10:00-10:15,38.43,14.41,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.29,0,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,4.8,8.65,7.87,36.51,6.54,36.51,153.71,16.33,0.86,0,0,0.58,626.5100000000001

42,10:15-10:30,38.43,14.41,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.29,0,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,4.8,8.65,7.87,36.51,6.54,36.51,153.71,16.33,0.86,0,0,0.58,626.5100000000001

43,10:30-10:45,38.43,14.41,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.29,0,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,4.8,8.65,7.87,36.51,6.54,36.51,0,16.33,0.86,0,0,0.58,472.8

44,10:45-11:00,38.43,14.41,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.29,0,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,4.8,8.65,7.87,36.51,6.54,36.51,0,16.33,0.86,0,0,0.58,472.8

45,11:00-11:15,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,6.72,8.65,14.41,36.51,0,36.51,0,16.33,0.86,0,0,0.58,468.08

46,11:15-11:30,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,6.72,8.65,14.41,36.51,0,36.51,0,16.33,0.86,0,0,0.58,468.08

47,11:30-11:45,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,6.72,8.65,14.41,36.51,0,36.51,0,16.33,0.86,0,0,0.58,468.08

48,11:45-12:00,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,6.72,8.65,14.41,36.51,0,36.51,0,16.33,0.86,0,0,0.58,468.08

49,12:00-12:15,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,6.72,8.65,14.41,36.51,0,36.51,0,16.33,0.86,0,0,0.58,468.08

50,12:15-12:30,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,6.72,8.65,14.41,36.51,0,36.51,0,16.33,0.86,0,0,0.58,468.08

51,12:30-12:45,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,6.72,8.65,14.41,36.51,0,36.51,0,16.33,0.86,0,0,0.58,468.08

52,12:45-13:00,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.86,0.38,0,0,10.57,5.76,0,6.72,8.65,14.41,36.51,0,36.51,0,16.33,0.96,0,0,0.67,468.27

53,13:00-13:15,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.77,0.38,0,0,10.57,5.76,0,5.76,8.65,14.41,36.51,0,36.51,0,16.33,0.96,0,0,0.67,467.2199999999999

54,13:15-13:30,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.77,0.38,0,0,10.57,5.76,0,5.76,8.65,14.41,36.51,0,36.51,0,16.33,0.86,0,0,0.67,467.11999999999995

55,13:30-13:45,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.77,0.38,0,0,10.57,5.76,0,5.76,8.65,14.41,36.51,0,36.51,0,16.33,0.86,0,0,0.67,467.11999999999995

56,13:45-14:00,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.77,0.38,0,0,10.57,5.76,0,5.76,8.65,14.41,36.51,0,36.51,0,16.33,0.86,0,0,0.67,467.11999999999995

57,14:00-14:15,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.77,0.38,0,0,10.57,5.76,0,4.8,8.65,14.41,36.51,0,36.51,0,16.33,0.95,0,0,0.67,466.24999999999994

58,14:15-14:30,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.77,0.37,0,0,10.57,5.76,0,4.8,8.65,14.41,36.51,0,36.51,0,16.33,0.94,0,0,0.65,466.2099999999999

59,14:30-14:45,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.77,0.37,0,0,10.57,5.76,0,4.8,8.65,14.41,36.51,0,36.51,0,16.33,0.84,0,0,0.65,466.1099999999999

60,14:45-15:00,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.77,0.37,0,0,10.57,5.76,0,4.8,8.65,14.41,36.51,0,36.51,0,16.33,0.83,0,0,0.64,466.0899999999999

61,15:00-15:15,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.29,0,26.9,48.04,0.67,0.37,0,0,10.57,5.76,0,4.8,8.65,14.41,36.51,0,36.51,0,16.33,0.83,0,0,0.64,465.9099999999999

62,15:15-15:30,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.29,0,26.9,48.04,0.67,0.37,0,0,10.57,5.76,0,4.8,8.65,14.41,36.51,0,36.51,0,16.33,0.9,0,0,0.63,465.9699999999999

63,15:30-15:45,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.29,0,26.9,48.04,0.67,0.37,0,0,10.57,5.76,0,4.8,8.65,14.41,36.51,0,36.51,0,16.33,0.92,0,0,0.64,465.99999999999994

64,15:45-16:00,38.43,14.41,0,0,0,0,48.04,0,0,36.51,0,19.21,0,20.17,0,28.82,48.04,0,1.29,0,26.9,48.04,0.67,0.36,0,0,10.57,5.76,0,4.8,8.65,14.41,36.51,0,36.51,0,16.33,0.9,0,0,0.62,465.94999999999993

65,16:00-16:15,38.43,14.41,0,0,0,0,48.04,0,0,28.82,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0.32,0,0,10.57,5.76,0,2.88,8.65,14.41,28.82,0,28.82,0,16.33,0.79,0,0,0.55,440.63

66,16:15-16:30,38.43,10.86,0,0,0,0,48.04,0,0,28.82,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0.28,0,0,10.57,5.76,0,2.88,8.65,14.41,28.82,0,28.82,0,16.33,0.68,0,0,0.48,436.86

67,16:30-16:45,31.41,20.17,0,0,0,0,48.04,0,0,28.82,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0.23,0,0,10.57,5.76,0,2.88,8.65,14.41,28.82,0,28.82,0,16.33,0.51,0,0,0.39,438.84

68,16:45-17:00,25.55,15.08,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0.17,0,0,10.57,5.76,0,2.88,14.41,14.41,36.51,0,36.51,0,16.33,0.39,0,0,0.31,463.18000000000006

69,17:00-17:15,0,0,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0.12,0,0,10.57,5.76,0,0.96,14.41,14.41,36.51,0,36.51,0,16.33,0.29,0,0,0.22,420.39000000000004

70,17:15-17:30,0,0,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0.09,0,0,10.57,5.76,0,0.96,14.41,14.41,36.51,0,36.51,28.82,16.33,0.19,0,0,0.12,448.97999999999996

71,17:30-17:45,0,0,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0.05,0,0,10.57,5.76,0,0.96,14.41,14.41,36.51,0,36.51,28.82,16.33,0.12,0,0,0.08,448.83

72,17:45-18:00,0,0,0,0,0,0,48.04,0,0,43.23,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0.03,0,0,10.57,5.76,0,0.96,14.41,14.41,36.51,0,36.51,28.82,16.33,0.06,0,0,0.04,448.71

73,18:00-18:15,0,0,9.61,30,7.69,50,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.48,0.01,38.43,134.5,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,28.82,16.33,0.01,0,38.43,0.01,1029.19

74,18:15-18:30,0,0,9.61,30,7.69,50,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.48,0,38.43,134.5,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,28.82,16.33,0,0,38.43,0,1029.16

75,18:30-18:45,0,0,9.61,30,7.69,50,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.48,0,38.43,134.5,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,28.82,16.33,0,0,38.43,0,1029.16

76,18:45-19:00,0,0,9.61,30,7.69,50,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.48,0,38.43,134.5,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,38.43,0,1000.3399999999999

77,19:00-19:15,0,0,9.61,30,7.69,50,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.58,0,38.43,115.28,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,38.43,0,981.2199999999999

