Column1,Block,NR/2024/24499/C,NR/2024/24071/A/46853,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1766,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1599,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/3428,NR/30092023/31122025/SH-07,NR/2024/24060/A/47037,NR/2024/24052/A/46854,WR/2024/25054/A/47053,NR/2024/24051/A/46855,NER/2024/2770/A/47048,NR/2024/24500/C,NR/2024/23952/A/46867,NR/2024/24146/A/46844,NR/2024/24097/A/46848,NR/2024/24501/C,NR/2024/24088/A/46850,NR/2024/24227/A/47071,NR/2024/24225/A/47070,NR/2024/24224/A/47066,NR/2024/24509/C,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
3,00:30-00:45,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.43,5.77,7.7,0,0.96,0,0,0,0,26.23,1.65,465.28

4,00:45-01:00,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.43,5.77,7.7,0,0.96,0,0,0,0,26.23,1.65,465.28

5,01:00-01:15,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.38,5.77,7.7,0,0.96,0,0,0,0,26.23,1.65,465.22999999999996

6,01:15-01:30,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.38,5.77,7.7,0,0.96,0,0,0,0,26.23,1.65,465.22999999999996

7,01:30-01:45,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.38,5.77,7.7,0,0.96,0,0,0,0,26.23,1.65,465.22999999999996

8,01:45-02:00,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.38,5.77,7.7,0,0.96,0,0,0,0,26.23,1.65,465.22999999999996

9,02:00-02:15,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.38,5.77,7.7,0,0.96,0,0,0,0,26.23,1.56,465.14

10,02:15-02:30,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.38,5.77,7.7,0,0.96,0,0,0,0,26.23,1.56,465.14

11,02:30-02:45,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.38,5.77,7.7,0,0.96,0,0,0,0,26.23,1.56,465.14

12,02:45-03:00,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.38,5.77,7.7,0,0.96,0,0,0,0,26.23,1.56,465.14

13,03:00-03:15,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.34,5.77,7.7,0,0.96,0,0,0,0,26.23,1.56,465.09999999999997

14,03:15-03:30,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.34,5.77,7.7,0,0.96,0,0,0,0,26.23,1.56,465.09999999999997

15,03:30-03:45,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.34,5.77,7.7,0,0.96,0,0,0,0,26.23,1.56,465.09999999999997

16,03:45-04:00,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.34,5.77,7.7,0,0.96,0,0,0,0,26.23,1.56,465.09999999999997

17,04:00-04:15,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.43,5.77,7.7,0,0.96,0,0,0,0,26.23,1.65,465.28

18,04:15-04:30,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.43,5.77,7.7,0,0.96,0,0,0,0,26.23,1.65,465.28

19,04:30-04:45,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.43,5.77,7.7,0,0.96,0,0,0,0,26.23,1.65,465.28

20,04:45-05:00,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,0,0,0.43,5.77,7.7,0,0.96,0,0,0,0,26.23,1.65,465.28

21,05:00-05:15,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,38.48,0,0.43,5.77,7.7,0,4.81,0,0,0,0,26.23,1.56,507.52000000000004

22,05:15-05:30,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,0,38.48,0,0.43,5.77,7.7,0,4.81,0,0,0,0,26.23,1.56,507.52000000000004

23,05:30-05:45,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,2.89,38.48,0,0.43,5.77,14.43,0,4.81,0,0,0,0,26.23,1.56,517.14

24,05:45-06:00,0,0,150,22.3,0,8.74,47.56,22.3,142.69,0,0,8.74,0,17.32,2.89,0,2.89,38.48,0,0.43,5.77,14.43,0,4.81,0,0,0,0,26.23,1.56,517.14

25,06:00-06:15,0,0,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,2.89,0,2.89,38.48,0,0.43,5.77,14.43,0,4.81,0.19,0.19,0.29,0,26.23,1.65,327.65000000000003

26,06:15-06:30,0,0,150,22.3,0,13.47,0,22.3,0,0,0,13.47,0,17.32,2.89,0,2.89,38.48,0,0.43,5.77,14.43,0,4.81,0.19,0.19,0.29,0,26.23,1.65,337.11

27,06:30-06:45,0,0,150,22.3,0,13.47,0,22.3,0,0,0,13.47,0,17.32,2.89,0,2.89,38.48,0,0.43,5.77,14.43,0,4.81,0.19,0.19,0.29,0,26.23,1.65,337.11

28,06:45-07:00,0,0,150,22.3,0,13.47,0,22.3,0,0,0,13.47,0,17.32,2.89,0,2.89,38.48,0,0.43,5.77,14.43,0,4.81,0.19,0.19,0.29,0,26.23,1.65,337.11

29,07:00-07:15,0,0,150,22.3,0,13.47,0,22.3,0,0,0,13.47,0,17.32,2.89,0,2.89,38.48,0,0.53,5.77,14.43,0,4.81,0.19,0.19,0.29,0,26.23,1.65,337.21

30,07:15-07:30,0,0,150,25.97,0,13.47,0,25.97,0,0,0,13.47,0,17.32,2.89,0,2.89,38.48,0,0.53,5.77,14.43,0,4.81,0.19,0.29,0.38,0,26.23,1.65,344.73999999999995

31,07:30-07:45,0,0,150,25.97,0,13.47,0,25.97,0,0,0,13.47,0,17.32,2.89,0,2.89,38.48,0,0.53,5.77,14.43,0,4.81,0.19,0.38,0.38,0,26.23,1.65,344.8299999999999

32,07:45-08:00,0,0,150,25.97,0,13.47,0,25.97,0,0,0,13.47,0,17.32,2.89,0,2.89,38.48,0,0.53,5.77,14.43,0,4.81,0.19,0.38,0.48,0,33.67,1.65,352.36999999999995

33,08:00-08:15,0,0,150,25.97,0,13.47,0,25.97,0,0,0,13.47,0,17.32,2.89,0,2.89,38.48,0,0.82,5.77,14.43,0,4.81,0.29,0.38,0.48,0,33.67,1.56,352.67

34,08:15-08:30,0,0,150,25.97,0,13.47,0,25.97,0,0,0,13.47,0,17.32,2.89,0,2.89,38.48,0,0.82,5.77,14.43,0,4.81,0.29,0.38,0.48,0,43.29,1.56,362.29

35,08:30-08:45,0,0,150,28.86,0,13.47,0,28.86,0,0,0,13.47,0,17.32,2.89,0,0,38.48,0,0.82,5.77,7.7,0,4.81,0.29,0.38,0.48,0,43.29,1.56,358.45

36,08:45-09:00,0,0,150,28.86,0,13.47,0,28.86,0,0,0,13.47,0,17.32,2.89,0,0,38.48,0,0.82,5.77,7.7,0,4.81,0.29,0.38,0.58,0,43.29,1.56,358.54999999999995

37,09:00-09:15,0,3.85,150,33.67,0,13.47,0,33.67,0,0,0,13.47,0,17.32,2.89,0,0,0,0,0.82,5.77,7.7,0,4.81,0.29,0.38,0.58,0,43.29,1.65,333.62999999999994

38,09:15-09:30,0,3.85,150,33.67,0,13.47,0,33.67,0,0,0,13.47,0,17.32,2.89,0,0,0,0,0.82,5.77,7.7,0,4.81,0.29,0.38,0.58,0,43.29,1.65,333.62999999999994

39,09:30-09:45,0,3.85,150,33.67,0,13.47,0,33.67,0,0,0,13.47,0,17.32,2.89,0,0,0,0,0.82,5.77,7.7,0,4.81,0.29,0.38,0.58,0,43.29,1.65,333.62999999999994

40,09:45-10:00,0,3.85,150,36.56,0,13.47,0,36.56,0,0,0,13.47,0,17.32,2.89,0,0,0,0,0.82,5.77,7.7,0,4.81,0.29,0.38,0.58,0,43.29,1.65,339.40999999999997

41,10:00-10:15,0,4.81,150,36.56,0,13.47,0,36.56,0,0,0,13.47,0,17.32,2.89,0,0,0,0,0.82,5.77,7.7,0,4.81,0.29,0.38,0.58,0,43.29,1.56,340.28

42,10:15-10:30,0,4.81,150,36.56,0,13.47,0,36.56,0,0,0,13.47,0,17.32,2.89,0,0,0,0,0.82,5.77,7.7,0,4.81,0.29,0.38,0.58,0,43.29,1.56,340.28

43,10:30-10:45,6.25,4.81,150,28.86,0,8.74,0,28.86,0,0,0,8.74,0,17.32,2.89,0,0,0,6.54,0.82,5.77,7.7,15.01,4.81,0.29,0.48,0.58,0,26.23,1.56,326.26000000000005

44,10:45-11:00,8.95,4.81,150,28.86,0,8.74,0,28.86,0,0,0,8.74,0,17.32,2.89,0,0,0,6.54,0.82,5.77,7.7,15.01,4.81,0.29,0.48,0.58,0,26.23,1.56,328.96000000000004

45,11:00-11:15,11.83,6.73,150,28.86,0,8.74,0,28.86,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.82,5.77,7.7,15.01,0,0.29,0.48,0.58,7.12,26.23,1.92,337.3900000000001

46,11:15-11:30,11.93,6.73,150,28.86,0,8.74,0,28.86,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.82,5.77,7.7,15.01,0,0.29,0.48,0.58,4.23,26.23,1.92,334.6000000000001

47,11:30-11:45,12.03,6.73,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.82,5.77,7.7,15.01,0,0.29,0.48,0.58,1.92,26.23,1.92,319.27000000000004

48,11:45-12:00,12.03,6.73,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.82,5.77,7.7,15.01,0,0.29,0.48,0.67,0.1,26.23,1.92,317.5400000000001

49,12:00-12:15,10,6.73,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.82,5.77,7.7,15.01,0,0.29,0.48,0.67,0,26.23,1.92,315.4100000000001

50,12:15-12:30,11.64,6.73,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.82,5.77,7.7,15.01,0,0.29,0.48,0.67,0,26.23,1.92,317.05000000000007

51,12:30-12:45,16.16,6.73,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.82,5.77,7.7,15.01,0,0.29,0.48,0.67,0,43.29,1.92,338.6300000000001

52,12:45-13:00,20.78,6.73,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.82,5.77,7.7,15.01,0,0.29,0.48,0.67,0,43.29,1.92,343.2500000000001

53,13:00-13:15,25.59,5.77,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.77,5.77,7.7,15.01,0,0.29,0.48,0.67,0,43.29,1.92,347.0500000000001

54,13:15-13:30,27.71,5.77,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.77,5.77,7.7,15.01,0,0.29,0.48,0.67,0,43.29,1.92,349.17000000000013

55,13:30-13:45,29.15,5.77,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.77,5.77,7.7,15.01,0,0.29,0.48,0.67,0.96,43.29,1.92,351.5700000000001

56,13:45-14:00,27.99,5.77,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.77,5.77,7.7,15.01,0,0.29,0.48,0.67,2.98,43.29,1.92,352.4300000000001

57,14:00-14:15,26.17,4.81,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.77,5.77,7.7,15.01,0,0.29,0.38,0.67,5.19,43.29,1.92,351.7600000000001

58,14:15-14:30,23.67,4.81,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.77,5.77,7.7,15.01,0,0.29,0.38,0.77,7.7,43.29,1.92,351.87000000000006

59,14:30-14:45,21.07,4.81,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.77,5.77,7.7,15.01,0,0.29,0.38,0.67,10.29,43.29,1.92,351.7600000000001

60,14:45-15:00,18.28,4.81,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.77,5.77,7.7,15.01,0,0.29,0.38,0.58,13.08,43.29,1.92,351.67

61,15:00-15:15,15.3,4.81,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.63,5.77,7.7,15.01,0,0.29,0.38,0.58,16.07,43.29,1.92,351.54

62,15:15-15:30,11.83,4.81,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.63,5.77,7.7,15.01,0,0.29,0.38,0.58,19.53,43.29,1.92,351.53

63,15:30-15:45,22.7,4.81,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.63,5.77,7.7,15.01,0,0.29,0.38,0.58,8.66,43.29,1.92,351.5300000000001

64,15:45-16:00,19.05,4.81,150,22.3,0,8.74,0,22.3,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.63,5.77,7.7,15.01,0,0.29,0.38,0.58,12.31,43.29,1.92,351.5300000000001

65,16:00-16:15,15.49,2.89,150,24.05,0,8.74,0,24.05,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.48,5.77,7.7,15.01,0,0.29,0.38,0.58,0,43.29,1.92,337.09000000000003

66,16:15-16:30,12.03,2.89,150,24.05,0,8.74,0,24.05,0,0,0,8.74,0,17.32,3.85,0,0,0,6.54,0.48,5.77,7.7,15.01,0,0.29,0.38,0.58,0,43.29,1.92,333.63000000000005

67,16:30-16:45,0,2.89,150,36.56,0,8.74,0,36.56,0,0,0,8.74,0,17.32,3.85,0,0,0,0,0.48,5.77,7.7,0,0,0.19,0.38,0.58,0,43.29,1.92,324.97

68,16:45-17:00,0,2.89,150,36.56,0,8.74,0,36.56,0,0,0,8.74,0,17.32,3.85,0,0,0,0,0.48,5.77,7.7,0,0,0.19,0.38,0.58,0,43.29,1.92,324.97

69,17:00-17:15,0,0.96,150,30.78,0,13.47,0,30.78,0,0,0,13.47,0,17.32,3.85,0,0,0,0,0.48,5.77,7.7,0,3.85,0.19,0.38,0.58,0,43.29,1.92,324.7900000000001

70,17:15-17:30,0,0.96,150,30.78,0,13.47,0,30.78,0,0,0,13.47,0,17.32,3.85,0,0,0,0,0.48,5.77,7.7,0,3.85,0.19,0.38,0.58,0,38.48,1.92,319.9800000000001

71,17:30-17:45,0,0.96,150,30.78,0,13.47,0,30.78,0,0,0,13.47,0,17.32,3.85,0,0,0,0,0.48,5.77,7.7,0,3.85,0.19,0.38,0.58,0,38.48,1.92,319.9800000000001

72,17:45-18:00,0,0.96,150,30.78,0,13.47,0,30.78,0,0,0,13.47,0,17.32,3.85,0,0,0,0,0.48,5.77,7.7,0,3.85,0.19,0.38,0.58,0,38.48,1.92,319.9800000000001

73,18:00-18:15,0,0,150,33.67,0,13.47,0,33.67,0,50,150,13.47,0,17.32,3.85,38.48,0,38.48,0,0.53,5.77,7.7,0,3.85,0.19,0.38,0.58,0,38.48,1.92,601.8100000000002

74,18:15-18:30,0,0,150,33.67,0,13.47,0,33.67,0,50,150,13.47,0,17.32,3.85,38.48,0,38.48,0,0.53,5.77,7.7,0,3.85,0.19,0.38,0.58,0,38.48,1.92,601.8100000000002

75,18:30-18:45,0,0,150,33.67,0,13.47,0,33.67,0,50,150,13.47,0,17.32,3.85,38.48,0,38.48,0,0.53,5.77,7.7,0,3.85,0.29,0.38,0.58,0,38.48,1.92,601.9100000000001

76,18:45-19:00,0,0,150,33.67,0,13.47,0,33.67,0,50,150,13.47,0,17.32,3.85,38.48,0,38.48,0,0.53,5.77,7.7,0,3.85,0.19,0.38,0.58,0,38.48,1.92,601.8100000000002

77,19:00-19:15,0,0,150,33.67,0,13.47,0,33.67,0,50,150,13.47,0,17.32,3.85,38.48,0,38.48,0,0.53,5.77,7.7,0,3.85,0,0,0,0,38.48,1.92,600.6600000000001

78,19:15-19:30,0,0,150,33.67,0,13.47,0,33.67,0,50,150,13.47,0,17.32,3.85,38.48,0,38.48,0,0.53,5.77,7.7,0,3.85,0,0,0,0,38.48,1.92,600.6600000000001

79,19:30-19:45,0,0,150,33.67,0,13.47,0,33.67,0,50,150,13.47,0,17.32,3.85,38.48,0,38.48,0,0.53,5.77,7.7,0,3.85,0,0,0,0,26.23,1.92,588.4100000000001

80,19:45-20:00,0,0,150,33.67,0,13.47,0,33.67,0,50,150,13.47,0,17.32,3.85,38.48,0,38.48,0,0.53,5.77,7.7,0,3.85,0,0,0,0,26.23,1.92,588.4100000000001

81,20:00-20:15,0,0,150,33.67,0,13.47,0,33.67,0,50,250,13.47,0,17.32,3.85,38.48,0,38.48,0,0.53,5.77,7.7,0,3.85,0,0,0,0,26.23,1.92,688.4100000000001

82,20:15-20:30,0,0,150,33.67,0,13.47,0,33.67,0,50,250,13.47,0,17.32,3.85,38.48,0,38.48,0,0.53,5.77,7.7,0,3.85,0,0,0,0,26.23,1.92,688.4100000000001

83,20:30-20:45,0,0,150,33.67,0,13.47,0,33.67,0,50,250,13.47,0,17.32,3.85,38.48,0,38.48,0,0.53,5.77,7.7,0,3.85,0,0,0,0,26.23,1.92,688.4100000000001

84,20:45-21:00,0,0,150,33.67,0,13.47,0,33.67,0,50,250,13.47,0,17.32,3.85,38.48,0,38.48,0,0.53,5.77,7.7,0,3.85,0,0,0,0,26.23,1.92,688.4100000000001

85,21:00-21:15,0,0,150,33.67,0,13.47,0,33.67,0,50,250,13.47,0,17.32,3.85,38.48,0,0,0,0.53,5.77,7.7,0,3.85,0,0,0,0,26.23,1.92,649.9300000000001

86,21:15-21:30,0,0,150,28.86,0,13.47,0,28.86,0,50,250,13.47,0,17.32,3.85,38.48,0,0,0,0.53,5.77,7.7,0,3.85,0,0,0,0,26.23,1.92,640.3100000000002

87,21:30-21:45,0,0,150,28.86,0,13.47,0,28.86,0,50,250,13.47,0,17.32,3.85,38.48,0,0,0,0.53,5.77,7.7,0,3.85,0,0,0,0,26.23,1.92,640.3100000000002

88,21:45-22:00,0,0,150,28.86,0,13.47,0,28.86,0,50,250,13.47,0,17.32,3.85,38.48,0,0,0,0.53,5.77,7.7,0,3.85,0,0,0,0,26.23,1.92,640.3100000000002

89,22:00-22:15,0,0,150,28.86,0,8.74,47.56,28.86,142.69,50,250,8.74,0,17.32,2.89,38.48,0,0,0,0.48,5.77,7.7,0,0.96,0,0,0,0,26.23,1.92,817.2000000000002

90,22:15-22:30,0,0,150,28.86,0,8.74,47.56,28.86,142.69,50,250,8.74,0,17.32,2.89,38.48,0,0,0,0.48,5.77,7.7,0,0.96,0,0,0,0,26.23,1.92,817.2000000000002

91,22:30-22:45,0,0,150,28.86,0,8.74,47.56,28.86,142.69,50,250,8.74,0,17.32,2.89,38.48,0,0,0,0.48,5.77,7.7,0,0.96,0,0,0,0,26.23,1.92,817.2000000000002

92,22:45-23:00,0,0,150,28.86,0,8.74,47.56,28.86,142.69,50,250,8.74,0,17.32,2.89,38.48,0,0,0,0.48,5.77,7.7,0,0.96,0,0,0,0,26.23,1.92,817.2000000000002

93,23:00-23:15,0,0,150,22.3,0,8.74,47.56,22.3,142.69,50,250,8.74,0,17.32,2.89,38.48,0,0,0,0.43,5.77,7.7,0,0.96,0,0,0,0,26.23,1.92,804.0300000000001

94,23:15-23:30,0,0,150,22.3,0,8.74,47.56,22.3,142.69,50,250,8.74,0,17.32,2.89,38.48,0,0,0,0.43,5.77,7.7,0,0.96,0,0,0,0,26.23,1.92,804.0300000000001

95,23:30-23:45,0,0,150,22.3,0,8.74,47.56,22.3,142.69,50,250,8.74,0,17.32,2.89,38.48,0,0,0,0.43,5.77,7.7,0,0.96,0,0,0,0,26.23,1.92,804.0300000000001

96,23:45-24:00,0,0,150,22.3,0,8.74,47.56,22.3,142.69,50,250,8.74,0,17.32,2.89,38.48,0,0,0,0.43,5.77,7.7,0,0.96,0,0,0,0,26.23,1.92,804.0300000000001

