Column1,Block,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/9042,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,NR/2024/23826/C,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/9061,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/1868,WR/2024/24788/A/42293,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/2024/23807/A/42218,NR/2024/23789/A/42200,GNA/NR/2024/11/01/5428,NR/2024/23420/A/42177,NR/2024/23769/A/42183,NR/2024/23829/C,NR/2024/23831/C,Total
27,06:30-06:45,0,17.55,0,0,0,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.43,5.79,0,0,185.57000000000002

28,06:45-07:00,0,17.55,0,0,0.4,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.43,5.79,0,0,185.97

29,07:00-07:15,0,17.55,0,0,0.49,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,0,4.83,1.93,26.33,0.58,5.79,0,0,185.24

30,07:15-07:30,0,17.55,0,0,0.85,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,0,4.83,1.93,26.33,0.58,5.79,0,0,185.60000000000002

31,07:30-07:45,0,17.55,0,0,0.97,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,0,4.83,1.93,26.33,0.58,5.79,0,0,185.72000000000003

32,07:45-08:00,0,17.55,0,0,0.99,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,0,4.83,1.93,26.33,0.58,5.79,0,0,185.74

33,08:00-08:15,0,17.55,0,0,1.47,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,0,4.83,1.93,26.33,0.97,5.79,0,0,186.61

34,08:15-08:30,0,17.55,0,0,1.53,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,0,4.83,1.93,26.33,0.97,5.79,0,0,186.67000000000002

35,08:30-08:45,0,17.55,0,0,1.71,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,0,4.83,1.93,26.33,0.97,5.79,0,0,186.85000000000002

36,08:45-09:00,0,17.55,0,0,2.41,26.87,3.78,26.33,26.87,26.33,8.78,0,8.78,0,4.83,1.93,26.33,0.97,5.79,0,0,187.55

37,09:00-09:15,0,17.55,0,0,2.7,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,1.93,26.33,0.87,5.79,24.14,28.97,240.76000000000002

38,09:15-09:30,0,17.55,0,0,3.09,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,1.93,26.33,0.87,5.79,24.14,28.97,241.15000000000006

39,09:30-09:45,0,17.55,0,0,3.48,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,1.93,26.33,0.87,5.79,24.14,28.97,241.54000000000005

40,09:45-10:00,0,17.55,0,0,3.77,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,1.93,26.33,0.87,5.79,24.14,28.97,241.83

41,10:00-10:15,0,17.55,0,0,4.25,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.87,5.79,24.14,28.97,240.38000000000002

42,10:15-10:30,0,17.55,0,0,4.63,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.87,5.79,24.14,28.97,240.76000000000002

43,10:30-10:45,0,17.55,0,0,5.02,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.87,5.79,24.14,28.97,241.15

44,10:45-11:00,0,17.55,0,0,5.6,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.87,5.79,24.14,28.97,241.73000000000005

45,11:00-11:15,0,17.55,0,0,6.13,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.87,5.79,24.14,28.97,242.26000000000002

46,11:15-11:30,0,17.55,0,0,6.42,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.87,5.79,24.14,28.97,242.55000000000004

47,11:30-11:45,0,17.55,0,0,6.9,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.87,5.79,24.14,28.97,243.03000000000006

48,11:45-12:00,0,17.55,0,0,7.24,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.87,5.79,24.14,28.97,243.37000000000003

49,12:00-12:15,0,17.55,0,0,7.43,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.87,5.79,24.14,28.97,243.56000000000003

50,12:15-12:30,0,17.55,0,0,7.77,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.87,5.79,24.14,28.97,243.9

51,12:30-12:45,0,17.55,0,0,8.16,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.87,5.79,24.14,28.97,244.29000000000005

52,12:45-13:00,0,17.55,0,0,8.57,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.87,5.79,24.14,28.97,244.70000000000002

53,13:00-13:15,0,17.55,0,0,8.01,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.77,5.79,24.14,28.97,244.04

54,13:15-13:30,0,17.55,0,0,7.43,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.77,5.79,24.14,28.97,243.46

55,13:30-13:45,0,17.55,0,0,7.14,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.77,5.79,24.14,28.97,243.17

56,13:45-14:00,0,17.55,0,0,6.95,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.77,5.79,24.14,28.97,242.98

57,14:00-14:15,0,17.55,0,0,6.47,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.97,5.79,24.14,28.97,242.70000000000002

58,14:15-14:30,0,17.55,0,0,5.99,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.97,5.79,24.14,28.97,242.22

59,14:30-14:45,0,17.55,0,0,5.5,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.97,5.79,24.14,28.97,241.73

60,14:45-15:00,0,17.55,0,0,5.02,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,0,26.33,0.97,5.79,24.14,28.97,241.24999999999997

61,15:00-15:15,0,17.55,0,0,4.63,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.87,5.79,24.14,28.97,243.66

62,15:15-15:30,0,17.55,0,0,4.34,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.87,5.79,24.14,28.97,243.37000000000003

63,15:30-15:45,0,17.55,0,0,3.67,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.87,5.79,24.14,28.97,242.70000000000002

64,15:45-16:00,0,17.55,0,0,2.9,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.87,5.79,26.26,26.84,241.92000000000002

65,16:00-16:15,0,17.55,0,0,2.32,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.77,5.79,30.7,22.4,241.23999999999998

66,16:15-16:30,0,17.55,0,0,1.74,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.77,5.79,35.14,17.96,240.66

67,16:30-16:45,0,17.55,0,0,1.51,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.77,5.79,34.95,13.61,235.89000000000004

68,16:45-17:00,0,17.55,0,0,1.29,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.77,5.79,25.78,9.46,222.35000000000002

69,17:00-17:15,0,17.55,0,0,0.72,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.58,5.79,0,0,186.35000000000002

70,17:15-17:30,0,17.55,0,0,0.6,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.58,5.79,0,0,186.23000000000002

71,17:30-17:45,0,17.55,0,0,0.52,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.58,5.79,0,0,186.15000000000003

72,17:45-18:00,0,17.55,0,0,0.14,26.87,3.69,26.33,26.87,26.33,8.78,0,8.78,0,4.83,2.9,26.33,0.58,5.79,0,0,185.77000000000004

73,18:00-18:15,0,17.55,150,50,0,26.87,3.78,26.33,26.87,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,424.38999999999993

74,18:15-18:30,0,17.55,150,50,0,24.8,3.78,26.33,24.8,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,420.24999999999994

75,18:30-18:45,0,17.55,150,50,0,26.87,3.78,26.33,26.87,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,424.38999999999993

76,18:45-19:00,0,17.55,150,50,0,26.87,3.78,26.33,26.87,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,424.38999999999993

77,19:00-19:15,0,17.55,150,50,0,26.87,3.78,26.33,26.87,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,424.38999999999993

78,19:15-19:30,0,17.55,150,50,0,26.87,3.78,26.33,26.87,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,424.38999999999993

79,19:30-19:45,0,17.55,150,50,0,26.87,3.78,26.33,26.87,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,424.38999999999993

80,19:45-20:00,0,17.55,150,50,0,26.87,3.78,26.33,26.87,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,424.38999999999993

81,20:00-20:15,0,17.55,200,50,0,26.87,3.78,26.33,26.87,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,474.3899999999999

82,20:15-20:30,0,17.55,200,50,0,26.87,3.78,26.33,26.87,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,474.3899999999999

83,20:30-20:45,0,17.55,200,50,0,26.87,3.78,26.33,26.87,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,474.3899999999999

84,20:45-21:00,0,17.55,200,50,0,26.87,3.78,26.33,26.87,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,474.3899999999999

85,21:00-21:15,0,17.55,200,50,0,24.08,3.78,26.33,24.08,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,468.80999999999983

86,21:15-21:30,0,17.55,200,50,0,24.08,3.78,26.33,24.08,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,468.80999999999983

87,21:30-21:45,0,17.55,200,50,0,24.08,3.78,26.33,24.08,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,468.80999999999983

88,21:45-22:00,0,17.55,200,50,0,24.08,3.78,26.33,24.08,26.33,8.78,38.62,8.78,0,4.83,2.9,26.33,0.63,5.79,0,0,468.80999999999983

89,22:00-22:15,285.39,17.55,200,50,0,24.08,3.78,26.33,24.08,26.33,8.78,38.62,8.78,95.12,4.83,2.9,26.33,0.63,5.79,0,0,849.3200000000002

90,22:15-22:30,285.39,17.55,200,50,0,24.08,3.78,26.33,24.08,26.33,8.78,38.62,8.78,95.12,4.83,2.9,26.33,0.63,5.79,0,0,849.3200000000002

91,22:30-22:45,285.39,17.55,200,50,0,24.08,3.78,26.33,24.08,26.33,8.78,38.62,8.78,95.12,4.83,2.9,26.33,0.63,5.79,0,0,849.3200000000002

92,22:45-23:00,285.39,17.55,200,50,0,24.08,3.78,26.33,24.08,26.33,8.78,38.62,8.78,95.12,4.83,2.9,26.33,0.63,5.79,0,0,849.3200000000002

93,23:00-23:15,285.39,17.55,200,50,0,24.08,3.78,26.33,24.08,26.33,8.78,38.62,8.78,95.12,4.83,2.9,26.33,0.63,5.79,0,0,849.3200000000002

94,23:15-23:30,285.39,17.55,200,50,0,24.08,3.78,26.33,24.08,26.33,8.78,38.62,8.78,95.12,4.83,2.9,26.33,0.63,5.79,0,0,849.3200000000002

95,23:30-23:45,285.39,17.55,200,50,0,24.08,3.78,26.33,24.08,26.33,8.78,38.62,8.78,95.12,4.83,2.9,26.33,0.63,5.79,0,0,849.3200000000002

96,23:45-24:00,285.39,17.55,200,50,0,24.08,3.78,26.33,24.08,26.33,8.78,38.62,8.78,95.12,4.83,2.9,26.33,0.63,5.79,0,0,849.3200000000002

