Time,Block,NR/2024/20034/A/21556,NR/2024/20031/A/21557,NR/2024/20144/A/21316,NR/2024/19919/A/21571,NR/2024/20033/A/21559,NR/2024/20607/C,NR/2024/20553/A/21514,NR/2024/20603/C,NR/2024/20601/C,NR/2024/19432/A/21563,NR/2024/20041/A/21541,NR/2024/19988/A/21277,NR/2024/19779/A/21186,NR/2024/20610/C,NR/2024/20600/C,NR/2024/20109/A/21695,NR/2024/20141/A/21317,NR/2024/20605/C,NR/2024/20212/A/21314,NR/2024/19699/A/21561,NR/2024/19355/A/21696,NR/2024/20090/A/21216,NR/2024/20611/C,NR/2024/20612/C,NR/2024/20048/A/21540,NR/2024/19760/A/21274,NR/2024/20142/A/21315,NR/2024/19588/A/21312,NR/2024/19475/A/21581,NR/2024/20130/A/21486,NR/2024/20513/A/21335,NR/2024/20540/A/21525,NR/2024/20537/A/21694,NR/2024/20037/A/21273,NR/2024/19683/A/21243,NR/2024/20606/C,NR/2024/20524/A/21642,NR/2024/19637/A/21297,NR/2024/20516/A/21319,NR/2024/19918/A/21572,NR/2024/20050/A/21539,NR/2024/20211/A/21313,NR/2024/20552/A/21512,NR/2024/20554/A/21502,NR/2024/20515/A/21320,NR/2024/19757/A/21558,NR/2024/19791/A/21574,NR/2024/19966/A/21283,Total
17,04:00-04:15,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.480000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,5.790000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1704

18,04:15-04:30,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.480000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,5.790000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1704

19,04:30-04:45,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.480000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,5.790000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1704

20,04:45-05:00,37.270000,37.270000,0.880000,308.770000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.480000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,5.790000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1704

21,05:00-05:15,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.530000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,5.790000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1468.61

22,05:15-05:30,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.530000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,5.790000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1468.61

23,05:30-05:45,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.530000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,5.790000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1468.61

24,05:45-06:00,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.530000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,48.240000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,5.790000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,13.510000,144.740000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1468.61

25,06:00-06:15,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.530000,0.000000,0.000000,183.330000,0.350000,0,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,4.820000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1261.15

26,06:15-06:30,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.530000,0.000000,0.000000,183.330000,0.350000,0.22,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,4.820000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1261.37

27,06:30-06:45,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.530000,0.000000,0.000000,183.330000,0.350000,0.54,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,4.820000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1261.69

28,06:45-07:00,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.530000,0.000000,0.000000,183.330000,0.350000,0.75,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,4.820000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1261.9

29,07:00-07:15,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.680000,0.000000,0.000000,183.330000,0.350000,1.1,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,2.890000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1260.47

30,07:15-07:30,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.680000,0.000000,0.000000,183.330000,0.350000,1.47,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,2.890000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1260.84

31,07:30-07:45,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.680000,0.000000,0.000000,183.330000,0.350000,2.03,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,2.890000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1261.4

32,07:45:08:00,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.680000,0.000000,0.000000,183.330000,0.350000,2.56,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,2.890000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,48.610000,64.730000,0.000000,1261.93

33,08:00-08:15,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.960000,0.000000,0.000000,183.330000,0.350000,3.39,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,3.860000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,242.920000,64.730000,0.000000,1458.32

34,08:15-08:30,37.270000,37.270000,0.880000,73.330000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.960000,0.000000,0.000000,183.330000,0.350000,3.9,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,3.860000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,242.920000,64.730000,0.000000,1458.83

35,08:30-08:45,37.270000,37.270000,0.880000,121.570000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.960000,0.000000,0.000000,183.330000,0.350000,4.4,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,3.860000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,242.920000,64.730000,0.000000,1507.57

36,08:45:09:00,37.270000,37.270000,0.880000,121.570000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,0.000000,96.490000,0.960000,0.000000,0.000000,183.330000,0.350000,4.95,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,0.000000,0.520000,66.760000,192.980000,0.480000,0.680000,3.860000,57.890000,36.180000,1.930000,166.930000,0.000000,0.000000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,242.920000,64.730000,0.000000,1508.12

37,09:00:09:15,37.270000,37.270000,0.880000,121.570000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,48.240000,96.490000,0.960000,0.000000,0.000000,183.330000,0.350000,6.38,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,48.240000,0.520000,66.760000,192.980000,0.480000,0.680000,3.860000,57.890000,36.180000,1.930000,166.930000,0.000000,24.120000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,242.920000,64.730000,38.600000,1668.75

38,09:15-09:30,37.270000,37.270000,0.880000,121.570000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,48.240000,96.490000,0.960000,0.000000,0.000000,183.330000,0.350000,7.99,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,48.240000,0.520000,66.760000,192.980000,0.480000,0.680000,3.860000,57.890000,36.180000,1.930000,166.930000,0.000000,24.120000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,242.920000,64.730000,38.600000,1670.36

39,09:30-09:45,37.270000,37.270000,0.880000,121.570000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,48.240000,96.490000,0.960000,0.000000,0.000000,183.330000,0.350000,7.17,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,48.240000,0.520000,66.760000,192.980000,0.480000,0.680000,3.860000,57.890000,36.180000,1.930000,166.930000,0.000000,24.120000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,242.920000,64.730000,38.600000,1669.54

40,09:45-10:00,37.270000,37.270000,0.880000,121.570000,12.430000,26.050000,0.000000,0.000000,0.000000,0.000000,48.240000,96.490000,0.960000,0.000000,0.000000,183.330000,0.350000,5.16,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,48.240000,0.520000,66.760000,192.980000,0.480000,0.680000,3.860000,57.890000,36.180000,1.930000,166.930000,0.000000,24.120000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,242.920000,64.730000,38.600000,1667.53

41,10:00-10:15,37.270000,37.270000,0.880000,121.570000,12.430000,26.050000,0.000000,24.120000,24.120000,0.000000,48.240000,96.490000,0.960000,0.000000,24.120000,183.330000,0.350000,5,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,48.240000,0.520000,66.760000,192.980000,0.480000,0.680000,4.820000,57.890000,36.180000,1.930000,166.930000,0.000000,24.120000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,242.920000,64.730000,38.600000,1740.69

42,10:15-10:30,37.270000,37.270000,0.880000,121.570000,12.430000,26.050000,0.000000,24.120000,24.120000,0.000000,48.240000,96.490000,0.960000,0.000000,24.120000,183.330000,0.350000,5.37,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,48.240000,0.520000,66.760000,192.980000,0.480000,0.680000,4.820000,57.890000,36.180000,1.930000,166.930000,0.000000,24.120000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,242.920000,64.730000,38.600000,1741.06

43,10:30-10:45,37.270000,37.270000,0.880000,121.570000,12.430000,26.050000,0.000000,24.120000,24.120000,0.000000,48.240000,96.490000,0.960000,0.000000,24.120000,183.330000,0.350000,6.32,0.610000,48.240000,96.490000,1.930000,0.000000,0.000000,0.000000,48.240000,0.520000,66.760000,192.980000,0.480000,0.680000,4.820000,57.890000,36.180000,1.930000,166.930000,0.000000,24.120000,0.970000,0.000000,0.000000,1.590000,0.000000,0.000000,0.880000,242.920000,64.730000,38.600000,1742.01

