Time,Block,NR/2023/12225/D,NR/2023/10236/A,NR/2023/12245/C,NR/2023/11342/A,NR/2023/11956/F,NR/2023/11961/F,NR/2023/11947/F,NR/2023/11952/F,NR/2023/11941/F,NR/2023/10613/A,NR/2023/12240/C,NR/2023/11955/F,NR/2023/11960/F,NR/2023/12234/C,NR/2023/11963/F,NR/2023/11959/F,NR/2023/11958/F,NR/2023/11962/F,NR/2023/11862/F,NR/2023/10229/A,NR/2023/11957/F,NR/2023/11476/A,NR/2023/12241/C,NR/2023/10487/A,NR/2023/12227/D,NR/2023/10344/A,NR/2023/12235/C,NR/2023/12229/D,NR/2023/12228/D,Total
21,05:00-05:15,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,0.000000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.010000,41.560000,67.080000,12.250000,0.000000,0,0,659.81

22,05:15-05:30,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,0.000000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.010000,41.560000,67.080000,12.250000,0.000000,0,0,659.81

23,05:30-05:45,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,0.000000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.010000,41.560000,67.080000,12.250000,0.000000,0,0,659.81

24,05:45-06:00,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,0.000000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,13.010000,41.560000,67.080000,12.250000,0.000000,0,0,659.81

25,06:00-06:15,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,0.000000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,12.920000,41.560000,67.080000,12.250000,0.000000,0,0,659.72

26,06:15-06:30,0,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,0.000000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,12.920000,41.560000,67.080000,12.250000,0.000000,0,0,659.72

27,06:30-06:45,0.32,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,0.000000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,12.920000,41.560000,67.080000,12.250000,0.000000,0,0,660.04

28,06:45-07:00,0.79,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,0.000000,26.490000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,12.920000,41.560000,67.080000,12.250000,0.000000,1.5,3.5,665.51

29,07:00-07:15,1.25,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,0.000000,23.440000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,12.920000,41.560000,67.080000,12.250000,0.000000,7.5,17.5,682.92

30,07:15-07:30,1.4,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,0.000000,23.440000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,12.920000,41.560000,67.080000,12.250000,0.000000,12,28,698.07

31,07:30-07:45,2.26,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,0.000000,23.440000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,12.920000,41.560000,67.080000,12.250000,0.000000,16.5,38.5,713.93

32,07:45:08:00,2.81,214.830000,0.000000,115.980000,0.370000,0.700000,6.770000,0.000000,62.820000,0.000000,23.440000,0.360000,0.640000,0.000000,0.420000,0.640000,0.560000,0.420000,2.900000,42.970000,0.720000,48.320000,12.920000,41.560000,67.080000,12.250000,0.000000,22.2,51.8,733.48

33,08:00-08:15,3.39,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,23.440000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.830000,41.560000,67.080000,12.250000,0.000000,30,70,759.97

34,08:15-08:30,3.84,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,23.440000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.830000,41.560000,67.080000,12.250000,0.000000,36.9,86.1,783.42

35,08:30-08:45,4.42,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,23.440000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.830000,41.560000,67.080000,12.250000,0.000000,43.2,100.8,805

36,08:45:09:00,5.03,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,23.440000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.830000,41.560000,67.080000,12.250000,0.000000,50.1,116.9,828.61

37,09:00:09:15,5.61,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.830000,41.560000,67.080000,12.250000,8.500000,54.3,126.7,892.71

38,09:15-09:30,6.14,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.830000,41.560000,67.080000,12.250000,8.500000,61.5,143.5,917.24

39,09:30-09:45,6.54,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.830000,41.560000,67.080000,12.250000,8.500000,66,154,932.64

40,09:45-10:00,6.95,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.830000,41.560000,67.080000,12.250000,8.500000,70.8,165.2,949.05

41,10:00-10:15,7.3,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,67.080000,12.250000,8.500000,73.8,172.2,959.3

42,10:15-10:30,7.56,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,67.080000,12.250000,8.500000,76.5,178.5,968.56

43,10:30-10:45,7.88,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,67.080000,12.250000,8.500000,77.4,180.6,971.88

44,10:45-11:00,8.12,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,67.080000,12.250000,8.500000,78,182,974.12

45,11:00-11:15,8.31,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,67.080000,12.250000,8.500000,78,182,974.31

46,11:15-11:30,8.52,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,67.080000,12.250000,8.500000,78.3,182.7,975.52

47,11:30-11:45,8.61,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,67.080000,12.250000,8.500000,79.2,184.8,978.61

48,11:45-12:00,8.7,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,67.080000,12.250000,8.500000,79.2,184.8,978.7

49,12:00-12:15,8.46,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.640000,41.560000,67.080000,12.250000,8.500000,79.5,185.5,979.37

50,12:15-12:30,9.18,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.640000,41.560000,67.080000,12.250000,8.500000,79.5,185.5,980.09

51,12:30-12:45,9.37,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.640000,41.560000,67.080000,12.250000,8.500000,79.5,185.5,980.28

52,12:45-13:00,8.99,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.640000,41.560000,67.080000,12.250000,8.500000,79.5,185.5,979.9

53,13:00-13:15,6.39,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.550000,41.560000,67.080000,12.250000,8.500000,79.2,184.8,976.21

54,13:15-13:30,5.95,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.550000,41.560000,67.080000,12.250000,8.500000,79.2,184.8,975.77

55,13:30-13:45,3.11,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.550000,41.560000,67.080000,12.250000,8.500000,79.2,184.8,972.93

56,13:45-14:00,3.7,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.550000,41.560000,67.080000,12.250000,8.500000,79.2,184.8,973.52

57,14:00-14:15,6.65,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.550000,41.560000,67.080000,12.250000,8.500000,78.6,183.4,974.47

58,14:15-14:30,7.95,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.550000,41.560000,67.080000,12.250000,8.500000,78,182,973.77

59,14:30-14:45,7.79,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.550000,41.560000,67.080000,12.250000,8.500000,76.5,178.5,968.61

60,14:45-15:00,6.97,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,24.460000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.550000,41.560000,67.080000,12.250000,8.500000,75,175,962.79

61,15:00-15:15,6.62,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,27.520000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.640000,41.560000,67.080000,12.250000,8.500000,69,161,945.59

62,15:15-15:30,5.55,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,27.520000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.640000,41.560000,67.080000,12.250000,8.500000,65.4,152.6,932.52

63,15:30-15:45,5.42,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,27.520000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.640000,41.560000,67.080000,12.250000,8.500000,61.5,143.5,919.39

64,15:45-16:00,4.97,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,27.520000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.640000,41.560000,67.080000,12.250000,8.500000,57,133,903.94

65,16:00-16:15,4.48,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,27.520000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.640000,41.560000,67.080000,12.250000,8.500000,51,119,883.45

66,16:15-16:30,4.1,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,27.520000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.640000,41.560000,67.080000,12.250000,8.500000,46.8,109.2,869.07

67,16:30-16:45,3.47,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,27.520000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.640000,41.560000,67.080000,12.250000,8.500000,41.1,95.9,849.44

68,16:45-17:00,2.84,214.830000,10.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,27.520000,0.360000,0.660000,30.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.640000,41.560000,69.300000,12.250000,8.500000,34.2,79.8,828.03

69,17:00-17:15,2.28,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,28.530000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,81.090000,12.250000,0.000000,26.1,60.9,764.86

70,17:15-17:30,1.7,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,28.530000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,81.090000,12.250000,0.000000,21,49,747.28

71,17:30-17:45,1.17,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,28.530000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,134.150000,12.250000,0.000000,15,35,779.81

72,17:45-18:00,0.74,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,0.000000,62.820000,0.000000,28.530000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,193.300000,12.250000,0.000000,12,28,828.53

73,18:00-18:15,0.4,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,36.470000,62.820000,0.000000,28.530000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,193.300000,12.250000,0.000000,9,21,854.66

74,18:15-18:30,0.18,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,36.470000,62.820000,0.000000,28.530000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,193.300000,12.250000,0.000000,3,7,834.44

75,18:30-18:45,0,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,36.470000,62.820000,0.000000,28.530000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,193.300000,12.250000,0.000000,1.5,3.5,829.26

76,18:45-19:00,0,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,36.470000,62.820000,0.000000,28.530000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.730000,41.560000,193.300000,12.250000,0.000000,0,0,824.26

77,19:00-19:15,0,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,36.470000,62.820000,0.000000,28.530000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.830000,41.560000,193.300000,12.250000,0.000000,0,0,824.36

78,19:15-19:30,0,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,36.470000,62.820000,0.000000,28.530000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.830000,41.560000,193.300000,12.250000,0.000000,0,0,824.36

79,19:30-19:45,0,214.830000,0.000000,115.980000,0.350000,0.690000,6.770000,36.470000,62.820000,0.000000,28.530000,0.360000,0.660000,0.000000,0.420000,0.660000,0.560000,0.420000,2.900000,42.970000,0.710000,48.320000,12.830000,41.560000,193.300000,12.250000,0.000000,0,0,824.36

