Time,Block,NR/2024/21737/C,NR/2024/21727/C,NR/2024/21062/A/28177,NR/2024/21141/A/27931,NR/2024/21089/A/28213,NR/2024/21500/A/27778,NR/21072024/21072024/IEX_240721_01659,NR/2024/21156/A/27982,NR/2024/21099/A/27930,NR/2024/21148/A/27983,NR/2024/21186/A/28228,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21199/A/27957,NR/2024/20966/A/27889,NR/2024/21732/C,NR/2024/20688/A/28001,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21075/A/28205,NR/2024/21096/A/28197,NR/2024/20573/A/28182,NR/21072024/21072024/IEX_240720_01656,NR/30092023/26122029/SH-06,NR/2024/21210/A/27927,NR/2024/21726/C,NR/2024/21072/A/28215,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21160/A/27986,NR/2024/21144/A/28138,NR/2024/21183/A/28203,NR/2024/20711/A/28263,NR/2024/21742/C,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/31122025/SH-07,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21153/A/27990,NR/2024/21103/A/28194,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21076/A/28202,NR/2024/21113/A/28212,NR/01102023/23072042/L_NR_2012_04,NR/2024/21682/A/28262,NR/2024/21339/A/27924,NR/2024/21158/A/27989,NR/2024/19779/A/27934,NR/2024/21108/A/28192,NR/2024/21152/A/27888,NR/2024/20931/A/28141,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21150/A/27984,NR/2024/21238/A/28206,NR/2024/21159/A/27987,NR/2024/21728/C,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/21072024/21072024/IEX_240720_01622_1,NR/2024/21173/A/28000,NR/2024/20574/A/28181,NR/2024/21736/C,NR/2024/21023/A/27958,NR/01072024/31072024/R2,NR/2024/21087/A/28294,NR/2024/21567/A/28211,NR/2024/21227/A/28193,NR/2024/21146/A/27985,NR/2024/21142/A/27932,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total

3,00:30-00:45,0.000000,0,0.000000,47.500000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,50.210000,18.010000,96.040000,32.000000,35.860000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,38.420000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.620000,23.930000,1.920000,0.000000,8.730000,0.870000,2.150000,0.870000,163.510000,13.110000,0.000000,144.060000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,1905.97

4,00:45-01:00,0.000000,0,0.000000,47.500000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,45.910000,18.010000,96.040000,32.000000,32.790000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,38.420000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.620000,23.930000,1.920000,0.000000,8.730000,0.870000,1.970000,0.870000,163.510000,13.110000,0.000000,144.060000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,1898.42

5,01:00-01:15,0.000000,0,0.000000,47.500000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,51.640000,18.010000,96.040000,32.000000,36.890000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,38.420000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.580000,23.930000,1.920000,0.000000,8.730000,0.870000,2.210000,0.870000,163.510000,13.110000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,1764.39

6,01:15-01:30,0.000000,0,0.000000,47.500000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,55.950000,18.010000,96.040000,32.000000,39.960000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,38.420000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.580000,23.930000,1.920000,0.000000,8.730000,0.870000,2.400000,0.870000,163.510000,13.110000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,1771.96

7,01:30-01:45,0.000000,0,0.000000,47.500000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,60.260000,18.010000,96.040000,32.000000,43.040000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,38.420000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.580000,23.930000,1.920000,0.000000,8.730000,0.870000,2.580000,0.870000,163.510000,13.110000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,1779.53

8,01:45-02:00,0.000000,0,0.000000,47.500000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,64.560000,18.010000,96.040000,32.000000,46.110000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,38.420000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.580000,23.930000,1.920000,0.000000,8.730000,0.870000,2.770000,0.870000,163.510000,13.110000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,1787.09

9,02:00-02:15,0.000000,0,0.000000,47.500000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,67.230000,18.010000,96.040000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,38.420000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.580000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,13.110000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1779.63

10,02:15-02:30,0.000000,0,0.000000,47.500000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,67.230000,18.010000,96.040000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,38.420000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.580000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,13.110000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1779.63

11,02:30-02:45,0.000000,0,0.000000,47.500000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,67.230000,18.010000,96.040000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,38.420000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.580000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,13.110000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1779.63

12,02:45-03:00,0.000000,0,0.000000,47.500000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,67.230000,18.010000,96.040000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,38.420000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.580000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,13.110000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1779.63

13,03:00-03:15,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.530000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1597.16

14,03:15-03:30,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.530000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1597.16

15,03:30-03:45,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.530000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1597.16

16,03:45-04:00,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.530000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1597.16

17,04:00-04:15,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.530000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1597.16

18,04:15-04:30,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.530000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1597.16

19,04:30-04:45,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.530000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1597.16

20,04:45-05:00,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.530000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1597.16

21,05:00-05:15,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.530000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1553.49

22,05:15-05:30,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,1.920000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.530000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1553.49

23,05:30-05:45,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.530000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1552.53

24,05:45-06:00,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.530000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,6.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1552.53

25,06:00-06:15,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.670000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1528.66

26,06:15-06:30,0.000000,0,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.670000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1528.66

