Column1,Block,NR/2025/25516/A/59904,NR/2025/25517/A/59910,NR/2025/25518/A/59917,GNARE/NR/2024/12/20/3668,NR/2025/25717/C,NR/2025/25718/C,GNA/WR/2025/01/01/8625,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,WR/2025/26499/A/59974,NR/2025/25159/A/59598,WR/2025/26426/A/59686,GNA/WR/2025/01/01/9606,GNA/WR/2025/03/01/6406,WR/2025/26427/A/59687,WR/2025/26582/A/59971,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/2563,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/3469,Total
3,00:30-00:45,0,0,0,0,0,0,0,26.99,6.46,200,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,939.3499999999998

4,00:45-01:00,0,0,0,0,0,0,0,26.99,6.46,200,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,939.3499999999998

5,01:00-01:15,0,0,0,0,0,0,0,26.99,6.36,200,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,939.2499999999999

6,01:15-01:30,0,0,0,0,0,0,0,26.99,6.36,200,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,939.2499999999999

7,01:30-01:45,0,0,0,0,0,0,0,26.99,6.36,200,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,939.2499999999999

8,01:45-02:00,0,0,0,0,0,0,0,26.99,6.36,200,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,939.2499999999999

9,02:00-02:15,0,0,0,0,0,0,0,26.99,6.36,0,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.2499999999999

10,02:15-02:30,0,0,0,0,0,0,0,26.99,6.36,0,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.2499999999999

11,02:30-02:45,0,0,0,0,0,0,0,26.99,6.36,0,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.2499999999999

12,02:45-03:00,0,0,0,0,0,0,0,26.99,6.36,0,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.2499999999999

13,03:00-03:15,0,0,0,0,0,0,0,26.99,6.27,0,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.16

14,03:15-03:30,0,0,0,0,0,0,0,26.99,6.27,0,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.16

15,03:30-03:45,0,0,0,0,0,0,0,26.99,6.27,0,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.16

16,03:45-04:00,0,0,0,0,0,0,0,26.99,6.27,0,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.16

17,04:00-04:15,0,0,0,0,0,0,0,26.99,6.18,0,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.0699999999998

18,04:15-04:30,0,0,0,0,0,0,0,26.99,6.18,0,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.0699999999998

19,04:30-04:45,0,0,0,0,0,0,0,26.99,6.18,0,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.0699999999998

20,04:45-05:00,0,0,0,0,0,0,0,26.99,6.18,0,0,0.43,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.0699999999998

21,05:00-05:15,0,0,0,0,0,0,0,26.99,6.09,0,0,0.48,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.0299999999999

22,05:15-05:30,0,0,0,0,0,0,0,26.99,6.09,0,0,0.48,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.0299999999999

23,05:30-05:45,0,0,0,0,0,0,0,26.99,6.09,0,0,0.48,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.0299999999999

24,05:45-06:00,0,0,0,0,0,0,0,26.99,6.09,0,0,0.48,168.21,0,42,24.09,24.09,17.35,8.67,237.82,23.41,23.41,23.41,26.99,79.27,6.75,739.0299999999999

25,06:00-06:15,0,0,0,0,0,0,0,25.87,5.99,0,0,0.53,168.21,0,42,0,0,17.35,8.67,0,23.41,23.41,23.41,32,0,6.75,377.60000000000014

26,06:15-06:30,0,0,0,0,0,0,0,25.87,5.99,0,0,0.53,168.21,0,42,0,0,17.35,8.67,0,23.41,23.41,23.41,32,0,6.75,377.60000000000014

27,06:30-06:45,0,0,0,0.03,0,0,0,25.87,5.99,0,0,0.53,168.21,0,42,0,0,17.35,8.67,0,23.41,23.41,23.41,32,0,6.75,377.6300000000001

28,06:45-07:00,0,0,0,0.07,0,0,0,25.87,5.99,0,0,0.53,168.21,0,42,0,0,17.35,8.67,0,23.41,23.41,23.41,32,0,6.75,377.67000000000013

29,07:00-07:15,0,0,0,0.35,0,0,0,32,5.91,0,40.48,0.58,168.21,0,0,0,0,17.35,8.67,0,28.91,28.91,28.91,25.87,0,6.75,392.90000000000015

30,07:15-07:30,0,0,0,2.48,0,0,0,32,5.91,0,40.48,0.58,168.21,0,0,0,0,17.35,8.67,0,28.91,28.91,28.91,25.87,0,6.75,395.03000000000014

31,07:30-07:45,0,0,0,5.1,0,0,0,32,5.91,0,40.48,0.58,168.21,0,0,0,0,17.35,8.67,0,28.91,28.91,28.91,25.87,0,6.75,397.65000000000015

32,07:45-08:00,0,0,0,11.54,0,0,0,32,5.91,0,40.48,0.58,168.21,0,0,0,0,17.35,8.67,0,28.91,28.91,28.91,25.87,0,6.75,404.09000000000015

33,08:00-08:15,0.17,0.14,0.09,20.54,0,0,0,26.99,5.91,0,40.48,0.96,0,0,0,0,0,17.35,8.67,0,31.8,31.8,31.8,26.99,0,6.75,250.44000000000003

34,08:15-08:30,0.42,0.34,0.21,27.77,0,0,0,26.99,5.91,0,40.48,0.96,0,0,0,0,0,17.35,8.67,0,31.8,31.8,31.8,26.99,0,6.75,258.24

35,08:30-08:45,0.66,0.53,0.34,35.44,0,0,0,26.99,5.91,0,40.48,0.96,0,0,0,0,0,17.35,8.67,0,31.8,31.8,31.8,26.99,0,6.75,266.47

36,08:45-09:00,0.95,0.69,0.43,45.13,0,0,0,26.99,5.91,0,40.48,0.96,0,0,0,0,0,17.35,8.67,0,31.8,31.8,31.8,26.99,0,6.75,276.7

37,09:00-09:15,1.06,0.77,0.48,52.76,14.46,38.55,0,26.99,5.81,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,31.8,31.8,31.8,26.99,0,6.75,337.44

38,09:15-09:30,1.06,0.77,0.58,59.94,14.46,38.55,0,26.99,5.81,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,31.8,31.8,31.8,26.99,0,6.75,344.71999999999997

39,09:30-09:45,1.06,0.87,0.58,66.6,14.46,38.55,0,26.99,5.81,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,31.8,31.8,31.8,26.99,0,6.75,351.47999999999996

40,09:45-10:00,1.06,0.77,0.48,72.53,14.46,38.55,0,26.99,5.81,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,31.8,31.8,31.8,26.99,0,6.75,357.21

41,10:00-10:15,1.06,0.67,0.48,88.64,14.46,38.55,0,26.99,5.81,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,31.8,31.8,31.8,26.99,0,6.75,373.22

42,10:15-10:30,1.16,0.77,0.48,94.14,14.46,38.55,0,26.99,5.81,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,31.8,31.8,31.8,26.99,0,6.75,378.92

43,10:30-10:45,1.16,0.77,0.58,96.67,14.46,38.55,0,26.99,5.81,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,31.8,31.8,31.8,26.99,0,6.75,381.55

44,10:45-11:00,1.16,0.87,0.58,96.67,14.46,38.55,0,26.99,5.81,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,31.8,31.8,31.8,26.99,0,6.75,381.65000000000003

45,11:00-11:15,1.25,0.87,0.58,96.67,14.46,38.55,0,26.99,5.71,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,396.09999999999997

46,11:15-11:30,1.25,0.87,0.58,96.67,14.46,38.55,0,26.99,5.71,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,396.09999999999997

47,11:30-11:45,1.25,0.87,0.58,96.67,14.46,38.55,0,26.99,5.71,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,396.09999999999997

48,11:45-12:00,1.25,0.87,0.58,96.67,14.46,38.55,0,26.99,5.71,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,396.09999999999997

49,12:00-12:15,1.25,0.96,0.58,96.67,13.49,38.55,0,26.99,5.71,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,395.21999999999997

50,12:15-12:30,1.25,0.87,0.58,96.67,13.49,38.55,0,26.99,5.71,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,395.13

51,12:30-12:45,1.25,0.77,0.58,96.67,13.49,38.55,0,26.99,5.71,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,395.03

52,12:45-13:00,1.25,0.96,0.58,96.67,13.49,38.55,0,26.99,5.71,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,395.21999999999997

53,13:00-13:15,1.25,0.96,0.58,100,13.49,38.55,0,26.99,5.63,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,398.46999999999997

54,13:15-13:30,1.25,0.96,0.58,100,13.49,38.55,0,26.99,5.63,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,398.46999999999997

55,13:30-13:45,1.25,0.96,0.58,100,13.4,38.55,0,26.99,5.63,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,398.38

56,13:45-14:00,1.25,0.96,0.67,100,13.4,38.55,0,26.99,5.63,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,398.46999999999997

57,14:00-14:15,1.25,0.96,0.67,100,13.4,38.55,0,26.99,5.63,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,32.77,32.77,32.77,26.99,0,6.75,386.9199999999999

58,14:15-14:30,1.25,0.96,0.67,100,13.4,38.55,0,26.99,5.63,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,32.77,32.77,32.77,26.99,0,6.75,386.9199999999999

59,14:30-14:45,1.25,0.96,0.58,100,3.18,38.55,0,26.99,5.63,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,32.77,32.77,32.77,26.99,0,6.75,376.60999999999996

60,14:45-15:00,1.25,0.96,0.58,100,3.76,38.55,0,26.99,5.63,0,40.48,0.92,0,0,0,0,0,17.35,8.67,0,32.77,32.77,32.77,26.99,0,6.75,377.18999999999994

61,15:00-15:15,1.25,0.96,0.67,98.67,4.53,38.55,0,26.99,5.53,0,40.48,0.67,0,0,0,0,0,17.35,8.67,0,32.77,32.77,32.77,26.99,0,6.75,376.36999999999995

62,15:15-15:30,1.25,0.96,0.67,92.37,5.4,38.55,0,26.99,5.53,0,40.48,0.67,0,0,0,0,0,17.35,8.67,0,32.77,32.77,32.77,26.99,0,6.75,370.93999999999994

63,15:30-15:45,1.25,0.96,0.67,86.76,6.55,38.55,0,26.99,5.53,0,40.48,0.67,0,0,0,0,0,17.35,8.67,0,32.77,32.77,32.77,26.99,0,6.75,366.47999999999996

64,15:45-16:00,1.25,0.96,0.67,80.74,8.19,38.55,0,26.99,5.53,0,40.48,0.67,0,0,0,0,0,17.35,8.67,0,32.77,32.77,32.77,26.99,0,6.75,362.0999999999999

65,16:00-16:15,1.25,0.96,0.48,74.45,12.91,38.55,0,26.99,5.63,0,40.48,0.53,0,0,0,0,0,17.35,8.67,0,32.77,32.77,32.77,26.99,0,6.75,360.29999999999995

66,16:15-16:30,1.25,0.96,0.58,67.78,12.82,38.55,0,26.99,5.63,0,40.48,0.53,0,0,0,0,0,17.35,8.67,0,32.77,32.77,32.77,26.99,0,6.75,353.64

67,16:30-16:45,1.13,0.87,0.61,60.3,12.43,38.55,0,26.99,5.63,0,40.48,0.53,0,0,0,0,0,17.35,8.67,0,32.77,32.77,32.77,26.99,0,6.75,345.59

68,16:45-17:00,0.94,0.73,0.51,52.68,12.05,38.55,0,26.99,5.63,0,40.48,0.53,0,0,0,0,0,17.35,8.67,0,32.77,32.77,32.77,26.99,0,6.75,337.15999999999997

69,17:00-17:15,0.67,0.4,0.34,44.54,0,0,100,26.99,5.81,0,40.48,0.53,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,389.38

70,17:15-17:30,0.44,0.26,0.18,37.08,0,0,100,26.99,5.81,0,40.48,0.53,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,381.39

71,17:30-17:45,0.21,0.14,0.1,28.71,0,0,100,26.99,5.81,0,40.48,0.53,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,372.59

72,17:45-18:00,0,0,0,19.76,0,0,100,26.99,5.81,0,40.48,0.53,0,0,0,0,0,17.35,8.67,0,36.62,36.62,36.62,26.99,0,6.75,363.19

73,18:00-18:15,0,0,0,14.33,0,0,100,24.84,5.99,0,40.48,0.53,0,50,0,0,0,17.35,8.67,0,36.62,36.62,36.62,24.84,0,6.75,403.64

74,18:15-18:30,0,0,0,8.13,0,0,100,24.84,5.99,0,40.48,0.53,0,50,0,0,0,17.35,8.67,0,36.62,36.62,36.62,24.84,0,6.75,397.43999999999994

75,18:30-18:45,0,0,0,3.28,0,0,100,31,5.99,50,40.48,0.53,0,50,0,0,0,17.35,8.67,0,36.62,36.62,36.62,31,0,6.75,454.91

76,18:45-19:00,0,0,0,0.5,0,0,100,31,5.99,50,40.48,0.53,0,50,0,0,0,17.35,8.67,0,36.62,36.62,36.62,31,0,6.75,452.13000000000005

77,19:00-19:15,0,0,0,0.17,0,0,100,31,6.27,50,40.48,0.63,0,50,0,0,0,17.35,8.67,0,36.62,36.62,36.62,31,0,6.75,452.18000000000006

78,19:15-19:30,0,0,0,0,0,0,100,31,6.27,50,40.48,0.63,0,50,0,0,0,17.35,8.67,0,36.62,36.62,36.62,31,0,6.75,452.01000000000005

79,19:30-19:45,0,0,0,0,0,0,100,31,6.27,50,40.48,0.63,0,50,0,0,0,17.35,8.67,0,36.62,36.62,36.62,31,0,6.75,452.01000000000005

80,19:45-20:00,0,0,0,0,0,0,100,31,6.27,50,40.48,0.63,0,50,0,0,0,17.35,8.67,0,36.62,36.62,36.62,31,0,6.75,452.01000000000005

81,20:00-20:15,0,0,0,0,0,0,100,31,6.46,50,40.48,0.63,48.18,75,0,0,0,17.35,8.67,0,36.62,36.62,36.62,31,0,6.75,525.3800000000001

82,20:15-20:30,0,0,0,0,0,0,100,31,6.46,50,40.48,0.63,48.18,75,0,0,0,17.35,8.67,0,36.62,36.62,36.62,31,0,6.75,525.3800000000001

83,20:30-20:45,0,0,0,0,0,0,100,31,6.46,50,40.48,0.63,48.18,75,0,0,0,17.35,8.67,0,36.62,36.62,36.62,31,0,6.75,525.3800000000001

84,20:45-21:00,0,0,0,0,0,0,100,31,6.46,50,40.48,0.63,48.18,75,0,0,0,17.35,8.67,0,36.62,36.62,36.62,31,0,6.75,525.3800000000001

85,21:00-21:15,0,0,0,0,0,0,100,0,6.55,50,40.48,0.63,48.18,75,0,0,0,17.35,8.67,0,36.62,36.62,36.62,32,0,6.75,495.4700000000001

86,21:15-21:30,0,0,0,0,0,0,100,0,6.55,50,40.48,0.63,48.18,75,0,0,0,17.35,8.67,0,36.62,36.62,36.62,32,0,6.75,495.4700000000001

87,21:30-21:45,0,0,0,0,0,0,100,9.25,6.09,50,40.48,0.63,48.18,75,0,0,0,17.35,8.67,0,36.62,36.62,36.62,9.25,0,6.75,481.51000000000005

88,21:45-22:00,0,0,0,0,0,0,100,24.84,6.09,50,40.48,0.63,48.18,75,0,0,0,17.35,8.67,0,36.62,36.62,36.62,24.84,0,6.75,512.69

89,22:00-22:15,0,0,0,0,0,0,100,17.05,6.09,50,40.48,0.53,48.18,75,0,24.09,24.09,17.35,8.67,237.82,36.62,36.62,36.62,17.05,79.27,6.75,862.2799999999999

90,22:15-22:30,0,0,0,0,0,0,100,17.05,6.09,50,40.48,0.53,48.18,75,0,24.09,24.09,17.35,8.67,237.82,36.62,36.62,36.62,17.05,79.27,6.75,862.2799999999999

91,22:30-22:45,0,0,0,0,0,0,100,17.05,6.09,50,40.48,0.53,48.18,75,0,24.09,24.09,17.35,8.67,237.82,36.62,36.62,36.62,17.05,79.27,6.75,862.2799999999999

92,22:45-23:00,0,0,0,0,0,0,100,17.05,6.09,50,40.48,0.53,48.18,75,0,24.09,24.09,17.35,8.67,237.82,36.62,36.62,36.62,17.05,79.27,6.75,862.2799999999999

93,23:00-23:15,0,0,0,0,0,0,0,26.99,6.09,50,40.48,0.48,48.18,75,0,24.09,24.09,17.35,8.67,237.82,36.62,36.62,36.62,26.99,79.27,6.75,782.11

94,23:15-23:30,0,0,0,0,0,0,0,26.99,6.09,50,40.48,0.48,48.18,75,0,24.09,24.09,17.35,8.67,237.82,36.62,36.62,36.62,26.99,79.27,6.75,782.11

95,23:30-23:45,0,0,0,0,0,0,0,26.99,6.09,50,40.48,0.48,48.18,75,0,24.09,24.09,17.35,8.67,237.82,36.62,36.62,36.62,26.99,79.27,6.75,782.11

96,23:45-24:00,0,0,0,0,0,0,0,26.99,6.09,50,40.48,0.48,48.18,75,0,24.09,24.09,17.35,8.67,237.82,36.62,36.62,36.62,26.99,79.27,6.75,782.11

