Block,Time Block,BSIUL,CHAMERA2,BRBCL,CHAMERA1,CHAMERA3,DHAULIGNGA,FSTPP I & II,DADRT2,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,KISHANGANGA,KHSTPP-II,KKNP,KOTESHWR,KKNPPU2,KOLDAM,KUDGI,MAPS,NAPP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,RAMPUR,NTPL,PARBATI3,RIHAND3,RAPPB,RIHAND2,RIHAND1,RAPPC,SALAL,SEWA2,SASAN,RSTPSU1TO6,RSTPSU7,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,TALST2,TALA,TEHRI,TANDA2,TANAKPUR,TelanganaSTPP,UNCHAHAR1,UNCHAHAR3,UNCHAHAR2,URI,VALLURNTECL,UNCHAHAR4,URI2,AURY_GF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,ANTA_LF,AURY_RF,DADRI_CRF,AURY_LF,DADRI_LF,DADRI_GF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,0,0,15.48,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,7.51,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,16.46,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,7.51,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,15.58,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,7.51,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,15.7,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,7.51,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,15.36,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,7.51,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,14.98,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,15.9,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,0,16.01,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,0,17.04,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,0,15.38,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,0,15.85,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,0,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,0,16.67,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,14.72,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,0,18.36,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,14.72,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,0,19.23,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,14.72,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,0,19.23,0,0,0,11.09,286.7,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,14.72,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,0,19.23,0,0,0,11.09,315.55,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,14.72,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0,0,19.23,0,0,0,11.09,315.55,0,229.88,0,0,24.5,0,105.92,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,28.9,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,0,0,19.23,0,0,0,11.09,315.55,0,229.88,0,0,28.97,0,131.35,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,29.44,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,0,0,19.23,0,0,0,15.04,404.02,0,280.46,0,0,28.97,0,142.61,0,8.53,0,0,0,0,42.68,0,0,18.21,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,29.44,0,1.97,0,6.96,19.27,28.58,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,0,0,19.23,0,0,0,17.28,482.69,0,339.72,0,0,32.33,0,142.61,0,8.53,0,0,0,0,42.68,0,0,44.98,0,0,0,0,0,3.67,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,44.17,0,1.97,0,6.96,19.27,30.55,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,0,3.6,19.23,0,0,0,19.92,580.34,0,417.96,0,0,32.4,0,142.61,0,17.07,0,0,0,0,42.68,0,0,67.48,0,0,0,0,0,15.9,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,44.17,0,1.97,0,9.61,23.83,39.03,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,2.12,7.68,19.23,13.51,1.22,7.62,20,648.98,15.85,417.96,0,0,32.4,0,142.61,0,25.6,0,0,0,0,42.68,0,0,89.97,0,0,0,0,0,15.9,119.56,0,114.2,88.47,51.13,1.35,0,259.63,0,0,0,0,0,100.15,0,0,44.17,0,1.97,0,9.89,25.39,40.76,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,12.54,33.33,19.23,26.97,18.64,26.36,20,656.91,31.69,417.96,0,0,32.4,0,142.61,0,37.55,0,0,0,0,42.68,0,0,112.46,0,0,0,0,0,15.9,119.56,0,114.2,88.47,51.13,1.35,7.6,259.63,0,0,0,0,0,100.15,0,0,58.88,0,1.97,0,9.89,25.39,40.76,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,12.54,33.33,19.23,26.97,27.94,26.36,20,656.91,31.69,417.96,0,0,32.4,0,142.61,0,37.55,0,0,0,0,42.68,0,0,112.46,0,0,0,0,0,15.9,119.56,0,114.2,88.47,51.13,1.35,7.6,270.45,0,0,0,0,0,100.15,0,0,58.88,0,1.97,0,9.89,25.39,40.76,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,12.54,33.33,19.23,26.97,27.94,26.36,20,656.91,31.69,417.96,0,0,32.4,0,142.61,0,37.55,0,0,0,0,42.68,0,0,112.46,0,0,0,0,0,15.9,119.56,0,114.2,88.47,51.13,1.35,7.6,285.33,0,0,0,0,0,100.15,0,0,58.88,0,1.97,0,9.89,25.39,40.76,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,12.54,33.33,19.23,26.97,27.94,26.36,20,656.91,31.69,417.96,0,0,32.4,0,142.61,0,37.55,0,0,0,0,42.68,0,0,112.46,0,0,0,0,0,15.9,119.56,0,114.2,88.47,51.13,1.35,7.88,296.75,0,0,0,0.35,0,100.15,0,0,58.88,0,1.97,0,9.89,25.39,40.76,1.6,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

32,07:45-08:00,12.54,33.33,19.23,26.97,27.94,26.36,20,656.91,31.69,417.96,0,0,32.4,0,142.61,0,37.55,0,0,0,0,42.68,0,0,112.46,0,0,0,0,0,3.43,119.56,0,114.2,88.47,51.13,1.35,7.88,302.15,0,0,0,0.35,0,100.15,0,0,58.88,0,1.97,0,9.89,25.39,40.76,25.47,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,12.54,33.33,19.23,26.97,18.64,26.36,20,656.91,31.69,417.96,0,0,32.4,0,142.61,0,37.55,0,0,0,0,42.68,0,0,89.97,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,8.93,7.88,307.56,0,0,0,0.35,0,100.15,0,0,58.88,0,1.97,0,9.89,25.39,40.76,25.47,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,2.12,3.21,19.23,26.97,1.22,26.36,20,656.91,15.85,417.96,0,0,32.4,0,142.61,0,25.6,0,0,0,0,42.68,0,0,67.48,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,40.22,7.88,312.96,0,0,0,0.35,0,100.15,0,0,58.88,0,1.97,0,9.89,25.39,40.76,25.47,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,0,0,19.23,13.51,0,15.31,20,656.91,0,417.96,0,0,32.4,0,142.61,0,25.6,0,0,0,0,42.68,0,0,44.98,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,40.22,0,318.38,0,0,0,0.35,0,100.15,0,0,58.88,0,1.97,0,9.89,25.39,40.76,1.28,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,0,0,19.23,13.51,0,7.62,20,656.91,0,417.96,0,0,32.4,0,142.61,0,17.07,0,0,0,0,42.68,0,0,44.98,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,40.22,0,323.78,0,0,0,0.35,0,100.15,0,0,58.88,0,1.97,0,9.89,25.39,40.76,1.28,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,0,0,19.23,0,0,0,20,656.91,0,417.96,0,0,32.4,0,142.61,0,17.07,0,0,0,0,42.68,0,0,38.25,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,40.22,0,332.35,0,0,0,0.35,0,100.15,0,0,58.88,0,7.51,0,9.89,25.39,40.76,1.28,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,0,0,19.23,0,0,0,20,656.91,0,417.96,0,0,32.4,0,142.61,0,17.07,0,0,0,0,42.68,0,0,19.58,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,40.22,0,343.17,0,0,0,0.35,0,100.15,0,0,58.88,0,7.51,0,9.89,25.39,40.76,1.28,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,0,0,19.23,0,0,0,20,656.91,0,417.96,0,0,31.52,0,142.61,0,8.53,0,0,0,0,42.68,0,0,18.21,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,40.22,0,353.98,0,0,0,0.35,0,100.15,0,0,44.17,0,7.51,0,9.89,25.39,40.76,1.6,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,0,0,19.23,0,0,0,20,656.91,0,417.96,0,0,31.52,0,142.61,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,8.93,0,364.8,0,0,0,0.35,0,100.15,0,0,44.17,0,7.51,0,9.89,25.39,40.76,1.6,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,0,0,19.23,0,0,0,20,614.44,0,417.96,0,0,31.52,0,142.61,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,375.62,0,0,0,0.35,0,100.15,0,0,44.17,0,7.51,0,9.89,25.39,40.76,25.47,0,0,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,0,0,19.23,0,0,0,20,595.21,0,417.96,0,0,31.52,0,142.61,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,44.17,0,7.51,0,9.89,25.39,40.76,25.47,0,0,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,0,0,19.23,0,0,0,20,556.75,0,417.96,0,0,31.52,0,142.61,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,29.44,0,1.97,0,9.89,25.39,40.76,25.47,0,0,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,0,0,19.05,0,0,0,20,479.02,0,344.51,0,0,31.52,0,142.61,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,29.44,0,1.97,0,9.89,25.39,40.76,3.18,0,0,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,0,0,19.23,0,0,0,17.23,430.94,0,286.82,0,0,31.52,0,142.61,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,29.44,0,1.97,0,6.96,19.27,30.55,1.28,0,0,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,0,0,18.31,0,0,0,17.23,382.86,0,230.78,0,0,31.52,0,142.61,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,29.44,0,1.97,0,6.96,19.27,30.55,1.28,0,0,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,0,0,19.23,0,0,0,17.23,315.55,0,230.78,0,0,31.52,0,142.61,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,29.44,0,1.97,0,6.96,19.27,30.55,1.28,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,0,0,19.23,0,0,0,20,315.55,0,230.78,0,0,31.52,0,142.61,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,29.44,0,1.97,0,8.34,22.78,36.18,1.28,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,0,0,19.23,0,0,0,17.4,384.06,0,230.78,0,0,27.92,0,122.91,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,14.12,0,1.97,0,6.96,19.96,31.81,4.24,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,0,0,19.23,0,0,0,15.04,339.59,0,230.78,0,0,27.92,0,122.91,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,14.12,0,1.97,0,6.96,19.27,30.55,4.24,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,0,0,19.23,0,0,0,15.04,305.93,0,230.78,0,0,27.92,0,122.91,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,14.12,0,1.97,0,6.96,19.27,30.55,2.13,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

52,12:45-13:00,0,0,19.23,0,0,0,15.04,277.09,0,230.78,0,0,24.5,0,122.91,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,0,0,1.97,0,6.96,19.27,30.55,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

53,13:00-13:15,0,0,19.23,0,0,0,15.04,223.53,0,229.88,0,0,24.5,0,122.91,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,0,0,1.97,0,6.96,19.27,25.08,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

54,13:15-13:30,0,0,19.23,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,122.91,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,0,0,1.97,0,5.77,14.76,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

55,13:30-13:45,0,0,19.23,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,122.91,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,0,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

56,13:45-14:00,0,0,19.23,0,0,0,11.09,219.39,0,229.88,0,0,24.5,0,122.91,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,0,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

57,14:00-14:15,0,0,19.23,0,0,0,11.09,219.39,0,229.88,0,0,18.41,0,122.91,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,14.05,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

58,14:15-14:30,0,0,19.23,0,0,0,11.09,219.39,0,229.88,0,0,18.41,0,122.91,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,14.05,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

59,14:30-14:45,0,0,19.23,0,0,0,11.09,219.39,0,229.88,0,0,18.41,0,122.91,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,28.11,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

60,14:45-15:00,0,0,19.23,0,0,0,11.09,286.7,0,229.88,0,0,18.41,0,94.74,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,28.11,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

61,15:00-15:15,0,0,19.23,0,0,0,11.09,315.55,0,229.88,0,0,18.41,0,114.43,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,28.11,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

62,15:15-15:30,0,0,19.23,0,0,0,11.09,315.55,0,229.88,0,0,18.41,0,114.43,0,8.53,0,0,0,0,42.68,0,0,0,0,0,0,0,0,0,119.56,0,114.2,88.47,51.13,1.35,0,378.63,0,0,0,0.35,0,100.15,0,0,28.11,0,1.97,0,5.77,14.28,22.45,1.07,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

