Column1,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/22613/C,NR/2024/22614/C,NR/30092023/31122025/SH-07,NR/2024/22607/C,NR/30092023/26122029/SH-06,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/jitpl,NR/2024/21933/A/32394,NR/2024/21940/A/32663,NR/2024/21860/A/32738,NR/2024/21966/A/32412,NR/2024/22010/A/32710,NR/2024/22535/A/32431,NR/2024/22432/A/32404,NR/2024/22014/A/32379,NR/2024/22630/C,NR/2024/21814/A/32670,NR/2024/22534/A/32433,NR/2024/21658/A/32352,NR/2024/22498/A/32704,NR/2024/21983/A/32393,NR/2024/22042/A/32378,NR/2024/21974/A/32669,NR/2024/21968/A/32666,NR/2024/21943/A/32661,NR/2024/22612/C,NR/2024/21970/A/32667,NR/2024/22621/C,NR/2024/21911/A/32646,NR/2024/21961/A/32642,NR/2024/21938/A/32641,NR/2024/22279/A/32375,NR/2024/21918/A/32712,NR/2024/21971/A/32668,NR/2024/21956/A/32664,NR/2024/21954/A/32662,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/MPL/24-25/STOA/128,Total
17,04:00-04:15,0,0,163.73,27.89,26.929,240.42,26.929,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.53,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,16.8,0,24.04,96.17,12.39,48.08,21.16,1497.248

18,04:15-04:30,0,0,163.73,27.89,26.929,240.42,26.929,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.53,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,16.8,0,24.04,96.17,12.39,48.08,21.16,1497.248

19,04:30-04:45,0,0,163.73,27.89,26.929,240.42,26.929,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.53,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,16.8,0,24.04,96.17,12.39,48.08,21.16,1497.248

20,04:45-05:00,0,0,163.73,27.89,26.929,240.42,26.929,96.17,0,11.26,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.53,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,16.8,0,24.04,96.17,12.39,48.08,21.16,1497.248

21,05:00-05:15,0,0,163.73,27.89,26.929,240.42,26.929,96.17,0,12.45,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.53,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,24.04,23.97,16.34,0,24.04,96.17,12.39,48.08,21.16,1454.698

22,05:15-05:30,0,0,163.73,27.89,26.929,240.42,26.929,96.17,0,13.64,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.53,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,24.04,23.97,16.34,0,24.04,96.17,12.39,48.08,21.16,1455.8880000000001

23,05:30-05:45,0,0,163.73,27.89,26.7256,240.42,26.7256,96.17,0,13.64,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.53,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,24.04,23.97,16.34,0,24.04,96.17,12.39,48.08,21.16,1455.4812000000002

24,05:45-06:00,0,0,163.73,27.89,26.7256,240.42,26.7256,96.17,0,15.21,0,83.84,48.08,0,11.68,0,7.69,1.92,0,48.08,0,0.53,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,24.04,23.97,16.34,0,24.04,96.17,12.39,48.08,21.16,1456.0812

25,06:00-06:15,0,0,163.73,27.89,26.7256,240.42,26.7256,96.17,0,14.03,0,83.84,48.08,0,11.68,0,7.69,1.92,0,48.08,0,0.63,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,16.34,0,24.04,96.17,12.39,48.08,21.16,1325.1712

26,06:15-06:30,0,0,163.73,27.89,26.7799,240.42,26.7799,96.17,0,15.21,0,83.84,48.08,0,11.68,0,7.69,1.92,0,48.08,0,0.63,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,16.34,0,24.04,96.17,12.39,48.08,21.16,1326.4598

27,06:30-06:45,0,0,163.73,27.89,26.7799,240.42,26.7799,96.17,0,16.36,0,83.84,48.08,0,11.68,0,7.69,1.92,0,48.08,0,0.63,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,16.34,0,24.04,96.17,12.39,48.08,21.16,1327.6098000000002

28,06:45-07:00,0,0,163.73,27.89,26.7799,240.42,26.7799,96.17,0,16.36,0,83.84,48.08,0,11.68,0,7.69,1.92,0,48.08,0,0.63,0,0,3.85,37.15,37.15,38.47,0.3,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,16.34,0,24.04,96.17,12.39,48.08,21.16,1327.9098000000001

29,07:00-07:15,0,0,163.73,27.89,26.7799,240.42,26.7799,96.17,0,17.54,0,83.84,48.08,0,11.68,0,7.69,1.92,0,48.08,0,0.72,0,0,3.85,37.15,37.15,38.47,0.88,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,16.34,0,24.04,96.17,12.39,48.08,21.16,1329.7598

30,07:15-07:30,0,0,163.73,27.89,26.7799,240.42,26.7799,96.17,0,18.72,0,83.84,48.08,0,11.68,0,7.69,1.92,0,48.08,0,0.72,0,0,3.85,37.15,37.15,38.47,1.42,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,16.34,0,24.04,96.17,12.39,48.08,21.16,1331.4798

31,07:30-07:45,0,0,163.73,27.89,26.7256,240.42,26.7256,96.17,0,19.92,0,83.84,48.08,0,11.68,0,7.69,1.92,0,48.08,0,0.72,0,0,3.85,37.15,37.15,38.47,1.78,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,16.34,0,24.04,96.17,12.39,48.08,21.16,1332.9312

32,07:45-08:00,0,0,163.73,27.89,26.7256,240.42,26.7256,96.17,0,21.49,0,83.84,48.08,0,11.68,0,7.69,1.92,0,48.08,0,0.72,0,0,3.85,37.15,37.15,38.47,2.48,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,16.34,0,24.04,96.17,12.39,48.08,21.16,1335.2012000000002

33,08:00-08:15,0,0,163.73,27.89,26.7256,240.42,26.7256,96.17,0,21.49,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.96,0,0,3.85,37.15,37.15,38.47,3.15,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,24.04,96.17,12.39,48.08,21.16,1333.4112000000002

34,08:15-08:30,0,0,163.73,27.89,26.7256,240.42,26.7256,96.17,0,22.68,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.96,0,0,3.85,37.15,37.15,38.47,3.59,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,24.04,96.17,12.39,48.08,21.16,1335.0412000000001

35,08:30-08:45,0,0,163.73,27.89,26.7256,240.42,26.7256,96.17,0,23.71,0,83.84,48.08,0,11.68,0,8.66,1.92,0,48.08,0,0.96,0,0,3.85,37.15,37.15,38.47,4.59,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,24.04,96.17,12.39,48.08,21.16,1337.0712000000003

36,08:45-09:00,0,0,163.73,27.89,26.7256,240.42,26.7256,96.17,0,24.77,0,83.84,48.08,0,11.68,0,9.62,1.92,0,48.08,0,0.96,0,0,3.85,37.15,37.15,38.47,5.12,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,24.04,96.17,12.39,48.08,21.16,1339.6212000000003

37,09:00-09:15,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,9.62,1.92,0,48.08,35.58,0.96,21.16,48.08,3.85,37.15,37.15,38.47,5.65,12.39,6.73,96.17,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,0,0,12.39,0,0,1393.0412000000006

38,09:15-09:30,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,11.54,1.92,0,48.08,38.47,0.96,21.16,48.08,3.85,37.15,37.15,38.47,5.76,12.39,3.85,96.17,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,0,0,12.39,0,0,1395.0812000000003

39,09:30-09:45,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,11.54,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,4.76,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,0,0,12.39,0,0,1394.0712000000005

40,09:45-10:00,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,11.54,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,5.04,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,0,0,12.39,0,0,1394.3512000000005

41,10:00-10:15,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,5.96,11.54,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,3.59,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,0,0,12.39,0,0,1388.2812000000004

42,10:15-10:30,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,5.87,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,3.61,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,0,0,12.39,0,0,1389.1712000000005

43,10:30-10:45,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,3.85,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,0,0,12.39,0,0,1394.1212000000005

44,10:45-11:00,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,5.07,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,0,0,12.39,0,0,1395.3412000000005

45,11:00-11:15,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,6.9,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,0,0,12.39,0,0,1397.1712000000007

46,11:15-11:30,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,5.86,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,0,0,12.39,0,0,1396.1312000000005

47,11:30-11:45,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,7.8,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,0,0,12.39,0,0,1398.0712000000005

48,11:45-12:00,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,5.34,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,12.67,0,0,0,12.39,0,0,1395.6112000000005

49,12:00-12:15,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,6.53,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1399.8212000000005

50,12:15-12:30,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,6.94,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1400.2312000000006

51,12:30-12:45,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,4.65,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1397.9412000000007

52,12:45-13:00,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,3.31,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1396.6012000000005

53,13:00-13:15,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,8.19,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1401.4812000000006

54,13:15-13:30,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,8.72,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1402.0112000000006

55,13:30-13:45,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,6.71,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1400.0012000000006

56,13:45-14:00,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,42.31,0.96,21.16,48.08,3.85,37.15,37.15,38.47,8.86,12.39,0,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1402.1512000000005

57,14:00-14:15,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,32.7,0.96,21.16,48.08,3.85,37.15,37.15,38.47,8.91,12.39,9.62,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1402.2112000000004

58,14:15-14:30,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,28.85,0.96,21.16,48.08,3.85,37.15,37.15,38.47,8.53,12.39,13.46,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1401.8212000000005

59,14:30-14:45,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,28.85,0.96,21.16,48.08,3.85,37.15,37.15,38.47,8.22,12.39,13.46,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1401.5112000000006

