Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,GNA/NR/2025/04/16/8132,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/16/6639,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/2341,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8964,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/1333,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/16/1389,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/9334,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/16/4327,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19
8,01:45-02:00,0,34,83.34,83.33,33,0,14.59,130.33,72.25,0,46.77,19.27,32,4.05,0,100.36,2.89,4.3,7.74,28.9,5.52,8.14,0,86.89,272.37,2.89,2.89,30.79,9.63,52.5,57.78,9.63,12.99,0,9.63,1.93,43.78,32,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,34,0,102,0

9,02:00-02:15,0,34.17,83.34,83.33,28.33,0,14.59,130.33,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.3,7.74,28.9,5.52,7.68,0,86.89,272.37,2.89,2.89,30.79,9.63,0,57.78,9.63,12.81,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,34.17,0,102.49,0

10,02:15-02:30,0,34.67,83.34,83.33,28.33,0,14.59,130.33,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.3,7.74,28.9,5.52,7.68,0,86.89,272.37,2.89,2.89,30.79,9.63,0,57.78,9.63,12.81,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,34.67,0,103.99,0

11,02:30-02:45,0,31.33,83.34,83.33,28.67,0,14.59,130.33,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.3,7.74,28.9,5.52,7.68,0,86.89,272.37,2.89,2.89,30.28,9.63,0,57.78,9.63,12.81,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,31.33,0,94.01,0

12,02:45-03:00,0,31.83,83.34,83.33,28.33,0,14.59,130.33,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.3,7.74,28.9,5.52,7.68,0,86.89,272.37,2.89,2.89,30.28,9.63,0,57.78,9.63,12.81,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,31.83,0,95.51,0

13,03:00-03:15,0,32,83.34,83.33,28,0,14.59,130.33,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.11,7.74,28.9,5.52,7.68,0,86.89,272.37,2.89,2.89,30.28,9.63,0,57.78,9.63,12.54,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,32,0,96,0

14,03:15-03:30,0,32,83.34,83.33,27.67,0,14.59,130.33,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.11,7.74,28.9,5.52,7.68,0,86.89,272.37,2.89,2.89,30.28,9.63,0,57.78,9.63,12.54,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,0,0,0,0,0,0,0,0,0,32,0,96,0

15,03:30-03:45,0,32,80,80,27.67,0,14.59,130.33,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.11,7.74,28.9,5.52,7.68,0,86.89,272.37,2.89,2.89,30.28,9.63,0,57.78,9.63,12.54,0,9.63,1.93,43.78,27,48.16,10.43,72.25,8.41,0,0,0,0,0,0,0,0,0,32,0,96,0

16,03:45-04:00,0,31.83,80,80,27.67,0,14.59,130.33,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.11,7.74,28.9,5.52,7.68,0,86.89,272.37,2.89,2.89,30.28,9.63,0,57.78,9.63,12.54,0,9.63,1.93,43.78,27,48.16,10.43,72.25,8.41,0,0,0,0,0,0,0,0,0,31.83,0,95.51,0

17,04:00-04:15,0,32.5,80,80,27.67,0,14.59,98.44,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.11,7.74,28.9,5.52,7.07,0,63.17,272.37,2.89,2.89,30.28,9.63,0,33.04,9.63,12.35,0,9.63,1.93,43.78,27,48.16,10.43,72.25,8.41,0,0,0,0,0,0,0,0,0,32.5,0,97.5,0

18,04:15-04:30,0,32.33,80,80,27,0,14.59,98.44,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.11,7.74,28.9,5.52,7.07,0,63.17,272.37,2.89,2.89,30.28,9.63,0,57.78,9.63,12.35,0,9.63,1.93,43.78,27,48.16,10.43,72.25,8.41,0,0,0,0,0,0,0,0,0,32.33,0,97.01,0

19,04:30-04:45,0,31.5,80,80,26.67,0,14.59,98.44,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.11,7.74,28.9,5.52,7.07,0,63.17,272.37,2.89,2.89,30.28,9.63,0,33.04,9.63,12.35,0,9.63,1.93,43.78,27,48.16,10.43,72.25,7,0,0,0,0,0,0,0,0,0,31.5,0,94.5,0

20,04:45-05:00,0,30.67,80,80,26.33,0,14.59,98.44,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.11,7.74,28.9,5.52,7.07,0,63.17,272.37,2.89,2.89,30.28,9.63,0,33.04,9.63,12.35,0,9.63,1.93,43.78,27,48.16,10.43,72.25,7,0,0,0,0,0,0,0,0,0,30.67,0,91.99,0

21,05:00-05:15,0,30.33,80,80,26.33,0,14.59,98.44,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.02,7.74,28.9,5.52,7.07,0,63.17,272.37,2.89,2.89,30.28,9.63,0,33.04,9.63,12.17,0,9.63,1.93,43.78,32,48.16,10.43,72.25,7,0,0,0,0,0,0,0,0,0,30.33,0,91.01,0

22,05:15-05:30,0,30,80,80,26.33,0,14.59,98.44,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.02,7.74,28.9,5.52,7.07,0,63.17,272.37,2.89,2.89,30.28,9.63,0,33.04,9.63,12.17,0,9.63,1.93,43.78,32,48.16,10.43,72.25,7,0,0,0,0,0,0,0,0,0,30,0,90,0

23,05:30-05:45,0,29.83,80,80,26.33,0,14.59,98.44,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.02,7.74,28.9,5.52,7.07,0,63.17,272.37,2.89,2.89,30.28,9.63,0,33.04,9.63,11.43,0,9.63,1.93,43.78,32,48.16,10.43,72.25,7,0,0,0,0,0,0,0,0,0,29.83,0,89.51,0

24,05:45-06:00,0,29.83,80,80,26.67,0,14.59,98.44,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.02,7.74,28.9,5.52,7.07,0,63.17,272.37,2.89,2.89,29.78,9.63,0,33.04,9.63,11.43,0,9.63,1.93,43.78,32,48.16,10.43,72.25,6.6,0,0,0,0,0,0,0,0,0,29.83,0,89.51,0.24

25,06:00-06:15,0,33,80,80,28.33,0,14.59,98.44,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.02,7.74,28.9,5.52,6.76,0,63.17,272.37,2.89,2.89,30.28,9.63,0,33.04,9.63,11.25,0,9.63,1.93,43.78,32,48.16,10.43,72.25,6.4,1,1,0.16,0,0,0,0,0.03,0,33,0,99,1.89

26,06:15-06:30,4.8,33,80,80,28.33,5.2,14.59,98.44,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.02,7.74,28.9,5.52,6.76,0,63.17,272.37,2.89,2.89,30.28,9.63,0,33.04,9.63,11.25,0,9.63,1.93,43.78,32,48.16,10.43,72.25,6.4,2,5,3.31,1,0,0,0,0.66,2,33,0.28,99,5.26

27,06:30-06:45,16.8,33,80,80,28.67,16.5,14.59,98.44,72.25,0,46.77,19.27,27,4.05,0,100.36,2.89,4.02,7.74,28.9,5.52,6.76,0,63.17,272.37,2.89,2.89,29.78,9.63,0,33.04,9.63,11.25,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,3,7,8.8,2,1,0,1,1.76,5,33,3.64,99,10.07

28,06:45-07:00,33,33,80,80,28.67,26.8,14.59,98.44,72.25,1.01,46.77,19.27,27,4.05,1.01,100.36,2.89,4.02,7.74,28.9,5.52,6.76,1.01,63.17,272.37,2.89,2.89,29.27,9.63,0,33.04,9.63,11.25,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,4,9,15.91,3,4,1,3,3.18,8,33,6.62,99,16.44

29,07:00-07:15,33,33,80,80,27.33,33,14.59,80.28,72.25,1.84,46.92,19.27,27,4.05,1.84,100.36,2.89,3.83,7.74,28.9,5.52,6.76,1.84,50.97,231.19,2.89,2.89,28.76,9.63,0,33.04,9.63,10.88,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,7,13,25.25,7,14,6,5,5.05,13,33,10.28,99,24.22

30,07:15-07:30,33,30.5,80,80,25.67,33,14.59,80.28,72.25,2.88,46.92,19.27,27,4.05,2.88,100.36,2.89,3.83,7.74,28.9,5.52,6.76,2.88,50.97,231.19,2.89,2.89,28.76,9.63,0,33.04,9.63,10.88,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,9,19,37.98,12,28,12,7,7.59,16,30.5,14.93,91.5,32.79

31,07:30-07:45,33,26.33,79,79,23.33,33,14.59,65.17,72.25,3.99,46.92,19.27,27,4.05,3.99,71.46,2.89,3.83,7.74,28.9,5.52,6.76,3.99,40.46,192.66,2.89,2.89,28.76,9.63,0,33.04,9.63,10.88,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,15,30,52.58,19,42,18,12,10.52,22,26.33,21.29,79.01,41.75

32,07:45-08:00,33,25,75.67,75.67,20.67,33,14.59,65.17,72.25,5.18,46.92,19.27,27,4.05,5.18,52.98,2.89,3.83,7.74,28.9,5.52,6.76,5.18,40.46,149.8,2.89,2.89,29.27,9.63,0,33.04,9.63,10.88,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,18,37,69.42,27,56,24,16,13.88,30,25,27.59,75,50.69

33,08:00-08:15,33,24.17,76,76,19,33,14.59,65.17,72.25,6.52,46.92,19.27,27,4.05,6.52,52.98,2.89,3.74,7.74,28.9,5.52,6.45,6.52,40.46,149.8,2.89,2.89,29.78,9.63,0,35.12,9.63,10.69,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,22,43,88.64,36,84,36,22,17.73,33,24.17,34.6,72.49,59.74

34,08:15-08:30,33,24.17,76,76,17.67,33,14.59,65.17,72.25,7.94,46.92,19.27,27,4.05,7.94,52.98,2.89,3.74,7.74,28.9,5.52,6.45,7.94,40.46,149.8,2.89,2.89,29.27,9.63,0,35.12,9.63,10.69,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,25,50,107.18,42,98,42,27,21.43,33,24.17,42,72.49,68.79

35,08:30-08:45,33,27.17,75.67,75.67,22.67,33,14.59,65.17,72.25,9.23,46.92,19.27,27,4.05,9.23,52.98,2.89,3.74,7.74,28.9,5.52,6.45,9.23,40.46,149.8,2.89,2.89,29.27,9.63,0,35.12,9.63,10.69,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,29,59,125.28,49,112,48,30,25.06,33,27.17,49.42,81.49,77.5

36,08:45-09:00,33,26,75.33,75.33,21.33,33,14.59,65.17,72.25,10.43,46.92,19.27,27,4.05,10.43,52.98,2.89,3.74,7.74,28.9,5.52,6.45,10.43,40.46,149.8,2.89,2.89,29.27,9.63,0,35.12,9.63,10.69,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,33,65,142.09,56,126,54,33,28.42,33,26,56.14,78,85.84

37,09:00-09:15,33,25.5,71.66,71.67,21,33,14.59,65.17,72.25,11.6,46.92,19.27,27,4.05,11.6,52.98,2.89,3.74,7.74,28.9,5.52,6.45,11.6,40.46,149.8,2.89,2.89,28.26,9.63,0,35.12,9.63,10.41,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,35,71,159.53,62,140,60,35,31.9,33,25.5,62.57,76.5,93.74

38,09:15-09:30,33,25.17,71.66,71.67,21,33,14.59,65.17,72.25,12.6,46.92,19.27,27,4.05,12.6,52.98,2.89,3.74,7.74,28.9,5.52,6.45,12.6,40.46,149.8,2.89,2.89,28.26,9.63,0,35.12,9.63,10.41,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,38,77,173.89,67,151,64,37,34.78,33,25.17,68.81,75.49,100.98

39,09:30-09:45,33,25,71.66,71.67,21,33,14.59,65.17,72.25,13.58,46.92,19.27,27,4.05,13.58,52.98,2.89,3.74,7.74,28.9,5.52,6.69,13.58,40.46,149.8,2.89,2.89,28.26,9.63,0,35.12,9.63,10.41,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,41,81,187.73,73,161,69,40,37.54,33,25,74.51,75,107.71

40,09:45-10:00,33,25,71.66,71.67,21,33,14.59,65.17,72.25,14.46,46.92,19.27,27,4.05,14.46,52.98,2.89,3.74,7.74,28.9,5.52,6.69,14.46,40.46,149.8,2.89,2.89,28.26,9.63,0,35.12,9.63,10.41,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,43,87,201.92,80,172,73,41,40.38,33,25,79.7,75,113.94

41,10:00-10:15,33,25,71.66,71.67,21,33,14.59,65.17,72.25,15.31,46.92,19.27,27,4.05,15.31,52.98,2.89,3.74,7.74,28.9,5.52,6.61,15.31,40.46,149.8,2.89,2.89,28.26,9.63,0,35.12,9.63,10.14,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,45,90,214.15,86,182,78,43,42.83,33,25,87.88,75,119.17

42,10:15-10:30,33,25,72,72,21,33,14.59,65.17,72.25,16.03,46.92,19.27,27,4.05,16.03,52.98,2.89,3.74,7.74,28.9,5.52,6.61,16.03,40.46,192.66,2.89,2.89,28.26,9.63,0,35.12,9.63,10.14,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,46,92,229.94,89,193,82,45,45.99,33,25,92.11,75,129.17

43,10:30-10:45,33,25.83,72.66,72.67,21,33,14.59,65.17,72.25,16.65,46.92,19.27,27,4.05,16.65,52.98,2.89,3.74,7.74,28.9,5.52,6.61,16.65,40.46,231.19,2.89,2.89,28.26,9.63,0,35.12,9.63,10.14,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,48,96,235.69,93,203,87,45,47.14,33,25.83,95.98,77.51,133.06

44,10:45-11:00,33,26.67,74,74,22,33,14.59,65.17,72.25,17.15,46.92,19.27,27,4.05,17.15,52.98,2.89,3.74,7.74,28.9,5.52,6.61,17.15,40.46,272.37,2.89,2.89,28.76,9.63,0,35.12,9.63,10.14,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,49,98,241.67,95,207,88,46,48.33,33,26.67,99.31,79.99,135.51

45,11:00-11:15,33,27.5,75,75,22.67,33,14.59,65.17,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,3.74,7.74,28.9,5.52,6.53,17.08,40.46,272.37,2.89,2.89,28.76,9.63,0,35.12,9.63,9.96,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,50,100,241.67,98,210,90,48,48.33,33,27.5,100,82.5,137.46

46,11:15-11:30,33,28.33,76.66,76.67,24.67,33,14.59,65.17,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,3.74,7.74,28.9,5.52,6.53,17.08,40.46,272.37,2.89,2.89,28.76,9.63,0,35.12,9.63,9.96,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,50,100,241.67,98,210,90,48,48.33,33,28.33,100,85.01,138.97

47,11:30-11:45,33,29.17,80,80,26.67,33,14.59,65.17,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,3.74,7.74,28.9,5.52,6.53,17.08,40.46,272.37,2.89,2.89,28.76,9.63,0,35.12,9.63,9.96,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,50,100,241.67,98,210,90,48,48.33,33,29.17,100,87.49,139.69

48,11:45-12:00,33,30,83.34,83.33,29.33,33,14.59,65.17,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,3.74,7.74,28.9,5.52,6.53,17.08,40.46,272.37,2.89,2.89,28.76,9.63,0,35.12,9.63,9.96,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,50,100,241.67,98,210,90,49,48.33,33,30,100,90,152.93

49,12:00-12:15,33,31.67,83.34,83.33,31.67,33,14.59,65.17,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,3.92,7.74,28.9,5.52,6.53,17.08,40.46,272.37,2.89,2.89,29.27,9.63,0,35.12,9.63,9.77,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,50,100,241.67,98,210,90,49,48.33,33,31.67,100,94.99,151.08

50,12:15-12:30,33,33.33,83.34,83.33,34.67,33,14.59,65.17,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,3.92,7.74,28.9,5.52,6.53,17.08,40.46,272.37,2.89,2.89,29.27,9.63,0,35.12,9.63,9.77,0,9.63,1.93,43.78,27,48.16,10.43,72.25,6.4,50,100,241.67,98,210,90,49,48.33,33,33.33,100,100.01,151.57

51,12:30-12:45,33,33.33,83.34,83.33,33.33,33,14.59,65.17,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,3.92,7.74,28.9,5.52,6.53,17.08,40.46,272.37,2.89,2.89,29.78,9.63,0,35.12,9.63,9.77,0,9.63,1.93,43.78,27,48.16,10.43,72.25,7,50,100,241.67,98,210,90,49,48.33,33,33.33,100,100.01,150.6

52,12:45-13:00,33,33.33,83.34,83.33,33.33,33,14.59,65.17,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,3.92,7.74,28.9,5.52,6.53,17.08,40.46,272.37,2.89,2.89,30.28,9.63,0,35.12,9.63,9.77,0,9.63,1.93,43.78,27,48.16,10.43,72.25,7,50,100,241.67,98,210,90,49,48.33,33,33.33,100,100.01,149.52

53,13:00-13:15,33,33.33,83.34,83.33,33.33,33,14.59,65.17,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,4.11,7.74,28.9,5.52,6.92,17.08,40.46,231.19,2.89,2.89,30.78,9.63,0,35.12,9.63,9.5,0,9.63,1.93,43.78,27,48.16,10.43,72.25,7,50,100,241.67,97,210,90,49,48.33,33,33.33,100,100.01,148.45

54,13:15-13:30,33,33.33,83.34,83.33,33.33,33,14.59,65.17,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,4.11,7.74,28.9,5.52,6.92,17.08,40.46,192.66,2.89,2.89,30.78,9.63,0,35.12,9.63,9.5,0,9.63,1.93,43.78,27,48.16,10.43,72.25,7,50,100,241.67,97,210,90,49,48.33,33,33.33,100,100.01,143.78

55,13:30-13:45,33,36.67,83.34,83.33,33.33,33,14.59,65.17,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,4.11,7.74,28.9,5.52,6.92,17.08,40.46,231.19,2.89,2.89,30.78,9.63,0,35.12,9.63,9.5,0,9.63,1.93,43.78,27,48.16,10.43,72.25,7.4,45,90,241.67,91,210,90,46,48.33,33,36.67,100,109.99,143

56,13:45-14:00,33,36.67,83.34,83.33,33.33,33,14.59,65.17,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,4.11,7.74,28.9,5.52,6.92,17.08,40.46,231.19,2.89,2.89,30.78,9.63,0,35.12,9.63,9.5,0,9.63,1.93,43.78,27,48.16,10.43,72.25,7.4,45,90,241.67,91,210,90,45,48.33,33,36.67,100,109.99,140.08

57,14:00-14:15,33,36.67,83.34,83.33,38.33,33,14.59,63.58,72.25,17.08,46.92,19.27,27,4.05,17.08,52.98,2.89,4.3,7.74,28.9,5.52,7.29,17.08,40.46,272.37,2.89,2.89,30.28,9.63,0,35.12,9.63,9.32,0,9.63,1.93,43.78,27,48.16,10.43,72.25,10,45,90,241.67,91,207,88,45,48.33,33,36.67,100,109.99,134.72

58,14:15-14:30,33,36.67,83.34,83.33,38.33,33,14.59,63.58,72.25,16.6,46.92,19.27,27,4.05,16.6,52.98,2.89,4.3,7.74,28.9,5.52,7.29,16.6,40.46,272.37,2.89,2.89,30.28,9.63,0,35.12,9.63,9.32,0,9.63,1.93,43.78,27,48.16,10.43,72.25,9.8,45,90,237.5,90,203,87,44,47.5,33,36.67,99,109.99,130.63

59,14:30-14:45,33,36.67,83.34,83.33,38.33,33,14.59,63.58,72.25,16.05,46.92,19.27,27,4.05,16.05,52.98,2.89,4.3,7.74,28.9,5.52,7.29,16.05,40.46,272.37,2.89,2.89,30.28,9.63,0,35.12,9.63,9.32,0,9.63,1.93,43.78,27,48.16,10.43,72.25,19.81,45,90,233.33,87,196,84,43,46.67,33,36.67,93.63,109.99,125.66

60,14:45-15:00,33,36.67,83.34,83.33,38.33,33,14.59,63.58,72.25,15.44,46.92,19.27,27,4.05,15.44,52.98,2.89,4.3,7.74,28.9,5.52,7.29,15.44,40.46,272.37,2.89,2.89,30.78,9.63,0,35.12,9.63,9.32,0,9.63,1.93,43.78,27,48.16,10.43,72.25,19.61,43,85,229.17,85,189,81,41,45.83,33,36.67,90.56,109.99,115.63

