Column1,Block,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,NR/2025/33916/C,NR/2025/33923/C,NR/2025/33926/C,NR/2025/33925/C,NR/2025/33928/C,NR/2025/32610/A/98418,NR/2025/29992/A/98023,NR/2025/33921/C,NR/2025/33922/C,NR/2025/32397/A/97916,NR/2025/33656/A/98372,NR/2025/29440/A/97971,NR/2025/32004/A/98423,NR/2025/32455/A/98410,NR/2025/31421/A/98435,NR/2025/31045/A/98379,NR/2025/33670/A/98532,NR/2025/32375/A/98431,NR/2025/31043/A/98380,NR/2025/31048/A/98377,NR/2025/32556/A/98420,NR/2025/31049/A/98378,NR/2025/32262/A/97980,NR/2025/32559/A/98419,NR/2025/33891/C,NR/2025/33890/C,NR/2025/33469/A/98032,NR/2025/32535/A/98530,NR/2025/33931/C,NR/2025/32534/A/98529,NR/2025/32599/A/98636,NR/2025/32535/A/98531,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/3698,NR/2025/33633/A/98388,NR/2025/32534/A/98528,NR/2025/32532/A/98526,NR/2025/33632/A/98390,NR/2025/32532/A/98527,NR/2025/33637/A/98386,GNARE/NR/2024/12/20/3668,Total
3,00:30-00:45,41.03,20.51,82.05,33.79,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.87,106.18,48.26,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1412.2499999999995

4,00:45-01:00,41.03,20.51,82.05,33.79,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.87,106.18,48.26,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1412.2499999999995

5,01:00-01:15,41.03,20.51,82.05,33.79,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.63,106.18,48.26,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1412.0099999999995

6,01:15-01:30,41.03,20.51,82.05,33.79,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.63,106.18,48.26,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1412.0099999999995

7,01:30-01:45,41.03,20.51,82.05,33.79,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.63,106.18,48.26,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1412.0099999999995

8,01:45-02:00,41.03,20.51,82.05,33.79,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.63,106.18,48.26,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1412.0099999999995

9,02:00-02:15,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.63,106.18,0,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1412.0099999999995

10,02:15-02:30,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.63,106.18,0,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1412.0099999999995

11,02:30-02:45,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.63,106.18,0,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1412.0099999999995

12,02:45-03:00,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.63,106.18,0,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1412.0099999999995

13,03:00-03:15,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.53,76.86,0,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1382.5899999999997

14,03:15-03:30,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.53,76.86,0,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1382.5899999999997

15,03:30-03:45,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.53,76.86,0,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1382.5899999999997

16,03:45-04:00,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.53,76.86,0,48.26,0,82.05,48.26,96.53,96.53,26.32,0,54.3,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1382.5899999999997

17,04:00-04:15,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.53,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1135.2299999999998

18,04:15-04:30,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.53,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1135.2299999999998

19,04:30-04:45,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.53,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1135.2299999999998

20,04:45-05:00,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.53,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1135.2299999999998

21,05:00-05:15,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.53,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1135.2299999999998

22,05:15-05:30,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.53,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1135.2299999999998

23,05:30-05:45,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.53,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,11.58,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1134.2599999999998

24,05:45-06:00,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,8.69,164.1,0.53,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,11.58,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0.18,1134.4399999999998

25,06:00-06:15,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,0,164.1,0.82,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,11.58,0,0,0,2,0,0,14.62,0,0,0,0,0,0,0.96,1128.8199999999997

26,06:15-06:30,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,0,164.1,0.82,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,11.58,0.01,0,0,5,0,0,14.62,0,0.01,0.02,0,0,0,1.73,1132.6299999999997

27,06:30-06:45,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,0,164.1,0.82,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,11.58,0.02,0.84,0,9,0,0,14.62,0,0.04,0.08,0,0,0,4.12,1139.9599999999994

28,06:45-07:00,41.03,20.51,82.05,82.05,29.03,0,17.65,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,0,164.1,0.82,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,11.58,0.04,1.38,0,16,0,0,14.62,0,0.08,0.14,0,0,0,6.18,1149.6799999999998

29,07:00-07:15,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,0,164.1,0.87,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,11.58,0.13,1.98,0,21,0,0,14.62,0,0.13,0.24,0,0,0,10.01,1159.58

30,07:15-07:30,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,0,164.1,0.87,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,11.58,0.18,2.98,0,28,0,0,14.62,0,0.18,0.37,0,0,0,14.37,1172.1699999999996

31,07:30-07:45,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,0,164.1,0.87,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,11.58,0.19,3.87,0,42,0,0,14.62,0,0.19,0.39,0,0,0,19.02,1191.7499999999998

32,07:45-08:00,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,0,164.1,0.87,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,11.58,0.19,5.27,0,53,0,0,14.62,0,0.29,0.48,0,0,0,23.85,1209.1699999999996

33,08:00-08:15,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,0,164.1,0.97,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,11.58,0.19,6.21,0.08,63,0.07,0,14.62,0,0.29,0.48,1.16,0.1,1.64,29.89,1229.2999999999997

34,08:15-08:30,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,0,164.1,0.97,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,11.58,0.19,8.56,0.19,77,0.16,0,14.62,0,0.29,0.48,1.16,0.24,1.64,35.95,1252.05

35,08:30-08:45,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,0,164.1,0.97,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,13.51,0.19,5.9,0.29,88,0.25,0,14.62,0,0.29,0.48,1.16,0.38,1.64,41.94,1268.64

36,08:45-09:00,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,26.32,44.4,193.06,0,0,164.1,0.97,76.86,0,48.26,0,82.05,48.26,0,0,26.32,0,0,26.32,0,0,13.51,0.19,5.9,0.4,98,0.4,0,14.62,0,0.29,0.48,1.16,0.57,1.64,47.89,1285.0400000000002

37,09:00-09:15,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,5.9,0.52,109,0.45,0,14.62,0,0.29,0.48,1.16,0.66,1.64,53.91,1348.4

38,09:15-09:30,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,6.88,0.54,119,0.47,0,14.62,0,0.29,0.48,1.16,0.69,1.64,59.74,1365.28

39,09:30-09:45,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,6.88,0.58,130,0.48,0,14.62,0,0.29,0.48,1.16,0.77,1.64,65.36,1382.0299999999997

40,09:45-10:00,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,7.86,0.58,140,0.48,0,14.62,0,0.29,0.48,1.16,0.77,1.64,70.88,1398.5299999999997

41,10:00-10:15,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,7.86,0.43,140,0.36,0,14.62,1.45,0.29,0.48,1.16,0.58,1.64,74.98,1403.6199999999997

42,10:15-10:30,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,7.86,0.45,151,0.38,0,14.62,1.45,0.29,0.48,1.16,0.68,1.64,78.95,1418.73

43,10:30-10:45,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,11.57,0.13,161,0.39,0,14.62,1.45,0.29,0.48,1.16,0.19,1.64,90.68,1443.3700000000001

44,10:45-11:00,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,12.86,0.13,168,0.39,0,14.62,1.45,0.29,0.48,1.16,0.19,1.64,94.4,1455.38

45,11:00-11:15,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,14.13,0.13,168,0.39,0,14.62,1.45,0.29,0.48,1.16,0.19,1.64,96.85,1459.1000000000001

46,11:15-11:30,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,15.58,0.13,175,0.39,0,14.62,1.45,0.29,0.48,1.16,0.19,1.64,96.85,1467.55

47,11:30-11:45,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,16.96,0.13,154,0.39,0,14.62,1.45,0.29,0.48,1.16,0.19,1.64,96.85,1447.93

48,11:45-12:00,41.03,20.51,82.05,82.05,29.03,0,17.83,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,18.24,0.13,154,0.39,0,14.62,1.45,0.29,0.48,1.16,0.19,1.64,96.85,1449.21

49,12:00-12:15,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,19.43,0.13,119,0.39,0,14.62,1.45,0.29,0.48,1.16,0.19,1.64,96.85,1416.7900000000002

50,12:15-12:30,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,19.73,0.13,119,0.39,0,14.62,1.45,0.29,0.48,1.16,0.19,1.64,96.85,1417.0900000000001

51,12:30-12:45,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,19.99,0.13,91,0.39,0,14.62,1.45,0.29,0.48,1.16,0.19,1.64,95,1387.5000000000002

52,12:45-13:00,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,20.27,0.13,98,0.39,0,14.62,1.45,0.29,0.48,1.16,0.19,1.64,94.33,1394.1100000000001

53,13:00-13:15,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,8.84,0.13,70,0.39,0,14.62,1.45,0.29,0.48,1.16,0.19,1.64,89.8,1350.15

54,13:15-13:30,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,8.84,0.13,70,0.39,0,14.62,1.45,0.29,0.48,1.16,0.19,1.64,89.47,1349.8200000000002

55,13:30-13:45,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,8.84,0.28,63,0.28,0,14.62,1.45,0.29,0.48,1.16,0.42,1.64,93.33,1346.9499999999998

