Time,Block,NR/2024/20048/A/22966,NR/2024/20041/A/22967,NR/2024/19699/A/22988,NR/2024/19988/A/22849,NR/2024/20553/A/22588,NR/2024/20557/A/22982,NR/2024/19966/A/22872,NR/2024/20870/C,NR/2024/20141/A/22650,NR/2024/20515/A/22654,NR/2024/20599/A/22845,NR/2024/20109/A/22970,NR/2024/20090/A/22592,NR/2024/19757/A/22986,NR/2024/20901/C,NR/2024/20777/A/22862,NR/2024/19779/A/22582,NR/2024/20540/A/22432,NR/2024/19791/A/22976,NR/2024/20558/A/22981,NR/2024/19432/A/22990,NR/2024/20130/A/22667,NR/2024/19978/A/22975,NR/2024/19640/A/23072,NR/2024/19683/A/22610,NR/2024/20524/A/22930,NR/2024/20597/A/22960,NR/2024/19588/A/22866,NR/2024/19918/A/22974,NR/2024/19355/A/22971,NR/2024/20914/C,NR/2024/20554/A/22528,NR/2024/19919/A/22973,NR/2024/20905/C,NR/2024/20144/A/22648,NR/2024/20513/A/22655,NR/2024/20895/C,NR/2024/19637/A/22694,NR/2024/20516/A/22653,NR/2024/19475/A/22911,NR/2024/19642/A/23070,NR/2024/20050/A/22965,NR/2024/20598/A/22841,NR/2024/20037/A/22847,NR/2024/20537/A/22969,NR/2024/20212/A/22652,NR/2024/19760/A/22851,NR/2024/20572/A/22979,NR/2024/20211/A/22651,NR/2024/20142/A/22649,NR/2024/20552/A/22589,NR/2024/20560/A/22980,NR/2024/20869/C,Total

3,00:30-00:45,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,96.600000,0.000000,0.630000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,2100.54

4,00:45-01:00,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,96.600000,0.000000,0.630000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,2088.95

5,01:00-01:15,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,96.600000,0.000000,0.580000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,0.000000,1.590000,0.520000,28.980000,32.930000,0,2055.97

6,01:15-01:30,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,96.600000,0.000000,0.580000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,0.000000,1.590000,0.520000,28.980000,32.930000,0,2055.97

7,01:30-01:45,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,96.600000,0.000000,0.580000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,0.000000,1.590000,0.520000,28.980000,32.930000,0,2055.97

8,01:45-02:00,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,96.600000,0.000000,0.580000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,0.000000,1.590000,0.520000,28.980000,32.930000,0,2055.97

9,02:00-02:15,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,96.600000,0.000000,0.530000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1992.25

10,02:15-02:30,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,96.600000,0.000000,0.530000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1992.25

11,02:30-02:45,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,96.600000,0.000000,0.530000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1992.25

12,02:45-03:00,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,96.600000,0.000000,0.530000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1992.25

13,03:00-03:15,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.480000,5.800000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1991.24

14,03:15-03:30,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.480000,5.800000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1991.24

15,03:30-03:45,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.480000,5.800000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1991.24

16,03:45-04:00,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.480000,5.800000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1991.24

17,04:00-04:15,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.480000,5.800000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1991.24

18,04:15-04:30,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.480000,5.800000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1991.24

19,04:30-04:45,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.480000,5.800000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1991.24

20,04:45-05:00,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,38.490000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.480000,5.800000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,309.120000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,2029.73

21,05:00-05:15,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.530000,5.800000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1924.4

22,05:15-05:30,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.530000,5.800000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1924.4

23,05:30-05:45,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.530000,5.800000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1924.4

24,05:45-06:00,48.300000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.530000,5.800000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,44.440000,0.000000,0.980000,193.200000,11.740000,144.900000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1924.4

25,06:00-06:15,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,8.840000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.530000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1512.3

26,06:15-06:30,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,165.400000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.530000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1668.86

27,06:30-06:45,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.530000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1672.27

28,06:45-07:00,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.530000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1672.27

29,07:00-07:15,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.680000,2.900000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1670.49

30,07:15-07:30,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.680000,2.900000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1670.49

31,07:30-07:45,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.680000,2.900000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1670.49

32,07:45:08:00,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,48.670000,96.600000,0.000000,0.680000,2.900000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1670.49

33,08:00-08:15,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,243.200000,0.000000,0.000000,0.970000,3.860000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1769.67

34,08:15-08:30,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,243.200000,0.000000,0.000000,0.970000,3.860000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,73.420000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1769.67

35,08:30-08:45,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,243.200000,0.000000,0.000000,0.970000,3.860000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1817.96

36,08:45:09:00,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,243.200000,0.000000,0.000000,0.970000,3.860000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1817.96

37,09:00:09:15,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,243.200000,0.000000,0.000000,0.970000,3.860000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1977.35

38,09:15-09:30,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,243.200000,0.000000,0.000000,0.970000,3.860000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1977.35

