Column1,Block,NR/2024/24352/C,NR/2024/24351/C,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/2197,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/31122025/SH-07,GNA/NR/2024/12/20/4544,GNA/NR/2024/12/01/7739,GNA/SR/2024/12/01/6968,NR/2024/24052/A/45908,NR/2024/24051/A/45909,NER/2024/2770/A/46130,NR/2024/24146/A/45896,NR/2024/24097/A/45902,NR/2024/24088/A/45904,NR/2024/23952/A/45893,NR/2024/24060/A/46159,NR/2024/24353/C,NR/2024/24354/C,WR/2024/25054/A/46134,NR/2024/24225/A/46115,NR/2024/24071/A/45907,NR/2024/24224/A/46113,NR/2024/24227/A/46118,Total
28,06:45-07:00,0,0,0,31.74,0,8.66,31.74,8.66,31.74,1.74,0,0,32,0,0,150,2.89,2.89,38.47,5.77,14.43,4.81,0.43,17.31,0,0,0,0.29,0,0.29,0.19,384.05

29,07:00-07:15,0,0,0,31.74,32,8.66,31.74,8.66,31.74,1.84,0,0,32,22.12,0,150,2.89,2.89,38.47,5.77,14.43,4.81,0.53,28.85,0,0,0,0.29,0,0.29,0.19,449.91

30,07:15-07:30,0,0,0,31.74,32,8.66,31.74,8.66,31.74,1.84,0,0,32,11.54,0,150,2.89,2.89,38.47,5.77,14.43,4.81,0.53,28.85,0,0,0,0.38,0,0.38,0.19,439.50999999999993

31,07:30-07:45,0,0,0,34.62,32,8.66,34.62,8.66,34.62,1.84,0,0,32,11.54,0,150,2.89,2.89,38.47,5.77,14.43,4.81,0.53,28.85,0,0,0,0.38,0,0.48,0.29,448.34999999999997

32,07:45-08:00,0,0,0,34.62,32,8.66,34.62,8.66,34.62,1.84,0,0,32,9.62,0,150,2.89,2.89,38.47,5.77,14.43,4.81,0.53,28.85,0,0,0,0.38,0,0.58,0.29,446.53

33,08:00-08:15,0,0,0,36.55,32,11.54,36.55,11.54,36.55,1.74,0,0,32,14.43,0,150,2.89,2.89,38.47,5.77,14.43,4.81,0.82,28.85,0,0,0,0.48,0,0.58,0.29,463.18

34,08:15-08:30,0,0,0,36.55,32,11.54,36.55,11.54,36.55,1.74,0,0,32,18.27,0,150,2.89,2.89,38.47,5.77,14.43,4.81,0.82,28.85,0,0,0,0.48,0,0.67,0.38,467.20000000000005

35,08:30-08:45,0,0,0,36.55,32,14.43,36.55,14.43,36.55,1.74,0,0,0,24.04,0,150,2.89,0,38.47,5.77,7.69,4.81,0.82,28.85,0,0,0,0.48,0,0.67,0.38,437.12

36,08:45-09:00,0,0,0,36.55,32,14.43,36.55,14.43,36.55,1.74,0,0,0,27.89,0,150,2.89,0,38.47,5.77,7.69,4.81,0.82,28.85,0,0,0,0.48,0,0.77,0.38,441.07

37,09:00-09:15,24.14,0,0,28.85,32,14.43,28.85,14.43,28.85,1.74,0,0,32,0,0,150,2.89,0,0,5.77,7.69,4.81,0.82,28.85,16.35,0,0,0.48,3.85,0.77,0.38,427.95000000000005

38,09:15-09:30,28.95,0,0,28.85,32,14.43,28.85,14.43,28.85,1.74,0,0,32,0,0,150,2.89,0,0,5.77,7.69,4.81,0.82,28.85,16.35,0,0,0.58,3.85,0.87,0.38,432.96000000000004

39,09:30-09:45,33.18,0,0,28.85,0,14.43,28.85,14.43,28.85,1.74,0,0,0,0,0,150,2.89,0,0,5.77,7.69,4.81,0.82,28.85,16.35,0,0,0.67,3.85,0.87,0.38,373.2800000000001

40,09:45-10:00,36.55,0,0,28.85,0,14.43,28.85,14.43,28.85,1.74,0,0,0,0,0,150,2.89,0,0,5.77,7.69,4.81,0.82,28.85,16.35,0,0,0.67,3.85,0.87,0.38,376.6500000000001

41,10:00-10:15,26.16,10.39,0,28.85,0,14.43,28.85,14.43,28.85,1.74,0,0,0,0,0,150,2.89,0,0,5.77,7.69,4.81,0.82,28.85,16.35,0,0,0.58,4.81,0.87,0.38,377.52000000000004

42,10:15-10:30,29.43,7.12,0,28.85,0,14.43,28.85,14.43,28.85,1.74,0,0,0,0,0,150,2.89,0,0,5.77,7.69,4.81,0.82,28.85,16.35,0,0,0.58,4.81,0.87,0.38,377.52000000000004

43,10:30-10:45,32.22,4.33,0,28.85,0,14.43,28.85,14.43,28.85,1.74,0,0,0,0,0,150,2.89,0,0,5.77,7.69,4.81,0.82,28.85,16.35,0,0,0.58,4.81,0.87,0.38,377.52000000000004

44,10:45-11:00,34.62,1.92,0,28.85,0,14.43,28.85,14.43,28.85,1.74,0,0,0,0,0,150,2.89,0,0,5.77,7.69,4.81,0.82,28.85,16.35,0,0,0.58,4.81,0.87,0.38,377.51

45,11:00-11:15,36.55,0,0,28.85,0,14.43,28.85,14.43,28.85,1.84,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.82,28.85,16.35,0,0,0.58,6.73,0.87,0.38,375.69000000000005

46,11:15-11:30,36.55,0,0,28.85,0,14.43,28.85,14.43,28.85,1.84,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.82,28.85,16.35,0,0,0.67,6.73,0.87,0.38,375.7800000000001

47,11:30-11:45,32.8,0,0,28.85,0,14.43,28.85,14.43,28.85,1.84,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.82,28.85,16.35,0,0,0.67,6.73,0.96,0.38,372.12000000000006

48,11:45-12:00,32.99,0,0,28.85,0,14.43,28.85,14.43,28.85,1.84,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.82,28.85,16.35,0,0,0.67,6.73,0.96,0.48,372.4100000000001

49,12:00-12:15,32.7,0,0,28.85,0,14.43,28.85,14.43,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.82,28.85,16.35,0,0,0.67,6.73,0.96,0.48,372.0200000000001

50,12:15-12:30,32.99,0,0,28.85,0,14.43,28.85,14.43,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.82,28.85,16.35,0,0,0.67,6.73,0.96,0.38,372.21000000000004

51,12:30-12:45,32.7,0,0,28.85,0,14.43,28.85,14.43,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.82,28.85,16.35,0,0,0.67,6.73,0.96,0.38,371.9200000000001

52,12:45-13:00,32.99,0,0,28.85,0,14.43,28.85,14.43,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.82,28.85,16.35,0,0,0.67,6.73,0.96,0.38,372.21000000000004

53,13:00-13:15,23.18,0,0,28.85,0,8.66,28.85,8.66,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.77,28.85,16.35,0,0,0.67,5.77,0.96,0.38,349.84999999999997

54,13:15-13:30,23.47,0,0,28.85,0,8.66,28.85,8.66,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.77,28.85,16.35,0,0,0.67,5.77,0.96,0.38,350.14000000000004

55,13:30-13:45,23.56,0,0,28.85,0,8.66,28.85,8.66,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.77,28.85,16.35,0,0,0.67,5.77,0.96,0.38,350.22999999999996

56,13:45-14:00,24.62,0,0,28.85,0,8.66,28.85,8.66,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.77,28.85,16.35,0,0,0.67,5.77,0.96,0.38,351.29

57,14:00-14:15,23.37,2.21,0,28.85,0,8.66,28.85,8.66,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.77,28.85,16.35,0,0,0.67,4.81,0.96,0.38,351.29

58,14:15-14:30,22.41,4.81,0,28.85,0,8.66,28.85,8.66,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.77,28.85,16.35,0,0,0.67,4.81,0.96,0.38,352.93000000000006

59,14:30-14:45,20.68,7.31,0,28.85,0,8.66,28.85,8.66,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.77,28.85,16.35,0,0,0.67,4.81,0.87,0.38,353.61000000000007

60,14:45-15:00,18.56,10.29,0,28.85,0,8.66,28.85,8.66,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.77,28.85,16.35,0,0,0.67,4.81,0.87,0.38,354.4700000000001

61,15:00-15:15,16.16,13.66,0,28.85,0,8.66,28.85,8.66,28.85,1.84,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.63,28.85,16.35,0,0,0.67,4.81,0.96,0.38,355.49

62,15:15-15:30,13.56,17.41,0,28.85,0,8.66,28.85,8.66,28.85,1.84,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.63,28.85,16.35,0,0,0.67,4.81,1.06,0.38,356.74000000000007

63,15:30-15:45,21.54,7.02,0,28.85,0,8.66,28.85,8.66,28.85,1.84,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.63,28.85,16.35,0,0,0.67,4.81,1.06,0.38,354.33000000000004

64,15:45-16:00,18.76,11.25,0,28.85,0,8.66,28.85,8.66,28.85,1.84,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.63,28.85,16.35,0,0,0.67,4.81,0.96,0.38,355.68000000000006

65,16:00-16:15,15.58,0,0,28.85,0,8.66,28.85,8.66,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.48,28.85,16.35,0,0,0.67,2.89,0.96,0.38,339.08000000000004

66,16:15-16:30,12.41,0,0,28.85,0,8.66,28.85,8.66,28.85,1.74,0,0,0,0,0,150,3.85,0,0,5.77,7.69,0,0.48,28.85,16.35,0,0,0.67,2.89,0.96,0.48,336.01000000000005

67,16:30-16:45,9.71,0,0,34.62,0,8.66,34.62,8.66,34.62,1.74,0,0,31,0,0,150,3.85,0,0,5.77,7.69,0,0.48,28.85,16.35,0,0,0.67,2.89,0.96,0.38,381.52000000000004

68,16:45-17:00,6.83,0,0,34.62,0,8.66,34.62,8.66,34.62,1.74,0,0,31,173.12,0,150,3.85,0,0,5.77,7.69,0,0.48,28.85,16.35,0,0,0.67,2.89,0.96,0.38,551.76

69,17:00-17:15,0,0,0,38.47,0,14.43,38.47,14.43,38.47,1.74,0,0,31,156.77,0,150,3.85,0,0,5.77,7.69,3.85,0.48,28.85,0,0,0,0.67,0.96,0.87,0.38,537.1500000000001

70,17:15-17:30,0,0,0,38.47,0,14.43,38.47,14.43,38.47,1.74,0,0,31,156.77,0,150,3.85,0,0,5.77,7.69,3.85,0.48,28.85,0,0,0,0.58,0.96,0.87,0.38,537.0600000000002

71,17:30-17:45,0,0,0,38.47,0,14.43,38.47,14.43,38.47,1.74,0,0,31,155.81,0,150,3.85,0,0,5.77,7.69,3.85,0.48,28.85,0,0,0,0.58,0.96,0.96,0.38,536.1900000000002

72,17:45-18:00,0,0,0,38.47,0,14.43,38.47,14.43,38.47,1.74,0,0,31,170.24,0,150,3.85,0,0,5.77,7.69,3.85,0.48,28.85,0,0,0,0.58,0.96,0.96,0.38,550.6200000000002

73,18:00-18:15,0,0,0,38.47,0,14.43,38.47,14.43,38.47,1.74,50,150,31.5,167.35,0,150,3.85,0,38.47,5.77,7.69,3.85,0.53,28.85,0,96.18,38.47,0.58,0,0.87,0.38,920.3500000000003

74,18:15-18:30,0,0,0,37.51,0,14.43,37.51,14.43,37.51,1.74,50,150,31.5,169.28,0,150,3.85,0,38.47,5.77,7.69,3.85,0.53,28.85,0,96.18,38.47,0.58,0,0.87,0.38,919.4000000000002

75,18:30-18:45,0,0,0,37.51,0,14.43,37.51,14.43,37.51,1.74,50,150,31.5,170.24,0,150,3.85,0,38.47,5.77,7.69,3.85,0.53,28.85,0,96.18,38.47,0.58,0,0.87,0.38,920.3600000000002

76,18:45-19:00,0,0,0,37.51,0,14.43,37.51,14.43,37.51,1.74,50,150,31.5,176.01,0,150,3.85,0,38.47,5.77,7.69,3.85,0.53,28.85,0,96.18,38.47,0.58,0,0.87,0.38,926.1300000000002

77,19:00-19:15,0,0,0,37.51,0,8.66,37.51,8.66,37.51,1.84,50,150,31.5,176.97,0,150,3.85,0,38.47,5.77,7.69,3.85,0.53,28.85,0,96.18,38.47,0,0,0,0,913.8200000000002

78,19:15-19:30,0,0,0,37.51,0,8.66,37.51,8.66,37.51,1.84,50,150,31.5,179.86,0,150,3.85,0,38.47,5.77,7.69,3.85,0.53,28.85,0,96.18,38.47,0,0,0,0,916.71

79,19:30-19:45,0,0,0,37.51,0,8.66,37.51,8.66,37.51,1.84,50,150,31.5,0,0,150,3.85,0,38.47,5.77,7.69,3.85,0.53,28.85,0,96.18,38.47,0,0,0,0,736.8500000000001

80,19:45-20:00,0,0,0,37.51,0,8.66,37.51,8.66,37.51,1.84,50,150,0,0,0,150,3.85,0,38.47,5.77,7.69,3.85,0.53,28.85,0,96.18,38.47,0,0,0,0,705.3500000000001

81,20:00-20:15,0,0,0,34.62,0,8.66,34.62,8.66,34.62,1.74,50,250,0,0,0,150,3.85,0,38.47,5.77,7.69,3.85,0.53,28.85,0,0,38.47,0,0,0,0,700.4000000000002

82,20:15-20:30,0,0,0,34.62,0,8.66,34.62,8.66,34.62,1.74,50,250,0,0,0,150,3.85,0,38.47,5.77,7.69,3.85,0.53,28.85,0,0,38.47,0,0,0,0,700.4000000000002

83,20:30-20:45,0,0,0,34.62,0,8.66,34.62,8.66,34.62,1.74,50,250,0,0,0,150,3.85,0,38.47,5.77,7.69,3.85,0.53,28.85,0,0,38.47,0,0,0,0,700.4000000000002

84,20:45-21:00,0,0,0,34.62,0,8.66,34.62,8.66,34.62,1.74,50,250,0,0,0,150,3.85,0,38.47,5.77,7.69,3.85,0.53,28.85,0,0,38.47,0,0,0,0,700.4000000000002

85,21:00-21:15,0,0,0,31.74,0,8.66,31.74,8.66,31.74,1.74,50,250,0,0,0,150,3.85,0,0,5.77,7.69,3.85,0.53,28.85,0,0,38.47,0,0,0,0,653.2900000000001

86,21:15-21:30,0,0,0,31.74,0,8.66,31.74,8.66,31.74,1.74,50,250,0,0,0,150,3.85,0,0,5.77,7.69,3.85,0.53,28.85,0,0,38.47,0,0,0,0,653.2900000000001

87,21:30-21:45,0,0,0,31.74,0,8.66,31.74,8.66,31.74,1.74,50,250,0,0,0,150,3.85,0,0,5.77,7.69,3.85,0.53,28.85,0,0,38.47,0,0,0,0,653.2900000000001

88,21:45-22:00,0,0,0,31.74,0,8.66,31.74,8.66,31.74,1.74,50,250,0,0,0,150,3.85,0,0,5.77,7.69,3.85,0.53,28.85,0,0,38.47,0,0,0,0,653.2900000000001

89,22:00-22:15,0,0,95.13,25.97,32,8.66,25.97,8.66,25.97,1.74,50,250,32,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.48,28.85,0,0,38.47,0,0,0,0,822.9200000000002

90,22:15-22:30,0,0,95.13,25.97,32,8.66,25.97,8.66,25.97,1.74,50,250,32,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.48,28.85,0,0,38.47,0,0,0,0,822.9200000000002

91,22:30-22:45,0,0,95.13,25.97,32,8.66,25.97,8.66,25.97,1.74,50,250,32,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.48,28.85,0,0,38.47,0,0,0,0,822.9200000000002

92,22:45-23:00,0,0,95.13,25.97,32,8.66,25.97,8.66,25.97,1.74,50,250,32,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.48,28.85,0,0,38.47,0,0,0,0,822.9200000000002

93,23:00-23:15,0,0,95.13,25.97,32,8.66,25.97,8.66,25.97,1.74,50,250,32,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.43,28.85,0,0,38.47,0,0,0,0,822.8700000000001

94,23:15-23:30,0,0,95.13,25.97,32,8.66,25.97,8.66,25.97,1.74,50,250,32,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.43,28.85,0,0,38.47,0,0,0,0,822.8700000000001

95,23:30-23:45,0,0,95.13,25.97,32,8.66,25.97,8.66,25.97,1.74,50,250,32,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.43,28.85,0,0,38.47,0,0,0,0,822.8700000000001

96,23:45-24:00,0,0,95.13,25.97,32,8.66,25.97,8.66,25.97,1.74,50,250,32,0,31.71,150,2.89,0,0,5.77,7.69,0.96,0.43,28.85,0,0,38.47,0,0,0,0,822.8700000000001

