Block,Time Block,KGSU3AND4,KGSU1AND2,KHSTPP-I,JHAJJAR,DHAULIGNGA,DADRT2,FSTPP I & II,DULHASTI,CHAMERA1,CHAMERA3,CHAMERA2,BRBCL,BSIUL,TALA,NTPL,NLCIIST1,NLCIIST2,NLCTS2EXP,NAPP,NJPC,NLCEXP,NNTPP,MAPS,RAPPB,KUDGI,KOTESHWR,KKNPPU2,KOLDAM,KKNP,RSTPSU1TO6,SIMHST1,RAPPD,RSTPSU7,RIHAND3,SALAL,SEWA2,RAPPC,RIHAND2,RIHAND1,SASAN,KISHANGANGA,TALST2,KHSTPP-II,RAMPUR,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,ANTA_RF,AURY_LF,ANTA_GF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_CRF,AURY_CRF,AURY_RF,DADRI_LF,PARBATI3,PARBATI2,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
10,02:15-02:30,0,0,43.81,385.88,10.54,551.56,17.51,57.26,40.56,33.71,46.97,10.77,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,76.39,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,34.01,25.64,0.74,0,42.12,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,12.3,0,138.26,0.96,0,0,0,0,0

11,02:30-02:45,0,0,43.81,385.88,10.54,503.45,17.51,57.26,40.56,33.71,46.97,11.92,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,76.39,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,34.01,25.64,0,0,42.12,47.81,0,0,0,0,0,0,0,0,0,0,0,0,16.24,12.3,0,138.26,0.96,0,0,0,0,0

12,02:45-03:00,0,0,43.81,385.88,10.54,487.09,17.51,57.26,40.56,33.71,46.97,10.99,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,76.39,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,34.01,25.64,0,0,42.12,47.81,0,0,0,0,0,0,0,0,0,0,0,0,16.24,12.3,0,138.26,0.96,0,0,0,0,0

13,03:00-03:15,0,0,43.81,385.88,21.06,457.26,17.51,57.26,40.56,33.71,46.97,11.31,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,76.39,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,34.01,25.64,6.03,0,42.12,47.81,0,0,0,0,0,0,0,0,0,0,0,0,16.24,12.3,0,138.26,0.96,0,0,0,0,0

14,03:15-03:30,0,0,43.81,385.88,21.06,438.97,17.51,57.26,40.56,33.71,46.97,10.81,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,76.39,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,34.01,25.64,6.03,0,42.12,47.81,0,0,0,0,0,0,0,0,0,0,0,0,16.24,12.3,0,138.26,0.96,0,0,0,0,0

15,03:30-03:45,0,0,43.81,301.32,21.06,416.84,17.51,57.26,40.56,33.71,46.97,12.22,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,76.39,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,34.01,25.64,6.03,0,42.12,47.81,0,0,0,0,0,0,0,0,0,0,0,0,16.24,12.3,0,138.26,0.96,0,0,0,0,0

16,03:45-04:00,0,0,43.81,212.78,21.06,397.59,17.51,57.26,40.56,33.71,46.97,15.55,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,76.39,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,0,20.21,0,1.83,1.87,34.01,25.64,6.03,0,42.12,47.81,0,0,0,0,0,0,0,0,0,0,0,0,16.24,12.3,0,138.26,0.96,0,0,0,0,0

17,04:00-04:15,0,0,43.81,127.14,21.06,392.97,17.51,57.26,40.56,33.71,46.97,16.21,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,76.39,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,11.66,20.21,0,1.83,1.87,34.01,25.64,4.19,0,42.12,47.81,0,0,0,0,0,0,0,0,0,0,0,0,16.24,12.3,0,138.26,0.96,0,0,0,0,0

18,04:15-04:30,0,0,43.81,149.75,21.06,401.8,17.51,57.26,40.56,33.71,46.97,16.43,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,76.39,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,11.66,20.21,0,1.83,1.87,34.01,25.64,4.19,0,42.12,47.81,0,0,0,0,0,0,0,0,0,0,0,0,16.24,12.3,0,138.26,0.96,0,0,0,0,0

19,04:30-04:45,0,0,43.81,280.63,21.06,401.8,17.51,57.26,40.56,33.71,46.97,19.25,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,53.67,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,23.32,16.2,0,0.67,1.87,34.01,20.72,4.19,0,33.46,15.94,0,0,0,0,0,0,0,0,0,0,0,0,16.24,15.19,0,138.26,0.96,0,0,0,0,0

20,04:45-05:00,0,0,43.81,280.63,21.06,401.8,17.51,57.26,40.56,22.45,46.97,19.25,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,51.43,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,23.32,16.2,0,0.67,1.87,34.01,20.72,4.19,0,33.46,5.31,0,0,0,0,0,0,0,0,0,0,0,0,16.24,15.19,0,138.26,0.96,0,0,0,0,0

21,05:00-05:15,0,0,43.81,172.37,21.06,397.59,17.51,57.26,40.56,22.45,46.97,19.25,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,51.43,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,24.1,16.35,0,0.67,1.87,34.01,20.98,4.19,0,33.47,5.31,0,0,0,0,0,0,0,0,0,0,0,0,16.24,15.19,0,138.26,0.96,0,0,0,0,0

22,05:15-05:30,0,0,43.81,126.22,21.06,397.59,17.51,57.26,40.56,22.45,46.97,19.25,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,1.86,0,0,0,28.87,0,125.86,51.43,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,24.24,16.35,0,0.67,1.87,34.01,20.98,4.19,0,33.47,15.94,0,0,0,0,0,0,0,0,0,0,0,0,16.24,15.19,0,138.26,0.96,0,0,0,0,0

23,05:30-05:45,0,0,43.81,176.45,21.06,397.59,17.51,57.26,40.56,22.45,46.97,19.25,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,4.61,0,0,0,28.87,0,125.86,51.43,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,24.24,16.35,0,0.67,1.87,34.01,20.98,4.19,0,33.47,47.81,0,0,0,0,0,0,0,0,0,0,0,0,16.24,15.19,0,138.26,0.96,0,0,0,0,0

24,05:45-06:00,0,0,43.81,176.45,21.06,397.59,17.51,57.26,40.56,22.45,46.97,19.25,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,6.92,0,0,0,28.87,0,125.86,51.43,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,24.24,16.35,0,0.67,1.87,34.01,20.98,4.19,0,33.47,47.81,0,0,0,0,0,0,0,0,0,0,0,0,16.24,15.19,0,138.26,0.96,0,0,0,0,0

25,06:00-06:15,0,0,43.81,176.45,21.06,397.59,17.51,57.26,40.56,22.45,46.97,19.25,18.82,0,0,0,0,0,24.55,106.5,0,0,0,0,0,10.04,0,9.23,0,0,0,28.87,0,125.86,51.43,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,4.17,24.24,16.2,0,0.67,1.87,34.01,20.72,2.95,0,33.46,47.81,0,0,0,0,0,0,0,0,0,0,0,0,16.24,15.19,0,138.26,0.96,0,0,0,0,0

26,06:15-06:30,0,0,43.81,176.45,21.06,397.59,17.51,57.26,40.56,22.45,46.97,19.25,18.82,0,0,0,0,0,24.55,75.44,0,0,0,0,0,10.04,0,9.23,0,0,0,28.87,0,125.86,51.43,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,2.99,24.24,16.2,0,0.67,1.87,34.01,20.72,2.95,0,33.46,47.81,0,0,0,0,0,0,0,0,0,0,0,0,16.24,15.19,0,138.26,0.96,0,0,0,0,0

27,06:30-06:45,0,0,43.81,177.29,21.06,327.83,17.51,57.26,40.56,22.45,46.97,19.25,12.55,0,0,0,0,0,24.55,75.44,0,0,0,0,0,10.04,0,9.23,0,0,0,28.87,0,125.86,51.43,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,2.99,24.24,16.2,0,0.67,1.87,34.01,20.72,2.95,0,33.46,50.39,0,0,0,0,0,0,0,0,0,0,0,0,16.24,15.19,0,138.26,0.96,0,0,0,0,0

28,06:45-07:00,0,0,35.15,408.13,21.06,327.33,13.67,57.26,40.56,22.45,46.97,19.25,12.55,0,0,0,0,0,24.55,75.44,0,0,0,0,0,10.04,0,9.23,0,0,0,28.87,0,125.86,51.43,18.19,65.98,119.88,93.56,332.36,8.3,0,142.71,2.99,24.24,16.35,0,0.67,1.87,34.01,20.98,2.95,0,33.47,50.39,0,0,0,0,0,0,0,0,0,0,0,0,16.24,15.19,0,138.26,0.96,0,0,0,0,0

29,07:00-07:15,0,0,35.15,355.58,21.06,327.18,13.67,57.26,40.56,22.45,46.97,19.25,12.55,0,0,0,0,0,24.55,75.44,0,0,0,0,0,10.04,0,6.92,0,0,0,28.87,0,125.86,51.43,18.19,65.98,96.32,64.93,332.36,8.3,0,114.68,2.99,24.24,13.15,0,1.06,3.41,34.01,16.45,1.11,0,25.99,50.39,0,0,0,0,0,0,0,0,0,0,0,0,16.24,15.19,0,125.56,0.96,0,0,0,0,0

30,07:15-07:30,0,0,29.41,349.31,21.06,327.18,9.9,57.26,40.56,22.45,46.97,19.25,12.55,0,0,0,0,0,24.55,75.44,0,0,0,0,0,10.04,0,2.31,0,0,0,28.87,0,92.78,51.43,18.19,65.98,96.32,64.93,332.36,8.3,0,94.95,2.99,24.24,11.87,0,0.82,2.42,34.01,14.65,1.11,0,23.82,50.39,0,0,0,0,0,0,0,0,0,0,0,0,18.9,15.19,0,125.56,0.96,0,0,0,0,0

31,07:30-07:45,0,0,29.41,349.31,10.54,327.18,9.6,57.26,27.04,22.45,46.97,19.25,12.55,0,0,0,0,0,24.55,75.44,0,0,0,0,0,10.04,0,2.31,0,0,0,28.87,0,90.11,51.43,18.19,65.98,93.92,62.77,332.36,8.3,0,94.95,2.99,24.24,11.87,0,0.82,1.87,34.01,14.65,1.11,0,23.82,50.39,0,0,0,0,0,0,0,0,0,0,0,0,18.9,15.19,0,121.36,0.96,0,0,0,0,0

32,07:45-08:00,0,0,29.41,349.31,10.54,327.18,9.6,57.26,26.61,22.45,46.97,19.25,12.55,0,0,0,0,0,24.55,75.44,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,51.43,18.19,65.98,93.92,51.46,332.36,8.3,0,94.95,2.99,11.66,11.87,0,0.82,1.87,34.01,14.65,1.11,0,23.82,50.39,0,0,0,0,0,0,0,0,0,0,0,0,18.9,15.19,0,105.04,0.96,0,0,0,0,0

33,08:00-08:15,0,0,24.56,349.31,10.54,327.18,9.6,57.26,24.33,22.45,46.97,19.25,12.55,0,0,0,0,0,24.55,75.44,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,51.43,18.19,65.98,93.92,51.46,332.36,8.3,0,78.61,2.99,0,11.87,0,0.82,1.87,34.01,14.65,1.11,0,23.82,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,15.19,0,79.57,0.96,0,0,0,0,0

34,08:15-08:30,0,0,24.56,243.46,10.54,327.18,9.6,57.26,12.16,22.45,46.97,19.25,12.55,0,0,0,0,0,24.55,75.44,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,51.43,13.15,65.98,93.92,51.46,332.36,8.3,0,78.49,2.99,0,11.87,0,0.82,1.87,34.01,14.65,1.11,0,23.82,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,15.19,0,79.57,0.96,0,0,0,0,0

35,08:30-08:45,0,0,24.56,204.97,10.54,327.18,9.6,57.26,11.7,22.45,31.3,19.25,12.55,0,0,0,0,0,24.55,75.44,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,51.43,12.13,65.98,93.92,51.46,332.36,8.3,0,78.49,2.99,0,11.87,0,0.82,1.87,34.01,15.48,1.11,0,24.07,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,15.19,0,79.57,0.96,0,0,0,0,0

36,08:45-09:00,0,0,24.56,204.97,10.54,327.18,9.6,57.26,0,22.45,31.3,19.25,12.55,0,0,0,0,0,24.55,75.44,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,51.43,6.06,65.98,93.92,51.46,332.36,8.3,0,78.49,2.99,0,11.87,0,0.82,1.87,34.01,15.48,1.11,0,24.07,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,15.19,0,79.57,0.96,0,0,0,0,0

37,09:00-09:15,0,0,24.56,204.97,10.54,284.84,9.6,57.26,0,11.23,31.3,19.25,12.55,0,0,0,0,0,24.55,66.72,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,76.03,0,65.98,93.92,51.46,332.36,8.3,0,78.49,2.65,0,11.87,0,0.82,1.87,37.11,15.48,1.11,0,24.07,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,15.19,0,79.57,0.96,0,0,0,0,0

38,09:15-09:30,0,0,24.56,127.99,10.54,284.84,9.6,57.26,0,11.23,31.3,19.25,12.55,0,0,0,0,0,24.55,66.72,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,76.03,0,65.98,93.92,51.46,332.36,8.3,0,78.49,2.65,0,11.87,0,0.82,1.87,37.11,15.48,1.11,0,24.07,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,15.19,0,79.57,0.96,0,0,0,0,0

39,09:30-09:45,0,0,24.56,127.99,0,284.84,9.6,57.26,0,11.23,31.3,19.25,12.55,0,0,0,0,0,24.55,66.72,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,76.03,0,65.98,93.92,62.77,332.36,8.3,0,78.49,2.65,0,11.87,0,0.82,1.87,37.11,15.48,1.11,0,24.03,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,15.19,0,94.93,0.96,0,0,0,0,0

40,09:45-10:00,0,0,24.56,127.99,0,284.84,9.6,57.26,0,0,31.3,19.25,12.55,0,0,0,0,0,24.55,66.72,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,76.03,0,65.98,93.92,62.77,332.36,8.3,0,78.49,2.65,0,11.87,0,0.82,1.87,37.11,15.48,1.11,0,24.03,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,15.19,0,94.93,0.96,0,0,0,0,0

41,10:00-10:15,0,0,24.56,127.99,0,284.84,9.6,57.26,0,0,25.35,19.25,12.55,0,0,0,0,0,24.55,66.72,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,76.03,0,65.98,93.92,62.77,332.36,8.3,0,78.49,2.65,0,11.87,0,0.82,1.87,34.01,15.48,1.11,0,24.03,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,14.45,0,94.93,0.96,0,0,0,0,0

42,10:15-10:30,0,0,24.56,127.99,0,284.84,9.6,57.26,0,0,14.26,19.25,12.55,0,0,0,0,0,24.55,49.59,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,76.03,0,65.98,93.92,62.77,332.36,8.3,0,78.49,1.97,0,11.87,0,0.82,1.87,34.01,15.48,1.11,0,24.03,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,14.45,0,94.93,0.96,0,0,0,0,0

43,10:30-10:45,0,0,24.56,108.74,0,284.84,9.6,57.26,0,0,4.75,19.25,12.55,0,0,0,0,0,24.55,49.59,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,76.03,0,65.98,80.29,62.77,332.36,8.3,0,78.49,1.97,0,12.64,0,0.82,1.87,34.01,15.48,1.11,0,24.01,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,11.57,0,93.59,0.96,0,0,0,0,0

44,10:45-11:00,0,0,24.56,108.74,0,284.84,9.6,57.26,0,0,0,17.1,12.55,0,0,0,0,0,24.55,49.59,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,76.03,0,65.98,80.29,62.77,332.36,8.3,0,78.49,1.97,0,12.64,0,0.82,1.87,34.01,15.48,1.11,0,24.01,47.81,0,0,0,0,0,0,0,0,0,0,0,0,18.9,5.79,0,93.59,0.96,0,0,0,0,0

45,11:00-11:15,0,0,26.96,108.74,0,284.84,9.6,57.26,0,0,0,19.25,12.55,0,0,0,0,0,24.55,49.59,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,80.52,0,65.98,82.25,62.77,332.36,8.3,0,96.52,1.97,0,12.64,0,0.82,1.87,34.01,15.48,1.72,0,25.75,15.94,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,126.14,0.96,0,0,0,0,0

46,11:15-11:30,0,0,26.96,108.74,0,284.84,9.6,57.26,0,0,0,19.25,12.55,0,0,0,0,0,24.55,49.59,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,80.52,0,65.98,82.25,62.77,332.36,8.3,0,96.52,1.97,0,12.64,0,0.82,1.87,34.01,15.48,1.72,0,25.75,5.31,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,126.14,0.96,0,0,0,0,0

47,11:30-11:45,0,0,26.96,108.74,0,284.84,9.6,57.26,0,0,0,19.25,12.55,0,0,0,0,0,24.55,26.62,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,80.52,0,65.98,82.25,62.77,263.07,8.3,0,96.52,1.06,0,12.64,0,0.82,1.87,34.01,15.48,1.72,0,25.75,5.31,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,126.14,0.96,0,0,0,0,0

48,11:45-12:00,0,0,26.96,108.74,0,284.84,9.6,57.26,0,0,0,19.25,12.55,0,0,0,0,0,24.55,0,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,80.52,0,65.98,82.25,62.77,263.07,8.3,0,96.52,0,0,12.64,0,0.82,1.87,34.01,15.48,1.72,0,25.75,15.94,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,126.14,0.96,0,0,0,0,0

49,12:00-12:15,0,0,26.96,108.74,0,284.84,9.6,57.26,0,0,0,19.25,12.55,0,0,0,0,0,24.55,0,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,80.52,0,65.98,93.92,62.77,263.07,8.3,0,96.52,0,0,12.64,0,0.82,1.87,34.01,15.48,1.72,0,25.75,47.81,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,126.14,0.96,0,0,0,0,0

50,12:15-12:30,0,0,26.96,108.74,0,284.84,9.6,57.26,0,0,0,19.25,12.55,0,0,0,0,0,24.55,0,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,80.52,0,65.98,93.92,62.77,263.07,8.3,0,96.52,0,0,12.64,0,0.82,1.87,34.01,15.48,1.72,0,25.75,50.39,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,126.14,0.96,0,0,0,0,0

51,12:30-12:45,0,0,29.41,108.74,0,284.84,9.6,57.26,0,0,0,19.25,12.55,0,0,0,0,0,24.55,0,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,80.52,0,65.98,93.92,62.77,263.07,8.3,0,96.52,0,0,12.64,0,0.82,1.87,34.01,15.48,1.72,0,25.75,50.39,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,126.14,0.96,0,0,0,0,0

52,12:45-13:00,0,0,29.41,108.74,0,284.84,9.6,57.26,0,0,0,19.25,12.55,0,0,0,0,0,24.55,0,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,80.52,0,65.98,93.92,62.77,263.07,8.3,0,96.52,0,0,12.64,0,0.82,1.87,34.01,15.48,1.72,0,25.75,50.39,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,126.14,0.96,0,0,0,0,0

53,13:00-13:15,0,0,29.41,108.74,0,284.84,9.6,57.26,0,0,0,19.25,18.82,0,0,0,0,0,24.55,0,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,80.52,0,65.98,93.92,62.77,263.07,8.3,0,113.23,0,0,12.64,0,0.82,1.87,34.01,15.48,1.72,0,25.75,50.39,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,126.14,0.96,0,0,0,0,0

54,13:15-13:30,0,0,29.41,108.74,0,284.84,9.6,57.26,0,0,0,19.25,18.82,0,0,0,0,0,24.55,0,0,0,0,0,0,10.04,0,0,0,0,0,28.87,0,90.11,80.52,0,65.98,93.92,62.77,263.07,8.3,0,113.23,0,0,12.64,0,0.82,1.87,34.01,15.48,1.72,0,25.75,50.39,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,126.14,0.96,0,0,0,0,0

