Block,Time Block,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,TANDA2,TelanganaSTPP,UNCHAHAR2,URI,TANAKPUR,MAPS,KHSTPP-II,KKNP,KISHANGANGA,KKNPPU2,KOTESHWR,KOLDAM,NAPP,RIHAND3,SINGRAULI,RIHAND2,SASAN,RIHAND1,SIMHST1,RSTPSU1TO6,RSTPSU7,SINGRAULI_HYDRO,SALAL,SEWA2,SIMHST2,KGSU1AND2,KUDGI,DADRI_RF,DADRI_LF,DADRI_GF,KGSU3AND4,KHSTPP-I,BRBCL,CHAMERA2,CHAMERA3,BSIUL,CHAMERA1,ANTA_GF,DADRI_CRF,AURY_CRF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,NLCEXP,RAPPB,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,RAMPUR,NNTPP,NTPL,RAPPC,PARBATI3,TALA,TALST2,DHAULIGNGA,DADRT2,DULHASTI,JHAJJAR,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
12,02:45-03:00,0,11.55,0,0,4.27,13.95,0,0,11.2,1.6,3.7,0,52.3,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,17.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,216.38,15.85,230.81,9.63,0,0,0,0,0

13,03:00-03:15,0,11.55,0,0,4.27,13.95,0,0,11.2,1.6,3.7,0,52.3,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,215.64,15.85,230.81,9.63,0,0,0,0,0

14,03:15-03:30,0,11.55,0,0,4.27,13.95,0,0,11.2,1.6,3.7,0,52.3,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,215.64,15.85,230.81,9.63,0,0,0,0,0

15,03:30-03:45,0,11.55,0,0,4.27,13.95,0,0,11.2,1.6,8.01,0,52.3,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,215.64,15.85,230.81,9.63,0,0,0,0,0

16,03:45-04:00,0,11.55,0,0,4.27,13.95,0,0,11.2,1.6,3.7,0,52.3,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,24.54,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,215.64,15.85,230.81,9.63,0,0,0,0,0

17,04:00-04:15,0,11.55,0,0,4.27,13.95,0,0,11.2,1.6,3.7,0,65.8,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,31.6,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,244.49,15.85,230.81,11.68,0,0,0,0,0

18,04:15-04:30,0,11.55,0,0,4.27,13.95,0,0,11.2,1.6,3.7,0,65.8,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,31.6,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,292.58,15.85,230.81,13.45,0,0,0,0,0

19,04:30-04:45,0,14.91,0,0,4.27,19.14,0,0,15.17,1.6,8.01,0,65.8,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,31.6,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,292.58,15.85,231.89,13.45,0,0,0,0,0

20,04:45-05:00,0,14.91,0,0,4.27,19.14,0,0,15.17,1.6,3.7,0,65.8,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,31.6,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,311.81,15.85,231.89,13.45,0,0,0,0,0

21,05:00-05:15,0,14.91,0,0,4.27,19.14,0,0,15.17,1.6,3.7,0,90.43,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,36.53,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,365.45,15.85,232.81,15.02,0,0,0,0,0

22,05:15-05:30,0,14.91,0,0,4.27,19.14,0,0,15.17,1.6,3.7,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,442.38,15.85,232.81,15.02,0,0,0,0,0

23,05:30-05:45,0,14.91,0,0,4.27,19.14,0,0,15.17,1.6,8.01,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.21,0,0,0,0,0,51.38,0,0,0,0,461.62,31.7,232.81,15.02,0,0,0,0,0

24,05:45-06:00,14.96,14.91,0,0,4.27,19.14,0,0,15.17,1.6,3.7,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.43,0,0,0,0,0,51.38,0,0,0,0,461.62,31.7,291.47,15.02,0,0,0,0,0

25,06:00-06:15,29.94,14.91,0,0,4.27,23.36,0,0,19.04,1.6,1.72,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,3.2,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,72.86,0,0,0,0,0,51.38,3.67,0,0,7.75,481.81,31.7,372.18,17.5,0,0,0,0,0

26,06:15-06:30,44.9,17.64,0,0,4.27,25.38,0,0,20.38,1.6,1.72,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,5.07,0,0,0,0,0,0,0,43.49,19.23,11.54,9.31,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,91.07,0,0,0,0,0,51.38,15.92,0,0,7.75,569.92,31.7,424.11,17.5,0,0,0,0,0

27,06:30-06:45,59.86,17.64,0,0,4.27,25.38,0,0,20.38,1.6,1.72,0,95.08,0,0,0,19.34,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,10.14,0,0,0,0,0,0,0,43.49,19.23,25.33,27.95,12.54,11.55,0,0,0,0,0,0,0,0,0,0,0,0,134.96,0,0,0,0,0,51.38,15.92,0,0,16,593.97,31.7,424.11,17.5,0,0,0,0,0

28,06:45-07:00,59.86,19.77,0,0,4.27,25.38,0,0,20.38,1.6,1.72,0,95.08,0,0,0,19.34,0,42.01,119.56,107.94,114.21,324.57,44.24,0,0,0,0,1.35,10.14,0,0,0,0,0,0,0,43.49,19.23,25.33,27.95,12.54,26.98,0,0,0,0,0,0,0,0,0,0,0,0,134.96,0,0,0,0,0,51.38,15.92,0,0,35.15,618.01,31.7,424.11,17.5,0,0,0,0,0

29,07:00-07:15,59.86,19.77,0,0,4.27,25.38,0,0,20.38,1.6,1.72,0,95.08,0,0,0,19.34,0,42.01,119.56,107.94,114.21,335.39,44.24,0,0,0,0,8.93,10.14,0,0,0,0,0,0,0,43.49,19.23,25.33,27.95,12.54,40.54,0,0,0,0,0,0,0,0,0,0,0,0,134.96,0,0,0,0,0,51.38,15.92,0,0,35.15,627.62,31.7,424.11,17.5,0,0,0,0,0

30,07:15-07:30,59.86,19.77,0,0,4.27,25.38,0,0,20.38,25.48,1.72,0,95.08,0,0,0,19.34,0,42.01,119.56,107.94,114.21,349.46,44.24,0,0,0,0,40.23,10.14,0,0,0,0,0,0,0,43.49,19.23,25.33,27.95,12.54,40.54,0,0,0,0,0,0,0,0,0,0,0,0,134.96,0,0,0,0,0,51.38,15.92,0,0,35.15,627.62,31.7,424.11,17.5,0,0,0,0,0

31,07:30-07:45,59.86,17.04,0,0,4.27,25.38,0,0,20.38,25.48,1.11,0,95.08,0,0,0,19.34,0,42.01,119.56,107.94,114.21,359.89,44.24,0,0,0,0,40.23,10.14,0,0,0,0,0,0,0,43.49,19.23,25.33,27.95,12.54,26.98,0,0,0,0,0,0,0,0,0,0,0,0,134.96,0,0,0,0,0,51.38,15.92,0,0,35.15,623.52,31.7,424.11,17.5,0,0,0,0,0

32,07:45-08:00,59.86,17.04,0,0,4.27,25.38,0,0,20.38,25.48,1.11,0,95.08,0,0,0,19.34,0,42.01,119.56,107.94,114.21,367.46,44.24,0,0,0,0,40.23,5.07,0,0,0,0,0,0,0,43.49,19.23,25.33,27.95,12.54,13.51,0,0,0,0,0,0,0,0,0,0,0,0,134.96,0,0,0,0,0,51.38,3.42,0,0,35.15,623.52,31.7,424.11,17.5,0,0,0,0,0

33,08:00-08:15,44.9,17.04,0,0,4.27,25.38,0,0,20.38,3.18,0.49,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,375.03,44.24,0,0,0,0,40.23,0,0,0,0,0,0,0,0,43.49,19.23,25.33,9.31,6.27,13.51,0,0,0,0,0,0,0,0,0,0,0,0,91.07,0,0,0,0,0,51.38,0,0,0,26.29,623.78,31.7,424.11,17.5,0,0,0,0,0

34,08:15-08:30,29.94,17.04,0,0,4.27,25.38,0,0,20.38,1.6,0.49,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,382.61,44.24,0,0,0,0,8.93,0,0,0,0,0,0,0,0,43.49,19.23,12.56,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2,0,0,0,0,0,51.38,0,0,0,16.51,623.78,31.7,424.11,17.5,0,0,0,0,0

35,08:30-08:45,29.94,17.04,0,0,4.27,25.38,0,0,20.38,1.6,0.49,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,390.19,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.43,0,0,0,0,0,51.38,0,0,0,7.75,593.97,31.7,373.14,17.5,0,0,0,0,0

36,08:45-09:00,29.94,17.04,0,0,4.27,25.38,0,0,20.38,1.6,0.49,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,397.76,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.21,0,0,0,0,0,51.38,0,0,0,0,589.16,31.7,315.44,17.5,0,0,0,0,0

37,09:00-09:15,14.96,17.04,0,0,4.27,25.38,0,0,20.38,1.6,0.49,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.42,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,562.23,31.7,315.44,17.5,0,0,0,0,0

38,09:15-09:30,0,17.04,0,0,4.27,25.38,0,0,20.38,1.6,0.49,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,562.23,31.7,315.44,17.5,0,0,0,0,0

39,09:30-09:45,0,17.04,0,0,4.27,25.38,0,0,20.38,1.6,0.49,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,560.31,15.85,315.44,17.5,0,0,0,0,0

40,09:45-10:00,0,17.04,0,0,4.27,25.38,0,0,20.38,25.48,0.49,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,549.73,15.85,310.63,17.5,0,0,0,0,0

41,10:00-10:15,0,17.04,0,0,4.27,25.38,0,0,20.38,25.48,2.46,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,511.62,15.85,310.63,17.5,0,0,0,0,0

42,10:15-10:30,0,17.04,0,0,4.27,25.38,0,0,20.38,25.48,2.46,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,511.62,15.85,260.28,17.5,0,0,0,0,0

43,10:30-10:45,0,17.04,0,0,4.27,25.38,0,0,20.38,2.13,2.46,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,482.77,15.85,254.85,17.5,0,0,0,0,0

44,10:45-11:00,0,17.04,0,0,4.27,25.38,0,0,20.38,1.07,2.46,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,482.77,15.85,254.85,17.5,0,0,0,0,0

45,11:00-11:15,0,15.59,0,0,4.27,21.88,0,0,17.57,1.07,2.46,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,419.3,15.85,258.7,15.02,0,0,0,0,0

46,11:15-11:30,0,14.91,0,0,4.27,24.9,0,0,19.48,1.07,2.46,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,400.07,15.85,254.85,16.88,0,0,0,0,0

47,11:30-11:45,0,14.91,0,0,4.27,25.38,0,0,20.38,1.07,2.46,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,380.83,15.85,254.85,17.5,0,0,0,0,0

48,11:45-12:00,0,14.91,0,0,4.27,25.38,0,0,20.38,1.07,2.46,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,351.98,15.85,247.16,17.5,0,0,0,0,0

49,12:00-12:15,0,14.91,0,0,4.27,25.38,0,0,20.38,1.07,8.01,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,332.75,0,247.16,17.5,0,0,0,0,0

50,12:15-12:30,0,14.91,0,0,4.27,25.38,0,0,20.38,1.07,3.08,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,313.51,0,239.46,17.5,0,0,0,0,0

51,12:30-12:45,0,14.91,0,0,4.27,22.86,0,0,18.26,1.07,3.08,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,293.32,0,232.73,15.02,0,0,0,0,0

52,12:45-13:00,0,14.91,0,0,4.27,19.28,0,0,15.28,1.07,3.08,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,277.93,0,232.73,15.02,0,0,0,0,0

53,13:00-13:15,0,14.91,0,0,4.27,19.28,0,0,15.28,1.07,8.01,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.49,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,229.85,0,232.73,12.49,0,0,0,0,0

54,13:15-13:30,0,14.91,0,0,4.27,19.28,0,0,15.28,1.07,3.08,0,82.48,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,38.21,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,201,0,232.73,12.49,0,0,0,0,0

55,13:30-13:45,0,14.91,0,0,4.27,19.28,0,0,15.28,1.07,2.46,0,82.48,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,38.21,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,196.19,0,232.73,12.49,0,0,0,0,0

56,13:45-14:00,0,14.91,0,0,4.27,19.28,0,0,15.28,1.07,2.46,0,82.48,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,38.21,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,211.57,0,232.73,12.49,0,0,0,0,0

57,14:00-14:15,0,11.55,0,0,4.27,14.29,0,0,11.33,1.07,8.01,0,82.48,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,38.21,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,212.54,0,230.81,14.98,0,0,0,0,0

58,14:15-14:30,0,11.55,0,0,4.27,14.29,0,0,11.33,1.07,8.01,0,82.48,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,38.21,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,229.85,0,230.81,14.98,0,0,0,0,0

59,14:30-14:45,0,11.55,0,0,4.27,14.29,0,0,11.33,1.07,8.01,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,38.21,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,254.85,0,230.81,14.98,0,0,0,0,0

60,14:45-15:00,0,11.55,0,0,4.27,14.29,0,0,11.33,1.07,2.46,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,38.21,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,276.01,0,230.81,17.5,0,0,0,0,0

61,15:00-15:15,0,14.01,0,0,4.27,19.32,0,0,18.08,1.07,2.46,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.06,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,296.2,0,232.73,17.5,0,0,0,0,0

62,15:15-15:30,0,14.91,0,0,4.27,22.78,0,0,18.09,1.07,2.46,0,95.08,0,0,0,8.53,0,42.01,119.56,107.94,114.21,402.73,44.24,0,0,0,0,1.35,0,0,0,0,0,0,0,0,43.06,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0,0,0,296.2,0,232.73,17.5,0,0,0,0,0

