Time,Block,NR/2023/14745/A,NR/2023/14746/A,NR/2023/12052/A,NR/2023/15865/D,NR/2023/14895/A,NR/2023/15296/F,ER/2023/9847/C,NR/2023/15057/F,NR/2023/12592/A,NR/2023/15309/F,NR/2023/14898/A,NR/2023/15873/C,NR/2023/15303/F,NR/2023/15879/C,NR/2023/12431/A,NR/2023/12168/A,NR/2023/15883/C,NR/2023/15882/C,NR/2023/15306/F,NR/2023/15304/F,NR/2023/12167/A,NR/2023/12422/A,NR/2023/15871/D,NR/2023/15872/D,NR/2023/12591/A,NR/2023/12347/A,NR/2023/13635/A,NR/2023/12148/A,NR/2023/15881/C,NR/2023/15694/F,NR/2023/12053/A,NR/2023/14737/A,NR/2023/13862/A,NR/2023/15402/F,Total

3,00:30-00:45,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.870000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,142.250000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1272.7

4,00:45-01:00,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.870000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,103.540000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1233.99

5,01:00-01:15,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.680000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,65.800000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1196.06

6,01:15-01:30,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.680000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,37.740000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1168

7,01:30-01:45,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.680000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1130.26

8,01:45-02:00,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.680000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1130.26

9,02:00-02:15,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.580000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1130.16

10,02:15-02:30,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.580000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1130.16

11,02:30-02:45,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.580000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1130.16

12,02:45-03:00,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.580000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1130.16

13,03:00-03:15,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.530000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,1070.44

14,03:15-03:30,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.530000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,1070.44

15,03:30-03:45,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.530000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,1070.44

16,03:45-04:00,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.530000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,1070.44

17,04:00-04:15,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.530000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,1070.44

18,04:15-04:30,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.530000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,1070.44

19,04:30-04:45,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.530000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,1070.44

20,04:45-05:00,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.530000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,98.710000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,1070.44

21,05:00-05:15,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.530000,85.140000,4.840000,70.160000,5.040000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,970.71

22,05:15-05:30,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.530000,85.140000,4.840000,70.160000,5.040000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,970.71

23,05:30-05:45,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.530000,85.140000,4.840000,70.160000,5.040000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,970.71

24,05:45-06:00,24.190000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.530000,85.140000,4.840000,70.160000,5.040000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,970.71

25,06:00-06:15,24.190000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.680000,85.140000,4.840000,70.160000,5.040000,0.910000,18.620000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,859.39

26,06:15-06:30,24.190000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.680000,85.140000,4.840000,70.160000,5.040000,0.910000,18.620000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,859.39

27,06:30-06:45,24.190000,0.000000,63.140000,0.13,95.800000,0.970000,0.000000,0.680000,85.140000,4.840000,70.160000,5.040000,0.910000,18.620000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,859.52

28,06:45-07:00,24.190000,0.000000,63.140000,0.58,95.800000,0.970000,0.000000,0.680000,85.140000,4.840000,70.160000,5.040000,0.910000,18.620000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,859.97

29,07:00-07:15,24.190000,0.000000,63.140000,1.1,95.800000,0.970000,0.000000,0.680000,85.140000,4.840000,70.160000,5.040000,0.910000,18.620000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,860.49

30,07:15-07:30,24.190000,0.000000,63.140000,1.54,95.800000,0.970000,0.000000,0.680000,85.140000,4.840000,70.160000,5.040000,0.910000,18.620000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,860.93

31,07:30-07:45,24.190000,0.000000,63.140000,1.97,95.800000,0.970000,0.000000,0.680000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,862.38

32,07:45:08:00,24.190000,0.000000,63.140000,2.33,95.800000,0.970000,0.000000,0.680000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,862.74

33,08:00-08:15,24.190000,0.000000,63.140000,2.9,95.800000,0.970000,0.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,914.89

34,08:15-08:30,24.190000,0.000000,63.140000,3.55,95.800000,0.970000,0.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,915.54

35,08:30-08:45,24.190000,0.000000,63.140000,4.17,95.800000,0.970000,0.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,916.16

36,08:45:09:00,24.190000,0.000000,63.140000,4.65,95.800000,0.970000,0.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,0.000000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,916.64

37,09:00:09:15,24.190000,0.000000,63.140000,5,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,0.000000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1020.11

38,09:15-09:30,24.190000,0.000000,63.140000,5.85,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,0.000000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1020.96

39,09:30-09:45,24.190000,0.000000,63.140000,4.18,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,0.000000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1019.29

40,09:45-10:00,24.190000,0.000000,63.140000,5.43,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,0.000000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1020.54

41,10:00-10:15,24.190000,0.000000,63.140000,6.48,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1112.55

42,10:15-10:30,24.190000,0.000000,63.140000,7.7,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1113.77

43,10:30-10:45,24.190000,0.000000,63.140000,6.64,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1112.71

44,10:45-11:00,24.190000,0.000000,63.140000,6.79,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1112.86

45,11:00-11:15,24.190000,0.000000,63.140000,7.15,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1113.22

46,11:15-11:30,24.190000,0.000000,63.140000,8.14,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1114.21

47,11:30-11:45,24.190000,0.000000,63.140000,8.11,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1114.18

48,11:45-12:00,24.190000,0.000000,63.140000,8.48,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1114.55

49,12:00-12:15,24.190000,0.000000,63.140000,8.59,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1114.66

50,12:15-12:30,24.190000,0.000000,63.140000,8.79,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1114.86

51,12:30-12:45,24.190000,0.000000,63.140000,8.79,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1114.86

52,12:45-13:00,24.190000,0.000000,63.140000,8.79,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.520000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1114.86

53,13:00-13:15,24.190000,0.000000,63.140000,8.79,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1114.96

54,13:15-13:30,24.190000,0.000000,63.140000,8.61,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1114.78

55,13:30-13:45,24.190000,0.000000,63.140000,8.59,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1114.76

56,13:45-14:00,24.190000,0.000000,63.140000,8.56,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,90.960000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,0.000000,6.770000,1114.73

57,14:00-14:15,24.190000,0.000000,63.140000,8.42,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,106.450000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,23.160000,6.770000,1153.24

58,14:15-14:30,24.190000,0.000000,63.140000,8.23,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,106.450000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,23.160000,6.770000,1153.05

59,14:30-14:45,24.190000,0.000000,63.140000,7.74,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,106.450000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,23.160000,6.770000,1152.56

60,14:45-15:00,24.190000,0.000000,63.140000,7.55,95.800000,0.970000,50.000000,0.970000,85.140000,4.840000,70.160000,6.060000,0.910000,18.620000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,106.450000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,23.160000,6.770000,1152.37

61,15:00-15:15,24.190000,0.000000,63.140000,6.77,95.800000,0.970000,50.000000,0.920000,85.140000,4.840000,70.160000,6.060000,0.910000,18.710000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,106.450000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,23.160000,6.770000,1151.63

62,15:15-15:30,24.190000,0.000000,63.140000,6.58,95.800000,0.970000,50.000000,0.920000,85.140000,4.840000,70.160000,6.060000,0.910000,18.710000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,106.450000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,23.160000,6.770000,1151.44

63,15:30-15:45,24.190000,0.000000,63.140000,6.18,95.800000,0.970000,50.000000,0.920000,85.140000,4.840000,70.160000,6.060000,0.910000,18.710000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,106.450000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,23.160000,6.770000,1151.04

64,15:45-16:00,24.190000,0.000000,63.140000,5.09,95.800000,0.970000,50.000000,0.920000,85.140000,4.840000,70.160000,6.060000,0.910000,18.710000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,106.450000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,23.160000,6.770000,1149.95

65,16:00-16:15,24.190000,0.000000,63.140000,3.46,95.800000,0.970000,0.000000,0.820000,85.140000,4.840000,70.160000,6.060000,0.910000,18.710000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,106.450000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,23.160000,6.770000,1098.22

