Column1,Time,GNARE/NR/2024/12/20/3668,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3733,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/5531,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/02/1250,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3925,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14
7,01:30-01:45,0,7,16,0,0,0,7.83,12.01,0,0,16,23.51,7.83,0,25.81,25.81,25.81,47.8,20.07,1.47,88.9,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,62.13,26.77,47.8,59.1,26.24,0,0

8,01:45-02:00,0,7,15.67,0,0,0,7.83,11.81,0,0,15.66,23.51,7.83,0,25.81,25.81,25.81,47.8,20.07,1.47,88.9,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,62.13,26.77,47.8,59.1,26.24,0,0

9,02:00-02:15,0,7,15.33,0,0,0,7.67,11.61,0,0,15.34,22.99,7.67,0,25.81,25.81,25.81,47.8,20.07,1.47,88.9,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,62.13,26.77,47.8,59.1,25.73,0,0

10,02:15-02:30,0,7,15,0,0,0,7.5,11.41,0,0,15,22.5,7.5,0,25.81,25.81,25.81,47.8,20.07,1.47,88.9,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,62.13,26.77,47.8,59.1,25.24,0,0

11,02:30-02:45,0,6.67,15,0,0,0,7.5,11.21,0,0,15,22.5,7.5,0,25.81,25.81,25.81,47.8,20.07,1.47,88.9,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,62.13,26.77,47.8,59.1,25.24,0,0

12,02:45-03:00,0,6.67,15,0,0,0,7.5,11.21,0,0,15,22.5,7.5,0,25.81,25.81,25.81,47.8,20.07,1.47,88.9,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,62.13,26.77,47.8,59.1,25.24,0,0

13,03:00-03:15,0,6.67,23.33,0,0,0,7.5,11,0,0,23.34,22.5,7.5,0,25.81,25.81,25.81,47.8,20.07,1.42,88.9,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.55,47.8,0,0,0,0,114.71,0,0,62.13,26.77,47.8,59.1,24.73,0,0

14,03:15-03:30,0,6.67,22.67,0,0,0,7.5,10.8,0,0,22.66,22.5,7.5,0,25.81,25.81,25.81,47.8,20.07,1.42,88.9,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.55,47.8,0,0,0,0,95.59,0,0,62.13,26.77,47.8,59.1,24.73,0,0

15,03:30-03:45,0,6.67,21.67,0,0,0,7.5,10.8,0,0,21.66,22.5,7.5,0,25.81,25.81,25.81,47.8,20.07,1.42,99.59,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.55,47.8,0,0,0,0,74.33,0,0,62.13,26.77,47.8,59.1,24.73,0,0

16,03:45-04:00,0,6.67,21,0,0,0,7.5,10.8,0,0,21,22.5,7.5,0,25.81,25.81,25.81,47.8,20.07,1.42,99.59,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.55,47.8,0,0,0,0,74.33,0,0,62.13,26.77,47.8,59.1,24.73,0,0

17,04:00-04:15,0,6.67,20.67,0,0,0,10,10.8,0,0,20.66,30,10,0,25.81,25.81,25.81,47.8,20.07,1.42,99.59,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,74.33,0,0,62.13,26.77,47.8,59.1,24.73,0,0

18,04:15-04:30,0,6.67,19.67,0,0,0,9.67,10.8,0,0,19.66,28.99,9.67,0,25.81,25.81,25.81,47.8,20.07,1.42,99.59,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,74.33,0,0,62.13,26.77,47.8,59.1,25.24,0,0

19,04:30-04:45,0,6.67,18.33,0,0,0,9.17,13.61,0,0,18.34,27.49,9.17,0,25.81,25.81,25.81,47.8,20.07,1.42,99.59,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,74.33,0,0,62.13,26.77,47.8,59.1,25.24,0,0

20,04:45-05:00,0,6.67,17,0,0,0,8.83,13.21,0,0,17,26.51,8.83,0,25.81,25.81,25.81,47.8,20.07,1.42,99.59,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,74.33,0,0,62.13,26.77,47.8,59.1,25.24,0,0

21,05:00-05:15,0,6.67,16.33,0,0,0,8.33,12.81,0,0,16.34,25.01,8.33,0,25.81,25.81,25.81,47.8,20.07,1.42,99.59,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,74.33,0,0,62.13,26.77,47.8,59.1,25.24,0,0

22,05:15-05:30,0,6.67,15.67,0,0,0,8.33,12.41,0,0,15.66,25.01,8.33,0,25.81,25.81,25.81,47.8,20.07,1.42,99.59,0,0,0,69.71,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,74.33,0,0,62.13,26.77,47.8,59.1,25.24,0,0

23,05:30-05:45,0,6.67,15.33,0,0,0,8.5,14.41,0,0,15.34,25.5,8.5,0,28.68,28.68,28.68,47.8,20.07,1.42,99.59,0,0,0,65.59,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,95.59,0,0,79.78,26.77,47.8,62.05,24.73,0,0

24,05:45-06:00,0,6.67,15,0,0,0,8.67,14.01,0,0,15,25.99,8.67,0,28.68,28.68,28.68,47.8,20.07,1.42,99.59,0,0,0,65.59,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,114.71,0,0,111.63,26.77,47.8,76.02,24.73,0,0

25,06:00-06:15,0,6.67,14.67,0,0,0.5,8.17,13.61,0,0,14.66,24.49,8.17,0,31.54,31.54,31.54,47.8,20.07,1.42,99.59,0,0,0,74.02,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,129.76,26.77,47.8,86.22,24.73,0,0

26,06:15-06:30,0.1,6.67,14.67,0,0,0.97,7.83,13.21,0.08,0,14.66,23.51,7.83,0,31.54,31.54,31.54,47.8,20.07,1.42,99.59,0,0,0,82.47,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,129.76,26.77,47.8,86.22,24.73,0,0

27,06:30-06:45,0.22,6.67,14.67,0,0,1.37,7.5,17.61,0.61,0,14.66,22.5,7.5,0,36.32,36.32,36.32,47.8,20.07,1.42,99.59,0,0,0,90.9,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,0,0,0,0,131.91,0,0,114.71,26.77,47.8,86.22,24.73,0,0

28,06:45-07:00,0.33,6.67,14.67,0,0,2.26,7.17,17.41,1.99,0,14.66,21.49,7.17,0,36.32,36.32,36.32,47.8,20.07,1.42,99.59,0,0,0,114.33,0,0,28.68,0,0,1.06,19.12,8.6,1.46,47.8,1,0,0,0,131.91,0,0,114.71,26.77,47.8,86.22,24.22,0,0

29,07:00-07:15,1.15,6.67,14.67,0,0,4.16,7.17,17.21,4.6,0,14.66,21.49,7.17,0,36.32,36.32,36.32,47.8,20.07,1.42,99.59,0,0.23,0.24,114.33,0,50,28.68,0,0.23,1.02,19.12,14.34,1.55,47.8,3,0,0,0,131.91,0,0,114.71,26.77,47.8,86.22,23.72,1,2

30,07:15-07:30,2.55,6.67,14.67,1,1,7.44,7,17.01,9.12,0,14.66,21,7,0,36.32,36.32,36.32,47.8,20.07,1.42,99.59,0,0.48,0.5,114.33,0,50,28.68,0,0.48,1.02,19.12,14.34,1.55,47.8,7,4.37,0,0,131.91,0,0,114.71,26.77,47.8,86.22,23.72,2,3

31,07:30-07:45,7.01,6.67,14.67,2,4,11.84,7,17.01,15.14,1,14.66,21,7,0.3,43.02,36.32,36.32,47.8,20.07,1.42,99.59,0,0.89,0.91,114.33,0,50,28.68,0,0.89,1.02,19.12,14.34,1.55,47.8,13,13.25,1.47,1,131.91,0,0,114.71,26.77,47.8,86.22,23.72,3,5

32,07:45-08:00,8.73,6.67,14.67,2,7,18.01,7,16.81,22.14,3,14.66,21,7,1.18,43.02,36.32,36.32,47.8,20.07,1.42,99.59,0,1.48,1.51,114.33,0,50,28.68,0,1.48,1.02,19.12,14.34,1.55,47.8,21,23.43,5.9,2,131.91,0,0,114.71,26.77,47.8,86.22,23.72,5,7

33,08:00-08:15,10.89,6.67,14.67,6,20,26.12,7,16.61,30.76,8,14.66,21,7,2.65,43.02,36.32,36.32,47.8,20.07,1.38,99.59,0,2.37,2.43,114.33,0,50,28.68,0,2.37,1.02,19.12,14.34,1.46,47.8,29,34.24,13.27,5,131.91,0,0,114.71,26.77,47.8,86.22,23.72,11,10

34,08:15-08:30,16.29,6.67,14.67,9,28,29.9,7,16.41,29.9,12,14.66,21,7,7.05,43.02,36.32,36.32,47.8,20.07,1.38,99.59,0,3.31,3.39,114.33,0,50,28.68,0,3.31,1.02,19.12,14.34,1.46,47.8,29.9,44.94,35.25,7,131.91,0,0,114.71,26.77,47.8,86.22,23.72,19,13

35,08:30-08:45,21.7,6.67,14.67,13,46,30.4,7,16.21,30.4,19,14.66,21,7,13,43.02,36.32,36.32,47.8,20.07,1.38,99.59,0,4.33,4.44,114.33,0,50,28.68,0,4.33,1.02,19.12,14.34,1.46,47.8,30.4,54.95,64.99,11,131.91,0,0,114.71,26.77,47.8,86.22,23.72,27,23

36,08:45-09:00,27.11,6.67,14.67,18,63,30.8,7,16.01,30.8,27,14.66,21,7,17.81,43.02,36.32,36.32,47.8,20.07,1.38,99.59,0,5.29,5.42,114.33,0,50,28.68,0,5.29,1.02,19.12,14.34,1.46,47.8,30.8,64.81,89.04,19,131.91,0,0,114.71,26.77,47.8,86.22,23.72,35,33

37,09:00-09:15,33.34,6.67,14.67,22,88,30.8,7,16.01,30.8,37,14.66,21,7,22.04,43.02,36.32,36.32,47.8,20.07,1.38,99.59,0,6.51,6.68,114.33,0,0,28.68,0,6.51,1.02,19.12,14.34,1.46,47.8,30.8,74.49,110.22,25,131.91,0,0,114.71,26.77,47.8,86.22,24.22,43,46

38,09:15-09:30,42.27,6.67,14.67,25,105,30.8,7,16.01,30.8,45,14.66,21,7,26.3,43.02,36.32,36.32,47.8,20.07,1.38,99.59,0,7.75,7.96,114.33,0,0,28.68,0,7.75,1.02,19.12,14.34,1.46,47.8,30.8,83.56,131.5,29,131.91,0,0,114.71,26.77,47.8,86.22,24.22,50,52

39,09:30-09:45,52.99,6.67,11.67,28,119,30.8,7,17.01,30.8,51,11.66,21,7,31.54,43.02,36.32,36.32,47.8,20.07,1.38,99.59,0,9.02,9.24,114.33,0,0,28.68,0,9.02,1.02,19.12,14.34,1.46,47.8,30.8,91.97,157.69,32,131.91,0,0,114.71,26.77,47.8,86.22,23.72,57,62

40,09:45-10:00,61.81,6.67,11.67,32,132,30.8,7,16.81,30.8,56,11.66,21,7,35.17,43.02,36.32,36.32,47.8,20.07,1.38,99.59,0,10.4,10.67,114.33,0,0,28.68,0,10.4,1.02,19.12,14.34,1.46,47.8,30.8,100.06,175.83,35,131.91,0,0,114.71,26.77,47.8,86.22,23.21,63,68

41,10:00-10:15,68.47,6.67,11.67,36,145,30.8,7,15.01,30.8,62,11.66,21,7,38.44,43.02,36.32,36.32,47.8,20.07,1.38,99.59,0,11.78,12.07,114.33,0,0,28.68,0,11.78,1.02,19.12,14.34,1.46,47.8,30.8,106.94,192.21,38,131.91,0,0,114.71,26.77,47.8,86.22,22.71,71,75

42,10:15-10:30,75.6,6.67,11.67,38,155,30.8,7,14.61,30.8,67,11.66,21,7,41.4,43.02,36.32,36.32,47.8,20.07,1.38,99.59,0,13.02,13.34,114.33,0,0,28.68,0,13.02,1.02,19.12,14.34,1.46,47.8,30.8,112.71,206.99,40,131.91,0,0,114.71,26.77,47.8,86.22,22.21,77,80

43,10:30-10:45,80.15,6.67,8.67,42,165,30.8,3.67,14.41,30.8,70,8.66,10.99,3.67,43.98,43.02,36.32,36.32,47.8,20.07,1.38,99.59,0,13.93,14.28,114.33,0,0,28.68,0,13.93,1.02,19.12,14.34,1.46,47.8,30.8,129.59,219.9,42,131.91,0,0,114.71,26.77,47.8,86.22,22.21,83,85

44,10:45-11:00,85.22,6.67,8.67,43,174,30.8,3.5,14.41,30.8,74,8.66,10.5,3.5,46.23,43.02,36.32,36.32,47.8,20.07,1.38,99.59,0,14.78,15.15,114.33,0,0,28.68,0,14.78,1.02,19.12,14.34,1.46,47.8,30.8,135.54,231.17,43,131.91,0,0,114.71,26.77,47.8,86.22,23.21,87,88

45,11:00-11:15,85.66,3.33,8.67,46,181,30.8,3.5,14.21,30.8,77,8.66,10.5,3.5,47.99,43.02,36.32,36.32,47.8,20.07,1.42,99.59,0,15.47,15.85,65.59,0,0,28.68,0,15.47,1.06,19.12,14.34,1.55,47.8,30.8,140.04,239.95,44,131.91,0,0,114.71,26.77,47.8,86.22,23.21,92,91

46,11:15-11:30,85.66,3.33,8.67,47,188,30.8,3.5,14.01,30.8,80,8.66,10.5,3.5,48.33,43.02,36.32,36.32,47.8,20.07,1.42,99.59,0,15.86,16.25,65.59,0,0,28.68,0,15.86,1.06,19.12,14.34,1.55,47.8,30.8,143.48,241.67,45,131.91,0,0,114.71,26.77,47.8,86.22,22.71,93,92

47,11:30-11:45,85.66,3.33,8.67,47,193,30.8,3.5,13.81,30.8,82,8.66,10.5,3.5,48.33,43.02,36.32,36.32,47.8,20.07,1.42,99.59,0,15.98,16.38,89.02,0,0,28.68,0,15.98,1.06,19.12,14.34,1.55,47.8,30.8,146.38,241.67,46,131.91,0,0,114.71,26.77,47.8,86.22,25.73,93,93

48,11:45-12:00,85.66,3.33,8.67,47,196,30.8,3.5,13.41,30.8,84,8.66,10.5,3.5,48.33,43.02,36.32,36.32,47.8,20.07,1.42,99.59,0,15.98,16.38,69.71,0,0,28.68,0,15.98,1.06,19.12,14.34,1.55,47.8,30.8,148.59,241.67,46,131.91,0,0,114.71,26.77,47.8,86.22,25.73,93,93

49,12:00-12:15,85.66,3.33,9.33,47,196,30.8,3.5,13.01,30.8,84,9.34,10.5,3.5,46.67,43.02,36.32,36.32,47.8,20.07,1.42,99.59,0,15.98,16.38,69.71,0,0,28.68,0,15.98,1.06,19.12,14.34,1.46,47.8,30.8,150.01,233.33,45,131.91,0,0,114.71,26.77,47.8,86.22,25.73,93,93

50,12:15-12:30,85.66,3.33,9.67,47,196,30.8,3.5,12.61,30.8,84,9.66,10.5,3.5,46.67,43.02,36.32,36.32,47.8,20.07,1.42,99.59,0,15.98,16.38,69.71,0,0,28.68,0,15.98,1.06,19.12,14.34,1.46,47.8,30.8,150.53,233.33,45,131.91,0,0,114.71,26.77,47.8,86.22,25.73,93,93

51,12:30-12:45,60.05,3.33,9.67,47,196,30.8,3.5,12.21,30.8,84,9.66,10.5,3.5,46.67,43.02,36.32,36.32,47.8,20.07,1.42,99.59,0,15.98,16.38,69.71,0,0,28.68,0,15.98,1.06,19.12,14.34,1.46,47.8,30.8,150.11,233.33,45,131.91,0,0,114.71,26.77,47.8,76.02,25.24,93,93

52,12:45-13:00,60.05,3.33,9.67,47,196,30.8,3.5,11.81,30.8,84,9.66,10.5,3.5,46.67,43.02,36.32,36.32,47.8,20.07,1.42,99.59,0,15.98,16.38,69.71,0,0,28.68,0,15.98,1.06,19.12,14.34,1.46,47.8,30.8,148.93,233.33,45,131.91,0,0,114.71,26.77,47.8,76.02,25.24,93,93

53,13:00-13:15,60.05,3.33,9.67,47,196,30.8,3.5,11.41,30.8,84,9.66,10.5,3.5,46.67,43.02,36.32,36.32,47.8,20.07,1.47,99.59,0,15.98,16.38,69.71,0,0,28.68,0,15.98,1.06,19.12,14.34,1.46,47.8,30.8,146.96,233.33,45,131.91,0,0,114.71,26.77,47.8,76.02,24.22,93,93

54,13:15-13:30,60.05,3.33,10,47,196,30.8,3.5,11,30.8,84,10,10.5,3.5,46.67,43.02,36.32,36.32,47.8,20.07,1.47,99.59,0,15.98,16.38,69.71,0,0,28.68,0,15.98,1.06,19.12,14.34,1.46,47.8,30.8,144.43,233.33,44,131.91,0,0,114.71,26.77,47.8,76.02,23.21,93,93

55,13:30-13:45,60.05,3.33,10,47,196,30.8,3.5,14.01,30.8,84,10,10.5,3.5,46.67,43.02,36.32,36.32,47.8,20.07,1.47,99.59,0,15.98,16.38,69.71,0,0,28.68,0,15.98,1.06,19.12,14.34,1.46,47.8,30.8,141,233.33,43,131.91,0,0,114.71,26.77,47.8,76.02,23.21,93,91

56,13:45-14:00,60.05,3.33,10,46,196,30.8,3.5,14.21,30.8,84,10,10.5,3.5,46.67,43.02,36.32,36.32,47.8,20.07,1.47,99.59,0,15.98,16.38,69.71,0,0,28.68,0,15.98,1.06,19.12,14.34,1.46,47.8,30.8,136.7,233.33,42,131.91,0,0,114.71,26.77,47.8,76.02,23.21,93,91

57,14:00-14:15,60.05,3.33,10,46,193,30.8,3.5,15.61,30.8,82,10,10.5,3.5,46.67,43.02,36.32,36.32,47.8,20.07,1.47,99.59,0,15.83,16.23,69.71,0,0,28.68,0,15.83,1.14,19.12,14.34,1.46,47.8,30.8,131.63,233.33,41,131.91,0,0,114.71,26.77,47.8,76.02,22.21,91,87

58,14:15-14:30,60.05,3.33,10,44,189,30.8,3.5,15.81,30.8,81,10,10.5,3.5,45.83,43.02,36.32,36.32,47.8,20.07,1.47,99.59,0,15.39,15.78,69.71,0,0,28.68,0,15.39,1.14,19.12,14.34,1.46,47.8,30.8,125.4,229.17,39,131.91,0,0,114.71,26.77,47.8,76.02,22.21,89,86

59,14:30-14:45,60.05,3.33,10,43,186,30.8,3.5,16.01,30.8,79,10,10.5,3.5,44.76,43.02,36.32,36.32,47.8,20.07,1.47,99.59,0,14.67,15.04,69.71,0,0,28.68,0,14.67,1.14,19.12,14.34,1.46,47.8,30.8,118.39,223.82,37,131.91,0,0,114.71,26.77,47.8,76.02,21.19,85,81

60,14:45-15:00,59.94,4,10,40,175,30.8,3.5,16.01,30.8,75,10,10.5,3.5,42.88,43.02,36.32,36.32,47.8,20.07,1.47,99.59,0,13.73,14.08,69.71,0,0,28.68,0,13.73,1.14,19.12,14.34,1.46,47.8,30.8,110.47,214.42,35,131.91,0,0,114.71,26.77,47.8,76.02,21.7,81,77

61,15:00-15:15,56.96,4.33,10,38,165,31.3,3.5,16.21,31.3,70,10,10.5,3.5,40.6,43.02,36.32,36.32,47.8,20.07,1.52,99.59,0,12.74,13.05,69.71,0,0,28.68,0,12.74,1.21,19.12,14.34,1.55,47.8,31.3,101.74,202.99,33,131.91,0,0,114.71,26.77,47.8,86.22,22.21,75,72

62,15:15-15:30,52.62,4.67,10,35,154,31.3,3.5,16.41,31.3,66,10,10.5,3.5,38,43.02,36.32,36.32,47.8,20.07,1.52,99.59,0,11.57,11.86,69.71,0,0,28.68,0,11.57,1.21,19.12,14.34,1.55,47.8,31.3,92.21,189.98,30,131.91,0,0,114.71,26.77,47.8,86.22,23.21,70,66

63,15:30-15:45,45.51,5,10,32,140,32.89,3.5,16.41,32.9,60,10,10.5,3.5,35.13,43.02,36.32,36.32,47.8,20.07,1.52,99.59,0,10.36,10.63,65.59,0,0,28.68,0,10.36,1.21,19.12,14.34,1.55,47.8,26,81.7,175.65,28,131.91,0,0,114.71,26.77,47.8,86.22,24.22,65,60

64,15:45-16:00,40.97,5.33,10.33,28,126,32.91,3.5,16.61,32.92,54,10.34,10.5,3.5,32.03,43.02,36.32,36.32,47.8,20.07,1.52,99.59,0,9.12,9.35,65.59,0,0,28.68,0,9.12,1.21,19.12,14.34,1.55,47.8,19,70.24,160.14,25,131.91,0,0,114.71,26.77,47.8,86.22,24.22,57,53

65,16:00-16:15,35.44,5.33,10,25,112,33,3.67,16.01,33,48,10,10.99,3.67,26.15,43.02,36.32,36.32,47.8,20.07,1.52,99.59,0,7.92,8.12,65.59,0,0,28.68,0,7.92,1.21,19.12,14.34,1.46,47.8,11,58.03,130.72,23,131.91,0,0,114.71,26.77,47.8,86.22,24.22,50,46

66,16:15-16:30,29.22,5.33,10,21,95,33,4,15.81,33,40,10,12,4,22.13,43.02,36.32,36.32,47.8,20.07,1.52,99.59,0,6.68,6.85,65.59,0,0,28.68,0,6.68,1.21,19.12,14.34,1.46,47.8,5,45.22,110.64,19,131.91,0,0,114.71,26.77,47.8,86.22,25.24,41,38

67,16:30-16:45,23.81,5.33,10,17,77,25.96,4.17,15.61,33,33,10,12.49,4.17,17.98,43.02,36.32,36.32,47.8,20.07,1.52,99.59,0,5.41,5.55,82.45,0,0,28.68,0,5.41,1.21,19.12,14.34,1.46,47.8,1,32.56,89.92,13,131.91,0,0,114.71,26.77,47.8,86.22,25.24,33,32

68,16:45-17:00,18.47,5.33,10,11,56,15.79,4.5,15.21,20.46,24,10,13.5,4.5,13.75,43.02,36.32,36.32,47.8,20.07,1.52,99.59,0,4.14,4.23,114.33,0,0,28.68,0,4.14,1.21,19.12,14.34,1.46,47.8,0,21.54,68.72,8,131.91,0,0,114.71,26.77,47.8,86.22,25.24,21,22

69,17:00-17:15,14.22,6,13.33,6,35,8.96,4.67,15.21,10.92,15,13.34,13.99,4.67,10.28,43.02,36.32,36.32,47.8,20.07,1.52,99.59,0,3.03,3.1,114.33,0,0,28.68,0,3.03,1.21,19.12,14.34,1.46,47.8,0,13.03,51.42,4,131.91,0,0,114.71,26.77,47.8,86.22,25.24,11,13

70,17:15-17:30,9.21,6,13.67,2,14,4.44,4.67,15.21,4.74,6,13.66,13.99,4.67,5.64,43.02,36.32,36.32,47.8,20.07,1.52,99.59,0,2.12,2.18,114.33,0,0,28.68,0,2.12,1.21,19.12,14.34,1.46,47.8,0,6.99,28.22,2,131.91,0,0,114.71,26.77,47.8,86.22,26.24,5,9

