Column1,Block,NR/2025/33302/C,NR/2025/32857/A/95435,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/95658,NR/2025/32534/A/95661,NR/2025/32535/A/95662,NR/2025/32535/A/95664,NR/2025/32532/A/95659,NR/2025/32534/A/95660,NR/2025/32652/A/95443,NR/2025/32653/A/95442,NR/2025/32599/A/95434,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/3698,NR/2025/29440/A/95238,NR/2025/32559/A/95725,NR/2025/32610/A/95724,NR/2025/29992/A/95339,NR/2025/32556/A/95726,NR/2025/32375/A/95737,NR/2025/31421/A/95741,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/09/3786,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33231/C,NR/2025/31046/A/95690,NR/2025/32702/A/95364,NR/2025/33198/C,NR/2025/31047/A/95691,NR/2025/33208/C,NR/2025/33268/C,NR/2025/33277/C,NR/2025/33269/C,NR/2025/32262/A/95311,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/33279/C,NR/2025/32004/A/95729,NR/2025/33281/C,NR/2025/33232/C,NR/2025/33283/C,NR/2025/33236/C,NR/2025/33299/C,NR/2025/32598/A/95740,NR/2025/32397/A/95258,NR/2025/33241/C,NR/2025/31041/A/95677,NR/2025/32554/A/95632,NR/2025/31042/A/95678,NR/2025/33284/C,NR/2025/32455/A/95758,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,47.99,14.54,95.98,14.54,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,0,32,0,105.58,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,47.99,1500.4300000000003

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,47.99,14.54,95.98,14.54,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,0,32,0,105.58,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,47.99,1500.4300000000003

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,47.99,14.54,95.98,14.54,0.62,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,26.93,26.93,0,105.58,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,47.99,1522.0500000000002

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,47.99,14.54,95.98,14.54,0.62,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,26.93,26.93,0,105.58,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,47.99,1522.0500000000002

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,47.99,14.54,95.98,14.54,0.62,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,26.93,26.93,0,105.58,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,47.99,1522.0500000000002

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,47.99,14.54,95.98,14.54,0.62,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,26.93,26.93,0,105.58,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,47.99,1522.0500000000002

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.62,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,26.93,26.93,0,105.58,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,0,1522.0500000000002

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.62,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,26.93,26.93,0,105.58,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,0,1522.0500000000002

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.62,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,26.93,26.93,0,105.58,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,0,1522.0500000000002

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.62,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,26.93,26.93,0,105.58,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,0,1522.0500000000002

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.53,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,0,1492.8000000000002

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.53,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,0,1492.8000000000002

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.53,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,0,1492.8000000000002

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.53,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,14.15,0,95.98,12.48,0,0,0,0,191.96,0,53.99,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,95.98,163.17,0,0,0,1492.8000000000002

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.53,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.64,0,0,12.48,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,0,163.17,0,0,0,1250.34

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.53,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.64,0,0,12.48,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,0,163.17,0,0,0,1250.34

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.53,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.64,0,0,12.48,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,0,163.17,0,0,0,1250.34

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.53,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.64,0,0,12.48,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,0,163.17,0,0,0,1250.34

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.53,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.64,0,0,12.48,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,0,163.17,0,0,0,1250.34

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.53,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.64,0,0,12.48,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,0,163.17,0,0,0,1250.34

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.53,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.64,0,0,11.52,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,0,163.17,0,0,0,1249.3799999999999

24,05:45-06:00,0,0,0.15,0,0,0,0,0,0,0,0,0,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.53,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.64,0,0,11.52,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,0,163.17,0,0,0,1249.53

25,06:00-06:15,0,0,0.75,0.03,0,0.03,0,0,0.03,0,0,1,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.82,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.45,0,0,11.52,0,0,0,0,191.96,0,0,25.68,25.68,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,0,0,0,1240.1799999999998

26,06:15-06:30,0,0,1.78,0.07,0,0.07,0,0,0.07,0,0,5,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.82,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.45,0,0,11.52,0,0,0,0,191.96,0,0,25.68,25.68,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,0,0,0,1245.33

27,06:30-06:45,0.84,0,3.96,0.19,0,0.1,0,0,0.1,0,0,10,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.82,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.45,0,0,11.52,0,0,0,0,191.96,0,0,26.5,26.93,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,0,0,0,1255.6

28,06:45-07:00,1.37,0,6.59,0.19,0,0.1,0,0,0.1,0,0,17,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.82,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.45,0,0,11.52,0,0,0,0,191.96,0,0,26.5,26.93,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,0,0,0,1265.76

29,07:00-07:15,1.97,0,9.95,0.19,0.06,0.1,0.05,0.08,0.1,0,0,24,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.45,0,0,11.52,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,0,0,0,1277.3799999999999

30,07:15-07:30,2.97,0,14.08,0.19,0.09,0.1,0.09,0.12,0.19,0,0,34,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.45,0,0,11.52,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,0,0,0,1292.71

31,07:30-07:45,3.85,0,18.91,0.19,0.16,0.1,0.16,0.21,0.19,0,0,42,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.45,0,0,11.52,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,0,0,0,1306.65

32,07:45-08:00,5.24,0,24.5,0.29,0.32,0.1,0.32,0.44,0.19,0,0,56,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.45,0,0,11.52,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,0,0,0,1328.2800000000002

33,08:00-08:15,6.17,1.15,30.67,0.29,0.39,0.1,0.39,0.55,0.19,1.63,0,70,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.96,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.45,0,0,11.52,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,0,0,0,1352.5100000000002

34,08:15-08:30,8.51,1.15,37.25,0.29,0.58,0.1,0.48,0.67,0.19,1.63,0,84,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.96,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.45,0,0,11.52,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,0,0,0,1375.8300000000002

35,08:30-08:45,5.86,1.15,43.95,0.29,0.58,0.1,0.48,0.67,0.19,1.63,0,99,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.96,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.45,0,0,13.44,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,0,0,0,1396.8000000000004

36,08:45-09:00,5.86,1.15,50.57,0.29,0.58,0.1,0.48,0.67,0.19,1.63,0,113,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.96,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,17.45,0,0,13.44,0,0,0,0,191.96,0,0,26.93,26.93,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,0,0,0,1417.4200000000003

37,09:00-09:15,5.86,1.15,56.91,0.38,0.58,0.1,0.48,0.67,0.19,1.63,0,126,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.96,0,0,0,0,0,0,47.99,24,15.21,0,17.64,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.94,26.94,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1437.0600000000002

38,09:15-09:30,6.84,1.15,62.94,0.38,0.58,0.19,0.48,0.67,0.19,1.63,0,137,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.96,0,0,0,0,0,0,47.99,24,15.21,0,17.64,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.94,26.94,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1455.1600000000003

39,09:30-09:45,6.84,1.15,68.59,0.38,0.58,0.19,0.48,0.67,0.19,1.63,0,151,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.96,0,0,0,0,0,0,47.99,24,15.21,0,17.64,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.94,26.94,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1474.8100000000002

40,09:45-10:00,7.81,1.15,73.87,0.38,0.58,0.19,0.48,0.67,0.19,1.63,0,158,20.71,24,19.2,16.59,95.98,14.54,95.98,14.54,0.96,0,0,0,0,0,0,47.99,24,15.21,0,17.64,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.94,26.94,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1488.0600000000002

41,10:00-10:15,7.81,1.15,78.75,0.38,0.58,0.1,0.48,0.67,0.19,1.63,1.44,165,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,17.82,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.94,26.94,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1480.9200000000003

42,10:15-10:30,7.81,1.15,81.75,0.38,0.58,0.1,0.48,0.77,0.19,1.63,1.44,172,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,17.82,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.94,26.94,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1491.0200000000002

43,10:30-10:45,11.51,1.15,87.96,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,168,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,17.82,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.94,26.94,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1496.9200000000003

44,10:45-11:00,12.78,1.15,92.03,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,175,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,17.82,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.94,26.94,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1509.2600000000002

45,11:00-11:15,14.05,1.15,94.62,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,179,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.01,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.94,26.94,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1517.3100000000002

46,11:15-11:30,15.49,1.15,96.78,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,182,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.01,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.94,26.94,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1523.9100000000003

47,11:30-11:45,16.86,1.15,97.74,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,175,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.01,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.94,26.94,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1519.2400000000002

48,11:45-12:00,18.14,1.15,98.88,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,175,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.01,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.94,26.94,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1521.6600000000003

49,12:00-12:15,19.32,1.15,100,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,168,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.01,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1516.9800000000002

50,12:15-12:30,19.62,1.15,100,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,168,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.01,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1517.2800000000002

