Block,Time,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/02112023/15112023/D20231102NR21539,NR/01112023/30112023/HP-10,NR/01102023/23072042/L_NR_2012_04,NR/03112023/30112023/IEX-231101-05680,NR/01112023/30112023/HP-09,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,SR/01112023/30112023/KSEB_BYPL-NOV23,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15
6,01:15-01:30,2.510000,64.930000,26.080000,1.850000,67.630000,0.000000,48.310000,1.940000,26.080000,0.000000,261.450000,0.000000,0.000000,27.050000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.62,0,0,0,0,10.14,8.62,0,0,5.88,3.38,144.93,0,3.37,0,0,0,7.21,0,0

7,01:30-01:45,2.510000,48.970000,26.080000,1.850000,71.890000,0.000000,48.310000,1.940000,26.080000,0.000000,261.450000,0.000000,0.000000,27.050000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.82,0,0,0,0,10.15,8.82,0,0,5.92,3.38,144.93,0,3.38,0,0,0,7.21,0,0

8,01:45-02:00,2.510000,48.970000,26.080000,1.850000,71.890000,0.000000,48.310000,1.940000,26.080000,0.000000,261.450000,0.000000,0.000000,27.050000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.87,0,0,0,0,10.11,8.87,0,0,5.96,3.37,144.93,0,3.38,0,0,0,7.21,0,0

9,02:00-02:15,2.510000,48.970000,26.080000,1.850000,71.890000,0.000000,48.310000,1.940000,26.080000,0.000000,261.450000,0.000000,0.000000,27.050000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.99,0,0,0,0,9.88,8.99,0,0,5.9,3.29,144.93,0,3.3,0,0,0,7.21,0,0

10,02:15-02:30,2.510000,48.970000,26.080000,1.850000,71.890000,0.000000,48.310000,1.940000,26.080000,0.000000,261.450000,0.000000,0.000000,27.050000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.33,0,0,0,0,9.81,8.33,0,0,5.84,3.27,144.93,0,3.26,0,0,0,7.21,0,0

11,02:30-02:45,2.510000,48.970000,26.080000,1.850000,71.890000,0.000000,48.310000,1.940000,26.080000,0.000000,226.010000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.13,0,0,0,0,12.62,8.13,0,0,5.77,4.21,144.93,0,4.2,0,0,0,7.21,0,0

12,02:45-03:00,2.510000,48.970000,26.080000,1.850000,71.890000,0.000000,48.310000,1.940000,26.080000,0.000000,226.010000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.05,0,0,0,0,12.62,8.05,0,0,5.71,4.21,144.93,0,4.21,0,0,0,7.21,0,0

13,03:00-03:15,2.510000,48.970000,26.080000,1.850000,71.890000,0.000000,48.310000,2.020000,26.080000,0.000000,226.010000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.57,0,0,0,0,12.71,8.57,0,0,5.73,4.24,144.93,0,4.23,0,0,0,7.21,0,0

14,03:15-03:30,2.510000,48.970000,26.080000,1.850000,71.890000,0.000000,48.310000,2.020000,26.080000,0.000000,226.010000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,8.86,0,0,0,0,12.91,8.86,0,0,5.75,4.3,144.93,0,4.31,0,0,0,7.21,0,0

15,03:30-03:45,2.510000,48.970000,26.080000,1.850000,71.890000,0.000000,48.310000,2.020000,26.080000,0.000000,226.010000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,9.52,0,0,0,0,12.99,9.52,0,0,5.77,4.33,144.93,0,4.34,0,0,0,7.21,0,0

16,03:45-04:00,2.510000,48.970000,26.080000,1.850000,71.890000,0.000000,48.310000,2.020000,26.080000,0.000000,226.010000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,10.06,0,0,0,0,13.08,10.06,0,0,5.81,4.36,144.93,0,4.36,0,0,0,5.01,0,0

17,04:00-04:15,2.510000,48.970000,26.080000,1.770000,71.890000,0.000000,48.310000,2.020000,26.080000,0.000000,261.450000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,10.33,0,0,0,0,13.11,10.33,0,0,5.84,4.37,144.93,0,4.37,0,0,0,6.98,0,0

18,04:15-04:30,2.510000,48.970000,26.080000,1.770000,67.630000,0.000000,48.310000,2.020000,26.080000,0.000000,261.450000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,10.74,0,0,0,0,13.15,10.74,0,0,5.87,4.38,144.93,0,4.39,0,0,0,6.74,0,0

19,04:30-04:45,2.510000,48.970000,26.080000,1.770000,67.630000,0.000000,48.310000,2.020000,26.080000,0.000000,261.450000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,12.36,0,0,0,0,13.18,12.36,0,0,5.9,4.39,144.93,0,4.4,0,0,0,6.41,0,0

20,04:45-05:00,2.510000,48.970000,26.080000,1.770000,67.630000,0.000000,48.310000,2.020000,26.080000,0.000000,261.450000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,14.2,0,0,0,0,13.22,14.2,0,0,5.92,4.41,144.93,0,4.39,0,0,0,6.41,0,0

21,05:00-05:15,2.510000,48.970000,26.080000,1.770000,67.630000,0.000000,48.310000,2.020000,26.080000,0.000000,261.450000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,15.79,0,0,0,0,12.73,15.79,0,0,5.49,4.24,144.93,0,4.26,0,0,0,6.41,0,0

22,05:15-05:30,2.510000,58.120000,26.080000,1.770000,67.630000,0.000000,48.310000,2.020000,26.080000,0.000000,261.450000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,17.88,0,0,0,0,12.4,17.88,0,0,5.07,4.13,144.93,0,4.15,0,0,0,6.41,0,0

23,05:30-05:45,2.510000,74.090000,26.080000,1.770000,67.630000,0.000000,48.310000,2.020000,26.080000,0.000000,261.450000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,19.82,0,0,0,0,11.34,19.82,0,0,4.73,3.78,144.93,0,3.78,0,0,0,6.41,0,0

24,05:45-06:00,2.510000,74.090000,26.080000,1.770000,67.630000,0.000000,48.310000,2.020000,26.080000,0.000000,261.450000,0.000000,0.000000,26.090000,48.310000,93.630000,271.740000,48.310000,38.280000,0.000000,0,0,22.15,0,0,0,0,11.1,22.15,0,0,4.4,3.7,144.93,0,3.71,0,0,0,6.41,0,0

25,06:00-06:15,2.510000,74.090000,25.300000,1.770000,67.630000,0.000000,48.310000,2.020000,25.300000,0.000000,261.450000,0.000000,0.000000,27.050000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,0,0,28.39,0,0,0,0,10.81,28.39,0,0,4.2,3.6,144.93,0,3.6,0,0,0,14.02,0,0

26,06:15-06:30,2.510000,74.090000,25.300000,1.770000,67.630000,0.000000,48.310000,2.020000,25.300000,0.000000,261.450000,0.000000,0.000000,27.050000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,1,0,31.81,0,0,0,0,10.67,31.81,0,0,4.06,3.56,144.93,0,3.55,0,0,0,13.66,0,0

27,06:30-06:45,2.510000,74.090000,25.300000,1.770000,67.630000,0.000000,48.310000,2.020000,25.300000,0.010000,261.450000,0.010000,0.010000,27.050000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,5,0,29.35,0,0,1,0,10.55,29.35,0,0,3.88,3.52,144.93,3,3.51,0,0,1.206148,7.21,0,0.32

28,06:45-07:00,2.510000,74.090000,25.300000,1.770000,67.630000,0.000000,48.310000,2.020000,25.300000,0.020000,261.450000,0.020000,0.020000,27.050000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,10,3.5,26.97,0,0,4.19,0,10.31,26.97,1.5,0.33,3.73,3.44,144.93,15,3.44,0,0,8.112318,7.21,0,1.08

29,07:00-07:15,2.510000,74.090000,25.300000,1.690000,67.630000,0.000000,48.310000,2.020000,25.300000,0.220000,261.450000,0.230000,0.220000,26.090000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,18,7,24.86,1.87,0,20,0.37,10.19,24.86,3,2.33,3.59,3.39,144.93,25.84,3.4,0,1,17.187609,7.21,0,2.55

30,07:15-07:30,2.510000,74.090000,25.300000,1.690000,67.630000,0.000000,48.310000,2.020000,25.300000,0.650000,261.450000,0.670000,0.650000,26.090000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,27,11,22.84,7.72,0,27.98,1.54,10.08,22.84,4,5,3.41,3.36,144.93,27.97,3.36,0,3,25.825185,7.21,2,5

31,07:30-07:45,2.510000,74.090000,25.300000,1.690000,67.630000,0.000000,48.310000,2.020000,25.300000,1.400000,261.450000,1.430000,1.400000,26.090000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,29.98,14,22.84,15.28,0,29.98,3.05,9.84,22.84,6,4.42,3.33,3.28,144.93,29.99,3.27,0,7,34.355764,7.21,4,3

32,07:45:08:00,2.510000,74.090000,25.300000,1.690000,67.630000,0.000000,48.310000,2.020000,25.300000,2.390000,261.450000,2.440000,2.390000,26.090000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,30.48,22,22.86,25.14,0,30.48,5.03,9.73,22.86,10,10.92,3.2,3.24,144.93,30.49,3.25,0,13,43.606141,7.21,7,4

33,08:00-08:15,2.460000,65.850000,25.300000,1.690000,67.630000,0.000000,48.310000,1.940000,25.300000,3.430000,261.450000,3.510000,3.430000,26.090000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,30.98,35,22.04,37.89,0,30.98,7.58,9.49,22.04,15,18,3.08,3.16,144.93,30.99,3.18,0,17,53.381776,7.21,9,8.43

34,08:15-08:30,2.460000,58.120000,25.300000,1.690000,67.630000,0.000000,48.310000,1.940000,25.300000,4.510000,261.450000,4.620000,4.510000,26.090000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,31.32,52,21.1,52.43,0,31.32,10.49,9.4,21.1,22,25.4,2.97,3.13,144.93,31.31,3.14,0,26,62.83642,7.21,13,12.67

35,08:30-08:45,2.460000,58.120000,26.080000,1.690000,67.630000,0.000000,48.310000,1.560000,26.080000,5.640000,261.450000,5.790000,5.640000,26.090000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.17,61.6,19.92,67.52,0,32.17,13.5,9.31,19.92,26.4,33.03,2.86,3.1,144.93,32.16,3.1,0,31,71.473996,7.21,16,15.74

36,08:45:09:00,2.460000,58.120000,26.080000,1.690000,67.630000,0.000000,48.310000,1.560000,26.080000,6.680000,261.450000,6.840000,6.680000,26.090000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.17,77,18.91,84.79,0,32.17,16.96,8.94,18.91,33,40.54,2.79,2.98,144.93,32.16,2.97,0,38,79.411228,7.21,19,19.03

37,09:00:09:15,2.460000,58.120000,26.080000,1.770000,67.630000,0.000000,48.310000,1.860000,26.080000,7.720000,261.450000,7.910000,7.720000,26.090000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,92.4,17.53,101.3,0,32.33,20.26,8.89,17.53,39.6,47.46,2.77,2.96,144.93,32.34,2.96,0,44,76.376404,7.21,22,22.48

38,09:15-09:30,2.460000,58.120000,26.080000,1.770000,67.630000,0.000000,48.310000,1.860000,26.080000,8.720000,261.450000,8.940000,8.720000,26.090000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,105,17.23,118.07,0,32.33,23.61,8.84,17.23,45,53.83,2.73,2.95,144.93,32.34,2.94,0,51,83.730016,7.21,25,24.7

39,09:30-09:45,2.460000,74.090000,26.080000,1.770000,67.630000,0.000000,48.310000,1.860000,26.080000,9.620000,261.450000,9.860000,9.620000,27.050000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,119,15.98,133.32,0,32.33,26.66,8.68,15.98,51,59.95,2.72,2.89,144.93,32.34,2.9,0,48,90.490281,6.01,24,26.27

40,09:45-10:00,2.460000,74.090000,26.080000,1.770000,67.630000,0.000000,48.310000,1.860000,26.080000,10.430000,261.450000,10.700000,10.430000,27.050000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,128.8,15.26,145.44,0,32.33,29.09,8.64,15.26,55.2,65.28,2.71,2.88,144.93,32.34,2.88,0,51,96.58911,6.01,26,29.13

41,10:00-10:15,2.460000,74.090000,26.080000,1.770000,67.630000,0.000000,48.310000,1.860000,26.080000,8.320000,261.450000,8.530000,8.320000,27.050000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,135.1,14.36,164.73,0,32.33,32.95,8.47,14.36,57.9,70.22,2.66,2.82,144.93,32.34,2.83,0,53,101.958414,6.01,27,31.04

42,10:15-10:30,2.460000,74.090000,26.080000,1.770000,86.960000,0.000000,48.310000,1.860000,26.080000,9.460000,261.450000,9.700000,9.460000,27.050000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,145.6,13.56,176.1,0,32.33,35.22,8.41,13.56,62.4,73.21,2.66,2.81,144.93,32.34,2.8,0,58,107.045635,6.01,29,33.32

43,10:30-10:45,2.460000,74.090000,26.080000,1.770000,77.300000,0.000000,48.310000,1.860000,26.080000,10.420000,261.450000,10.680000,10.420000,27.050000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,136.5,13.42,186.92,0,32.33,37.38,8.27,13.42,58.5,76.29,2.65,2.76,144.93,32.34,2.74,0,55,107.045635,6.01,27,32.77

44,10:45-11:00,2.460000,74.090000,26.080000,1.770000,77.300000,0.000000,48.310000,1.860000,26.080000,11.370000,261.450000,11.660000,11.370000,27.050000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,140,13.23,194.01,0,32.33,38.8,8.23,13.23,60,78.89,2.62,2.74,144.93,32.34,2.74,0,59,111.130975,6.01,29,34.37

45,11:00-11:15,2.460000,74.090000,26.080000,1.850000,67.630000,0.000000,48.310000,1.860000,26.080000,12.140000,261.450000,12.440000,12.140000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,147,13.09,196.79,0,32.33,39.36,8.03,13.09,63,81.06,2.6,2.68,144.93,32.34,2.67,0,60,114.428428,6.01,30,35.22

46,11:15-11:30,2.460000,74.090000,26.080000,1.850000,67.630000,0.000000,48.310000,1.860000,26.080000,12.340000,261.450000,12.640000,12.340000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,154,12.94,200.21,0,32.33,40.04,7.91,12.94,66,82.96,2.59,2.64,144.93,32.34,2.64,0,62,116.811543,6.01,31,35.61

47,11:30-11:45,2.460000,74.090000,26.080000,1.850000,67.630000,0.000000,48.310000,1.860000,26.080000,12.340000,261.450000,12.640000,12.340000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,152.6,11.67,200.21,0,32.33,40.04,7.85,11.67,65.4,84.03,7,2.62,144.93,32.34,2.61,0,57,116.179288,6.01,28,37.15

48,11:45-12:00,2.460000,74.090000,26.080000,1.850000,67.630000,0.000000,48.310000,1.860000,26.080000,12.340000,261.450000,12.640000,12.340000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,157.5,11.67,200.21,0,32.33,40.04,7.82,11.67,67.5,84.6,7,2.61,144.93,32.34,2.6,0,59,114.836962,6.01,29,37.17

49,12:00-12:15,2.510000,74.090000,26.080000,1.920000,67.630000,0.000000,48.310000,1.940000,26.080000,12.340000,261.450000,12.640000,12.340000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,112,11.67,200.21,0,32.33,40.04,7.8,11.67,48,76.5,7,2.6,144.93,32.34,2.59,0,23,116.694819,6.01,11,37.26

50,12:15-12:30,2.510000,74.090000,26.080000,1.920000,67.630000,0.000000,48.310000,1.940000,26.080000,12.340000,261.450000,12.640000,12.340000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,115.5,11.67,200.21,0,32.33,40.04,7.74,11.67,49.5,76.2,7,2.58,144.93,32.34,2.58,0,26,117.142261,6.01,13,37.5

51,12:30-12:45,2.510000,74.090000,26.080000,1.920000,67.630000,0.000000,48.310000,1.940000,26.080000,12.340000,261.450000,12.640000,12.340000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,117.6,11.67,200.21,0,32.33,40.04,20,11.67,50.4,76.4,7,6.67,144.93,32.34,6.66,0,27,116.665638,6.01,14,37.66

52,12:45-13:00,2.510000,74.090000,26.080000,1.920000,67.630000,0.000000,48.310000,1.940000,26.080000,12.340000,261.450000,12.640000,12.340000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,119,11.67,200.21,0,32.33,40.04,20,11.67,51,75.8,7,6.67,144.93,32.34,6.66,0,8,115.274677,6.01,4,37.68

53,13:00-13:15,2.510000,74.090000,26.080000,1.920000,67.630000,0.000000,48.310000,2.020000,26.080000,12.340000,261.450000,12.640000,12.340000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,122.5,11.67,191.67,0,32.33,38.33,20,11.67,52.5,74.88,7,6.67,144.93,32.34,6.66,0,9,112.132856,6.01,4,37.13

54,13:15-13:30,2.510000,58.120000,26.080000,1.920000,67.630000,0.000000,48.310000,2.020000,26.080000,12.340000,234.700000,12.640000,12.340000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,126,11.67,191.67,0,32.33,38.33,20,11.67,54,73.5,7,6.67,144.93,32.34,6.66,0,13,107.055362,6.01,6,37.14

55,13:30-13:45,2.510000,58.120000,26.080000,1.920000,67.630000,0.000000,48.310000,2.020000,26.080000,11.790000,234.700000,12.090000,11.790000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,119,11.67,167.71,0,32.33,33.54,20,11.67,51,71.68,7,6.67,144.93,32.34,6.66,0,12,105.917303,6.01,6,35.26

56,13:45-14:00,2.510000,74.090000,26.080000,1.920000,67.630000,0.000000,48.310000,2.020000,26.080000,11.350000,261.450000,11.630000,11.350000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,119,11.67,166.88,0,32.33,33.37,20,11.67,51,70.47,7,6.67,144.93,32.34,6.66,0,17,99.711477,6.01,8,34.03

57,14:00-14:15,2.510000,74.090000,26.080000,2.000000,77.300000,0.000000,48.310000,2.100000,26.080000,10.930000,261.450000,11.210000,10.930000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,77,11.67,163.58,0,32.33,32.71,20,11.67,33,68.57,7,6.67,144.93,32.34,6.66,0,17,92.231414,6.01,9,31.5

58,14:15-14:30,2.510000,74.090000,26.080000,2.000000,96.620000,0.000000,48.310000,2.100000,26.080000,10.500000,261.450000,10.750000,10.500000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,77,11.67,156.97,0,32.33,31.39,20,11.67,33,66,7,6.67,144.93,32.34,6.66,0,21,84.13855,6.01,10,29.79

59,14:30-14:45,2.510000,74.090000,26.080000,2.000000,105.320000,0.000000,48.310000,2.100000,26.080000,8.180000,261.450000,8.390000,8.180000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,88.9,11.67,150.36,0,32.33,30.07,20,11.67,38.1,62.8,7,6.67,144.93,32.34,6.66,0,32,75.598244,7.21,16,27.53

60,14:45-15:00,2.510000,74.090000,26.080000,2.000000,114.010000,0.000000,48.310000,2.100000,26.080000,7.830000,261.450000,8.020000,7.830000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.33,86.8,11.67,136.19,0,32.33,27.24,20,11.67,37.2,59.41,7,6.67,144.93,32.34,6.66,0,31,66.795309,7.21,15,23.94

61,15:00-15:15,2.510000,74.090000,26.080000,2.000000,117.880000,0.000000,48.310000,2.100000,26.080000,7.290000,261.450000,7.470000,7.290000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.5,84.7,11.67,122.03,0,32.5,24.4,20,11.67,36.3,54.91,7,6.67,144.93,32.5,6.66,0,25,60.98829,7.21,12,18.92

62,15:15-15:30,2.510000,74.090000,26.080000,2.000000,117.880000,0.000000,48.310000,2.100000,26.080000,6.560000,261.450000,6.730000,6.560000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.5,66.5,11.67,115.96,0,32.5,23.19,20,11.67,28.5,50.1,7,6.67,144.93,32.5,6.66,0,15,52.798156,7.21,7,19.81

63,15:30-15:45,2.510000,74.090000,23.460000,2.150000,117.880000,0.000000,48.310000,2.100000,26.080000,5.840000,261.450000,5.980000,5.840000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.5,66.5,11.67,82.97,0,32.5,16.59,20,11.67,28.5,44.84,7,6.67,144.93,32.5,6.66,0,10,44.403755,7.21,5,17.5

64,15:45-16:00,2.510000,74.090000,23.460000,2.150000,117.880000,0.000000,48.310000,2.100000,26.080000,5.010000,261.450000,5.140000,5.010000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.5,59.5,11.67,79.28,0,32.5,15.85,20,11.67,25.5,39.17,7,6.67,144.93,32.5,6.66,0,5,36.349799,7.21,2,11.5

65,16:00-16:15,2.550000,74.090000,22.540000,2.150000,117.880000,0.000000,48.310000,2.170000,22.540000,2.870000,261.450000,2.940000,2.870000,28.020000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,32.67,42,11.67,40,0,32.67,8,20,11.67,18,26.45,7,6.67,144.93,32.66,6.66,0,0,28.354205,7.21,0,9

66,16:15-16:30,2.550000,74.090000,22.540000,2.150000,117.880000,0.000000,48.310000,2.170000,22.540000,2.670000,261.450000,2.740000,2.670000,28.990000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,33,35,13.33,38.33,0,31.23,7.67,20,13.33,15,21.52,7,6.67,144.93,33,6.66,0,0,20.261341,7.21,0,7.5

67,16:30-16:45,2.550000,74.090000,0.000000,2.150000,117.880000,0.000000,48.310000,2.170000,0.000000,2.270000,261.450000,2.330000,2.270000,28.990000,48.310000,223.850000,271.740000,48.310000,0.000000,0.000000,28,26.6,13.33,56.75,0,11.65,11.35,20,13.33,11.4,16.31,7,6.67,144.93,16.06,6.66,0,1,11.545949,7.21,0,7

