Time,Block,NR/2023/11642/A,NR/2023/11284/A,NR/2023/10944/A,NR/2023/11956/F,NR/2023/11963/F,NR/2023/10487/A,NR/2023/11640/A,NR/2023/11862/F,NR/2023/12862/C,NR/2023/11957/F,NR/2023/10173/A,NR/2023/11955/F,NR/2023/11941/F,NR/2023/12870/C,NR/2023/12656/F,NR/2023/11961/F,NR/2023/12845/D,NR/2023/11342/A,NR/2023/10236/A,NR/2023/10611/A,NR/2023/11959/F,NR/2023/11962/F,NR/2023/11952/F,NR/2023/12852/C,NR/2023/10229/A,NR/2023/11330/A,NR/2023/12869/C,NR/2023/11960/F,NR/2023/10434/A,NR/2023/10613/A,NR/2023/10344/A,NR/2023/10223/A,NR/2023/11947/F,NR/2023/12850/D,NR/2023/11958/F,NR/2023/11643/A,NR/2023/11476/A,NR/2023/12849/D,ER/2023/7828/C,NR/2023/12846/D,NR/2023/12848/D,Total

3,00:30-00:45,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.350000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,31.600000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1035.89

4,00:45-01:00,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.350000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,31.600000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1035.89

5,01:00-01:15,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.350000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,31.600000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1035.89

6,01:15-01:30,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.350000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,31.600000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1035.89

7,01:30-01:45,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.350000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,31.600000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1035.89

8,01:45-02:00,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.350000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,31.600000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1035.89

9,02:00-02:15,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.260000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,31.600000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1035.8

10,02:15-02:30,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.260000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,31.600000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1035.8

11,02:30-02:45,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.260000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,31.600000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1035.8

12,02:45-03:00,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.260000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,31.600000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1035.8

13,03:00-03:15,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,0.000000,2.900000,17.170000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,975.05

14,03:15-03:30,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,0.000000,2.900000,17.170000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,975.05

15,03:30-03:45,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,0.000000,2.900000,17.170000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,975.05

16,03:45-04:00,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,0.000000,2.900000,17.170000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,975.05

17,04:00-04:15,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,0.000000,2.900000,17.070000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,974.95

18,04:15-04:30,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,0.000000,2.900000,17.070000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,974.95

19,04:30-04:45,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,0.000000,2.900000,17.070000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,974.95

20,04:45-05:00,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,0.000000,2.900000,17.070000,0.900000,75.530000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,974.95

21,05:00-05:15,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,0.000000,2.900000,16.990000,0.900000,0.000000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,64.970000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,886.67

22,05:15-05:30,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,0.000000,2.900000,16.990000,0.900000,0.000000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,64.970000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,886.67

23,05:30-05:45,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,0.000000,2.900000,16.990000,0.900000,0.000000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,64.970000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,70.000000,0,0,956.67

24,05:45-06:00,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,0.000000,2.900000,16.990000,0.900000,0.000000,0.360000,33.840000,0.000000,2.900000,1.020000,78.310000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,64.970000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,70.000000,0,0,956.67

25,06:00-06:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.890000,0.900000,0.000000,0.360000,33.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,70.000000,0,0,866.56

26,06:15-06:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.890000,0.900000,0.000000,0.360000,33.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,1.5,70.000000,0,3.5,871.56

27,06:30-06:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.890000,0.900000,0.000000,0.360000,33.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,3,70.000000,0,7,876.56

28,06:45-07:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.890000,0.900000,0.000000,0.360000,33.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,30.570000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,6,70.000000,0.36,14,886.92

29,07:00-07:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.790000,0.900000,0.000000,0.360000,33.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,28.530000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,9,70.000000,0.82,21,905.24

30,07:15-07:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.790000,0.900000,0.000000,0.360000,33.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,28.530000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,13.5,70.000000,1.04,31.5,920.46

31,07:30-07:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.790000,0.900000,0.000000,0.360000,33.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,28.530000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,19.5,70.000000,1.57,45.5,940.99

32,07:45:08:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.790000,0.900000,0.000000,0.360000,33.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,28.530000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,22.5,70.000000,2,52.5,951.42

33,08:00-08:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.710000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,28.530000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,27,70.000000,2.41,63,1025.75

34,08:15-08:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.710000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,28.530000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,34.8,70.000000,2.92,81.2,1052.26

35,08:30-08:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.710000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,28.530000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,42,70.000000,3.79,98,1077.13

36,08:45:09:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.710000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,28.530000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,46.5,70.000000,3.8,108.5,1092.14

37,09:00:09:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.610000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,29.560000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,51,70.000000,4.51,119,1132.95

38,09:15-09:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.610000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,29.560000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,55.2,70.000000,4.8,128.8,1147.24

39,09:30-09:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.610000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,29.560000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,60.6,70.000000,4.8,141.4,1165.24

40,09:45-10:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.610000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,29.560000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,66,70.000000,4.84,154,1183.28

41,10:00-10:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.520000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,34.650000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,68.7,29.000000,4.9,160.3,1156.34

42,10:15-10:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.520000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,34.650000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,71.4,29.000000,4.93,166.6,1165.37

43,10:30-10:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.520000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,34.650000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,73.8,29.000000,4.93,172.2,1173.37

44,10:45-11:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.520000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,34.650000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,74.4,29.000000,5.19,173.6,1175.63

45,11:00-11:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,10.890000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,34.650000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,75,29.000000,5.72,175,1172.53

46,11:15-11:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,10.890000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,34.650000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,76.5,29.000000,6.74,178.5,1178.55

47,11:30-11:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,10.890000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,34.650000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,76.5,29.000000,6.68,178.5,1178.49

48,11:45-12:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,10.890000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,34.650000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,76.5,29.000000,6.74,178.5,1178.55

49,12:00-12:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,10.890000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,34.650000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,76.5,29.000000,6.73,178.5,1178.54

50,12:15-12:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,10.890000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,34.650000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,76.5,29.000000,6.93,178.5,1178.74

51,12:30-12:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,10.890000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,34.650000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,76.5,29.000000,7.46,178.5,1179.27

52,12:45-13:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,10.890000,0.900000,0.000000,0.360000,62.840000,10.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,34.650000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,76.5,29.000000,7.54,178.5,1179.35

53,13:00-13:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,10.890000,0.900000,0.000000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,35.670000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,76.5,29.000000,7.73,178.5,1170.56

