Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2025/01/01/9606,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3925,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/08/1391,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3945,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,GNA/WR/2025/01/01/8625,WR/01102023/01102023/L_NR_2022_09,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/7459,NR/30092023/31122025/SH-07,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,GNA/WR/2024/11/01/4200
7,01:30-01:45,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,23.33,0,73.34,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,0,1.52,52.57,69.71,47.8,20.07,25.81,59.1,0,0,73.33,28.68,25.81,0,0,0,0,23.33,70.01,0,0,7,0,23.33,0

8,01:45-02:00,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,22,0,72.66,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,0,1.52,52.57,69.71,47.8,20.07,25.81,59.1,0,0,72.67,28.68,25.81,0,0,0,0,22.17,66.49,0,0,7,0,22.17,0

9,02:00-02:15,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,20.67,0,70,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,0,1.52,52.57,69.71,47.8,20.07,25.81,59.1,0,0,70,28.68,25.81,0,0,0,0,29.5,88.5,0,0,7,0,29.5,0

10,02:15-02:30,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,19.33,0,65,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,0,1.52,52.57,69.71,47.8,20.07,25.81,59.1,0,0,65,28.68,25.81,0,0,0,0,28.17,84.49,0,0,7,0,28.17,0

11,02:30-02:45,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,18,0,59.34,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,0,1.52,52.57,69.71,47.8,20.07,25.81,59.1,0,0,59.33,28.68,25.81,0,0,0,0,26.5,79.5,0,0,7,0,26.5,0

12,02:45-03:00,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,16.67,0,53,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,0,1.52,52.57,69.71,47.8,20.07,25.81,59.1,0,0,53,28.68,25.81,0,0,0,0,24.83,74.51,0,0,7,0,24.83,0

13,03:00-03:15,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,25,0,45,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,0,1.38,52.57,69.71,47.8,20.07,25.81,59.1,0,0,45,28.68,25.81,0,0,0,0,28.17,84.49,0,0,7,0,28.17,0

14,03:15-03:30,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,23.67,0,38,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,0,1.38,52.57,69.71,47.8,20.07,25.81,59.1,0,0,38,28.68,25.81,0,0,0,0,27.5,82.5,0,0,7,0,27.5,0

15,03:30-03:45,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,21.67,0,34,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,0,1.38,52.57,69.71,47.8,20.07,25.81,59.1,0,0,34,28.68,25.81,0,0,0,0,26.33,79.01,0,0,7,0,26.33,0

16,03:45-04:00,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,19.33,0,30.34,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,0,1.38,52.57,69.71,47.8,20.07,25.81,59.1,0,0,30.33,28.68,25.81,0,0,0,0,24.83,74.51,0,0,7,0,24.83,0

17,04:00-04:15,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,16,0,28.34,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,0,1.38,52.57,69.71,47.8,20.07,25.81,59.1,0,0,28.33,28.68,25.81,0,0,0,0,22.5,67.5,0,0,7,0,22.5,0

18,04:15-04:30,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,14.33,0,26.66,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,0,1.38,52.57,69.71,47.8,20.07,25.81,59.1,0,0,26.67,28.68,25.81,0,0,0,0,20.17,60.49,0,0,7,0,20.17,0

19,04:30-04:45,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,8.67,0,25.34,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,0,1.38,52.57,69.71,47.8,20.07,25.81,59.1,0,0,25.33,28.68,25.81,0,0,0,0,11.67,34.99,0,0,7,0,11.67,0

20,04:45-05:00,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,7,0,23.66,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,0,1.38,52.57,69.71,47.8,20.07,25.81,59.1,0,0,23.67,28.68,25.81,0,0,0,0,10.67,31.99,0,0,7,0,10.67,0

21,05:00-05:15,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,6.67,0,22.66,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,0,1.33,52.57,69.71,47.8,20.07,25.81,59.1,0,0,22.67,28.68,25.81,0,0,0,0,9.67,28.99,0,0,7,0,9.67,0

22,05:15-05:30,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,6.67,0,22,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,0,1.33,52.57,69.71,47.8,20.07,25.81,59.1,0,0,22,28.68,25.81,0,0,0,0,8.67,25.99,0,0,7,0,8.67,0

23,05:30-05:45,0,0,0,27,0,0,1.06,54.49,0,0,0,0,0,6.67,0,21.34,0,8.6,28.68,47.8,1.55,26.77,19.12,47.8,0,0,1.33,52.57,65.59,47.8,20.07,28.68,59.1,0,0,21.33,28.68,28.68,0,0,0,0,7.33,22.01,0,0,7,0,7.33,0

24,05:45-06:00,0,0,0,27,0,0,1.06,65,0,0,0,0,0,6.67,0,20.66,0,8.6,28.68,47.8,1.55,26.77,19.12,47.8,0,0,1.33,52.57,65.59,47.8,20.07,28.68,76.02,0,0,20.67,28.68,28.68,0,0,0,0,7,21,0,0,7,0,7,0

25,06:00-06:15,0,0,0,27,0,0,1.06,106.85,0,0,0,0,0,6.67,0,18.66,0,8.6,31.54,47.8,1.64,26.77,19.12,47.8,0,0,1.33,99.59,65.59,47.8,20.07,31.54,86.22,0,0,18.67,28.68,31.54,0,0,0,0,7,21,0,0,7,0.52,7,0

26,06:15-06:30,0,0,0,27,0,0,1.06,129.76,0,0,0,0,0,6.67,0,18.34,0,8.6,31.54,47.8,1.64,26.77,19.12,47.8,0,0,1.33,99.59,65.59,47.8,20.07,31.54,86.22,0,0,18.33,28.68,31.54,0,0,0,0,7,21,0.01,0,7,1.09,7,0

27,06:30-06:45,0,0,0,27,0,0,1.06,129.76,0,0,0,0,0,6.67,0,18.34,0,8.6,36.32,47.8,1.64,26.77,19.12,47.8,0,0,1.33,99.59,93.71,47.8,20.07,36.32,86.22,0,0,18.33,28.68,36.32,0,0,0,0,7,21,0.86,0,7,2.27,7,0

28,06:45-07:00,0.09,0,0.09,27,0,0,1.06,129.76,0,0,0,0,0,6.67,0,19,0,8.6,36.32,47.8,1.64,26.77,19.12,47.8,0,0.09,1.33,99.59,112.45,47.8,20.07,36.32,86.22,0,0,19,28.68,36.32,0,0,1,0,7,21,2.89,0,7,4.83,7,0

29,07:00-07:15,0.2,0,0.19,27,0,0,1.02,129.76,0,0,0,0,2,6.67,0,19,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,0.19,1.33,99.59,112.45,47.8,20.07,36.32,86.22,0,50,19,28.68,36.32,0,0,3,0.12,7,21,6.88,1,7,9.71,7,0

30,07:15-07:30,0.42,0,0.41,27,0,0,1.02,129.76,1,0,0,0,3,6.67,0,19.34,1,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,0.41,1.33,99.59,112.45,47.8,20.07,36.32,86.22,0,50,19.33,28.68,36.32,0,0.06,7,0.66,7,21,13.46,2,7,14.93,7,0

31,07:30-07:45,0.83,0,0.81,27,0,0,1.02,129.76,4,1,1,1.24,5,6.67,0.25,19.66,2,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,0.81,1.33,99.59,112.45,47.8,20.07,43.02,86.22,0,50,19.67,28.68,36.32,0,1.42,13,2.08,7,21,22.71,3,7.8,18.39,7,0

32,07:45-08:00,1.42,0,1.38,27,0,0,1.02,129.76,7,3,2,8.96,7,6.67,1.79,20,3,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,1.38,1.33,99.59,114.33,47.8,20.07,43.02,86.22,0,50,20,28.68,36.32,0,1.93,21,4.33,7,21,27.94,5,8.8,27.84,7,0

33,08:00-08:15,2.21,0,2.15,27,0,0,1.02,129.76,20,8,4,23.75,10,6.67,4.75,13.34,5,14.34,36.32,47.8,1.55,26.77,19.12,47.8,10.51,2.15,1.33,99.59,114.33,47.8,20.07,43.02,86.22,0,50,13.33,28.68,36.32,0,4.24,29,7.32,7,21,29.85,9,9.4,29.85,7,0

34,08:15-08:30,3.51,0,3.43,27,0,0,1.02,129.76,24,10,7,43.87,15,6.67,8.78,13.34,6,14.34,36.32,47.8,1.55,26.77,19.12,47.8,13.38,3.43,1.33,99.59,114.33,47.8,20.07,43.02,86.22,0,50,13.33,28.68,36.32,0,7.9,29.9,10.63,7,21,29.9,11,9.8,29.9,7,0

35,08:30-08:45,4.26,0,4.15,27,0,0,1.02,129.76,56,24,12,71.33,23,6.67,14.27,13.34,13,14.34,36.32,47.8,1.55,26.77,19.12,47.8,18.16,4.15,1.33,99.59,114.33,47.8,20.07,43.02,86.22,0,50,13.33,28.68,36.32,0,13.16,30.4,14.24,7,21,30.4,27,7.4,30.4,7,0

36,08:45-09:00,5.27,0,5.15,27,0,0,1.02,129.76,70,30,20,93.6,33,6.67,18.72,13.34,17,14.34,36.32,47.8,1.55,26.77,19.12,47.8,21.03,5.15,1.33,99.59,114.33,47.8,20.07,43.02,86.22,0,50,13.33,28.68,36.32,0,17.63,30.8,20.16,7,21,30.8,33,7.8,30.8,7,0

37,09:00-09:15,6.43,0,6.27,27,0,0,1.02,129.76,91,39,24,114.02,47,6.67,22.8,13.34,20,14.34,36.32,47.8,1.64,26.77,19.12,47.8,29.63,6.27,1.38,99.59,114.33,47.8,20.07,43.02,86.22,0,0,13.33,28.68,36.32,0,22.71,30.8,30.82,7,21,30.8,40,8,30.8,7,0

38,09:15-09:30,7.93,0,7.73,27,0,0,1.02,129.76,105,45,27,132.83,53,6.67,26.57,13.34,25,14.34,36.32,47.8,1.64,26.77,19.12,47.8,29.63,7.73,1.38,99.59,114.33,47.8,20.07,43.02,86.22,0,0,13.33,28.68,36.32,0,29,30.8,47.33,7,21,30.8,50,8.2,30.8,7,0

39,09:30-09:45,9.03,0,8.81,27,0,0,1.02,129.76,126,54,30,151.57,63,6.67,30.32,13.34,30,14.34,36.32,47.8,1.64,26.77,19.12,47.8,43.97,8.81,1.38,99.59,114.33,47.8,20.07,43.02,86.22,0,0,13.33,28.68,36.32,0,36.72,30.8,68.38,7,21,30.8,60,8.6,30.8,7,0

40,09:45-10:00,10.23,0,9.98,27,0,0,1.02,129.76,140,60,33,169.94,70,6.67,33.99,13.34,33,14.34,36.32,47.8,1.64,26.77,19.12,47.8,52.57,9.98,1.38,99.59,114.33,47.8,20.07,43.02,86.22,0,0,13.33,28.68,36.32,0,42.82,30.8,90.12,7,21,30.8,67,8.8,30.8,7,0

41,10:00-10:15,12.11,0,11.81,27,0,0,1.02,129.76,158,67,36,186.67,77,6.67,37.34,13.34,37,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,11.81,1.38,99.59,114.33,47.8,20.07,43.02,86.22,0,0,13.33,28.68,36.32,0,47.43,30.8,108.45,7,21,30.8,73,8.8,30.8,7,0

42,10:15-10:30,13.16,0,12.84,27,0,0,1.02,129.76,172,73,38,201.69,83,6.67,40.34,13.34,39,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,12.84,1.38,99.59,114.33,47.8,20.07,43.02,86.22,0,0,13.33,28.68,36.32,0,52.37,30.8,121.55,7,21,30.8,79,9,30.8,7,0

43,10:30-10:45,13.98,0,13.64,27,0,0,1.02,129.76,182,78,41,214.37,88,6.67,42.87,13.34,41,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,13.64,1.38,99.59,114.33,47.8,20.07,43.02,86.22,0,0,13.33,28.68,36.32,0,55.53,30.8,130.2,7,21,30.8,83,7.6,30.8,7,0

44,10:45-11:00,14.87,0,14.51,27,0,0,1.02,129.76,189,81,42,225.59,91,6.67,45.12,13.34,43,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,14.51,1.38,99.59,114.33,47.8,20.07,43.02,75.79,0,0,13.33,28.68,36.32,0,59.04,30.8,136.12,7,21,30.8,87,7.6,30.8,7,0

45,11:00-11:15,15.7,0,15.32,27,0,0,1.06,113.07,196,84,43,233.33,92,6.67,46.67,13.34,46,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,15.32,1.42,99.59,105.89,47.8,20.07,43.02,75.79,0,0,13.33,28.68,36.32,0,60.05,30.8,140.51,7,21,30.8,92,7.6,30.8,7,0

46,11:15-11:30,16.05,0,15.66,27,0,0,1.06,113.07,196,84,44,233.33,93,6.67,46.67,13.34,48,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,15.66,1.42,99.59,97.45,47.8,20.07,43.02,75.79,0,0,13.33,28.68,36.32,0,60.05,30.8,143.85,7,21,30.8,97,7.6,30.8,7,0

47,11:30-11:45,16.05,0,15.66,27,0,0,1.06,113.07,196,84,46,233.33,94,6.67,46.67,13.34,48,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,15.66,1.42,99.59,89.02,47.8,20.07,43.02,75.79,0,0,13.33,28.68,36.32,0,60.05,30.8,146.65,7,21,30.8,97,7.6,30.8,7,0

48,11:45-12:00,16.05,0,15.66,27,0,0,1.06,129.76,196,84,46,233.33,95,6.67,46.67,13.34,48,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,15.66,1.42,99.59,69.71,47.8,20.07,43.02,75.79,0,0,13.33,28.68,36.32,0,60.05,30.8,135.26,7,21,30.8,97,7.6,30.8,7,0

49,12:00-12:15,16.05,0,15.66,27,0,0,1.06,129.76,196,84,46,233.33,95,6.67,46.67,13.34,49,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,15.66,1.42,99.59,69.71,47.8,20.07,43.02,75.79,0,0,13.33,28.68,36.32,0,60.05,30.8,150.6,7,21,30.8,99,7.6,30.8,7,0

50,12:15-12:30,16.05,0,15.66,27,0,0,1.06,129.76,196,84,46,233.33,95,6.67,46.67,13.34,49,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,15.66,1.42,99.59,69.71,47.8,20.07,43.02,75.79,0,0,13.33,28.68,36.32,0,60.05,30.8,151.07,7,21,30.8,99,7.6,30.8,7,0

51,12:30-12:45,16.05,0,15.66,27,0,0,1.06,129.76,196,84,46,233.33,95,6.67,46.67,13.34,49,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,15.66,1.42,99.59,69.71,47.8,20.07,43.02,75.79,0,0,13.33,28.68,36.32,0,60.05,30.8,150.6,7,21,30.8,99,7.6,30.8,7,0

52,12:45-13:00,16.05,0,15.66,27,0,0,1.06,129.76,196,84,46,233.33,95,6.67,46.67,13.34,49,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,15.66,1.42,99.59,69.71,47.8,20.07,43.02,75.79,0,0,13.33,28.68,36.32,0,60.05,30.8,149.36,7,21,30.8,99,7.6,30.8,7,0

53,13:00-13:15,16.05,0,15.66,27,0,0,1.06,106.85,196,84,46,233.33,95,11.67,46.67,13.34,49,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,15.66,1.47,99.59,69.71,47.8,20.07,43.02,65.59,0,0,13.33,28.68,36.32,0,60.05,30.8,147.34,7,21,30.8,97,7.6,30.8,7,0

54,13:15-13:30,16.05,0,15.66,27,0,0,1.06,90.16,196,84,46,233.33,93,11.67,46.67,13.34,48,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,15.66,1.47,99.59,69.71,47.8,20.07,43.02,65.59,0,0,13.33,28.68,36.32,0,60.05,30.8,144.79,7,21,30.8,97,7.6,30.8,7,0

55,13:30-13:45,16.05,0,15.66,27,0,0,1.06,53.53,196,84,45,233.33,93,11.67,46.67,13.34,48,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,15.66,1.47,99.59,69.71,47.8,20.07,43.02,59.1,0,0,13.33,28.68,36.32,0,60.05,30.8,141.62,7,21,30.8,97,7.6,30.8,7,0

56,13:45-14:00,16.05,0,15.66,27,0,0,1.06,53.53,189,81,44,233.33,92,11.67,46.67,13.34,47,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,15.66,1.47,99.59,69.71,47.8,20.07,43.02,59.1,0,0,13.33,28.68,36.32,0,60.05,30.8,137.31,7,21,30.8,95,7.6,30.8,7,0

57,14:00-14:15,16.05,0,15.66,27,0,0,1.14,53.53,186,79,43,233.33,91,11.67,46.67,13.34,47,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,15.66,1.47,99.59,69.71,47.8,20.07,43.02,59.1,0,0,13.33,28.68,36.32,0,60.05,30.8,132.19,7,21,30.8,93,7.6,30.8,7,0

58,14:15-14:30,15.61,0,15.24,27,0,0,1.14,53.53,179,76,41,233.33,89,11.33,46.67,13.34,46,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,15.24,1.47,99.59,69.71,47.8,20.07,43.02,59.1,0,0,13.33,28.68,36.32,0,60.05,30.8,125.86,7,21,30.8,91,7.8,30.8,7,0

59,14:30-14:45,14.74,0,14.37,27,0,0,1.14,53.53,182,78,39,228.62,87,11,45.73,13.34,44,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,14.37,1.47,99.59,69.71,47.8,20.07,43.02,59.1,0,0,13.33,28.68,36.32,0,60.05,30.8,118.76,7,21,30.8,88,8,30.8,7,0

60,14:45-15:00,13.87,0,13.53,27,0,0,1.14,76.44,172,73,37,218.56,83,10.33,43.71,13.34,42,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,13.53,1.47,99.59,69.71,47.8,20.07,43.02,59.1,0,0,13.33,28.68,36.32,0,60.05,30.8,110.78,7,21,30.8,84,8.4,30.8,7,0

61,15:00-15:15,12.8,0,12.48,27,0,0,1.21,76.44,161,69,35,207.72,80,6.66,41.54,13.34,38,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,12.48,1.47,99.59,69.71,47.8,20.07,43.02,59.1,0,0,13.33,28.68,36.32,0,56.4,31.3,102.04,7,21,31.3,77,9.01,31.3,7,0

62,15:15-15:30,11.73,0,11.44,27,0,0,1.21,76.44,151,64,32,194.56,73,6.66,38.91,13.34,36,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,11.44,1.47,99.59,69.71,47.8,20.07,43.02,59.1,0,0,13.33,28.68,36.32,0,52.1,31.3,92.4,7,21,31.3,72,9.01,31.3,7,0

63,15:30-15:45,10.36,0,10.11,27,15.29,0,1.21,111.81,137,58,29,179.92,67,6.66,35.99,13.34,33,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,10.11,1.47,65,69.71,47.8,20.07,43.02,65.59,0,0,13.33,28.68,36.32,0,47.7,25.99,81.76,7,21,32.9,65,9.01,32.9,7,0

64,15:45-16:00,9.17,0,8.95,27,22.94,0,1.21,111.81,123,52,25,163.71,60,6.66,32.74,13.34,28,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,8.95,1.47,52.57,69.71,47.8,20.07,43.02,65.59,0,0,13.33,28.68,36.32,0,42.96,18.99,70.13,7,21,32.92,57,9.21,32.92,7,0

65,16:00-16:15,7.97,0,7.77,27,22.94,0,1.21,111.81,109,46,23,145.47,53,6.66,29.09,13.34,23,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,7.77,1.52,52.57,65.59,47.8,20.07,43.02,65.59,0,0,13.33,28.68,36.32,0,37.09,11,57.74,7,21,33,47,12.61,33,7,0

66,16:15-16:30,6.72,0,6.56,27,30.59,0,1.21,128.5,91,39,19,126.56,45,6.66,25.31,13.34,19,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,6.56,1.52,78.38,65.59,47.8,20.07,43.02,65.59,0,0,13.33,28.68,36.32,0,29.86,5,44.71,7,21,33,39,13.41,33,7,0

67,16:30-16:45,5.44,0,5.31,27,38.24,0,1.21,128.5,77,33,13,106.57,37,6.66,21.32,13.34,15,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,5.31,1.52,99.59,74.02,47.8,20.07,43.02,86.22,0,0,13.33,28.68,36.32,0,24.22,1,31.92,7,21,33,29,13.41,27.15,7,0

68,16:45-17:00,4.14,0,4.05,27,45.88,0,1.21,128.5,56,24,8,86.06,27,6.66,17.21,13.34,10,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,4.05,1.52,99.59,82.47,47.8,20.07,43.02,86.22,0,0,13.33,28.68,36.32,0,18.73,0,20.98,7,21,20.68,20,13.61,15.88,7,0

69,17:00-17:15,2.87,0,2.8,27,53.53,0,1.21,128.5,35,15,4,61.17,20,6.66,12.24,13.34,5,14.34,36.32,47.8,1.46,26.77,19.12,47.8,90.81,2.8,1.52,99.59,90.9,47.8,20.07,43.02,86.22,0,0,13.33,28.68,36.32,0,14.32,0,12.69,7,21,10.87,10,19.61,9.03,7,0

70,17:15-17:30,2.1,0,2.04,27,53.53,0,1.21,128.5,14,6,2,36.45,13,6.66,7.29,13.34,2,14.34,36.32,47.8,1.46,26.77,19.12,47.8,95.59,2.04,1.52,99.59,114.33,47.8,20.07,43.02,86.22,0,0,13.33,28.68,36.32,0,8.41,0,6.78,7,21,4.59,4,19.41,4.4,7,0

71,17:30-17:45,1.42,0,1.38,32,61.18,0,1.21,128.5,7,3,0,17.62,8,6.66,3.52,13.34,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,96.55,1.38,1.52,99.59,114.33,47.8,20.07,43.02,86.22,0,0,13.33,28.68,36.32,0,4.5,0,2.12,7,21,1.4,1,18.81,2.27,7,0

