Column1,Block,NR/2025/26202/A/75511,NR/2025/26191/A/75018,NR/2025/26289/A/75418,NR/2025/25859/A/75559,NR/2025/27454/C,NR/2025/26101/A/75387,NR/2025/27149/A/75051,NR/2025/26959/A/75064,NR/2025/26336/A/75117,NR/2025/26785/A/74949,NR/2025/26233/A/75420,NR/2025/25861/A/75561,NR/2025/26265/A/75419,NR/2025/26827/A/75404,NR/2025/27456/C,NR/2025/25860/A/75560,NR/2025/26082/A/75512,NR/2025/26822/A/75406,NR/2025/27449/C,NR/2025/26005/A/75021,NR/2025/27460/C,NR/2025/27457/C,NR/2025/27461/C,NR/2025/26004/A/75020,NR/2025/26085/A/74918,NR/2025/27458/C,NR/2025/26291/A/75417,NR/2025/27459/C,NR/2025/27447/C,NR/2025/27377/C,NR/2025/27378/C,NR/2025/27428/C,NR/2025/27379/C,NR/2025/27429/C,NR/2025/26829/A/75402,NR/2025/27407/C,NR/2025/26755/A/74973,NR/2025/26232/A/75421,NR/2025/27381/C,NR/2025/26335/A/75118,NR/2025/25967/A/75554,NR/2025/27380/C,NR/2025/26153/A/74922,NR/2025/27384/C,NR/2025/27385/C,NR/2025/26379/A/75553,NR/2025/26828/A/75403,NR/2025/26825/A/75405,NR/2025/26879/A/75116,GNARE/NR/2024/12/20/3668,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/7791,Total
9,02:00-02:15,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,0,43.91,0,96.61,47.34,14.64,108.55,48.3,88.61,0,86.95,48.3,0.63,0,24.15,0,0,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.47,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1976.3200000000002

10,02:15-02:30,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,0,43.91,0,96.61,47.34,14.64,108.55,48.3,88.61,0,86.95,48.3,0.63,0,24.15,0,0,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.47,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1976.3200000000002

11,02:30-02:45,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,0,43.91,0,96.61,47.34,14.64,108.55,48.3,88.61,0,86.95,48.3,0.63,0,24.15,0,0,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.47,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1976.3200000000002

12,02:45-03:00,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,0,43.91,0,96.61,47.34,14.64,108.55,48.3,88.61,0,86.95,48.3,0.63,0,24.15,0,0,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.47,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1976.3200000000002

13,03:00-03:15,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,0,43.91,0,96.61,47.34,14.64,108.55,48.3,0,0,0,48.3,0.48,0,24.15,0,0,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.28,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1800.42

14,03:15-03:30,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,0,43.91,0,96.61,47.34,14.64,108.55,48.3,0,0,0,48.3,0.48,0,24.15,0,0,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.28,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1800.42

15,03:30-03:45,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,0,43.91,0,96.61,47.34,14.64,108.55,48.3,0,0,0,48.3,0.48,0,24.15,0,0,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.28,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1800.42

16,03:45-04:00,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,0,43.91,0,96.61,47.34,14.64,108.55,48.3,0,0,0,48.3,0.48,0,24.15,0,0,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,33.81,0,26.5,11.28,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1800.42

17,04:00-04:15,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.48,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,0,0,26.5,10.91,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1717.9299999999998

18,04:15-04:30,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.48,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,0,0,26.5,10.91,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1717.9299999999998

19,04:30-04:45,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.48,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,0,0,26.5,10.91,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1717.9299999999998

20,04:45-05:00,0,48.3,48.3,96.61,0,0,1.93,6.76,111.1,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.48,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,0,0,26.5,10.91,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1717.9299999999998

21,05:00-05:15,0,48.3,48.3,96.61,0,0,1.93,6.76,0,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.48,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,0,0,26.5,10.72,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1606.6399999999999

22,05:15-05:30,0,48.3,48.3,96.61,0,0,1.93,6.76,0,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.48,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,0,0,26.5,10.72,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1606.6399999999999

23,05:30-05:45,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.48,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,0,0,26.5,10.72,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1605.6799999999998

24,05:45-06:00,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.48,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,0,164.24,0,62.8,0,0,164.24,14.64,43.91,0,0.07,26.5,10.72,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1605.75

25,06:00-06:15,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.58,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,1,164.24,0,62.8,0,0,164.24,14.64,43.91,0,0.47,26.5,10.54,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1607.0700000000002

26,06:15-06:30,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.58,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,4,164.24,0,62.8,0,0,164.24,14.64,43.91,0,0.85,26.5,10.54,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1610.4499999999998

27,06:30-06:45,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.58,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,7,164.24,0,62.8,0,0,164.24,14.64,43.91,0,4.88,26.5,10.54,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1617.48

28,06:45-07:00,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.58,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,14,164.24,0,62.8,0,0,164.24,14.64,43.91,0,8,26.5,10.54,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1627.6

29,07:00-07:15,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.68,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,25,164.24,0,62.8,0,0,164.24,14.64,43.91,0,12.07,26.5,10.36,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1642.5899999999997

30,07:15-07:30,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.68,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,35,164.24,0,62.8,0,0,164.24,14.64,43.91,0,17.34,26.5,10.36,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1657.8599999999997

31,07:30-07:45,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.68,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,53,164.24,0,62.8,0,0,164.24,14.64,43.91,0,23.52,26.5,10.36,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1682.04

32,07:45-08:00,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,0,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.68,0,24.15,0,48.3,0,0,0,0,0,37.33,0,0,4.83,0,67,164.24,0,62.8,0,0,164.24,14.64,43.91,0,30.37,26.5,10.36,0,0,0,29.1,28.98,13.53,14.49,0,96.61,20.53,10.63,0,26.5,164.24,82.12,0,0,1702.8899999999999

33,08:00-08:15,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,96.61,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.97,0,24.15,0,48.3,0,0,0,0,0,37.33,0,7.73,4.83,0,81,164.24,0,62.8,0,0,164.24,14.64,43.91,0,37.69,26.5,10.91,0,0,0,29.1,28.98,13.53,14.49,0,0,20.53,10.63,0,26.5,164.24,82.12,0,0,1732.7800000000002

34,08:15-08:30,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,96.61,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.97,0,24.15,0,48.3,0,0,0,0,0,37.33,0,7.73,4.83,0,95,164.24,0,62.8,0,0,164.24,14.64,43.91,0,45.04,26.5,10.91,0,0,0,29.1,28.98,13.53,14.49,0,0,20.53,10.63,0,26.5,164.24,82.12,0,0,1754.13

35,08:30-08:45,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,96.61,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.97,0,24.15,0,48.3,0,0,0,0,0,37.33,0,7.73,4.83,0,109,164.24,0,62.8,0,0,164.24,14.64,43.91,0,52.42,26.5,10.91,0,0,0,29.1,28.98,13.53,14.49,0,0,20.53,10.63,0,26.5,164.24,82.12,0,0,1775.5100000000002

36,08:45-09:00,0,48.3,48.3,96.61,0,0,1.93,5.8,0,0,4.83,0,96.61,43.91,0,0,47.34,14.64,108.55,48.3,0,0,0,48.3,0.97,0,24.15,0,48.3,0,0,0,0,0,37.33,0,7.73,4.83,0,123,164.24,0,62.8,0,0,164.24,14.64,43.91,0,59.78,26.5,10.91,0,0,0,29.1,28.98,13.53,14.49,0,0,20.53,10.63,0,26.5,164.24,82.12,0,0,1796.8700000000003

37,09:00-09:15,0,0,0,96.61,14.64,0,2.9,6.76,0,0,0,0,0,0,43.91,0,47.34,0,108.55,48.3,0,43.91,0,48.3,0.97,14.64,0,37.33,48.3,96.61,48.3,164.24,24.15,0,0,48.3,10.63,0,4.83,137,164.24,4.83,9.95,53.14,52.85,0,0,0,0,66.72,26.61,10.72,0,0,0,29.1,28.98,13.53,14.49,0,0,20.53,10.63,0,26.61,164.24,82.12,0,0,1875.81

38,09:15-09:30,0,0,0,96.61,14.64,0,2.9,6.76,0,0,0,0,0,0,43.91,0,47.34,0,108.55,48.3,0,43.91,0,48.3,0.97,14.64,0,37.33,48.3,96.61,48.3,164.24,24.15,0,0,48.3,10.63,0,4.83,151,164.24,4.83,9.95,53.14,52.85,0,0,0,0,73.01,26.61,10.72,0,0,0,29.1,28.98,13.53,14.49,0,0,20.53,10.63,0,26.61,164.24,82.12,0,0,1896.1

39,09:30-09:45,0,0,0,96.61,14.64,0,2.9,6.76,0,0,0,0,0,0,43.91,0,47.34,0,108.55,48.3,0,43.91,0,48.3,0.97,14.64,0,37.33,48.3,96.61,48.3,164.24,24.15,0,0,48.3,10.63,0,4.83,161,164.24,4.83,9.95,53.14,52.85,0,0,0,0,69.83,26.61,10.72,0,0,0,29.1,28.98,13.53,14.49,0,0,20.53,10.63,0,26.61,164.24,82.12,0,0,1902.9199999999996

40,09:45-10:00,0,0,0,96.61,14.64,0,2.9,6.76,0,0,0,0,0,0,43.91,0,47.34,0,108.55,48.3,0,43.91,0,48.3,0.97,14.64,0,37.33,48.3,96.61,48.3,164.24,24.15,0,0,48.3,10.63,0,4.83,172,164.24,4.83,9.95,53.14,52.85,0,0,0,0,74.9,26.61,10.72,0,0,0,29.1,28.98,13.53,14.49,0,0,20.53,10.63,0,26.61,164.24,82.12,0,0,1918.9899999999998

