Time,Block,NR/2024/18986/A/12815,NR/2024/18919/A/12906,NR/2024/18978/A/12303,NR/2024/19165/C,NR/2024/18976/A/12301,NR/2024/18977/A/12302,NR/2024/19030/A/12363,NR/2024/18855/A/12868,NR/2024/19115/A/12670,NR/2024/19043/A/12353,NR/2024/19024/A/12370,NR/2024/19075/A/12511,NR/2024/19081/A/12508,NR/2024/18996/A/13041,NR/2024/19121/A/12865,NR/2024/18936/A/12293,NR/2024/18935/A/12292,NR/2024/18934/A/12291,SR/2024/12799/C,NR/2024/19166/C,Total
57,14:00-14:15,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,7.93,334.04

58,14:15-14:30,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,7.35,333.46

59,14:30-14:45,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,6.87,332.98

60,14:45-15:00,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,6.54,332.65

61,15:00-15:15,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,6.19,332.3

62,15:15-15:30,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,5.59,331.7

63,15:30-15:45,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,5.14,331.25

64,15:45-16:00,0.970000,0.000000,14.510000,0.000000,39.650000,0.000000,19.340000,66.910000,48.360000,46.420000,4.840000,19.340000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,0.00,4.3,330.41

65,16:00-16:15,0.820000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,48.360000,46.420000,4.840000,0.000000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,300.00,4.19,589.92

66,16:15-16:30,0.820000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,48.360000,46.420000,4.840000,0.000000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,295.00,4.07,584.8

67,16:30-16:45,0.820000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,48.360000,46.420000,4.840000,0.000000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,245.00,3.39,534.12

68,16:45-17:00,0.820000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,48.360000,46.420000,4.840000,0.000000,0.000000,48.360000,0.000000,6.770000,5.800000,4.840000,225.00,2.63,513.36

69,17:00-17:15,0.680000,0.000000,0.000000,108.900000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,0.000000,48.360000,0.000000,0.000000,0.000000,0.000000,210.00,2.07,441.76

70,17:15-17:30,0.680000,0.000000,0.000000,108.900000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,0.000000,48.360000,0.000000,0.000000,0.000000,0.000000,190.00,1.54,421.23

71,17:30-17:45,0.680000,0.000000,0.000000,142.740000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,0.000000,48.360000,0.000000,0.000000,0.000000,0.000000,170.00,1.08,434.61

72,17:45-18:00,0.680000,0.000000,0.000000,142.740000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,0.000000,48.360000,0.000000,0.000000,0.000000,0.000000,170.00,0.74,434.27

73,18:00-18:15,0.680000,0.000000,0.000000,167.310000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,155.00,0.44,395.18

74,18:15-18:30,0.680000,0.000000,0.000000,167.310000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,170.00,0.21,409.95

75,18:30-18:45,0.680000,0.000000,0.000000,167.310000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,185.00,0,424.74

76,18:45-19:00,0.680000,0.000000,0.000000,167.310000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.00,0,439.74

77,19:00-19:15,0.730000,0.000000,0.000000,167.310000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,171.00,0,412.79

78,19:15-19:30,0.730000,0.000000,0.000000,167.310000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,171.00,0,412.79

79,19:30-19:45,0.730000,0.000000,0.000000,167.310000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,171.00,0,412.79

80,19:45-20:00,0.730000,0.000000,0.000000,167.310000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,171.00,0,412.79

81,20:00-20:15,0.770000,0.000000,0.000000,167.310000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,235.00,0,476.83

82,20:15-20:30,0.770000,0.000000,0.000000,167.310000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,240.00,0,481.83

83,20:30-20:45,0.770000,0.000000,0.000000,167.310000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,225.00,0,466.83

84,20:45-21:00,0.770000,0.000000,0.000000,167.310000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,195.00,0,436.83

85,21:00-21:15,0.770000,0.000000,0.000000,135.200000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,195.00,0,404.72

86,21:15-21:30,0.770000,0.000000,0.000000,93.910000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,190.00,0,358.43

87,21:30-21:45,0.770000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,185.00,0,312.13

88,21:45-22:00,0.770000,0.000000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,195.00,0,322.13

89,22:00-22:15,0.730000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0,136.76

90,22:15-22:30,0.730000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0,136.76

91,22:30-22:45,0.730000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0,136.76

92,22:45-23:00,0.730000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0,136.76

93,23:00-23:15,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0,136.66

94,23:15-23:30,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0,136.66

95,23:30-23:45,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0,136.66

96,23:45-24:00,0.630000,9.670000,0.000000,52.610000,0.000000,0.000000,0.000000,66.910000,0.000000,0.000000,4.840000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0,136.66

