Column1,Block,NR/2025/24836/C,NR/2025/24831/C,NR/2025/24833/C,NR/2024/24434/A/48849,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8738,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3514,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/6528,NR/2024/24507/A/49098,NR/2025/24827/C,NR/2024/24508/A/49101,GNA/NR/2025/01/01/8058,NR/2025/24819/C,NR/2024/24614/A/49102,NR/30092023/26122029/SH-06,NER/2024/2820/A/49128,WR/2024/25501/A/49132,GNA/WR/2025/01/01/8625,NR/2024/24435/A/48850,NR/2024/24418/A/48841,NR/2025/24825/C,NR/2024/24573/A/48842,GNA/NR/2025/01/01/6775,Total
17,04:00-04:15,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,399.9

18,04:15-04:30,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,399.9

19,04:30-04:45,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,399.9

20,04:45-05:00,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,0,0,0,9.58,0.38,0,5.75,25.87,399.9

21,05:00-05:15,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,37.02,25.87,8.62,17.24,0,8.71,26.82,0,0,32,38.32,0,0,16.29,0.43,0,5.75,37.02,467.28

22,05:15-05:30,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,37.02,25.87,8.62,17.24,0,8.71,26.82,0,0,32,38.32,0,0,16.29,0.43,0,5.75,37.02,467.28

23,05:30-05:45,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,38.32,0,0,16.29,0.43,0,5.75,25.87,444.98

24,05:45-06:00,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,25.87,25.87,8.62,17.24,0,8.71,26.82,0,0,32,38.32,0,0,16.29,0.43,0,5.75,25.87,444.98

25,06:00-06:15,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,25.87,43.11,8.62,17.24,0,8.71,26.82,0,0,32,38.32,0,0,16.29,0.38,0,5.75,25.87,462.07

26,06:15-06:30,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,25.87,43.11,8.62,17.24,0,8.71,26.82,0,0,32,38.32,0,0,16.29,0.38,0,5.75,25.87,462.07

27,06:30-06:45,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,27.02,43.11,8.62,17.24,0,8.71,26.82,28.74,0,32,38.32,0,0,16.29,0.38,0,5.75,27.02,493.11

28,06:45-07:00,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,27.02,43.11,8.62,17.24,0,8.71,26.82,57.48,0,32,38.32,0,0,16.29,0.38,0,5.75,27.02,521.85

29,07:00-07:15,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,23.29,43.11,14.37,28.74,0,14.37,26.82,57.48,0,31,38.32,0,50,16.29,0.86,0,5.75,23.29,586.88

30,07:15-07:30,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,23.29,43.11,14.37,28.74,0,14.37,26.82,76.64,0,31,38.32,0,50,16.29,0.86,0,5.75,23.29,606.0399999999998

31,07:30-07:45,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,23.29,43.11,14.37,28.74,0,14.37,26.82,76.64,0,31,38.32,0,50,16.29,0.86,0,5.75,23.29,606.0399999999998

32,07:45-08:00,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,23.29,43.11,14.37,28.74,0,14.37,26.82,76.64,0,31,38.32,0,50,16.29,0.86,0,5.75,23.29,606.0399999999998

33,08:00-08:15,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,23.29,43.11,14.37,28.74,0,14.37,26.82,95.8,0,31,38.32,0,50,16.29,0.86,0,5.75,23.29,625.1999999999999

34,08:15-08:30,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,23.29,43.11,14.37,28.74,0,14.37,26.82,95.8,0,31,38.32,0,50,16.29,0.86,0,5.75,23.29,625.1999999999999

35,08:30-08:45,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,23.29,43.11,14.37,28.74,0,14.37,26.82,95.8,0,31,38.32,0,50,16.29,0.86,0,5.75,23.29,625.1999999999999

36,08:45-09:00,0,0,0,0,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,23.29,43.11,14.37,28.74,0,14.37,26.82,95.8,0,31,38.32,0,50,16.29,0.86,0,5.75,23.29,625.1999999999999

37,09:00-09:15,0,0,0,3.83,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,23.29,43.11,14.37,0,14.37,0,26.82,124.54,0,31,0,0,0,16.29,0.86,28.74,5.75,23.29,569.45

38,09:15-09:30,0,0,0,3.83,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,21.69,43.11,14.37,0,14.37,0,26.82,124.54,0,31,0,0,0,16.29,0.86,28.74,5.75,21.69,566.2500000000001

39,09:30-09:45,0,0,0,3.83,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,21.69,43.11,14.37,0,14.37,0,26.82,124.54,0,31,0,0,0,16.29,0.86,28.74,5.75,21.69,566.2500000000001

40,09:45-10:00,0,0,0,3.83,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,21.69,43.11,14.37,0,14.37,0,26.82,124.54,0,31,0,0,0,16.29,0.86,28.74,5.75,21.69,566.2500000000001

41,10:00-10:15,0,0,0,4.79,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,16.94,43.11,14.37,28.74,0,7.85,26.82,153.28,6.52,31,0,0,0,16.29,0.86,0,5.75,16.94,586.45

42,10:15-10:30,32.38,13.89,4.79,4.79,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,43.11,14.37,28.74,0,7.85,26.82,153.28,6.52,31,0,0,0,16.29,0.86,0,5.75,36.4,676.43

43,10:30-10:45,38.32,8.24,4.79,4.79,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,43.11,14.37,28.74,0,7.85,26.82,153.28,6.52,32,0,0,0,16.29,0.86,0,5.75,36.4,677.7199999999999

44,10:45-11:00,38.32,8.24,4.79,4.79,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,43.11,14.37,28.74,0,7.85,26.82,153.28,6.52,32,0,0,0,16.29,0.86,0,5.75,36.4,677.7199999999999

45,11:00-11:15,38.32,8.43,4.79,6.71,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,36.4,43.11,14.37,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.86,0,5.75,36.4,526.45

46,11:15-11:30,38.32,8.72,4.79,6.71,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,36.4,43.11,14.37,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.86,0,5.75,36.4,526.74

47,11:30-11:45,38.32,8.91,4.79,6.71,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,36.4,43.11,14.37,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.86,0,5.75,36.4,526.9300000000001

48,11:45-12:00,38.32,9.01,4.79,6.71,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,36.4,43.11,14.37,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.86,0,5.75,36.4,527.0300000000001

49,12:00-12:15,38.32,4.02,4.79,6.71,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,43.11,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.86,0,5.75,36.4,520.22

50,12:15-12:30,38.32,4.98,4.79,6.71,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,43.11,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.86,0,5.75,36.4,521.1800000000001

51,12:30-12:45,38.32,5.36,4.79,6.71,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,43.11,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.86,0,5.75,36.4,521.5600000000001

52,12:45-13:00,38.32,5.84,4.79,6.71,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,43.11,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.86,0,5.75,36.4,522.04

53,13:00-13:15,38.32,7.86,4.79,5.75,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.77,0,5.75,36.4,516.3

54,13:15-13:30,38.32,7.86,4.79,5.75,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.77,0,5.75,36.4,516.3

55,13:30-13:45,38.32,9.1,4.79,5.75,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.77,0,5.75,36.4,517.54

56,13:45-14:00,38.32,9.1,4.79,5.75,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.77,0,5.75,36.4,517.54

57,14:00-14:15,38.32,9.1,4.79,4.79,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.77,0,5.75,36.4,516.5799999999999

58,14:15-14:30,38.32,9.1,4.79,4.79,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.77,0,5.75,36.4,516.5799999999999

59,14:30-14:45,38.32,9.2,4.79,4.79,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.77,0,5.75,36.4,516.68

60,14:45-15:00,38.32,9.29,4.79,4.79,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.77,0,5.75,36.4,516.77

61,15:00-15:15,38.32,9.29,4.79,4.79,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.67,0,5.75,36.4,516.5699999999999

62,15:15-15:30,38.32,9.39,4.79,4.79,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.67,0,5.75,36.4,516.67

63,15:30-15:45,38.32,9.39,4.79,4.79,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.67,0,5.75,36.4,516.67

64,15:45-16:00,38.32,9.48,4.79,4.79,28.74,47.9,47.9,0,0,20.12,19.16,1.37,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,0,0,32,0,0,0,16.29,0.67,0,5.75,36.4,516.76

65,16:00-16:15,38.22,9.68,4.79,2.87,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,67.06,0,32,0,0,0,16.29,0.48,0,5.75,36.4,581.91

66,16:15-16:30,31.14,16.77,4.79,2.87,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,47.9,0,32,0,0,0,16.29,0.48,0,5.75,36.4,562.7599999999999

67,16:30-16:45,24.81,17.91,4.79,2.87,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,38.32,0,32,0,0,0,16.29,0.48,0,5.75,36.4,547.99

68,16:45-17:00,0,0,0,2.87,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,36.4,12.45,28.74,0,14.37,26.82,38.32,0,32,0,0,0,16.29,0.48,0,5.75,36.4,500.48

69,17:00-17:15,0,0,0,0.96,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,43.11,14.37,28.74,0,14.37,26.82,38.32,0,32,0,0,0,16.29,0.48,0,5.75,36.4,507.20000000000005

70,17:15-17:30,0,0,0,0.96,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,36.4,43.11,14.37,28.74,0,14.37,26.82,38.32,0,32,0,0,0,16.29,0.48,0,5.75,36.4,507.20000000000005

71,17:30-17:45,0,0,0,0.96,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,27.44,43.11,14.37,28.74,0,14.37,26.82,38.32,0,32,0,0,0,16.29,0.48,0,5.75,27.44,489.28000000000003

72,17:45-18:00,0,0,0,0.96,28.74,47.9,47.9,0,0,20.12,19.16,1.47,0,47.9,27.44,43.11,14.37,28.74,0,14.37,26.82,38.32,0,32,0,0,0,16.29,0.48,0,5.75,27.44,489.28000000000003

73,18:00-18:15,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,24.18,43.11,14.37,28.74,0,14.37,26.82,38.32,0,31,38.32,38.32,50,16.29,0.48,0,5.75,24.18,687.44

74,18:15-18:30,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,24.18,43.11,14.37,28.74,0,14.37,26.82,38.32,0,31,38.32,38.32,50,16.29,0.48,0,5.75,24.18,687.44

75,18:30-18:45,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,24.18,43.11,14.37,28.74,0,14.37,26.82,38.32,0,31,38.32,38.32,50,16.29,0.48,0,5.75,24.18,687.44

76,18:45-19:00,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,24.18,43.11,14.37,28.74,0,14.37,26.82,38.32,0,31,38.32,38.32,50,16.29,0.48,0,5.75,24.18,687.44

77,19:00-19:15,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.37,30,47.9,24.18,43.11,14.37,28.74,0,14.37,26.82,0,0,32,38.32,38.32,50,16.29,0.57,0,5.75,24.18,650.11

78,19:15-19:30,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.37,30,47.9,24.18,43.11,14.37,28.74,0,14.37,26.82,0,0,32,38.32,38.32,50,16.29,0.57,0,5.75,24.18,650.11

79,19:30-19:45,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.37,30,47.9,24.18,43.11,14.37,28.74,0,14.37,26.82,0,0,32,38.32,38.32,50,16.29,0.57,0,5.75,24.18,650.11

80,19:45-20:00,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.37,30,47.9,24.18,43.11,14.37,28.74,0,14.37,26.82,0,0,32,38.32,38.32,50,16.29,0.57,0,5.75,24.18,650.11

81,20:00-20:15,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,27.53,43.11,14.37,28.74,0,14.37,26.82,0,0,32,38.32,38.32,50,16.29,0.57,0,5.75,27.53,656.9100000000001

82,20:15-20:30,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,27.53,43.11,14.37,28.74,0,14.37,26.82,0,0,32,38.32,38.32,50,16.29,0.57,0,5.75,27.53,656.9100000000001

83,20:30-20:45,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,33.3,43.11,14.37,28.74,0,14.37,26.82,0,0,32,38.32,38.32,50,16.29,0.57,0,5.75,33.3,668.45

84,20:45-21:00,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,33.3,43.11,14.37,28.74,0,14.37,26.82,0,0,32,38.32,38.32,50,16.29,0.57,0,5.75,33.3,668.45

85,21:00-21:15,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,34.49,43.11,14.37,28.74,0,14.37,26.82,0,0,32,0,38.32,50,16.29,0.57,0,5.75,34.49,632.5100000000001

86,21:15-21:30,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,34.49,43.11,14.37,28.74,0,14.37,26.82,0,0,32,0,38.32,50,16.29,0.57,0,5.75,34.49,632.5100000000001

87,21:30-21:45,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,34.49,43.11,14.37,28.74,0,14.37,26.82,0,0,32,0,38.32,50,16.29,0.57,0,5.75,34.49,632.5100000000001

88,21:45-22:00,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,34.49,43.11,14.37,28.74,0,14.37,26.82,0,0,32,0,38.32,50,16.29,0.57,0,5.75,34.49,632.5100000000001

89,22:00-22:15,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,34.49,34.49,8.62,28.74,0,14.37,26.82,0,0,32,0,38.32,0,16.29,0.48,0,5.75,34.49,568.0500000000001

90,22:15-22:30,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,34.49,34.49,8.62,28.74,0,14.37,26.82,0,0,32,0,38.32,0,16.29,0.48,0,5.75,34.49,568.0500000000001

91,22:30-22:45,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,34.49,34.49,8.62,28.74,0,14.37,26.82,0,0,32,0,38.32,0,16.29,0.48,0,5.75,34.49,568.0500000000001

92,22:45-23:00,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.47,30,47.9,34.49,34.49,8.62,28.74,0,14.37,26.82,0,0,32,0,38.32,0,16.29,0.48,0,5.75,34.49,568.0500000000001

93,23:00-23:15,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.37,30,47.9,28.74,28.74,8.62,28.74,0,14.37,26.82,0,0,32,0,38.32,0,16.29,0.48,0,5.75,28.74,550.7

94,23:15-23:30,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.37,30,47.9,28.74,28.74,8.62,28.74,0,14.37,26.82,0,0,32,0,38.32,0,16.29,0.48,0,5.75,28.74,550.7

95,23:30-23:45,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.37,30,47.9,28.74,28.74,8.62,28.74,0,14.37,26.82,0,0,32,0,38.32,0,16.29,0.48,0,5.75,28.74,550.7

96,23:45-24:00,0,0,0,0,28.74,47.9,47.9,0,50,20.12,19.16,1.37,30,47.9,28.74,28.74,8.62,28.74,0,14.37,26.82,0,0,32,0,38.32,0,16.29,0.48,0,5.75,28.74,550.7

