Column1,Block,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/6528,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6775,NR/2024/24435/A/49118,NR/2024/24418/A/49108,NR/2024/24507/A/49417,NR/2024/24508/A/49418,NR/2024/24614/A/49419,SR/2024/15456/A/49120,NR/2025/24866/C,NR/2025/24868/C,NR/2024/24434/A/49119,NR/2025/24867/C,GNA/NR/2025/01/01/8738,GNA/WR/2025/01/01/8625,NR/2024/24573/A/49107,NER/2024/2820/A/49372,NR/2025/24865/C,NR/2025/24862/C,NR/01082024/19092033/Chanju/TPDDL/01082024,WR/2024/25501/A/49386,NR/2025/24864/C,GNA/NR/2025/01/01/8058,Total
3,00:30-00:45,25.87,20.12,28.74,0,47.9,14.37,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,367.79999999999995

4,00:45-01:00,25.87,20.12,28.74,0,47.9,14.37,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,367.79999999999995

5,01:00-01:15,25.87,20.12,28.74,0,47.9,14.37,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,367.79999999999995

6,01:15-01:30,25.87,20.12,28.74,0,47.9,14.37,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,367.79999999999995

7,01:30-01:45,25.87,20.12,28.74,0,47.9,14.37,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,367.79999999999995

8,01:45-02:00,25.87,20.12,28.74,0,47.9,14.37,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,367.79999999999995

9,02:00-02:15,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.47,0,0,26.82,362.15

10,02:15-02:30,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.47,0,0,26.82,362.15

11,02:30-02:45,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.47,0,0,26.82,362.15

12,02:45-03:00,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.47,0,0,26.82,362.15

13,03:00-03:15,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,362.04999999999995

14,03:15-03:30,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,362.04999999999995

15,03:30-03:45,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,362.04999999999995

16,03:45-04:00,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,362.04999999999995

17,04:00-04:15,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,362.04999999999995

18,04:15-04:30,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,362.04999999999995

19,04:30-04:45,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,362.04999999999995

20,04:45-05:00,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,9.58,0.38,17.24,8.71,0,0,0,0,0,0,47.9,0,0,0,0,0,1.37,0,0,26.82,362.04999999999995

21,05:00-05:15,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,16.29,0.43,17.24,8.71,0,0,0,0,0,0,47.9,0,0,38.32,0,0,1.47,0,0,26.82,407.23

22,05:15-05:30,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,16.29,0.43,17.24,8.71,0,0,0,0,0,0,47.9,0,0,38.32,0,0,1.47,0,0,26.82,407.23

23,05:30-05:45,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,16.29,0.43,17.24,8.71,0,0,0,0,0,0,47.9,0,0,38.32,0,0,1.47,0,0,26.82,407.23

24,05:45-06:00,25.87,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,16.29,0.43,17.24,8.71,0,0,0,0,0,0,47.9,0,0,38.32,0,0,1.47,0,0,26.82,407.23

25,06:00-06:15,43.11,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,16.29,0.38,17.24,8.71,0,325.72,0,0,0,0,47.9,0,0,38.32,0,0,1.37,0,0,26.82,750.0400000000002

26,06:15-06:30,43.11,20.12,28.74,0,47.9,8.62,0,0,47.9,25.87,0,19.16,25.87,16.29,0.38,17.24,8.71,0,325.72,0,0,0,0,47.9,0,0,38.32,0,0,1.37,0,0,26.82,750.0400000000002

27,06:30-06:45,43.11,20.12,28.74,0,47.9,8.62,0,0,47.9,33.53,0,19.16,33.53,16.29,0.38,17.24,8.71,0,325.72,0,0,0,0,47.9,0,0,38.32,0,28.74,1.37,0,0,26.82,794.1000000000001

28,06:45-07:00,43.11,20.12,28.74,0,47.9,8.62,0,0,47.9,33.53,0,19.16,33.53,16.29,0.38,17.24,8.71,0,325.72,0,0,0,0,47.9,0,0,38.32,0,57.48,1.37,0,0,26.82,822.8400000000001

29,07:00-07:15,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,124.54,0,0,0,0,47.9,50,0,38.32,0,57.48,1.37,0,0,26.82,700.7900000000002

30,07:15-07:30,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,124.54,0,0,0,0,47.9,50,0,38.32,0,76.64,1.37,0,0,26.82,719.9500000000002

31,07:30-07:45,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,124.54,0,0,0,0,47.9,50,0,38.32,0,76.64,1.37,0,0,26.82,719.9500000000002

32,07:45-08:00,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,124.54,0,0,0,0,47.9,50,0,38.32,0,76.64,1.37,0,0,26.82,719.9500000000002

33,08:00-08:15,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,0,0,0,0,0,47.9,50,0,38.32,0,95.8,1.47,0,0,26.82,614.6700000000001

34,08:15-08:30,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,0,0,0,0,0,47.9,50,0,38.32,0,95.8,1.47,0,0,26.82,614.6700000000001

35,08:30-08:45,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,0,0,0,0,0,47.9,50,0,38.32,0,95.8,1.47,0,0,26.82,614.6700000000001

36,08:45-09:00,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,0,0,0,0,0,47.9,50,0,38.32,0,95.8,1.47,0,0,26.82,614.6700000000001

37,09:00-09:15,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,0,0,0,0,0,0,3.83,0,47.9,0,0,0,28.74,124.54,1.37,0,14.37,26.82,558.82

38,09:15-09:30,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,0,0,0,0,0,0,3.83,0,47.9,0,0,0,28.74,124.54,1.37,0,14.37,26.82,558.82

39,09:30-09:45,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,0,0,0,0,0,0,3.83,0,47.9,0,0,0,28.74,124.54,1.37,0,14.37,26.82,558.82

40,09:45-10:00,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,0,0,0,0,0,0,3.83,0,47.9,0,0,0,28.74,124.54,1.37,0,14.37,26.82,558.82

41,10:00-10:15,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,7.85,6.52,0,0,0,4.79,0,47.9,0,0,0,0,153.28,1.37,0,0,26.82,588.5200000000001

42,10:15-10:30,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,7.85,6.52,0,0,0,4.79,0,47.9,0,0,0,0,153.28,1.37,0,0,26.82,588.5200000000001

43,10:30-10:45,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,7.85,6.52,0,9.58,38.32,4.79,4.79,47.9,0,0,0,0,153.28,1.37,0,0,26.82,641.2100000000002

44,10:45-11:00,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,7.85,6.52,0,9.58,38.32,4.79,4.79,47.9,0,0,0,0,153.28,1.37,0,0,26.82,641.2100000000002

45,11:00-11:15,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,0,9.58,38.32,6.71,4.79,47.9,0,0,0,0,0,1.47,0,0,26.82,489.95000000000005

46,11:15-11:30,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,0,9.58,38.32,6.71,4.79,47.9,0,0,0,0,0,1.47,0,0,26.82,489.95000000000005

47,11:30-11:45,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,0,9.58,38.32,6.71,4.79,47.9,0,0,0,0,0,1.47,0,0,26.82,489.95000000000005

48,11:45-12:00,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,0,9.58,38.32,6.71,4.79,47.9,0,0,0,0,0,1.47,0,0,26.82,489.95000000000005

49,12:00-12:15,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,0,9.58,38.32,6.71,4.79,47.9,0,0,0,0,0,1.37,0,0,26.82,489.85

50,12:15-12:30,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,0,9.58,38.32,6.71,4.79,47.9,0,0,0,0,0,1.37,0,0,26.82,489.85

51,12:30-12:45,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,0,9.58,38.32,6.71,4.79,47.9,0,0,0,0,0,1.37,0,0,26.82,489.85

52,12:45-13:00,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.86,28.74,14.37,0,0,9.58,38.32,6.71,4.79,47.9,0,0,0,0,0,1.37,0,0,26.82,489.85

53,13:00-13:15,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.77,28.74,14.37,0,0,9.58,38.32,5.75,4.79,47.9,0,5.75,0,0,0,1.37,0,0,26.82,494.55

54,13:15-13:30,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.77,28.74,14.37,0,0,9.58,38.32,5.75,4.79,47.9,0,5.75,0,0,0,1.37,0,0,26.82,494.55

55,13:30-13:45,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.77,28.74,14.37,0,0,9.58,38.32,5.75,4.79,47.9,0,5.75,0,0,0,1.37,0,0,26.82,494.55

56,13:45-14:00,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.77,28.74,14.37,0,0,9.58,38.32,5.75,4.79,47.9,0,5.75,0,0,0,1.37,0,0,26.82,494.55

57,14:00-14:15,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.77,28.74,14.37,0,0,9.58,38.32,4.79,4.79,47.9,0,5.75,0,0,0,1.47,0,0,26.82,493.69000000000005

58,14:15-14:30,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.77,28.74,14.37,0,0,9.58,38.32,4.79,4.79,47.9,0,5.75,0,0,0,1.47,0,0,26.82,493.69000000000005

59,14:30-14:45,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.77,28.74,14.37,0,0,9.58,38.32,4.79,4.79,47.9,0,5.75,0,0,0,1.47,0,0,26.82,493.69000000000005

60,14:45-15:00,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.77,28.74,14.37,0,0,9.58,38.32,4.79,4.79,47.9,0,5.75,0,0,0,1.47,0,0,26.82,493.69000000000005

61,15:00-15:15,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.67,28.74,14.37,0,0,9.58,38.32,4.79,4.79,47.9,0,5.75,0,0,0,1.65,0,0,26.82,493.77000000000004

62,15:15-15:30,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.67,28.74,14.37,0,0,9.58,38.32,4.79,4.79,47.9,0,5.75,0,0,0,1.65,0,0,26.82,493.77000000000004

63,15:30-15:45,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.67,28.74,14.37,0,0,9.58,38.32,4.79,4.79,47.9,0,5.75,0,0,0,1.65,0,0,26.82,493.77000000000004

64,15:45-16:00,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.67,28.74,14.37,0,0,9.58,38.32,4.79,4.79,47.9,0,5.75,0,0,0,1.65,0,0,26.82,493.77000000000004

65,16:00-16:15,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.48,28.74,14.37,0,0,9.58,38.32,2.87,4.79,47.9,0,5.75,0,0,0,1.65,0,0,26.82,491.66

66,16:15-16:30,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.48,28.74,14.37,0,0,16.67,31.23,2.87,4.79,47.9,0,5.75,0,0,0,1.65,0,0,26.82,491.6600000000001

67,16:30-16:45,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.48,28.74,14.37,0,0,16.77,23.57,2.87,4.79,47.9,0,5.75,0,0,28.74,1.65,0,0,26.82,512.84

68,16:45-17:00,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.48,28.74,14.37,0,0,0,0,2.87,0,47.9,0,5.75,0,0,28.74,1.65,0,0,26.82,467.71000000000004

69,17:00-17:15,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.48,28.74,14.37,0,0,0,0,0.96,0,47.9,0,5.75,0,0,28.74,1.73,0,0,26.82,465.88000000000005

70,17:15-17:30,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.48,28.74,14.37,0,0,0,0,0.96,0,47.9,0,5.75,0,0,28.74,1.73,0,0,26.82,465.88000000000005

71,17:30-17:45,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.48,28.74,14.37,0,0,0,0,0.96,0,47.9,0,5.75,0,0,28.74,1.73,0,0,26.82,465.88000000000005

72,17:45-18:00,43.11,20.12,28.74,0,47.9,14.37,0,0,47.9,36.4,0,19.16,36.4,16.29,0.48,28.74,14.37,0,0,0,0,0.96,0,47.9,0,5.75,0,0,28.74,1.73,0,0,26.82,465.88000000000005

73,18:00-18:15,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,36.4,0,19.16,36.4,16.29,0.48,28.74,14.37,0,134.12,0,0,0,0,47.9,50,5.75,38.32,0,28.74,1.65,38.32,0,26.82,805.6000000000001

74,18:15-18:30,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,36.4,0,19.16,36.4,16.29,0.48,28.74,14.37,0,134.12,0,0,0,0,47.9,50,5.75,38.32,0,28.74,1.65,38.32,0,26.82,805.6000000000001

75,18:30-18:45,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,36.4,0,19.16,36.4,16.29,0.48,28.74,14.37,0,134.12,0,0,0,0,47.9,50,5.75,38.32,0,28.74,1.65,38.32,0,26.82,805.6000000000001

76,18:45-19:00,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,36.4,0,19.16,36.4,16.29,0.48,28.74,14.37,0,134.12,0,0,0,0,47.9,50,5.75,38.32,0,28.74,1.65,38.32,0,26.82,805.6000000000001

77,19:00-19:15,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,36.4,0,19.16,36.4,16.29,0.57,28.74,14.37,0,114.96,0,0,0,0,47.9,50,5.75,38.32,0,0,1.65,38.32,0,26.82,757.7900000000001

78,19:15-19:30,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,36.4,0,19.16,36.4,16.29,0.57,28.74,14.37,0,114.96,0,0,0,0,47.9,50,5.75,38.32,0,0,1.65,38.32,0,26.82,757.7900000000001

79,19:30-19:45,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,36.4,0,19.16,36.4,16.29,0.57,28.74,14.37,0,114.96,0,0,0,0,47.9,50,5.75,38.32,0,0,1.65,38.32,0,26.82,757.7900000000001

80,19:45-20:00,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,36.4,0,19.16,36.4,16.29,0.57,28.74,14.37,0,114.96,0,0,0,0,47.9,50,5.75,38.32,0,0,1.65,38.32,0,26.82,757.7900000000001

81,20:00-20:15,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,36.4,0,19.16,36.4,16.29,0.57,28.74,14.37,0,153.28,0,0,0,0,47.9,50,5.75,38.32,0,0,1.65,38.32,0,26.82,796.1100000000001

82,20:15-20:30,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,36.4,0,19.16,36.4,16.29,0.57,28.74,14.37,0,153.28,0,0,0,0,47.9,50,5.75,38.32,0,0,1.65,38.32,0,26.82,796.1100000000001

83,20:30-20:45,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,36.4,0,19.16,36.4,16.29,0.57,28.74,14.37,0,153.28,0,0,0,0,47.9,50,5.75,38.32,0,0,1.65,38.32,0,26.82,796.1100000000001

84,20:45-21:00,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,36.4,0,19.16,36.4,16.29,0.57,28.74,14.37,0,153.28,0,0,0,0,47.9,50,5.75,38.32,0,0,1.65,38.32,0,26.82,796.1100000000001

85,21:00-21:15,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,34.49,0,19.16,34.49,16.29,0.57,28.74,14.37,0,268.24,0,0,0,0,47.9,50,5.75,0,0,0,1.65,38.32,0,26.82,868.9300000000001

86,21:15-21:30,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,34.49,0,19.16,34.49,16.29,0.57,28.74,14.37,0,268.24,0,0,0,0,47.9,50,5.75,0,0,0,1.65,38.32,0,26.82,868.9300000000001

87,21:30-21:45,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,34.49,0,19.16,34.49,16.29,0.57,28.74,14.37,0,268.24,0,0,0,0,47.9,50,5.75,0,0,0,1.65,38.32,0,26.82,868.9300000000001

88,21:45-22:00,43.11,20.12,28.74,0,47.9,14.37,50,30,47.9,34.49,0,19.16,34.49,16.29,0.57,28.74,14.37,0,268.24,0,0,0,0,47.9,50,5.75,0,0,0,1.65,38.32,0,26.82,868.9300000000001

89,22:00-22:15,34.49,20.12,28.74,0,47.9,9.58,50,30,47.9,34.49,0,19.16,34.49,16.29,0.48,28.74,14.37,0,287.4,0,0,0,0,47.9,0,5.75,0,0,0,1.65,38.32,0,26.82,824.5900000000001

90,22:15-22:30,34.49,20.12,28.74,0,47.9,9.58,50,30,47.9,34.49,0,19.16,34.49,16.29,0.48,28.74,14.37,0,287.4,0,0,0,0,47.9,0,5.75,0,0,0,1.65,38.32,0,26.82,824.5900000000001

91,22:30-22:45,34.49,20.12,28.74,0,47.9,9.58,50,30,47.9,34.49,0,19.16,34.49,16.29,0.48,28.74,14.37,0,287.4,0,0,0,0,47.9,0,5.75,0,0,0,1.65,38.32,0,26.82,824.5900000000001

92,22:45-23:00,34.49,20.12,28.74,0,47.9,9.58,50,30,47.9,34.49,0,19.16,34.49,16.29,0.48,28.74,14.37,0,287.4,0,0,0,0,47.9,0,5.75,0,0,0,1.65,38.32,0,26.82,824.5900000000001

93,23:00-23:15,28.74,20.12,28.74,0,47.9,9.58,50,30,47.9,28.74,0,19.16,28.74,16.29,0.48,28.74,14.37,0,287.4,0,0,0,0,47.9,0,5.75,0,0,0,1.65,38.32,0,26.82,807.3400000000001

94,23:15-23:30,28.74,20.12,28.74,0,47.9,9.58,50,30,47.9,28.74,0,19.16,28.74,16.29,0.48,28.74,14.37,0,287.4,0,0,0,0,47.9,0,5.75,0,0,0,1.65,38.32,0,26.82,807.3400000000001

95,23:30-23:45,28.74,20.12,28.74,0,47.9,9.58,50,30,47.9,28.74,0,19.16,28.74,16.29,0.48,28.74,14.37,0,287.4,0,0,0,0,47.9,0,5.75,0,0,0,1.65,38.32,0,26.82,807.3400000000001

