Column1,Block,GNA/NR/2024/10/16/4393,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/9072,NR/2024/23788/C,NR/2024/23804/C,NR/2024/23383/A/41910,NR/2024/23382/A/42044,NR/2024/23384/A/41878,NR/2024/23639/A/41914,NR/2024/23786/C,NR/2024/23640/A/41916,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/6101,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/9582,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/8106,Total
8,01:45-02:00,142.69,25.28,200,26.33,0,0,0.53,24.87,6.76,0,2.9,0,26.33,47.56,26.33,25.28,12.42,4.15,12.42,583.8499999999998

9,02:00-02:15,142.69,26.91,0,26.33,0,0,0.48,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.15,12.42,387.06

10,02:15-02:30,142.69,26.91,0,26.33,0,0,0.48,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.15,12.42,387.06

11,02:30-02:45,142.69,26.91,0,26.33,0,0,0.48,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.15,12.42,387.06

12,02:45-03:00,142.69,26.91,0,26.33,0,0,0.48,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.15,12.42,387.06

13,03:00-03:15,142.69,26.91,0,26.33,0,0,0.43,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.06,12.42,386.9200000000001

14,03:15-03:30,142.69,26.91,0,26.33,0,0,0.43,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.06,12.42,386.9200000000001

15,03:30-03:45,142.69,26.91,0,26.33,0,0,0.43,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.06,12.42,386.9200000000001

16,03:45-04:00,142.69,26.91,0,26.33,0,0,0.43,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.06,12.42,386.9200000000001

17,04:00-04:15,142.69,26.91,0,26.33,0,0,0.43,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.06,12.42,386.9200000000001

18,04:15-04:30,142.69,26.91,0,26.33,0,0,0.43,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.06,12.42,386.9200000000001

19,04:30-04:45,142.69,26.91,0,26.33,0,0,0.43,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.06,12.42,386.9200000000001

20,04:45-05:00,142.69,26.91,0,26.33,0,0,0.43,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.06,12.42,386.9200000000001

21,05:00-05:15,142.69,26.91,0,26.33,0,0,0.48,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.06,12.42,386.97

22,05:15-05:30,142.69,26.91,0,26.33,0,0,0.48,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.06,12.42,386.97

23,05:30-05:45,142.69,26.91,0,26.33,0,0,0.48,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.06,12.42,386.97

24,05:45-06:00,142.69,26.91,0,26.33,0,0,0.48,24.87,6.76,0,2.9,0,26.33,47.56,26.33,26.91,12.42,4.06,12.42,386.97

25,06:00-06:15,0,26.91,0,26.33,0,0,0.53,24.87,6.76,0,2.9,0,26.33,0,26.33,26.91,12.42,4.06,12.42,196.76999999999998

26,06:15-06:30,0,26.91,0,26.33,0.03,0,0.53,24.87,6.76,0,2.9,0,26.33,0,26.33,26.91,12.42,4.06,12.42,196.79999999999998

27,06:30-06:45,0,26.91,0,26.33,0.08,0,0.53,24.87,6.76,0,2.9,0,26.33,0,26.33,26.91,12.42,4.06,12.42,196.85

28,06:45-07:00,0,26.91,0,26.33,0.29,0,0.53,24.87,6.76,0,2.9,0,26.33,0,26.33,26.91,12.42,4.06,12.42,197.05999999999997

29,07:00-07:15,0,26.91,0,26.33,0.62,0,0.58,24.87,6.76,0,2.9,0,26.33,0,26.33,26.91,12.42,4.06,12.42,197.43999999999997

30,07:15-07:30,0,26.91,0,26.33,0.75,0,0.58,24.87,6.76,0,2.9,0,26.33,0,26.33,26.91,12.42,4.06,12.42,197.56999999999996

31,07:30-07:45,0,26.91,0,26.33,1.69,0,0.58,24.87,6.76,0,2.9,0,26.33,0,26.33,26.91,12.42,4.06,12.42,198.50999999999996

32,07:45-08:00,0,26.91,0,37.3,2.51,0,0.58,24.87,6.76,0,2.9,0,37.3,0,37.3,26.91,12.42,4.06,12.42,232.23999999999998

33,08:00-08:15,0,26.91,0,37.3,3.14,0,0.97,24.87,6.76,0,2.9,0,37.3,0,37.3,26.91,12.42,4.06,12.42,233.25999999999996

34,08:15-08:30,0,26.91,0,37.3,3.71,0,0.97,24.87,6.76,0,2.9,0,37.3,0,37.3,26.91,12.42,4.06,12.42,233.82999999999996

35,08:30-08:45,0,26.91,0,37.3,4.27,0,0.97,24.87,6.76,0,2.9,0,37.3,0,37.3,26.91,12.42,4.06,12.42,234.38999999999996

36,08:45-09:00,0,26.91,0,37.3,4.82,0,0.97,24.87,6.76,0,2.9,0,37.3,0,37.3,26.91,12.42,4.06,12.42,234.93999999999997

37,09:00-09:15,0,26.91,0,37.3,5.35,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,4.06,12.42,288.4700000000001

38,09:15-09:30,0,26.91,0,37.3,5.84,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,4.06,12.42,288.9600000000001

39,09:30-09:45,0,26.91,0,37.3,6.33,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,4.06,12.42,289.4500000000001

40,09:45-10:00,0,26.91,0,37.3,6.84,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,4.06,12.42,289.9600000000001

41,10:00-10:15,0,26.91,0,37.3,7.21,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,4.06,12.42,290.3300000000001

42,10:15-10:30,0,26.91,0,37.3,7.5,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,4.06,12.42,290.62000000000006

43,10:30-10:45,0,26.91,0,37.3,7.72,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,4.06,12.42,290.8400000000001

44,10:45-11:00,0,26.91,0,37.3,7.73,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,4.06,12.42,290.8500000000001

45,11:00-11:15,0,26.91,0,37.3,7.83,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,290.8600000000001

46,11:15-11:30,0,26.91,0,37.3,7.5,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,290.5300000000001

47,11:30-11:45,0,26.91,0,37.3,6.17,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,289.2000000000001

48,11:45-12:00,0,26.91,0,37.3,7.25,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,290.2800000000001

49,12:00-12:15,0,26.91,0,37.3,6.5,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,289.5300000000001

50,12:15-12:30,0,26.91,0,37.3,5.61,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,288.6400000000001

51,12:30-12:45,0,26.91,0,37.3,8.12,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,291.1500000000001

52,12:45-13:00,0,26.91,0,37.3,8.02,0,0.87,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,291.0500000000001

53,13:00-13:15,0,26.91,0,37.3,7.3,0,0.77,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,290.2300000000001

54,13:15-13:30,0,26.91,0,37.3,7.43,0,0.77,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,290.36000000000007

55,13:30-13:45,0,26.91,0,37.3,7.42,0,0.77,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,290.3500000000001

56,13:45-14:00,0,26.91,0,37.3,7.37,0,0.77,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,290.3000000000001

57,14:00-14:15,0,26.91,0,37.3,7.18,0,0.92,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,290.2600000000001

58,14:15-14:30,0,26.91,0,37.3,6.88,0,0.92,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,289.9600000000001

59,14:30-14:45,0,26.91,0,37.3,6.41,0,0.92,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,289.4900000000001

60,14:45-15:00,0,26.91,0,37.3,5.93,0,0.92,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,289.0100000000001

61,15:00-15:15,0,26.91,0,37.3,5.43,0,0.92,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,288.5100000000001

62,15:15-15:30,0,26.91,0,37.3,4.82,0,0.92,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,287.9000000000001

63,15:30-15:45,0,26.91,0,37.3,4.3,0,0.92,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,287.3800000000001

64,15:45-16:00,0,26.91,0,37.3,3.32,0,0.92,24.87,6.76,42.48,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,286.4000000000001

65,16:00-16:15,0,26.91,0,37.3,1.92,0,0.77,24.87,6.76,37.36,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,279.73

66,16:15-16:30,0,26.91,0,37.3,1.97,0,0.77,24.87,6.76,30.51,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,272.93000000000006

67,16:30-16:45,0,26.91,0,37.3,1.38,0,0.77,24.87,6.76,23.56,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,265.39

68,16:45-17:00,0,26.91,0,37.3,0.99,0,0.77,24.87,6.76,16.7,2.9,10.62,37.3,0,37.3,26.91,12.42,3.97,12.42,258.14

69,17:00-17:15,0,0,0,37.3,0.68,0,0.72,29.25,6.76,0,2.9,0,37.3,0,43.88,31,14.48,3.97,14.48,222.71999999999997

70,17:15-17:30,0,0,0,37.3,0.45,0,0.72,29.25,6.76,0,2.9,0,37.3,0,43.88,31,14.48,3.97,14.48,222.48999999999998

71,17:30-17:45,0,0,0,37.3,0.24,0,0.72,29.25,6.76,0,2.9,0,37.3,0,43.88,31,14.48,3.97,14.48,222.27999999999997

72,17:45-18:00,0,0,0,37.3,0.03,0,0.72,29.25,6.76,0,2.9,0,37.3,0,43.88,31,14.48,3.97,14.48,222.07

73,18:00-18:15,0,31.5,125,37.3,0,96.55,0.72,29.25,6.76,0,2.9,0,37.3,0,43.88,31.5,14.48,4.06,14.48,475.68000000000006

74,18:15-18:30,0,31.5,125,37.3,0,96.55,0.72,29.25,6.76,0,2.9,0,37.3,0,43.88,31.5,14.48,4.06,14.48,475.68000000000006

75,18:30-18:45,0,31.5,125,37.3,0,96.55,0.72,29.25,6.76,0,2.9,0,37.3,0,43.88,31.5,12.42,4.06,12.42,471.56000000000006

76,18:45-19:00,0,31.5,125,37.3,0,96.55,0.72,29.25,6.76,0,2.9,0,37.3,0,43.88,31.5,12.42,4.06,12.42,471.56000000000006

77,19:00-19:15,0,31.5,125,37.3,0,57.93,0.68,29.25,6.76,0,2.9,0,37.3,0,43.88,31.5,12.42,4.15,12.42,432.99

78,19:15-19:30,0,31.5,125,37.3,0,57.93,0.68,29.25,6.76,0,2.9,0,37.3,0,43.88,31.5,12.42,4.15,12.42,432.99

79,19:30-19:45,0,31.5,125,37.3,0,57.93,0.68,29.25,6.76,0,2.9,0,37.3,0,43.88,31.5,12.42,4.15,12.42,432.99

80,19:45-20:00,0,31.5,125,37.3,0,57.93,0.68,29.25,6.76,0,2.9,0,37.3,0,43.88,31.5,12.42,4.15,12.42,432.99

81,20:00-20:15,0,31.5,200,37.3,0,0,0.68,29.25,6.76,0,2.9,0,37.3,0,43.88,0,12.42,4.15,12.42,418.56

82,20:15-20:30,0,31.5,200,37.3,0,0,0.68,29.25,6.76,0,2.9,0,37.3,0,43.88,0,12.42,4.15,12.42,418.56

83,20:30-20:45,0,3.78,200,37.3,0,0,0.68,29.25,6.76,0,2.9,0,37.3,0,43.88,3.78,12.42,4.15,12.42,394.61999999999995

84,20:45-21:00,0,3.78,200,26.33,0,0,0.68,29.25,6.76,0,2.9,0,26.33,0,26.33,3.78,12.42,4.15,12.42,355.12999999999994

85,21:00-21:15,0,0,200,26.33,0,0,0.72,24.87,6.76,0,2.9,0,26.33,0,26.33,0,12.42,4.15,12.42,343.22999999999996

86,21:15-21:30,0,0,200,26.33,0,0,0.72,24.87,6.76,0,2.9,0,26.33,0,26.33,0,12.42,4.15,12.42,343.22999999999996

87,21:30-21:45,0,0,200,26.33,0,0,0.72,24.87,6.76,0,2.9,0,26.33,0,26.33,0,12.42,4.15,12.42,343.22999999999996

88,21:45-22:00,0,0,200,26.33,0,0,0.72,24.87,6.76,0,2.9,0,26.33,0,26.33,0,12.42,4.15,12.42,343.22999999999996

89,22:00-22:15,142.69,0,200,26.33,0,0,0.68,24.87,6.76,0,2.9,0,26.33,47.56,26.33,0,12.42,4.15,12.42,533.4399999999998

90,22:15-22:30,142.69,0,200,26.33,0,0,0.68,24.87,6.76,0,2.9,0,26.33,47.56,26.33,0,12.42,4.15,12.42,533.4399999999998

91,22:30-22:45,142.69,0,200,26.33,0,0,0.68,24.87,6.76,0,2.9,0,26.33,47.56,26.33,0,12.42,4.15,12.42,533.4399999999998

92,22:45-23:00,142.69,0,200,26.33,0,0,0.68,24.87,6.76,0,2.9,0,26.33,47.56,26.33,0,12.42,4.15,12.42,533.4399999999998

93,23:00-23:15,142.69,0,200,26.33,0,0,0.58,24.87,6.76,0,2.9,0,26.33,47.56,26.33,0,12.42,4.15,12.42,533.3399999999998

94,23:15-23:30,142.69,0,200,26.33,0,0,0.58,24.87,6.76,0,2.9,0,26.33,47.56,26.33,0,12.42,4.15,12.42,533.3399999999998

95,23:30-23:45,142.69,0,200,26.33,0,0,0.58,24.87,6.76,0,2.9,0,26.33,47.56,26.33,0,12.42,4.15,12.42,533.3399999999998

96,23:45-24:00,142.69,0,200,26.33,0,0,0.58,24.87,6.76,0,2.9,0,26.33,47.56,26.33,0,12.42,4.15,12.42,533.3399999999998

