Time,Block,NR/2024/20963/C,NR/2024/19760/A/23003,NR/2024/20513/A/23116,NR/2024/20524/A/23381,NR/2024/20144/A/23109,NR/2024/19966/A/23085,NR/2024/20557/A/23449,NR/2024/20572/A/23441,NR/2024/20050/A/23369,NR/2024/20130/A/23126,NR/2024/20540/A/22865,NR/2024/20999/C,NR/2024/20553/A/23053,NR/2024/19779/A/23022,NR/2024/19475/A/23356,NR/2024/19683/A/23498,NR/2024/19757/A/23454,NR/2024/19919/A/23437,NR/2024/20777/A/23006,NR/2024/20597/A/23478,NR/2024/20516/A/23114,NR/2024/20142/A/23110,NR/2024/20552/A/23054,NR/2024/20558/A/23445,NR/2024/19588/A/23316,NR/2024/20560/A/23443,NR/2024/20994/C,NR/2024/20965/C,NR/2024/19699/A/23457,NR/2024/20212/A/23113,NR/2024/19432/A/23459,NR/2024/20090/A/23060,NR/2024/19640/A/23523,NR/2024/20917/C,NR/2024/19988/A/23002,NR/2024/20211/A/23112,NR/2024/20141/A/23111,NR/2024/19918/A/23438,NR/2024/20599/A/22999,NR/2024/19642/A/23522,NR/2024/20109/A/23409,NR/2024/20598/A/22998,NR/2024/19791/A/23444,NR/2024/20537/A/23408,NR/2024/19355/A/23410,NR/2024/20554/A/23023,NR/2024/20048/A/23370,NR/2024/20037/A/23001,NR/2024/19978/A/23442,NR/2024/20041/A/23368,NR/2024/20515/A/23115,NR/2024/19637/A/23093,Total

3,00:30-00:45,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,7.720000,0.000000,48.240000,0.630000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2083.99

4,00:45-01:00,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,7.720000,0.000000,48.240000,0.630000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2083.99

5,01:00-01:15,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,0.000000,108.530000,0.480000,7.720000,0.000000,48.240000,0.580000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2051.05

6,01:15-01:30,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,0.000000,108.530000,0.480000,7.720000,0.000000,48.240000,0.580000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2051.05

7,01:30-01:45,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,0.000000,108.530000,0.480000,7.720000,0.000000,48.240000,0.580000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2051.05

8,01:45-02:00,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,0.000000,108.530000,0.480000,7.720000,0.000000,48.240000,0.580000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2051.05

9,02:00-02:15,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,7.720000,0.000000,0.000000,0.530000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1987.42

10,02:15-02:30,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,7.720000,0.000000,0.000000,0.530000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1987.42

11,02:30-02:45,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,7.720000,0.000000,0.000000,0.530000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1987.42

12,02:45-03:00,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,7.720000,0.000000,0.000000,0.530000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1987.42

13,03:00-03:15,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,6.750000,0.000000,0.000000,0.480000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1986.39

14,03:15-03:30,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,6.750000,0.000000,0.000000,0.480000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1986.39

15,03:30-03:45,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,6.750000,0.000000,0.000000,0.480000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1986.39

16,03:45-04:00,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,6.750000,0.000000,0.000000,0.480000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1986.39

17,04:00-04:15,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,6.750000,0.000000,0.000000,0.480000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1986.39

18,04:15-04:30,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,6.750000,0.000000,0.000000,0.480000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1986.39

19,04:30-04:45,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,6.750000,0.000000,0.000000,0.480000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1986.39

20,04:45-05:00,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,6.750000,0.000000,0.000000,0.480000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1986.39

21,05:00-05:15,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,6.750000,0.000000,0.000000,0.530000,192.940000,1.930000,48.600000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1751.06

22,05:15-05:30,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,6.750000,0.000000,0.000000,0.530000,192.940000,1.930000,48.600000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1751.06

23,05:30-05:45,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,6.750000,0.000000,0.000000,0.530000,192.940000,1.930000,48.600000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1751.06

24,05:45-06:00,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,6.750000,0.000000,0.000000,0.530000,192.940000,1.930000,48.600000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,82.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1751.06

25,06:00-06:15,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,6.750000,0.000000,0.000000,0.530000,192.940000,1.930000,48.600000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1510.84

26,06:15-06:30,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,6.750000,0.000000,0.000000,0.530000,192.940000,1.930000,48.600000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1510.84

27,06:30-06:45,0.1,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,6.750000,0.000000,0.000000,0.530000,192.940000,1.930000,48.600000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1510.94

28,06:45-07:00,0.58,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,6.750000,0.000000,0.000000,0.530000,192.940000,1.930000,48.600000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1511.42

29,07:00-07:15,0.92,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,6.750000,0.000000,0.000000,0.680000,192.940000,1.930000,48.600000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1511.91

30,07:15-07:30,1.38,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,6.750000,0.000000,0.000000,0.680000,192.940000,1.930000,48.600000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1512.37

31,07:30-07:45,1.91,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,6.750000,0.000000,0.000000,0.680000,192.940000,1.930000,48.600000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1512.9

32,07:45:08:00,2.88,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,6.750000,0.000000,0.000000,0.680000,192.940000,1.930000,48.600000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1513.87

33,08:00-08:15,3.98,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,6.750000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1709.52

34,08:15-08:30,4.49,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,6.750000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,73.320000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1710.03

35,08:30-08:45,5.14,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,6.750000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1758.9

36,08:45:09:00,5.47,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,6.750000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1759.23

37,09:00:09:15,5.69,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,9.650000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,1921.54

38,09:15-09:30,6.2,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,9.650000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,1922.05

