Block,Time Block,KGSU1AND2,KGSU3AND4,DADRT2,AURY_RF,ANTA_LF,AURY_GF,DADRI_GF,AURY_CRF,DADRI_CRF,DADRI_RF,ANTA_RF,AURY_LF,DADRI_LF,CHAMERA2,BRBCL,CHAMERA1,BSIUL,CHAMERA3,ANTA_GF,UNCHAHAR2,URI,TelanganaSTPP,UNCHAHAR1,VALLURNTECL,ANTA_CRF,UNCHAHAR4,TEHRI,URI2,UNCHAHAR3,RIHAND2,SASAN,TALST2,RIHAND1,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,RSTPSU1TO6,SIMHST2,RSTPSU7,TALA,SALAL,SEWA2,SINGRAULI,RIHAND3,TANDA2,NLCIIST1,KOTESHWR,NLCEXP,NJPC,KKNPPU2,KUDGI,MAPS,KOLDAM,NAPP,NTPL,RAPPB,RAPPD,RAMPUR,NLCIIST2,NLCTS2EXP,PARBATI3,RAPPC,NNTPP,PARBATI2,KHSTPP-II,KKNP,KISHANGANGA,KHSTPP-I,DULHASTI,DHAULIGNGA,FSTPP I & II,JHAJJAR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,0,0,432.87,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,6.28,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,332.6,0,93.63,0,1.04,0.49,0,0,0,7.08,71.62,0,132.15,125.95,5.32,0,10.04,0,79.92,0,0,0,9.24,24.69,0,0,20.86,3.17,0,0,18.91,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,351.14,0,0,0,0,0

7,01:30-01:45,0,0,384.72,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,6.28,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,332.6,0,93.63,0,1.04,0.49,0,0,0,7.08,71.62,0,127.49,125.95,5.32,0,10.04,0,79.92,0,0,0,6.92,24.69,0,0,20.86,3.17,0,0,18.91,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,351.14,0,0,0,0,0

8,01:45-02:00,0,0,336.57,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,12.56,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,332.6,0,93.63,0,1.04,0.49,0,0,0,7.08,71.62,0,127.49,125.95,5.32,0,10.04,0,79.92,0,0,0,6.92,24.69,0,0,20.86,3.17,0,0,18.91,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,351.14,0,0,0,0,0

9,02:00-02:15,0,0,288.42,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,12.56,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,332.6,0,93.63,0,1.04,0.49,0,0,0,7.08,71.62,0,127.49,125.95,5.32,0,10.04,0,79.92,0,0,0,6.92,24.69,0,0,20.86,3.17,0,0,16.26,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,351.14,0,0,0,0,0

10,02:15-02:30,0,0,240.27,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,12.56,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,332.6,0,93.63,0,1.04,0.49,0,0,0,7.08,71.62,0,127.49,125.95,5.32,0,10.04,0,79.92,0,0,0,6.92,24.69,0,0,20.86,3.17,0,0,16.26,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,351.14,0,0,0,0,0

11,02:30-02:45,0,0,237.38,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,12.56,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,342.08,0,93.63,0,1.04,0.49,0,0,0,7.08,71.62,0,127.49,125.95,5.32,0,10.04,0,79.92,0,0,0,6.92,24.69,0,0,20.86,3.17,0,0,16.26,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,351.14,0,0,0,0,0

12,02:45-03:00,0,0,217.16,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,12.56,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,355.43,0,93.63,0,1.04,0.49,0,0,0,7.08,71.62,0,127.49,125.95,5.32,0,10.04,0,79.92,0,0,0,6.92,24.69,0,0,20.86,3.17,0,0,16.26,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,351.14,0,0,0,0,0

13,03:00-03:15,0,0,201.75,0,0,0,0,0,0,0,0,0,0,47,14.44,40.59,12.56,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,364.34,0,93.63,0,1.04,0.49,0,0,0,7.08,71.62,0,127.49,125.95,5.32,0,10.04,0,79.92,0,0,0,6.92,24.69,0,0,20.86,3.17,0,0,16.26,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,351.96,0,0,0,0,0

14,03:15-03:30,0,0,191.16,0,0,0,0,0,0,0,0,0,0,47,14.44,27.06,12.56,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,369.75,0,93.63,0,1.04,0.49,0,0,0,7.08,71.62,0,127.49,125.95,5.32,0,10.04,0,79.92,0,0,0,6.92,24.69,0,0,20.86,3.17,0,0,16.26,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,351.96,0,0,0,0,0

15,03:30-03:45,0,0,174.78,0,0,0,0,0,0,0,0,0,0,47,14.44,27.06,12.56,22.47,0,42.38,35.08,0,21.13,0,0,1.64,30.84,36.69,26.66,119.97,375.18,0,93.63,0,1.04,0.49,0,0,0,7.08,61.55,0,131.65,125.95,5.32,0,10.04,0,79.92,0,0,0,6.92,24.69,0,0,20.86,3.17,0,0,16.26,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,13.77,351.96,0,0,0,0,0

16,03:45-04:00,0,0,163.23,0,0,0,0,0,0,0,0,0,0,47,14.44,27.06,12.56,22.47,0,36.8,35.08,0,18.33,0,0,1.64,30.84,36.69,23.15,119.97,380.59,0,93.63,0,1.04,0.49,0,0,0,7.08,61.55,0,137.48,125.95,5.32,0,10.04,0,106.58,0,0,0,6.92,24.69,0,0,20.86,4.24,0,0,16.26,66.51,0,18.09,142.81,0,8.31,43.85,57.3,10.54,11.86,270.25,0,0,0,0,0

17,04:00-04:15,0,0,163.23,0,0,0,0,0,0,0,0,0,0,47,14.44,27.06,12.56,22.47,0,28.15,35.08,0,14.1,0,0,0.9,30.84,36.69,17.83,119.97,386,0,93.63,0,1.04,6.04,0,0,0,7.08,61.55,0,143.83,125.95,3.83,0,10.04,0,133.21,0,0,0,6.92,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,18.09,114.6,0,8.31,35.18,57.3,10.54,10.5,259.2,0,0,0,0,0

18,04:15-04:30,0,0,163.23,0,0,0,0,0,0,0,0,0,0,47,14.44,13.53,12.56,22.47,0,28.15,35.08,0,14.1,0,0,0.9,30.84,36.69,17.83,119.97,392.86,0,93.63,0,1.04,6.04,0,0,0,7.08,61.55,0,144.78,125.95,3.83,0,10.04,0,133.21,0,0,0,6.92,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,18.09,114.6,0,8.31,35.18,57.3,10.54,9.14,259.2,0,0,0,0,0

19,04:30-04:45,0,0,163.23,0,0,0,0,0,0,0,0,0,0,31.33,14.44,13.53,12.56,22.47,0,33.72,35.08,0,16.91,0,0,0.9,30.84,36.69,21.33,119.97,394.35,0,93.63,0,1.04,0.49,0,0,0,7.08,61.55,0,144.78,125.95,3.83,0,10.04,0,133.21,0,0,0,6.92,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,18.09,114.6,0,8.31,35.18,57.3,10.54,11.05,341,0,0,0,0,0

20,04:45-05:00,0,0,163.23,0,0,0,0,0,0,0,0,0,0,31.33,14.44,13.53,12.56,22.47,0,33.72,35.08,0,16.91,0,0,0.9,30.84,36.69,21.33,119.97,394.35,0,93.63,0,1.04,0.49,0,0,0,7.08,61.55,0,144.78,125.95,3.83,0,10.04,0,133.21,0,0,0,6.92,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,18.09,114.6,0,8.31,35.18,57.3,10.54,11.05,314.46,0,0,0,0,0

21,05:00-05:15,0,0,94.96,0,0,0,0,0,0,0,0,0,0,31.33,14.44,13.53,12.56,22.47,0,28.26,35.08,0,14.1,0,0,0.9,30.84,36.69,17.83,96.39,394.35,0,64.97,0,1.04,0.49,0,0,0,7.08,61.55,0,130.63,105.36,3.83,0,10.04,0,133.21,0,0,0,6.92,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,18.09,114.6,0,8.31,35.18,57.3,10.54,9.14,229.69,0,0,0,0,0

22,05:15-05:30,0,0,94.96,0,0,0,0,0,0,0,0,0,0,31.33,14.44,13.53,12.56,22.47,0,28.15,35.08,0,14.1,0,0,0.9,30.84,36.69,17.83,96.39,394.35,0,64.97,0,1.04,0.49,0,0,0,7.08,61.55,0,130.63,105.36,3.83,0,10.04,0,133.21,0,0,0,6.92,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,18.09,114.6,0,8.31,35.18,57.3,10.54,9.14,229.69,0,0,0,0,0

23,05:30-05:45,0,0,163.23,0,0,0,0,0,0,0,0,0,0,31.33,14.44,13.53,12.56,22.47,0,28.15,35.08,0,14.1,0,0,0.9,30.84,36.69,17.83,96.39,394.35,0,64.97,0,1.04,0.49,0,0,0,7.08,61.55,0,130.63,105.36,3.83,0,10.04,0,133.21,0,0,0,6.92,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,18.09,114.6,0,8.31,35.18,57.3,10.54,9.14,259.2,0,0,0,0,0

24,05:45-06:00,0,0,163.23,0,0,0,0,0,0,0,0,0,0,31.33,14.44,13.53,12.56,22.47,0,28.15,35.08,0,14.1,0,0,0.9,20.55,36.69,17.83,96.39,394.35,0,64.97,0,1.04,0.49,0,0,0,7.08,61.55,0,130.63,105.36,3.83,0,10.04,0,133.21,0,0,0,6.92,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,18.09,114.6,0,8.31,35.18,57.3,10.54,9.14,259.2,0,0,0,0,0

25,06:00-06:15,0,0,163.23,0,0,0,0,0,0,0,0,0,0,31.33,14.44,13.53,12.56,22.47,0,33.72,35.08,0,16.91,0,0,0.9,20.55,36.69,21.33,119.97,379.18,0,64.97,0,1.04,0.49,0,0,0,4.25,61.55,6.07,130.63,124.41,3.83,0,10.04,0,133.21,0,0,0,4.61,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,18.09,114.6,0,8.31,35.18,57.3,10.54,11.05,341.06,0,0,0,0,0

26,06:15-06:30,0,0,163.23,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,22.47,0,28.15,35.08,0,14.1,0,0,0.9,20.55,36.69,17.83,96.39,379.18,0,64.97,0,1.04,0.49,0,0,0,4.25,61.55,12.14,130.63,105.35,3.83,0,10.04,0,133.21,0,0,0,4.61,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,18.09,114.6,0,8.31,35.18,57.3,10.54,9.14,314.57,0,0,0,0,0

27,06:30-06:45,0,0,97.83,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,22.47,0,28.15,35.08,0,14.1,0,0,0.9,20.55,36.69,17.83,96.39,379.18,0,64.97,0,1.04,0.49,0,0,0,4.25,61.55,12.14,130.63,105.35,3.83,0,10.04,0,133.21,0,0,0,4.61,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,18.09,114.6,0,8.31,35.18,57.3,10.54,9.14,229.69,0,0,0,0,0

28,06:45-07:00,0,0,94.96,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,22.47,0,28.26,35.08,0,14.1,0,0,0.9,20.55,36.69,17.83,96.39,379.18,0,64.97,0,1.04,0.99,0,0,0,4.25,61.55,12.14,130.63,105.35,3.83,0,10.04,0,133.21,0,0,0,4.61,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,18.09,114.6,0,8.31,35.18,57.3,10.54,9.14,356.8,0,0,0,0,0

29,07:00-07:15,0,0,156.35,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,22.47,0,23.83,35.08,0,11.87,0,0,0.96,20.55,36.69,14.66,96.39,379.18,0,64.97,0,1.04,0.99,0,0,0,4.25,61.55,16.97,130.63,105.35,3.83,0,10.04,0,133.21,0,0,0,4.61,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,15.92,114.6,0,8.31,35.18,57.3,10.54,9.14,356.8,0,0,0,0,0

30,07:15-07:30,0,0,49.72,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,22.47,0,23.83,35.08,0,11.87,0,0,0.96,20.55,36.69,14.66,96.39,379.18,0,64.97,0,1.04,0.49,0,0,0,4.25,61.55,18.2,130.63,105.35,3.83,0,10.04,0,133.21,0,0,0,4.2,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,15.92,114.6,0,8.31,29.12,57.3,10.54,9.14,356.8,0,0,0,0,0

31,07:30-07:45,0,0,49.72,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,22.47,0,23.83,35.08,0,11.87,0,0,0.96,20.55,36.69,16.32,80.55,379.18,0,52.74,0,1.04,0.49,0,0,0,4.25,61.55,18.2,112.06,105.35,3.83,0,10.04,0,133.21,0,0,0,1.86,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,15.92,104.5,0,8.31,24.58,57.3,10.54,7.94,356.8,0,0,0,0,0

32,07:45-08:00,0,0,49.72,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,22.47,0,23.83,35.08,0,11.87,0,0,0.96,20.55,36.69,16.32,80.55,379.18,0,52.74,0,1.04,0.49,0,0,0,4.25,61.55,18.2,112.06,105.35,3.83,0,10.04,0,133.21,0,0,0,0,24.69,0,0,20.86,5.3,0,0,16.26,66.51,0,15.92,94.87,0,8.31,24.58,57.3,10.54,8.2,356.8,0,0,0,0,0

33,08:00-08:15,0,0,49.72,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,22.47,0,23.83,35.08,0,13.08,0,0,0.96,10.28,36.69,16.32,80.55,379.18,0,52.74,0,1.04,0.49,0,0,0,1.42,61.55,18.2,112.06,105.35,3.83,0,10.04,0,106.58,0,0,0,0,24.69,0,0,20.86,4.24,0,0,16.26,66.51,0,15.92,78.55,0,8.31,26.05,57.3,10.54,8.8,356.8,0,0,0,0,0

34,08:15-08:30,0,0,49.72,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,22.47,0,23.83,35.08,0,13.08,0,0,0.96,0,36.69,16.32,80.55,379.18,0,52.74,0,1.04,0.49,0,0,0,1.42,61.55,18.2,112.06,105.35,3.83,0,10.04,0,106.58,0,0,0,0,24.69,0,0,20.86,4.24,0,0,16.26,66.51,0,15.92,78.55,0,8.31,26.05,57.3,10.54,8.8,356.8,0,0,0,0,0

35,08:30-08:45,0,0,49.72,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,11.24,0,23.83,35.08,0,13.08,0,0,0.96,0,36.69,16.32,80.55,379.18,0,52.74,0,1.04,0.49,0,0,0,1.42,61.55,18.2,112.06,105.35,3.83,0,10.04,0,106.58,0,0,0,0,24.69,0,0,20.86,4.24,0,0,16.26,66.51,0,15.92,78.55,0,8.31,25.49,57.3,10.54,8.8,337.53,0,0,0,0,0

36,08:45-09:00,0,0,49.72,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,11.24,0,23.83,35.08,0,13.08,0,0,0.96,0,36.69,16.32,80.55,379.18,0,52.74,0,1.04,0.49,0,0,0,1.42,61.55,18.2,112.06,105.35,3.83,0,10.04,0,79.92,0,0,0,0,24.69,0,0,20.86,3.17,0,0,16.26,66.51,0,15.92,78.55,0,8.31,25.49,57.3,10.54,8.8,337.53,0,0,0,0,0

37,09:00-09:15,0,0,49.72,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,11.24,0,23.83,35.08,0,13.08,0,0,0.96,0,36.69,16.32,80.55,379.18,0,52.74,0,1.04,6.04,0,0,0,1.42,61.55,18.2,112.06,105.35,3.83,0,10.04,0,79.92,0,0,0,0,24.69,0,0,20.86,3.17,0,0,16.26,66.51,0,15.92,94.87,0,8.31,29.07,57.3,10.54,8.8,308.65,0,0,0,0,0

38,09:15-09:30,0,0,49.72,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,11.24,0,23.83,35.08,0,13.08,0,0,0.96,0,36.69,16.32,80.55,379.18,0,52.74,0,1.04,6.04,0,0,0,1.42,61.55,18.2,112.06,105.35,3.83,0,10.04,0,53.28,0,0,0,0,24.69,0,0,20.86,2.11,0,0,16.26,66.51,0,10.86,94.87,0,8.31,29.12,57.3,10.54,8.8,308.65,0,0,0,0,0

39,09:30-09:45,0,0,49.72,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,11.24,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,96.39,387,0,52.74,0,1.04,6.04,0,0,0,1.42,61.55,18.2,112.06,105.35,3.83,0,10.04,0,46.93,0,0,0,0,24.69,0,0,20.86,1.87,0,0,4.13,66.51,0,10.86,94.87,0,8.31,29.12,57.3,10.54,8.8,299.02,0,0,0,0,0

40,09:45-10:00,0,0,49.72,0,0,0,0,0,0,0,0,0,0,31.33,14.44,0,12.56,11.24,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,96.39,390.02,0,64.97,0,1.04,6.04,0,0,0,1.42,61.55,18.2,130.63,105.35,3.83,0,10.04,0,26.64,0,0,0,0,24.69,0,0,20.86,1.06,0,0,4.13,66.51,0,10.86,94.87,0,8.31,29.12,57.3,10.54,8.8,270.13,0,0,0,0,0

41,10:00-10:15,0,0,49.72,0,0,0,0,0,0,0,0,0,0,15.67,14.44,0,12.56,11.24,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,96.39,390.02,0,64.97,0,1.04,0.49,0,0,0,1.42,49.24,18.2,130.63,105.35,3.83,0,10.04,0,26.64,0,0,0,0,24.69,0,0,20.86,1.06,0,0,4.13,66.51,0,10.86,94.87,0,8.31,29.12,57.3,0,8.8,270.13,0,0,0,0,0

42,10:15-10:30,0,0,49.72,0,0,0,0,0,0,0,0,0,0,15.67,14.44,0,12.56,11.24,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,96.39,390.02,0,64.97,0,1.04,0.49,0,0,0,1.42,49.24,18.2,130.63,105.35,3.83,0,10.04,0,26.64,0,0,0,0,24.69,0,0,20.86,1.06,0,0,4.13,66.51,0,10.86,94.87,0,8.31,29.12,57.3,0,8.8,270.13,0,0,0,0,0

43,10:30-10:45,0,0,49.72,0,0,0,0,0,0,0,0,0,0,15.67,14.44,0,6.28,11.24,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,96.39,390.02,0,64.97,0,1.04,0.49,0,0,0,3.26,49.24,18.2,130.63,105.35,3.83,0,10.04,0,26.64,0,0,0,0,24.69,0,0,20.86,1.06,0,0,0,66.51,0,10.86,114.6,0,8.31,29.12,57.3,0,8.8,270.13,0,0,0,0,0

44,10:45-11:00,0,0,49.72,0,0,0,0,0,0,0,0,0,0,15.67,14.44,0,6.28,11.24,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,96.39,392.99,0,64.97,0,1.04,0.49,0,0,0,3.26,49.24,12.14,130.63,105.35,3.83,0,10.04,0,26.64,0,0,0,0,24.69,0,0,20.86,1.06,0,0,0,66.51,0,10.86,114.6,0,8.31,29.12,57.3,0,8.8,270.13,0,0,0,0,0

45,11:00-11:15,0,0,49.72,0,0,0,0,0,0,0,0,0,0,15.67,14.44,0,6.28,11.24,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,96.39,396.25,0,64.97,0,1.04,0.49,0,0,0,3.26,49.24,12.14,130.63,105.35,3.83,0,10.04,0,26.64,0,0,0,0,24.69,0,0,20.86,1.06,0,0,0,66.51,0,0,114.6,0,8.31,29.12,57.3,0,8.8,270.13,0,0,0,0,0

46,11:15-11:30,0,0,49.72,0,0,0,0,0,0,0,0,0,0,15.67,14.44,0,6.28,11.24,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,96.39,400.37,0,64.97,0,1.04,0.49,0,0,0,3.26,49.24,6.07,130.63,105.35,3.83,0,10.04,0,26.64,0,0,0,0,24.69,0,0,20.86,1.06,0,0,0,66.51,0,0,114.6,0,8.31,29.12,57.3,0,8.8,270.13,0,0,0,0,0

47,11:30-11:45,0,0,49.72,0,0,0,0,0,0,0,0,0,0,15.67,14.44,0,6.28,0,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,119.97,400.85,0,64.97,0,1.04,0.49,0,0,0,3.26,49.24,0,130.63,125.95,3.83,0,10.04,0,26.64,0,0,0,0,24.69,0,0,20.86,1.06,0,0,0,66.51,0,0,114.6,0,8.31,29.12,57.3,0,8.8,270.13,0,0,0,0,0

48,11:45-12:00,0,0,49.72,0,0,0,0,0,0,0,0,0,0,0,14.44,0,6.28,0,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,119.97,400.85,0,64.97,0,1.04,0.49,0,0,0,3.26,49.24,0,130.63,125.95,3.83,0,10.04,0,26.64,0,0,0,0,24.69,0,0,20.86,1.06,0,0,0,66.51,0,0,114.6,0,8.31,29.12,57.3,0,8.8,270.13,0,0,0,0,0

49,12:00-12:15,0,0,49.72,0,0,0,0,0,0,0,0,0,0,0,14.44,0,6.28,0,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,119.97,400.85,0,93.63,0,1.04,0.49,0,0,0,3.26,49.24,0,144.78,125.95,3.83,0,10.04,0,26.64,0,0,0,0,24.69,0,0,20.86,1.06,0,0,0,66.51,0,0,114.6,0,8.31,29.12,57.3,0,8.8,279.76,0,0,0,0,0

50,12:15-12:30,0,0,49.72,0,0,0,0,0,0,0,0,0,0,0,14.44,0,6.28,0,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,119.97,400.85,0,93.63,0,1.04,0.49,0,0,0,3.26,49.24,0,144.78,125.95,3.83,0,10.04,0,26.64,0,0,0,0,24.69,0,0,20.86,1.06,0,0,0,66.51,0,0,114.6,0,8.31,29.12,57.3,0,8.8,279.76,0,0,0,0,0

51,12:30-12:45,0,0,49.72,0,0,0,0,0,0,0,0,0,0,0,14.44,0,6.28,0,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,119.97,400.85,0,93.63,0,1.04,0.49,0,0,0,2.83,36.93,0,144.78,125.95,3.83,0,10.04,0,26.64,0,0,0,0,24.69,0,0,20.86,1.06,0,0,0,66.51,0,0,114.6,0,8.31,29.12,57.3,0,8.8,260.5,0,0,0,0,0

52,12:45-13:00,0,0,49.72,0,0,0,0,0,0,0,0,0,0,0,14.44,0,6.28,0,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,119.97,400.85,0,93.63,0,1.04,0.49,0,0,0,2.83,36.93,0,144.78,125.95,3.83,0,10.04,0,53.28,0,0,0,0,24.69,0,0,20.86,2.11,0,0,0,66.51,0,0,114.6,0,8.31,29.12,57.3,0,8.8,260.5,0,0,0,0,0

53,13:00-13:15,0,0,49.72,0,0,0,0,0,0,0,0,0,0,0,14.44,0,6.28,0,0,23.83,35.61,0,13.08,0,0,0.96,0,36.69,16.32,119.97,400.85,0,93.63,0,1.04,0.49,0,0,0,2.83,49.24,0,144.78,125.95,3.83,0,10.04,0,79.92,0,0,0,0,24.69,0,0,20.86,3.17,0,0,0,66.51,0,0,94.87,0,8.31,29.12,57.3,0,8.8,260.5,0,0,0,0,0

