Column1,Block,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/2563,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/31/4992,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/31/3997,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,WR/2025/26427/A/60614,NR/01082024/19092033/Chanju/TPDDL/01082024,WR/2025/26582/A/60842,WR/2025/26499/A/60844,GNA/SR/2025/03/01/7500,GNA/WR/2025/03/01/6406,WR/2025/26426/A/60613,GNA/NR/2025/03/01/1906,NR/30092023/26122029/SH-06,NR/2025/25159/A/60505,NR/2025/25517/A/60642,NR/2025/25518/A/60652,GNARE/NR/2024/12/20/3668,NR/2025/25801/C,NR/2025/25802/C,NR/2025/25516/A/60640,Total
12,02:45-03:00,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,737.6099999999999

13,03:00-03:15,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,737.6099999999999

14,03:15-03:30,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,737.6099999999999

15,03:30-03:45,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,737.6099999999999

16,03:45-04:00,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,737.6099999999999

17,04:00-04:15,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,737.6099999999999

18,04:15-04:30,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,737.6099999999999

19,04:30-04:45,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,737.6099999999999

20,04:45-05:00,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.43,0,0,0,0,0,0,737.6099999999999

21,05:00-05:15,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.48,0,0,0,0,0,0,737.66

22,05:15-05:30,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.48,0,0,0,0,0,0,737.66

23,05:30-05:45,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,26.99,0,24.09,6.58,24.09,0,0,42,168.21,23.41,26.99,0.48,0,0,0,0,0,0,737.66

24,05:45-06:00,6.73,23.41,0,6.75,23.41,79.19,17.35,237.98,24.42,0,24.09,6.58,24.09,0,0,42,168.21,23.41,24.42,0.48,0,0,0,0,0,0,732.52

25,06:00-06:15,6.73,23.41,0,6.75,23.41,0,17.35,0,24.42,0,0,6.44,0,0,0,42,168.21,23.41,24.42,0.53,0.3,0.2,0,0,0,0.4,367.98

26,06:15-06:30,6.73,23.41,0,6.75,23.41,0,17.35,0,21.89,0,0,6.44,0,0,0,42,168.21,23.41,21.89,0.53,0.4,0.2,0,0,0,0.4,363.02

27,06:30-06:45,6.73,23.41,0,6.75,23.41,0,17.35,0,24.42,0,0,6.44,0,0,0,42,168.21,23.41,24.42,0.53,0.4,0.2,0.38,0,0,0.4,368.46

28,06:45-07:00,6.73,23.41,0,6.75,23.41,0,17.35,0,24.42,0,0,6.44,0,0,0,42,168.21,23.41,24.42,0.53,0.4,0.3,1.02,0,0,0.4,369.2

29,07:00-07:15,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.35,0,40.48,0,0,168.21,23.41,26.99,0.58,0.5,0.3,3.64,0,0,0.5,375.6

30,07:15-07:30,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.35,0,40.48,0,0,168.21,23.41,26.99,0.58,0.5,0.4,8.11,0,0,0.7,380.37

31,07:30-07:45,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.35,0,40.48,0,0,168.21,23.41,26.99,0.58,0.6,0.4,14.43,0,0,0.8,386.89000000000004

32,07:45-08:00,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.35,0,40.48,0,0,168.21,23.41,26.99,0.58,0.7,0.5,22.37,0,0,1,395.23

33,08:00-08:15,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.35,0,40.48,0,0,0,23.41,26.99,0.96,0.8,0.6,30.64,0,0,1,235.87

34,08:15-08:30,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.35,0,40.48,0,0,0,23.41,26.99,0.96,0.8,0.6,39.94,0,0,1,245.17000000000002

35,08:30-08:45,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.35,0,40.48,0,0,0,23.41,26.99,0.96,0.8,0.6,48.7,0,0,1.1,254.03

36,08:45-09:00,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.35,0,40.48,0,0,0,23.41,26.99,0.96,0.8,0.6,57.4,0,0,1.1,262.73

37,09:00-09:15,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.26,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,65.22,15,40,1.1,325.52

38,09:15-09:30,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.26,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,72.92,15,40,1.2,333.32

39,09:30-09:45,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.26,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,80.22,15,40,1.2,340.61999999999995

40,09:45-10:00,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.26,0,40.48,0,0,0,23.41,26.99,0.92,0.8,0.6,87,15,40,1.2,347.3

41,10:00-10:15,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.26,0,40.48,0,0,0,23.41,26.99,0.92,0.8,0.6,95.62,15,40,1.2,355.92

42,10:15-10:30,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.26,0,40.48,0,0,0,23.41,26.99,0.92,0.8,0.6,100,15,40,1.3,360.40000000000003

43,10:30-10:45,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.26,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,15,40,1.3,360.5

44,10:45-11:00,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.26,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,15,40,1.3,360.5

45,11:00-11:15,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.17,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,15,40,1.3,360.41

46,11:15-11:30,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.17,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,15,40,1.3,360.41

47,11:30-11:45,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.17,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,15,40,1.3,360.41

48,11:45-12:00,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,6.17,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,15,40,1.3,360.41

49,12:00-12:15,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.98,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.7,100,11.25,40,1.3,356.57

50,12:15-12:30,6.73,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.98,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,11.25,40,1.3,356.46999999999997

51,12:30-12:45,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.98,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,11.25,40,1.3,349.74

52,12:45-13:00,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.98,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,11.25,40,1.3,349.74

53,13:00-13:15,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.98,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,15,40,1.3,353.49

54,13:15-13:30,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.98,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,15,40,1.3,353.49

55,13:30-13:45,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.98,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,15,40,1.3,353.49

56,13:45-14:00,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.98,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,15,40,1.3,353.49

57,14:00-14:15,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.9,0,40.48,0,0,0,23.41,26.99,0.92,0.9,0.6,100,15,40,1.3,353.41

58,14:15-14:30,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.9,0,40.48,0,0,0,23.41,26.99,0.92,1,0.6,100,15,40,1.3,353.51

59,14:30-14:45,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.9,0,40.48,0,0,0,23.41,26.99,0.92,1,0.6,100,15,40,1.3,353.51

60,14:45-15:00,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.9,0,40.48,0,0,0,23.41,26.99,0.92,1,0.6,100,15,40,1.3,353.51

61,15:00-15:15,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.9,0,40.48,0,0,0,23.41,26.99,0.67,1,0.6,100,15,40,1.3,353.26

62,15:15-15:30,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.9,0,40.48,0,0,0,23.41,26.99,0.67,1,0.6,100,15,40,1.3,353.26

63,15:30-15:45,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.9,0,40.48,0,0,0,23.41,26.99,0.67,1,0.6,99,15,40,1.3,352.26

64,15:45-16:00,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.9,0,40.48,0,0,0,23.41,26.99,0.67,1,0.6,92.33,15,40,1.3,345.59

65,16:00-16:15,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.98,0,40.48,0,0,0,23.41,26.99,0.53,1,0.6,85.51,15,40,1.3,338.71000000000004

66,16:15-16:30,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.98,0,40.48,0,0,0,23.41,26.99,0.53,0.9,0.7,78.06,15,40,1.3,331.26000000000005

67,16:30-16:45,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.98,0,40.48,0,0,0,23.41,26.99,0.53,0.9,0.7,70.13,15,40,1.3,323.33

68,16:45-17:00,0,23.41,0,6.75,23.41,0,17.35,0,26.99,0,0,5.98,0,40.48,0,0,0,23.41,26.99,0.53,0.9,0.6,61.93,15,40,1.3,315.03000000000003

69,17:00-17:15,0,31.8,0,6.75,31.8,0,17.35,0,26.99,100,0,6.08,0,40.48,0,0,0,31.8,26.99,0.53,0.9,0.6,53.09,0,0,1.3,376.46

70,17:15-17:30,0,31.8,0,6.75,31.8,0,17.35,0,26.99,100,0,6.08,0,40.48,0,0,0,31.8,26.99,0.53,0.8,0.5,43.7,0,0,1.2,366.77

71,17:30-17:45,0,31.8,0,6.75,31.8,0,17.35,0,26.99,100,0,6.08,0,40.48,0,0,0,31.8,26.99,0.53,0.9,0.5,34.79,0,0,1.3,358.06

72,17:45-18:00,0,31.8,0,6.75,31.8,0,17.35,0,25.22,100,0,6.08,0,40.48,0,0,0,31.8,25.22,0.53,0.9,0.6,24.98,0,0,1.3,344.81

73,18:00-18:15,0,31.8,50,6.75,31.8,0,17.35,0,20.41,100,0,6.26,0,40.48,0,0,0,31.8,20.41,0.53,0.9,0.6,17.02,0,0,1.3,377.41

74,18:15-18:30,0,31.8,50,6.75,31.8,0,17.35,0,20.41,100,0,6.26,0,40.48,0,0,0,31.8,20.41,0.53,0.9,0.6,10.1,0,0,1.3,370.49000000000007

75,18:30-18:45,0,31.8,50,6.75,31.8,0,17.35,0,30.5,100,0,6.26,0,40.48,50,0,0,31.8,30.5,0.53,0.8,0.6,7.5,0,0,1.3,437.97

76,18:45-19:00,0,31.8,50,6.75,31.8,0,17.35,0,30.5,100,0,6.26,0,40.48,50,0,0,31.8,30.5,0.53,0.7,0.5,4.02,0,0,1.3,434.28999999999996

77,19:00-19:15,0,31.8,50,6.75,31.8,0,17.35,0,30.5,100,0,6.35,0,40.48,50,0,0,31.8,30.5,0.63,0,0,3.07,0,0,0,431.03000000000003

78,19:15-19:30,0,31.8,50,6.75,31.8,0,17.35,0,30.5,100,0,6.35,0,40.48,50,0,0,31.8,30.5,0.63,0,0,0.79,0,0,0,428.75000000000006

79,19:30-19:45,0,31.8,50,6.75,31.8,0,17.35,0,30.5,100,0,6.35,0,40.48,50,0,0,31.8,30.5,0.63,0,0,0,0,0,0,427.96000000000004

80,19:45-20:00,0,31.8,50,6.75,31.8,0,17.35,0,30.5,100,0,6.35,0,40.48,50,0,0,31.8,30.5,0.63,0,0,0,0,0,0,427.96000000000004

81,20:00-20:15,6.73,28.91,75,6.75,28.91,0,17.35,0,30.5,100,0,6.58,0,40.48,50,0,48.18,28.91,30.5,0.63,0,0,0,0,0,0,499.43

82,20:15-20:30,6.73,28.91,75,6.75,28.91,0,17.35,0,30.5,100,0,6.58,0,40.48,50,0,48.18,28.91,30.5,0.63,0,0,0,0,0,0,499.43

83,20:30-20:45,6.73,28.91,75,6.75,28.91,0,17.35,0,30.5,100,0,6.58,0,40.48,50,0,48.18,28.91,30.5,0.63,0,0,0,0,0,0,499.43

84,20:45-21:00,6.73,28.91,75,6.75,28.91,0,17.35,0,30.5,100,0,6.58,0,40.48,50,0,48.18,28.91,30.5,0.63,0,0,0,0,0,0,499.43

85,21:00-21:15,6.73,28.91,75,6.75,28.91,0,17.35,0,20.03,100,0,6.58,0,40.48,50,0,48.18,28.91,20.03,0.63,0,0,0,0,0,0,478.49

86,21:15-21:30,6.73,28.91,75,6.75,28.91,0,17.35,0,20.03,100,0,6.58,0,40.48,50,0,48.18,28.91,20.03,0.63,0,0,0,0,0,0,478.49

87,21:30-21:45,6.73,28.91,75,6.75,28.91,0,17.35,0,20.03,100,0,6.58,0,40.48,50,0,48.18,28.91,20.03,0.63,0,0,0,0,0,0,478.49

88,21:45-22:00,6.73,28.91,75,6.75,28.91,0,17.35,0,23.48,100,0,6.58,0,40.48,50,0,48.18,28.91,23.48,0.63,0,0,0,0,0,0,485.39000000000004

89,22:00-22:15,6.73,23.41,75,6.75,23.41,79.19,17.35,237.98,20.03,100,24.09,6.58,24.09,40.48,50,0,48.18,23.41,20.03,0.53,0,0,0,0,0,0,827.24

90,22:15-22:30,6.73,23.41,75,6.75,23.41,79.19,17.35,237.98,20.03,100,24.09,6.58,24.09,40.48,50,0,48.18,23.41,20.03,0.53,0,0,0,0,0,0,827.24

91,22:30-22:45,6.73,23.41,75,6.75,23.41,79.19,17.35,237.98,20.03,100,24.09,6.58,24.09,40.48,50,0,48.18,23.41,20.03,0.53,0,0,0,0,0,0,827.24

92,22:45-23:00,6.73,23.41,75,6.75,23.41,79.19,17.35,237.98,20.03,100,24.09,6.58,24.09,40.48,50,0,48.18,23.41,20.03,0.53,0,0,0,0,0,0,827.24

93,23:00-23:15,6.73,23.41,75,6.75,23.41,79.17,17.35,237.98,20.03,0,24.09,6.58,24.09,40.48,50,0,48.18,23.41,20.03,0.48,0,0,0,0,0,0,727.1700000000001

94,23:15-23:30,6.73,23.41,75,6.75,23.41,79.17,17.35,237.98,20.03,0,24.09,6.58,24.09,40.48,50,0,48.18,23.41,20.03,0.48,0,0,0,0,0,0,727.1700000000001

95,23:30-23:45,6.73,23.41,75,6.75,23.41,79.17,17.35,237.98,20.03,0,24.09,6.58,24.09,40.48,50,0,48.18,23.41,20.03,0.48,0,0,0,0,0,0,727.1700000000001

96,23:45-24:00,6.73,23.41,75,6.75,23.41,79.14,17.35,237.92,20.03,0,24.09,6.58,24.09,40.48,50,0,48.18,23.41,20.03,0.48,0,0,0,0,0,0,727.08

