Column1,Block,NR/2024/23115/A/37489,NR/2024/23116/A/37492,NR/2024/23137/C,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/6566,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7908,NR/2024/22839/A/37540,NR/2024/22754/A/37516,NR/2024/23133/C,NR/2024/22832/A/37544,NR/2024/22833/A/37543,GNA/NR/2024/09/01/9821,NR/2024/22837/A/37541,NR/2024/22820/A/37297,NR/2024/23135/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23038/A/37291,NR/2024/21658/A/37295,GNA/NR/2024/09/01/7119,NR/30092023/26122029/SH-06,NR/2024/22803/A/37547,NR/2024/22848/A/37527,NR/2024/23017/A/37317,GNA/NR/2024/09/01/6020,NR/2024/22874/A/37546,GNA/NR/2024/09/01/8090,NR/2024/23140/C,NR/2024/23136/C,NR/2024/22835/A/37506,Total
21,05:00-05:15,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.21,3.88,0.58,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,998.93

22,05:15-05:30,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.21,3.88,0.58,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,998.93

23,05:30-05:45,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.21,3.88,0.58,17.52,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1000.41

24,05:45-06:00,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.21,3.88,0.58,17.52,0,96.92,84.49,7.75,96.92,0,8.81,0,165.01,91.1,999.4399999999999

25,06:00-06:15,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.21,3.88,0.68,17.52,0,96.92,84.49,7.75,96.92,0,8.81,0,165.01,91.1,808.12

26,06:15-06:30,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.21,3.88,0.68,17.52,0,96.92,84.49,7.75,96.92,0,8.81,0,165.01,91.1,808.12

27,06:30-06:45,0,0,0.03,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.21,3.88,0.68,17.52,0,96.92,84.49,7.75,96.92,0,8.81,0,165.01,91.1,808.15

28,06:45-07:00,0,0,0.48,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.21,3.88,0.68,17.52,0,96.92,84.49,7.75,96.92,0,8.81,0,165.01,91.1,808.6

29,07:00-07:15,0,0,0.92,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.12,3.88,0.68,17.52,0,96.92,84.49,7.75,96.92,0,8.81,0,165.01,91.1,808.9499999999999

30,07:15-07:30,0,0,1.4,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.12,3.88,0.68,17.52,0,96.92,84.49,7.75,96.92,0,8.81,0,165.01,91.1,809.43

31,07:30-07:45,0,0,1.99,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.12,3.88,0.68,17.52,0,96.92,84.49,7.75,96.92,0,8.81,0,165.01,91.1,810.02

32,07:45-08:00,0,0,2.67,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.12,3.88,0.68,17.52,0,96.92,84.49,7.75,96.92,0,8.81,0,165.01,91.1,810.6999999999999

33,08:00-08:15,0,0,2.87,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.94,3.88,0.97,17.52,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,811.98

34,08:15-08:30,0,0,3.59,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.94,3.88,0.97,17.52,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,812.7

35,08:30-08:45,0,0,4.19,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.94,3.88,0.97,17.52,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,813.3000000000001

36,08:45-09:00,0,0,4.31,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.94,3.88,0.97,17.52,0,96.92,84.49,9.69,96.92,0,8.81,0,165.01,91.1,814.39

37,09:00-09:15,42.64,10.66,4.65,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.94,3.88,0.97,17.52,0,96.92,84.49,9.69,96.92,0,8.81,0,165.01,91.1,868.03

38,09:15-09:30,42.64,10.66,4.89,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.94,3.88,0.97,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,870.21

39,09:30-09:45,42.64,10.66,5.04,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.94,3.88,0.97,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,870.36

40,09:45-10:00,42.64,10.66,5.28,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.94,3.88,0.97,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,870.6

41,10:00-10:15,42.64,10.66,5.48,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.97,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,110,91.1,815.6899999999999

42,10:15-10:30,42.64,10.66,5.62,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,110,91.1,816.8

43,10:30-10:45,42.64,10.66,6.25,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,110,91.1,817.43

44,10:45-11:00,42.64,10.66,6.59,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,110,91.1,817.77

45,11:00-11:15,42.64,10.66,6.8,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,110,91.1,817.98

46,11:15-11:30,42.64,10.66,7.22,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,110,91.1,818.4

47,11:30-11:45,42.64,10.66,7.56,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,110,91.1,818.74

48,11:45-12:00,42.64,10.66,8,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,110,91.1,819.18

49,12:00-12:15,42.64,10.66,8.19,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,110,91.1,819.37

50,12:15-12:30,42.64,10.66,8.34,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,110,91.1,819.52

51,12:30-12:45,42.64,10.66,8.58,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,110,91.1,819.76

52,12:45-13:00,42.64,10.66,8.92,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,110,91.1,820.1

53,13:00-13:15,42.64,10.66,9.27,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.03,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,165.01,91.1,875.65

54,13:15-13:30,42.64,10.66,9.5,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.03,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,165.01,91.1,875.88

55,13:30-13:45,42.64,10.66,8.99,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.03,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,165.01,91.1,875.37

56,13:45-14:00,42.64,10.66,8.77,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.03,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,165.01,91.1,875.15

57,14:00-14:15,42.64,10.66,8.38,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.56,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,165.01,91.1,874.29

58,14:15-14:30,42.64,10.66,8.14,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.56,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,165.01,91.1,874.05

59,14:30-14:45,42.64,10.66,7.75,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.56,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,165.01,91.1,873.66

60,14:45-15:00,42.64,10.66,7.56,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.56,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,165.01,91.1,873.47

61,15:00-15:15,22.29,10.66,7.03,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.75,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,20.35,165.01,91.1,873.13

62,15:15-15:30,26.27,10.66,6.64,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.75,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,16.38,165.01,91.1,872.75

63,15:30-15:45,30.53,10.66,6.45,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.75,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,12.12,165.01,91.1,872.5600000000001

64,15:45-16:00,35.09,10.66,6.01,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,11.75,3.88,0.97,17.52,0,96.92,84.49,12.6,96.92,0,8.81,7.56,165.01,91.1,872.12

65,16:00-16:15,17.74,10.66,5.12,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.12,3.88,0.87,17.52,0,96.92,84.49,12.6,96.92,0,8.81,24.91,165.01,91.1,871.5

66,16:15-16:30,22.1,10.66,4.36,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.12,3.88,0.87,17.52,0,96.92,84.49,12.6,96.92,0,8.81,20.55,165.01,91.1,870.74

67,16:30-16:45,26.56,10.66,3.1,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.12,3.88,0.87,17.52,0,96.92,84.49,12.6,96.92,0,8.81,16.09,165.01,91.1,869.48

68,16:45-17:00,30.34,10.66,1.75,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.12,3.88,0.87,17.52,0,96.92,84.49,12.6,96.92,0,8.81,11.53,165.01,91.1,867.35

69,17:00-17:15,0,0,0.88,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.58,3.88,0.82,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,165.01,91.1,814.36

70,17:15-17:30,0,0,0.81,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.58,3.88,0.82,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,165.01,91.1,814.29

71,17:30-17:45,0,0,0.74,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.58,3.88,0.82,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,165.01,91.1,814.22

72,17:45-18:00,0,0,0.43,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.58,3.88,0.82,17.52,0,96.92,84.49,12.6,96.92,0,8.81,0,165.01,91.1,813.91

73,18:00-18:15,0,0,0.07,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.86,3.88,0.82,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.86

74,18:15-18:30,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.86,3.88,0.82,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.79

75,18:30-18:45,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.82,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.2399999999999

76,18:45-19:00,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.82,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.2399999999999

77,19:00-19:15,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.82,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.2399999999999

78,19:15-19:30,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.82,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.2399999999999

79,19:30-19:45,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.82,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.2399999999999

80,19:45-20:00,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.82,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.2399999999999

81,20:00-20:15,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.78,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.1999999999999

82,20:15-20:30,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.78,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.1999999999999

83,20:30-20:45,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.78,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.1999999999999

84,20:45-21:00,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.78,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.1999999999999

85,21:00-21:15,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.21,3.88,0.78,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.0999999999999

86,21:15-21:30,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.21,3.88,0.78,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.0999999999999

87,21:30-21:45,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.21,3.88,0.78,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.0999999999999

88,21:45-22:00,0,0,0,0,24.23,0,2.42,21.81,8.81,0,53.31,26.43,26.43,0,26.43,4.85,28.11,12.21,3.88,0.78,17.52,0,96.92,84.49,11.63,96.92,0,8.81,0,165.01,91.1,812.0999999999999

89,22:00-22:15,0,0,0,145.38,24.23,0,2.42,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.03,3.88,0.78,17.52,0,96.92,84.49,10.66,96.92,0,8.81,0,165.01,91.1,1004.7899999999998

90,22:15-22:30,0,0,0,145.38,24.23,0,2.42,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.03,3.88,0.78,17.52,0,96.92,84.49,10.66,96.92,0,8.81,0,165.01,91.1,1004.7899999999998

91,22:30-22:45,0,0,0,145.38,24.23,0,2.42,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.03,3.88,0.78,17.52,0,96.92,84.49,9.69,96.92,0,8.81,0,165.01,91.1,1003.8199999999999

92,22:45-23:00,0,0,0,145.38,24.23,0,2.42,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.03,3.88,0.78,17.52,0,96.92,84.49,9.69,96.92,0,8.81,0,165.01,91.1,1003.8199999999999

93,23:00-23:15,0,0,0,145.38,24.23,0,2.42,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.78,17.52,0,96.92,84.49,9.69,96.92,0,8.81,0,165.01,94.4,1006.9299999999998

94,23:15-23:30,0,0,0,145.38,24.23,0,2.42,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.78,17.52,0,96.92,84.49,9.69,96.92,0,8.81,0,165.01,94.4,1006.9299999999998

95,23:30-23:45,0,0,0,145.38,24.23,0,2.42,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,11.84,3.88,0.78,17.52,0,96.92,84.49,9.69,96.92,0,8.81,0,165.01,94.4,1006.9299999999998

